,date,price,pe,ticker
177,2016-06-30,175.119995,21.676,MMM
176,2016-06-30,175.119995,21.676,MMM
175,2016-06-30,175.119995,22.0,MMM
174,2016-06-30,175.119995,22.0,MMM
173,2016-03-31,166.630005,20.537,MMM
172,2016-03-31,166.630005,20.537,MMM
171,2016-03-31,166.630005,20.753,MMM
170,2016-03-31,166.630005,20.753,MMM
169,2015-12-31,150.639999,19.191,MMM
35,2015-12-31,150.639999,18.862,MMM
71,2015-12-31,150.639999,18.862,MMM
81,2015-12-31,150.639999,18.862,MMM
159,2015-12-31,150.639999,19.191,MMM
120,2015-12-31,150.639999,19.191,MMM
158,2015-09-30,141.770004,17.807,MMM
119,2015-09-30,141.770004,17.807,MMM
70,2015-09-30,141.770004,19.51,MMM
34,2015-09-30,141.770004,19.51,MMM
118,2015-06-30,154.300003,19.65,MMM
157,2015-06-30,154.300003,19.65,MMM
33,2015-06-30,154.300003,19.011,MMM
69,2015-06-30,154.300003,19.011,MMM
68,2015-03-31,164.949997,20.049,MMM
32,2015-03-31,164.949997,20.049,MMM
117,2015-03-31,164.949997,21.16,MMM
156,2015-03-31,164.949997,21.16,MMM
31,2014-12-31,164.320007,21.249,MMM
116,2014-12-31,164.320007,21.247,MMM
80,2014-12-31,164.320007,21.249,MMM
168,2014-12-31,164.320007,21.247,MMM
155,2014-12-31,164.320007,21.247,MMM
67,2014-12-31,164.320007,21.249,MMM
30,2014-09-30,141.679993,19.973,MMM
154,2014-09-30,141.679993,18.812,MMM
115,2014-09-30,141.679993,18.812,MMM
66,2014-09-30,141.679993,19.973,MMM
29,2014-06-30,143.240005,18.992,MMM
153,2014-06-30,143.240005,19.496,MMM
114,2014-06-30,143.240005,19.496,MMM
65,2014-06-30,143.240005,18.992,MMM
152,2014-03-31,135.660004,18.978,MMM
64,2014-03-31,135.660004,19.449,MMM
113,2014-03-31,135.660004,18.978,MMM
28,2014-03-31,135.660004,19.449,MMM
63,2013-12-31,140.25,18.511,MMM
167,2013-12-31,140.25,20.267,MMM
27,2013-12-31,140.25,18.511,MMM
112,2013-12-31,140.25,20.267,MMM
151,2013-12-31,140.25,20.267,MMM
79,2013-12-31,140.25,18.511,MMM
150,2013-09-30,119.410004,17.949,MMM
62,2013-09-30,119.410004,18.634,MMM
26,2013-09-30,119.410004,18.634,MMM
111,2013-09-30,119.410004,17.949,MMM
61,2012-12-31,92.849998,15.958,MMM
78,2012-12-31,92.849998,15.958,MMM
166,2012-12-31,92.849998,14.457,MMM
149,2012-12-31,92.849998,14.457,MMM
25,2012-12-31,92.849998,15.958,MMM
110,2012-12-31,92.849998,14.457,MMM
24,2011-09-30,71.790001,13.111,MMM
60,2011-09-30,71.790001,13.111,MMM
109,2011-09-30,71.790001,11.966,MMM
148,2011-09-30,71.790001,11.966,MMM
108,2011-06-30,94.849998,15.766,MMM
147,2011-06-30,94.849998,15.766,MMM
59,2011-06-30,94.849998,13.648,MMM
23,2011-06-30,94.849998,13.648,MMM
58,2011-03-31,93.5,15.923,MMM
146,2011-03-31,93.5,15.711,MMM
22,2011-03-31,93.5,15.923,MMM
107,2011-03-31,93.5,15.711,MMM
57,2010-12-31,86.300003,16.088,MMM
145,2010-12-31,86.300003,15.102,MMM
77,2010-12-31,86.300003,16.088,MMM
106,2010-12-31,86.300003,15.102,MMM
165,2010-12-31,86.300003,15.102,MMM
21,2010-12-31,86.300003,16.088,MMM
56,2010-09-30,86.709999,15.083,MMM
144,2010-09-30,86.709999,15.111,MMM
105,2010-09-30,86.709999,15.111,MMM
20,2010-09-30,86.709999,15.083,MMM
55,2010-06-30,78.989998,15.916,MMM
143,2010-06-30,78.989998,14.285,MMM
104,2010-06-30,78.989998,14.285,MMM
19,2010-06-30,78.989998,15.916,MMM
54,2010-03-31,83.57,17.127,MMM
18,2010-03-31,83.57,17.127,MMM
142,2010-03-31,83.57,16.499,MMM
103,2010-03-31,83.57,16.499,MMM
102,2009-12-31,82.669998,18.33,MMM
17,2009-12-31,82.669998,17.819,MMM
141,2009-12-31,82.669998,18.33,MMM
53,2009-12-31,82.669998,17.819,MMM
76,2009-12-31,82.669998,17.819,MMM
164,2009-12-31,82.669998,18.33,MMM
52,2009-09-30,73.800003,18.642,MMM
101,2009-09-30,73.800003,18.445,MMM
16,2009-09-30,73.800003,18.642,MMM
140,2009-09-30,73.800003,18.445,MMM
15,2009-06-30,60.099998,17.414,MMM
100,2009-06-30,60.099998,14.757,MMM
51,2009-06-30,60.099998,17.414,MMM
139,2009-06-30,60.099998,14.757,MMM
14,2009-03-31,49.720001,13.442,MMM
138,2009-03-31,49.720001,11.537,MMM
50,2009-03-31,49.720001,13.442,MMM
99,2009-03-31,49.720001,11.537,MMM
49,2008-12-31,57.54,9.509,MMM
13,2008-12-31,57.54,9.509,MMM
75,2008-12-31,57.54,9.509,MMM
98,2008-12-31,57.54,11.524,MMM
137,2008-12-31,57.54,11.524,MMM
163,2008-12-31,57.54,11.524,MMM
136,2008-09-30,68.309998,12.648,MMM
12,2008-09-30,68.309998,11.803,MMM
48,2008-09-30,68.309998,11.803,MMM
97,2008-09-30,68.309998,12.648,MMM
47,2008-06-30,69.589996,13.097,MMM
11,2008-06-30,69.589996,13.097,MMM
96,2008-06-30,69.589996,13.091,MMM
135,2008-06-30,69.589996,13.091,MMM
46,2008-03-31,79.150002,14.887,MMM
95,2008-03-31,79.150002,15.073,MMM
10,2008-03-31,79.150002,14.887,MMM
134,2008-03-31,79.150002,15.073,MMM
133,2007-12-31,84.32,14.682,MMM
94,2007-12-31,84.32,14.682,MMM
45,2007-12-31,84.32,13.813,MMM
9,2007-12-31,84.32,13.813,MMM
162,2007-12-31,84.32,14.682,MMM
74,2007-12-31,84.32,13.813,MMM
132,2006-06-30,80.769997,18.086,MMM
8,2006-06-30,80.769997,15.409,MMM
44,2006-06-30,80.769997,15.409,MMM
93,2006-06-30,80.769997,18.086,MMM
7,2006-03-31,75.690002,19.37,MMM
131,2006-03-31,75.690002,17.643,MMM
43,2006-03-31,75.690002,19.37,MMM
92,2006-03-31,75.690002,17.643,MMM
6,2005-09-30,73.360001,18.002,MMM
130,2005-09-30,73.360001,19.116,MMM
42,2005-09-30,73.360001,18.002,MMM
91,2005-09-30,73.360001,19.116,MMM
129,2005-06-30,72.300003,19.38,MMM
41,2005-06-30,72.300003,18.429,MMM
90,2005-06-30,72.300003,19.38,MMM
5,2005-06-30,72.300003,18.429,MMM
89,2005-03-31,85.690002,22.903,MMM
128,2005-03-31,85.690002,22.903,MMM
4,2005-03-31,85.690002,19.341,MMM
40,2005-03-31,85.690002,19.341,MMM
39,2004-12-31,82.07,21.77,MMM
127,2004-12-31,82.07,22.49,MMM
161,2004-12-31,82.07,22.49,MMM
88,2004-12-31,82.07,22.49,MMM
3,2004-12-31,82.07,21.77,MMM
73,2004-12-31,82.07,21.77,MMM
87,2004-06-30,90.010002,25.35,MMM
126,2004-06-30,90.010002,25.35,MMM
86,2004-03-31,81.870003,24.459,MMM
125,2004-03-31,81.870003,24.459,MMM
36,2003-12-31,85.029999,25.537,MMM
72,2003-12-31,85.029999,25.537,MMM
85,2003-12-31,85.029999,27.599,MMM
160,2003-12-31,85.029999,27.599,MMM
124,2003-12-31,85.029999,27.599,MMM
0,2003-12-31,85.029999,25.537,MMM
