Date,Open,High,Low,Close,Volume,Adj Close
2016-08-04,53.950001,54.080002,53.66,53.779999,482700,53.779999
2016-08-03,53.93,54.02,53.369999,53.830002,653300,53.830002
2016-08-02,54.439999,54.439999,53.689999,53.889999,465300,53.889999
2016-08-01,53.91,54.560001,53.869999,54.549999,447800,54.549999
2016-07-29,53.389999,54.43,53.389999,54.07,697800,54.07
2016-07-28,52.139999,53.540001,52.009998,53.349998,884700,53.349998
2016-07-27,52.389999,52.389999,51.470001,52.130001,617400,52.130001
2016-07-26,53.360001,53.509998,52.419998,52.57,945800,52.57
2016-07-25,52.830002,52.830002,52.27,52.439999,578600,52.439999
2016-07-22,52.00,52.919998,52.00,52.639999,463200,52.639999
2016-07-21,51.740002,52.139999,51.50,52.119999,746300,52.119999
2016-07-20,51.959999,52.09,51.73,51.889999,491400,51.889999
2016-07-19,51.669998,52.16,51.459999,52.16,450100,52.16
2016-07-18,51.540001,51.950001,51.470001,51.599998,600000,51.599998
2016-07-15,51.810001,51.970001,51.360001,51.790001,699400,51.790001
2016-07-14,52.50,52.529999,51.77,51.82,1102600,51.82
2016-07-13,52.669998,52.790001,52.259998,52.689999,616000,52.689999
2016-07-12,52.299999,52.549999,51.900002,52.43,727700,52.43
2016-07-11,52.73,52.84,52.060001,52.580002,1026300,52.580002
2016-07-08,52.439999,52.650002,52.029999,52.43,828200,52.43
2016-07-07,52.470001,52.619999,51.459999,52.09,820500,52.09
2016-07-06,52.599998,53.09,52.07,52.48,868800,52.48
2016-07-05,51.740002,52.849998,51.740002,52.759998,709300,52.759998
2016-07-01,52.66,52.98,51.610001,51.689999,1262600,51.689999
2016-06-30,51.919998,52.869999,51.490002,52.869999,1421400,52.869999
2016-06-29,51.93,52.330002,51.540001,51.779999,1796500,51.779999
2016-06-28,50.68,51.619999,50.349998,51.619999,1254100,51.619999
2016-06-27,49.549999,50.50,49.490002,50.34,1178300,50.34
2016-06-24,48.470001,50.209999,48.389999,49.68,1212200,49.68
2016-06-23,49.450001,49.709999,49.27,49.509998,768300,49.509998
2016-06-22,49.09,49.360001,48.900002,49.130001,538300,49.130001
2016-06-21,48.299999,49.110001,48.299999,49.09,603800,49.09
2016-06-20,48.900002,49.189999,48.259998,48.299999,498400,48.299999
2016-06-17,48.669998,48.759998,48.32,48.549999,1464200,48.549999
2016-06-16,48.450001,48.860001,48.400002,48.849998,633500,48.849998
2016-06-15,48.169998,48.700001,47.98,48.50,814000,48.50
2016-06-14,48.07,48.220001,47.860001,48.119999,815100,48.119999
2016-06-13,47.830002,48.50,47.830002,48.09,1000500,48.09
2016-06-10,47.34,47.889999,47.220001,47.650002,896100,47.650002
2016-06-09,46.689999,47.639999,46.669998,47.57,795600,47.57
2016-06-08,46.25,46.740002,46.060001,46.66,547400,46.66
2016-06-07,46.310001,46.639999,46.240002,46.360001,499600,46.360001
2016-06-06,46.990002,47.209999,45.73,46.27,1088500,46.27
2016-06-03,46.700001,47.27,46.599998,47.040001,695000,47.040001
2016-06-02,46.450001,46.689999,46.09,46.540001,4908
00,46.540001
2016-06-01,46.73,47.049999,46.310001,46.560001,623200,46.560001
2016-05-31,46.66,47.119999,46.279999,47.02,2470600,47.02
2016-05-27,46.419998,46.93,46.41,46.599998,1011800,46.599998
2016-05-26,46.48,46.779999,46.330002,46.419998,1110700,46.419998
2016-05-25,46.689999,46.939999,46.150002,46.549999,1417100,46.549999
2016-05-24,46.560001,46.900002,46.360001,46.509998,1530500,46.509998
2016-05-23,46.439999,46.59,46.080002,46.220001,1496800,46.220001
2016-05-20,46.25,46.43,45.990002,46.279999,1680600,46.279999
2016-05-19,46.82,46.93,46.09,46.09,1688500,46.09
2016-05-18,46.700001,47.299999,46.119999,47.240002,1959000,47.240002
2016-05-17,47.349998,47.43,46.599998,46.950001,1268800,46.950001
2016-05-16,46.91,47.610001,46.689999,47.59,591600,47.59
2016-05-13,47.169998,47.169998,46.73,47.00,977300,47.00
