Date,Open,High,Low,Close,Volume,Adj Close
2016-08-03,9.99,10.18,9.98,10.05,133600,10.05
2016-08-02,10.04,10.28,10.00,10.11,213700,10.11
2016-08-01,10.03,10.25,9.91,10.08,141300,10.08
2016-07-29,9.91,10.18,9.88,9.98,69100,9.98
2016-07-28,9.90,10.09,9.87,9.89,73000,9.89
2016-07-27,9.78,9.91,9.67,9.91,32100,9.91
2016-07-26,9.69,9.77,9.56,9.73,32200,9.73
2016-07-25,9.67,9.70,9.57,9.58,59300,9.58
2016-07-22,9.76,9.76,9.61,9.68,32600,9.68
2016-07-21,9.86,9.91,9.75,9.76,30100,9.76
2016-07-20,9.75,9.94,9.66,9.87,28000,9.87
2016-07-19,9.82,9.99,9.70,9.71,33100,9.71
2016-07-18,10.06,10.06,9.51,9.83,49400,9.83
2016-07-15,10.08,10.12,9.89,10.06,58100,10.06
2016-07-14,10.15,10.26,9.96,10.06,62700,10.06
2016-07-13,9.88,10.12,9.75,10.06,81600,10.06
2016-07-12,9.35,10.00,9.35,9.89,70200,9.89
2016-07-11,9.13,9.40,8.89,9.35,58900,9.35
2016-07-08,9.06,9.15,8.98,9.10,105200,9.10
2016-07-07,8.79,9.00,8.79,8.92,42000,8.92
2016-07-06,8.78,9.15,8.63,8.79,52300,8.79
2016-07-05,8.95,9.02,8.71,8.79,41000,8.79
2016-07-01,9.00,9.24,8.94,8.98,51900,8.98
2016-06-30,9.02,9.10,8.97,9.03,99300,9.03
2016-06-29,8.89,9.26,8.88,8.95,88400,8.95
2016-06-28,8.91,9.07,8.65,8.74,133700,8.74
2016-06-27,8.76,8.91,8.56,8.82,126400,8.82
2016-06-24,8.98,9.26,8.63,8.87,434300,8.87
2016-06-23,9.17,9.64,9.09,9.43,163000,9.43
2016-06-22,9.11,9.18,8.95,9.08,67100,9.08
2016-06-21,9.30,9.30,8.99,9.07,57300,9.07
2016-06-20,9.17,9.45,9.07,9.29,89000,9.29
2016-06-17,9.24,9.30,8.91,9.02,263700,9.02
2016-06-16,9.39,9.40,9.08,9.21,73600,9.21
2016-06-15,9.62,9.64,9.49,9.51,78100,9.51
2016-06-14,9.60,9.72,9.43,9.53,102300,9.53
2016-06-13,9.49,9.71,9.40,9.58,68200,9.58
2016-06-10,10.00,10.05,9.49,9.53,70300,9.53
2016-06-09,10.40,10.57,10.02,10.17,76600,10.17
2016-06-08,10.00,10.45,9.88,10.37,124900,10.37
2016-06-07,9.91,9.99,9.69,9.83,65500,9.83
2016-06-06,9.82,10.07,9.67,9.95,109500,9.95
2016-06-03,10.15,10.24,9.94,9.95,173600,9.95
2016-06-02,9.92,10.16,9.88,10.09,299800,10.09
2016-06-01,9.67,9.99,9.51,9.95,147000,9.95
2016-05-31,9.32,9.73,9.31,9.71,109300,9.71
2016-05-27,9.44,9.59,9.23,9.31,78700,9.31
2016-05-26,9.22,9.76,9.22,9.39,42100,9.39
2016-05-25,9.45,9.69,9.44,9.55,68500,9.55
2016-05-24,9.20,9.53,9.12,9.47,83000,9.47
2016-05-23,8.87,9.24,8.87,9.11,79700,9.11
2016-05-20,8.76,9.07,8.62,8.85,130400,8.85
2016-05-19,8.84,9.08,8.68,8.75,46700,8.75
2016-05-18,8.69,9.24,8.63,8.88,101000,8.88
2016-05-17,9.14,9.17,8.63,8.73,90800,8.73
2016-05-16,9.17,9.38,9.09,9.13,52900,9.13
2016-05-13,9.06,9.23,9.00,9.11,49000,9.11
2016-05-12,9.71,9.82,9.05,9.06,93000,9.06
2016-05-11,9.86,9.95,9.67,9.68,64500,9.68
2016-05-10,9.63,10.00,9.52,9.90,88600,9.90
2016-05-09,9.15,9.63,9.06,9.55,68000,9.55
2016-05-06,9.25,9.40,9.10,9.16,89700,9.16
2016-05-05,9.
52,9.62,9.14,9.25,86300,9.25
