Date,Open,High,Low,Close,Volume,Adj Close
2016-08-04,14.34,14.49,14.33,14.47,204100,14.47
2016-08-03,14.13,14.36,14.10,14.32,186100,14.32
2016-08-02,14.09,14.23,14.03,14.13,293600,14.13
2016-08-01,13.95,14.31,13.90,14.19,317500,14.19
2016-07-29,13.78,14.01,13.70,13.93,337400,13.93
2016-07-28,13.61,13.75,13.56,13.75,233600,13.75
2016-07-27,13.39,13.70,13.39,13.60,335000,13.60
2016-07-26,13.37,13.54,13.37,13.48,168800,13.48
2016-07-25,13.45,13.49,13.37,13.41,126900,13.41
2016-07-22,13.45,13.48,13.38,13.48,121100,13.48
2016-07-21,13.43,13.50,13.37,13.45,174300,13.45
2016-07-20,13.45,13.49,13.24,13.44,185200,13.44
2016-07-19,13.26,13.43,13.25,13.38,142700,13.38
2016-07-18,13.25,13.54,13.17,13.33,131900,13.33
2016-07-15,13.28,13.29,13.16,13.26,127600,13.26
2016-07-14,13.21,13.34,13.18,13.23,177400,13.23
2016-07-13,13.30,13.30,13.06,13.21,162000,13.21
2016-07-12,13.25,13.34,13.18,13.25,296500,13.25
2016-07-11,12.97,13.18,12.97,13.12,268200,13.12
2016-07-08,12.96,13.01,12.86,12.90,204600,12.90
2016-07-07,12.76,13.01,12.67,12.78,172700,12.78
2016-07-06,12.68,12.92,12.63,12.81,230700,12.81
2016-07-05,12.80,12.96,12.61,12.74,331300,12.74
2016-07-01,13.00,13.12,12.82,12.93,293900,12.93
2016-06-30,12.90,13.01,12.78,13.01,228700,13.01
2016-06-29,12.87,13.06,12.77,12.86,282600,12.86
2016-06-28,12.69,13.11,12.67,12.79,445300,12.79
2016-06-27,13.42,13.43,13.10,13.30,723300,12.675
2016-06-24,13.50,13.90,13.36,13.56,566600,12.922782
2016-06-23,13.53,13.78,13.53,13.73,252300,13.084793
2016-06-22,13.75,13.75,13.49,13.49,200100,12.856071
2016-06-21,13.65,13.74,13.45,13.66,198000,13.018083
2016-06-20,13.59,13.78,13.53,13.65,257900,13.008552
2016-06-17,13.27,13.63,13.22,13.31,336700,12.68453
2016-06-16,13.17,13.36,13.06,13.30,178300,12.675
2016-06-15,13.27,13.46,13.21,13.26,141900,12.63688
2016-06-14,13.28,13.47,13.08,13.18,244400,12.560639
2016-06-13,13.60,13.69,13.24,13.34,207700,12.71312
2016-06-10,13.60,13.84,13.55,13.70,203600,13.056203
2016-06-09,13.85,13.94,13.55,13.78,338600,13.132443
2016-06-08,13.92,13.99,13.85,13.91,231400,13.256334
2016-06-07,14.01,14.04,13.82,13.90,270400,13.246804
2016-06-06,13.53,13.75,13.52,13.75,243800,13.103853
2016-06-03,13.54,13.56,13.37,13.52,215200,12.884662
2016-06-02,13.50,13.65,13.36,13.63,259200,12.989493
2016-06-01,13.23,13.56,13.20,13.55,289700,12.913252
2016-05-31,13.06,13.33,13.00,13.30,316100,12.675
2016-05-27,12.88,13.14,12.82,13.11,234100,12.493928
2016-05-26,13.08,13.11,12.83,12.83,180300,12.227086
2016-05-25,12.94,13.13,12.92,13.01,387400,12.398628
