Date,Open,High,Low,Close,Volume,Adj Close
2016-08-04,11.55,11.56,11.30,11.39,2065800,11.39
2016-08-03,11.48,11.53,11.39,11.49,2493300,11.49
2016-08-02,11.63,11.63,11.37,11.53,3431500,11.53
2016-08-01,11.54,11.61,11.40,11.55,3404900,11.55
2016-07-29,11.25,11.55,11.02,11.53,14122600,11.53
2016-07-28,12.06,12.13,11.59,11.75,8595000,11.75
2016-07-27,12.36,12.48,11.97,12.09,4675700,12.09
2016-07-26,12.34,12.46,12.28,12.34,3808600,12.34
2016-07-25,12.50,12.62,12.26,12.36,2950900,12.36
2016-07-22,12.78,12.84,12.51,12.57,3286100,12.57
2016-07-21,12.75,12.92,12.69,12.78,3420800,12.78
2016-07-20,12.47,12.83,12.46,12.80,4483300,12.80
2016-07-19,12.56,12.61,12.49,12.59,2450600,12.59
2016-07-18,12.43,12.84,12.41,12.82,2921200,12.669
2016-07-15,12.56,12.73,12.45,12.48,2095500,12.333004
2016-07-14,12.47,12.69,12.45,12.63,3108400,12.481238
2016-07-13,12.48,12.51,12.28,12.35,1959600,12.204536
2016-07-12,12.42,12.69,12.39,12.40,3239200,12.253947
2016-07-11,12.42,12.50,12.26,12.29,2113100,12.145243
2016-07-08,12.10,12.31,12.03,12.30,4393400,12.155125
2016-07-07,12.12,12.22,11.85,11.89,3263700,11.749954
2016-07-06,12.04,12.12,11.81,12.07,2927400,11.927834
2016-07-05,12.29,12.44,12.07,12.18,3158600,12.036538
2016-07-01,12.31,12.50,12.31,12.45,2814300,12.303358
2016-06-30,12.31,12.34,12.05,12.26,5744200,12.115596
2016-06-29,11.94,12.37,11.83,12.25,5000600,12.105714
2016-06-28,11.71,11.85,11.64,11.73,3957500,11.591838
2016-06-27,11.57,11.57,11.31,11.40,3990400,11.265725
2016-06-24,11.60,11.94,11.44,11.62,5180600,11.483134
2016-06-23,12.47,12.53,12.29,12.41,2066900,12.263829
2016-06-22,12.06,12.29,12.05,12.19,2561900,12.04642
2016-06-21,12.25,12.29,12.02,12.09,2251100,11.947598
2016-06-20,12.15,12.35,12.09,12.16,2593300,12.016774
2016-06-17,11.98,12.06,11.83,11.93,4778500,11.789483
2016-06-16,11.78,11.88,11.43,11.87,3369300,11.730189
2016-06-15,11.61,11.99,11.60,11.88,6198000,11.740072
2016-06-14,11.59,11.69,11.32,11.51,7367300,11.37443
2016-06-13,11.94,11.97,11.67,11.67,4942800,11.532545
2016-06-10,12.43,12.49,12.09,12.09,3836200,11.947598
2016-06-09,12.86,12.95,12.56,12.59,4682000,12.441709
2016-06-08,12.72,13.03,12.65,13.01,8909100,12.856762
2016-06-07,12.24,12.58,12.20,12.52,12039000,12.372534
2016-06-06,12.26,12.31,12.13,12.13,2841500,11.987127
2016-06-03,12.14,12.28,12.10,12.19,2061800,12.04642
2016-06-02,12.17,12.25,12.04,12.13,2638400,11.987127
2016-06-01,12.18,12.26,11.97,12.20,3319700,12.056302
2016-05-31,12.45,12.53,12.21,12.25,4922700,12.105714
2016-05-27,12.48,12.56,12.38,12.46,4950100,12.31324
2016-05-26,12.46,12.52,12.38,12.52,4174100,12.372534
2016-05-25,12.68,12.68,12.36,12.41,6557900,12.263829
2016-05-24,12.56,12.59,12.41,12.55,301100
0,12.40218
2016-05-23,12.50,12.60,12.41,12.45,2757100,12.303358
2016-05-20,12.63,12.70,12.48,12.54,1777300,12.392298
2016-05-19,12.57,12.62,12.32,12.50,2198500,12.352769
2016-05-18,12.73,12.87,12.60,12.68,3920300,12.530649
2016-05-17,12.77,12.92,12.62,12.87,3143900,12.718411
2016-05-16,12.83,12.97,12.80,12.86,2182000,12.708528
2016-05-13,12.87,13.06,12.77,12.78,3610300,12.629471
2016-05-12,13.02,13.10,12.77,13.00,3770300,12.84688
2016-05-11,13.04,13.15,12.83,12.87,2565400,12.718411
2016-05-10,12.85,13.17,12.82,13.10,5399200,12.945702
2016-05-09,12.78,12.83,12.56,12.78,3899600,12.629471
2016-05-06,12.80,13.07,12.80,12.88,4903100,12.728293
2016-05-05,13.34,13.40,12.93,12.93,3414500,12.777705
2016-05-04,13.51,13.59,13.08,13.19,10753000,13.034642
2016-05-03,13.68,14.01,13.35,13.76,8647900,13.597928
2016-05-02,13.74,14.14,13.73,13.82,4832100,13.657221
