Date,Open,High,Low,Close,Volume,Adj Close
2015-01-28,14.26,14.3195,14.11,14.15,161500,14.15
2015-01-27,14.30,14.49,14.22,14.25,129000,14.25
2015-01-26,14.18,14.49,14.18,14.49,228000,14.49
2015-01-23,14.16,14.25,14.00,14.24,84800,14.24
2015-01-22,14.19,14.21,14.13,14.16,61800,14.16
2015-01-21,14.24,14.25,14.05,14.10,115200,14.10
2015-01-20,14.06,14.38,14.05,14.21,106700,14.21
2015-01-19,14.09,14.09,14.09,14.09,000,14.09
2015-01-16,13.905,14.23,13.72,14.09,105800,14.09
2015-01-15,14.21,14.21,13.77,13.77,48400,13.77
2015-01-14,14.12,14.20,13.75,14.10,21600,14.10
2015-01-13,14.11,14.34,14.01,14.07,145700,14.07
2015-01-12,14.12,14.24,14.11,14.12,34700,14.12
2015-01-09,14.19,14.23,14.07,14.18,28100,14.18
2015-01-08,14.22,14.24,14.01,14.08,59400,14.08
2015-01-07,13.90,14.02,13.66,13.93,15100,13.93
2015-01-06,13.91,14.04,13.69,13.77,32400,13.77
2015-01-05,13.72,14.10,13.72,13.90,39800,13.90
2015-01-02,13.96,14.19,13.86,13.97,16000,13.97
2015-01-01,14.03,14.03,14.03,14.03,000,14.03
2014-12-31,14.15,14.15,13.81,14.03,32200,14.03
2014-12-30,14.24,14.25,13.70,14.12,92500,14.12
2014-12-29,14.17,14.30,14.115,14.25,27100,14.25
2014-12-26,14.20,14.20,14.10,14.15,13400,14.15
2014-12-25,14.13,14.13,14.13,14.13,000,14.13
2014-12-24,14.20,14.24,13.92,14.13,14500,14.13
2014-12-23,14.02,14.22,13.84,14.20,53800,14.20
2014-12-22,13.74,14.25,13.68,14.19,55800,14.19
2014-12-19,13.64,13.89,13.64,13.82,87800,13.82
2014-12-18,13.80,13.84,13.462,13.81,64900,13.81
2014-12-17,13.14,13.89,12.97,13.72,75400,13.72
2014-12-16,13.10,13.46,12.98,13.28,39700,13.28
2014-12-15,13.375,13.50,12.92,13.03,49600,13.03
2014-12-12,13.77,13.77,13.30,13.35,53900,13.35
2014-12-11,13.74,13.93,13.55,13.83,18500,13.83
2014-12-10,13.56,13.92,13.44,13.56,42200,13.56
2014-12-09,13.48,13.95,13.35,13.94,33200,13.94
2014-12-08,13.71,13.71,13.37,13.57,81900,13.57
2014-12-05,13.57,13.85,13.57,13.75,44300,13.75
2014-12-04,13.95,13.95,13.65,13.73,108800,13.73
2014-12-03,13.656,13.94,13.656,13.89,55000,13.89
2014-12-02,13.53,13.9275,13.53,13.81,144100,13.81
2014-12-01,14.00,14.00,13.64,13.67,73500,13.67
2014-11-28,13.98,14.01,13.77,13.92,84700,13.92
2014-11-27,14.14,14.14,14.14,14.14,000,14.14
2014-11-26,14.15,14.21,14.14,14.14,16900,14.14
2014-11-25,14.19,14.25,14.1201,14.20,63600,14.20
2014-11-24,14.24,14.25,14.18,14.19,72800,14.19
2014-11-21,14.23,14.25,14.20,14.25,26400,14.25
2014-11-20,14.13,14.25,14.08,14.25,27400,14.25
2014-11-19,14.13,14.20,14.00,14.16,29700,14.16
2014-11-18,14.11,14.25,14.11,14.16,6000,14.16
2014-11-17,14.10,14.25,13.98,14.24,44800,14.24
2014-11-14,14.1199,14.19,13.99,14.12,22100,14.12
2014-11-13,14.00,14.17,13.75,14.05,24800,14.05
2014-11-12,14.03,14.13,13.95,14.07,8800,14.07
2014-11-11,13.94,14.13,13.81,14.02,30400,14.02
2014-11-10,14.20,14.21,13.89,14.11,13500,14.11
2014-11-07,14.04,14.25,14.00,14.13,26700,14.13
2014-11-06,14.20,14.29,13.92,14.25,16000,14.25
2014-11-05,14.00,14.34,13.98,14.25,102200,14.25
2014-11-04,13.94,14.10,13.80,13.96,33100,13.96
2014-11-03,14.18,14.29,13.78,13.84,36000,13.84
2014-10-31,14.34,14.35,14.01,14.33,33400,14.33
2014-10-30,13.98,14.323,13.80,14.21,74900,14.21
2014-10-29,14.26,14.30,13.75,14.03,34300,1
4.03
2014-10-28,14.02,14.24,13.75,14.04,89300,14.04
2014-10-27,13.72,13.88,13.65,13.74,22700,13.74
2014-10-24,13.82,13.91,13.7101,13.87,20400,13.87
