Date,Open,High,Low,Close,Volume,Adj Close
2016-08-04,7.77,7.77,7.46,7.71,7900,7.71
2016-08-03,7.66,7.96,7.66,7.77,11000,7.77
2016-08-02,7.56,7.70,7.50,7.69,15300,7.69
2016-08-01,7.69,7.86,7.45,7.64,14500,7.64
2016-07-29,7.40,8.00,7.28,7.62,39700,7.62
2016-07-28,7.45,7.55,7.25,7.40,26000,7.40
2016-07-27,7.52,7.68,7.26,7.39,5700,7.39
2016-07-26,7.66,8.01,7.41,7.41,16700,7.41
2016-07-25,7.97,7.99,7.67,7.74,46700,7.74
2016-07-22,7.42,7.96,7.42,7.92,500,7.92
2016-07-21,8.09,8.09,7.61,7.85,13200,7.85
2016-07-20,8.02,8.22,7.74,7.89,21700,7.89
2016-07-19,8.10,8.29,7.06,7.84,60000,7.84
2016-07-18,8.56,8.56,8.14,8.14,10200,8.14
2016-07-15,8.68,8.68,8.55,8.65,1500,8.65
2016-07-14,8.70,8.74,8.45,8.45,22500,8.45
2016-07-13,8.73,8.86,8.59,8.65,23700,8.65
2016-07-12,8.60,8.76,8.52,8.57,22900,8.57
2016-07-11,8.03,8.83,8.03,8.59,24900,8.59
2016-07-08,7.74,8.11,7.64,8.02,24600,8.02
2016-07-07,7.92,7.92,7.67,7.77,14000,7.77
2016-07-06,7.85,8.10,7.79,7.79,2900,7.79
2016-07-05,8.05,8.05,7.61,7.61,6100,7.61
2016-07-01,7.87,8.19,7.75,8.05,35400,8.05
2016-06-30,7.10,7.97,7.10,7.78,29700,7.78
2016-06-29,6.56,7.15,6.56,7.08,37700,7.08
2016-06-28,6.30,6.64,6.30,6.55,39700,6.55
2016-06-27,6.36,6.37,6.18,6.18,1500,6.18
2016-06-24,6.30,6.66,6.30,6.36,26100,6.36
2016-06-23,6.38,6.70,6.31,6.54,25200,6.54
2016-06-22,6.65,6.75,6.34,6.34,19900,6.34
2016-06-21,6.65,6.78,6.40,6.50,20700,6.50
2016-06-20,6.64,7.10,6.42,6.68,19000,6.68
2016-06-17,6.46,6.67,6.36,6.67,28100,6.67
2016-06-16,6.42,7.99,6.40,6.40,20200,6.40
2016-06-15,6.87,6.87,6.31,6.51,11200,6.51
2016-06-14,5.71,7.00,5.71,6.75,4100,6.75
2016-06-13,0.56,0.58,0.55,0.55,15900,6.599997
2016-06-10,0.61,0.61,0.56,0.57,8200,6.839997
2016-06-09,0.59,0.61,0.57,0.58,1100,6.959997
2016-06-08,0.61,0.61,0.56,0.57,1300,6.839997
2016-06-07,0.59,0.61,0.55,0.56,4800,6.719997
2016-06-06,0.59,0.59,0.57,0.57,3800,6.839997
2016-06-03,0.57,0.59,0.56,0.56,5700,6.719997
