Date,Open,High,Low,Close,Volume,Adj Close
2016-08-04,27.07,27.190001,27.030001,27.15,2400,27.15
2016-08-03,27.110001,27.209999,27.02,27.059999,7200,27.059999
2016-08-02,27.09,27.200001,27.02,27.200001,4700,27.200001
2016-08-01,26.959999,27.139999,26.92,27.040001,4200,27.040001
2016-07-29,27.01,27.110001,26.99,27.110001,4000,27.110001
2016-07-28,27.00,27.120001,27.00,27.110001,4600,27.110001
2016-07-27,26.98,27.139999,26.90,27.139999,5300,27.139999
2016-07-26,26.84,26.98,26.76,26.98,6400,26.98
2016-07-25,26.73,26.93,26.73,26.870001,15600,26.870001
2016-07-22,26.76,26.889999,26.76,26.76,8800,26.76
2016-07-21,26.75,26.940001,26.75,26.870001,5800,26.870001
2016-07-20,26.75,26.950001,26.60,26.950001,3700,26.950001
2016-07-19,26.780001,26.860001,26.51,26.780001,21400,26.780001
2016-07-18,26.93,27.00,26.700001,26.93,4000,26.93
2016-07-15,26.790001,27.129999,26.780001,27.129999,9400,27.129999
2016-07-14,26.879999,27.00,26.799999,26.83,6400,26.83
2016-07-13,26.83,26.959999,26.82,26.91,3200,26.91
2016-07-12,26.950001,27.040001,26.82,26.85,6100,26.85
2016-07-11,26.799999,26.92,26.799999,26.92,6600,26.92
2016-07-08,27.059999,27.139999,26.93,26.93,9900,26.93
2016-07-07,26.860001,27.17,26.860001,26.940001,17900,26.940001
2016-07-06,26.92,27.09,26.700001,27.00,6500,27.00
2016-07-05,26.84,27.139999,26.75,27.08,11800,27.08
2016-07-01,26.93,27.17,26.74,27.049999,10300,27.049999
2016-06-30,26.91,27.08,26.620001,26.940001,16600,26.940001
2016-06-29,26.780001,27.00,26.719999,26.889999,8700,26.889999
2016-06-28,26.60,26.90,26.51,26.790001,10600,26.790001
2016-06-27,26.48,26.60,26.290001,26.60,11500,26.60
2016-06-24,26.26,26.74,26.26,26.459999,13400,26.459999
2016-06-23,26.790001,26.99,26.75,26.809999,10400,26.809999
2016-06-22,27.02,27.049999,26.719999,26.77,5000,26.77
2016-06-21,26.84,26.99,26.83,26.879999,3200,26.879999
2016-06-20,26.959999,26.99,26.68,26.83,11200,26.83
2016-06-17,26.360001,26.90,26.360001,26.90,13200,26.90
2016-06-16,26.389999,26.50,26.17,26.50,16700,26.50
2016-06-15,26.59,26.73,26.41,26.52,19500,26.52
2016-06-14,26.549999,26.549999,26.40,26.48,4600,26.48
2016-06-13,26.67,26.75,26.450001,26.57,4400,26.57
2016-06-10,26.77,26.84,26.60,26.620001,4600,26.620001
2016-06-09,26.84,26.84,26.59,26.719999,3600,26.719999
2016-06-08,26.57,26.809999,26.42,26.790001,15300,26.790001
2016-06-07,26.620001,26.690001,26.540001,26.629999,4800,26.629999
2016-06-06,26.60,26.76,26.530001,26.549999,7000,26.549999
2016-06-03,26.530001,26.629999,26.530001,26.620001,10000,26.620001
2016-06-02,26.59,26.67,26.540001,26.540001,6900,26.540001
2016-06-01,26.559999,26.68,26.50,26.59,3300,26.59
2016-05-31,26.50,26.73,26.41,26.59,19300,26.59
2016-05-27,26.57,26.809999,26.559999,26.60,27300,26.60
2016-05-26,27.00,27.299999,26.620001,27.24,11800,27.24
2016-05-25,27.00,27.190001,26.950001,27.16,8100,27.16
2016-05-24,26.99,27.00,26.809999,26.93,19800,26.93
2016-05-23,27.00,27.00,26.66,26.809999,6100,26.809999
2016-05-20,26.969999,27.200001,26.950001,27.120001,10300,27.120001
2016-05-19,26.940001,27.139999,26.940001,27.00,4800,27.00
2016-05-18,27.08,27.389999,26.84,26.92,15000,26.92
2016-05-17,27.280001,27.290001,27.01,27.139999,4000,27.139999
2016-05-16,27.26,27.280001,27.08,27.26,7000,27.26
2016-05-13,27.10,27.25,26.940001,27.24,17000,27.24
2016-05-12,26.60,27.290001,26.60,27.16,22100,27.16
2016-05-11,26.549999,26.879999,26.50,26.879999,15100,26.879999
2016-05-10,26.50,26.790001,26.48,26.67,10700,26.67
2016-05-09,26.59,26.59,26.33,26.540001,131
00,26.540001
2016-05-06,26.450001,26.639999,26.370001,26.450001,16000,26.450001
2016-05-05,26.50,26.59,26.440001,26.48,6600,26.48
2016-05-04,26.530001,26.58,26.450001,26.469999,12300,26.469999
2016-05-03,26.35,26.57,26.35,26.50,3700,26.50
