Date,Open,High,Low,Close,Volume,Adj Close
2016-08-04,20.200001,20.23,19.60,19.629999,290000,19.629999
2016-08-03,20.00,20.459999,19.91,20.209999,83000,19.959999
2016-08-02,20.360001,20.50,19.85,19.85,546300,19.604454
2016-08-01,21.50,21.50,20.75,21.01,119500,20.750104
2016-07-29,20.99,21.190001,20.940001,21.059999,166500,20.799485
2016-07-28,21.07,21.09,20.959999,21.01,72700,20.750104
2016-07-27,21.09,21.09,20.950001,20.969999,44300,20.710598
2016-07-26,21.030001,21.09,20.83,21.09,82700,20.829115
2016-07-25,21.07,21.08,20.889999,21.030001,83800,20.769857
2016-07-22,20.889999,21.07,20.860001,21.049999,52200,20.789608
2016-07-21,21.01,21.02,20.85,20.940001,35900,20.68097
2016-07-20,20.950001,21.10,20.90,21.01,56600,20.750104
2016-07-19,20.90,20.99,20.68,20.950001,37000,20.690847
2016-07-18,21.129999,21.129999,20.75,20.91,84600,20.651341
2016-07-15,20.860001,20.860001,20.27,20.75,61100,20.49332
2016-07-14,20.950001,20.950001,20.469999,20.66,45200,20.404433
2016-07-13,21.27,21.27,20.280001,20.40,102300,20.147649
2016-07-12,21.530001,21.530001,20.50,21.00,159000,20.740228
2016-07-11,20.99,21.75,20.75,21.049999,316500,20.789608
2016-07-08,20.35,20.790001,20.16,20.65,284200,20.394557
2016-07-07,19.49,20.959999,19.42,20.110001,540700,19.861238
2016-07-06,19.49,19.49,19.10,19.25,177800,19.011875
2016-07-05,19.440001,19.93,19.10,19.309999,394500,19.071133
2016-07-01,18.93,18.98,18.190001,18.50,167500,18.271153
2016-06-30,17.559999,18.93,17.559999,18.92,302300,18.685958
2016-06-29,16.85,17.690001,16.559999,17.49,348700,17.273647
2016-06-28,16.00,17.139999,15.98,16.85,175900,16.641564
2016-06-27,15.50,16.23,15.50,15.92,54100,15.723068
2016-06-24,15.74,16.440001,15.29,16.23,147400,16.029233
2016-06-23,15.72,16.25,15.45,16.139999,169300,15.940346
2016-06-22,15.32,15.72,15.27,15.72,134600,15.525542
2016-06-21,15.35,15.41,15.22,15.27,24800,15.081109
2016-06-20,15.80,15.80,15.33,15.41,147500,15.219376
2016-06-17,15.48,15.64,15.10,15.44,243100,15.249005
2016-06-16,15.05,15.30,14.90,15.20,35900,15.011974
2016-06-15,15.33,15.33,15.02,15.02,53700,14.834201
2016-06-14,14.51,15.22,14.33,15.17,72100,14.982346
2016-06-13,15.15,15.58,14.50,14.59,92900,14.40952
2016-06-10,15.25,15.35,14.96,15.25,35100,15.061356
2016-06-09,15.70,15.70,15.20,15.37,29400,15.179871
2016-06-08,15.49,15.80,15.21,15.49,31200,15.298387
2016-06-07,16.049999,16.66,14.62,15.34,166400,15.150243
2016-06-06,15.20,16.030001,15.15,16.030001,137500,15.831708
2016-06-03,15.20,15.20,14.84,15.19,65300,15.002098
2016-06-02,15.34,15.35,14.82,15.10,82500,14.913212
2016-06-01,14.21,15.35,14.02,15.26,142900,15.071232
2016-05-31,13.90,14.35,13.65,14.18,186200,14.004592
2016-05-27,14.00,14.25,13.50,13.53,457200,13.362632
2016-05-26,16.40,17.00,16.110001,16.360001,49000,16.157626
2016-05-25,16.
75,16.82,16.40,16.40,22500,16.19713
2016-05-24,16.50,16.75,16.42,16.719999,37900,16.513171
2016-05-23,16.34,17.00,16.24,16.49,38500,16.286017
2016-05-20,15.72,16.299999,15.72,16.15,49900,15.950222
2016-05-19,15.70,15.72,15.50,15.72,22000,15.525542
2016-05-18,15.70,15.72,15.57,15.61,12400,15.416902
2016-05-17,15.90,15.90,15.62,15.70,19300,15.505789
2016-05-16,15.47,15.56,15.30,15.56,7200,15.367522
2016-05-13,15.35,15.40,15.00,15.05,20000,14.86383
2016-05-12,15.35,15.50,15.19,15.45,8500,15.258882
2016-05-11,15.70,15.70,15.48,15.51,11300,15.31814
2016-05-10,15.90,15.90,15.70,15.74,9500,15.545294
2016-05-09,15.85,16.00,15.75,15.84,42200,15.644058
2016-05-06,15.30,16.00,15.13,15.78,11900,15.584799
2016-05-05,15.65,15.68,15.65,15.68,800,15.486037
2016-05-04,15.94,15.94,15.62,15.70,22700,15.258882
2016-05-03,16.02,16.02,15.95,15.98,5500,15.531015
2016-05-02,16.09,16.25,15.82,16.00,47200,15.550453
2016-04-29,14.80,15.90,14.71,15.80,43000,15.356073
2016-04-28,14.75,14.75,14.60,14.60,1800,14.189789
2016-04-27,14.40,14.54,14.40,14.49,2400,14.082879
2016-04-26,14.23,14.50,14.23,14.36,4600,13.956531
2016-04-25,14.49,14.49,14.45,14.45,4900,14.044003
2016-04-22,14.52,14.52,14.42,14.50,2300,14.092598
2016-04-21,14.52,14.52,14.52,14.52,400,14.112037
2016-04-20,14.55,14.70,14.55,14.70,4500,14.286979
2016-04-19,14.48,14.60,14.48,14.50,1900,14.092598
2016-04-18,14.35,14.41,14.35,14.41,500,14.005127
2016-04-15,13.80,14.31,13.80,14.31,4600,13.907937
2016-04-14,14.75,14.75,14.20,14.70,2300,14.286979
2016-04-13,14.40,14.77,14.40,14.77,700,14.355013
2016-04-12,14.79,14.80,14.40,14.40,3100,13.995407
2016-04-11,14.76,14.76,14.64,14.65,8100,14.238383
2016-04-08,14.95,14.95,14.61,14.65,5200,14.238383
2016-04-07,14.87,14.90,14.67,14.88,5600,14.461922
2016-04-06,14.82,14.95,14.81,14.87,700,14.452202
2016-04-05,14.66,14.70,14.65,14.70,1400,14.286979
2016-04-04,14.60,14.60,13.80,14.42,9300,14.014846
2016-04-01,13.20,13.33,13.20,13.32,3200,12.945752
2016-03-31,13.20,13.23,13.15,13.20,2000,12.829124
2016-03-30,13.19,13.20,13.19,13.20,900,12.829124
2016-03-29,12.75,13.20,12.75,13.20,1100,12.829124
2016-03-28,12.75,12.85,12.40,12.55,7200,12.197387
2016-03-24,12.90,12.90,12.75,12.75,1100,12.391767
2016-03-23,13.01,13.01,12.80,12.80,3100,12.440363
2016-03-22,13.00,13.08,13.00,13.02,1700,12.654182
2016-03-21,13.10,13.25,13.10,13.24,1800,12.868
2016-03-18,13.02,13.02,13.00,13.00,900,12.634743
2016-03-17,13.08,13.08,13.08,13.08,000,12.712495
2016-03-16,13.00,13.08,13.00,13.08,1600,12.712495
2016-03-15,12.98,13.00,12.83,13.00,4400,12.634743
2016-03-14,13.00,13.00,13.00,13.00,3700,12.634743
2016-03-11,13.00,13.00,12.70,13.00,4900,12.634743
2016-03-10,12.75,12.92,12.75,12.92,700,12.556991
2016-03-09,12.97,13.00,12.73,12.75,5200,12.391767
2016-03-08,13.32,13.32,12.60,12.75,6500,12.391767
2016-03-07,13.20,13.30,13.10,13.20,3600,12.829124
2016-03-04,13.05,13.33,13.04,13.18,2500,12.809686
2016-03-03,13.05,13.05,13.05,13.05,1300,12.683339
2016-03-02,12.92,12.92,12.90,12.90,500,12.537553
2016-03-01,13.06,13.06,13.00,13.00,1000,12.634743
2016-02-29,12.89,13.01,12.75,13.01,4100,12.644462
2016-02-26,12.65,12.88,12.65,12.88,600,12.518115
2016-02-25,12.60,12.60,12.60,12.60,000,12.245982
2016-02-24,12.60,12.60,12.60,12.60,400,12.245982
2016-02-23,12.68,12.68,12.68,12.68,200,12.323734
2016-02-22,12.40,12.49,12.38,12.49,2300,12.139072
2016-02-19,12.20,12.33,12.20,12.25,3200,11.905816
2016-02-18,12.22,12.22,12.00,12.07,11200,11.730873
2016-02-17,12.25,12.50,12.17,12.20,14900,11.85722
2016-02-16,12.70,12.70,12.35,12.50,2100,12.148792
2016-02-12,12.25,12.25,12.25,12.25,500,11.905816
2016-02-11,12.25,12.29,12.16,12.25,2400,11.905816
2016-02-10,12.74,12.85,12.
23,12.24,5600,11.896096
2016-02-09,12.70,12.79,12.35,12.79,2200,12.430643
2016-02-08,12.65,12.68,12.51,12.51,4200,12.158511
2016-02-05,12.84,13.00,12.15,12.82,7500,12.4598
2016-02-04,13.21,13.21,12.75,13.07,13900,12.702776
2016-02-03,13.21,13.50,13.18,13.18,5000,12.56671
2016-02-02,13.14,13.20,12.85,13.20,7300,12.585779
2016-02-01,13.58,13.58,13.19,13.19,3800,12.576244
2016-01-29,13.60,13.60,13.60,13.60,600,12.967166
2016-01-28,13.23,13.50,13.23,13.50,2700,12.871819
2016-01-27,13.05,13.10,12.95,13.10,1500,12.490432
2016-01-26,13.12,13.17,13.05,13.17,4400,12.557175
2016-01-25,13.14,13.14,13.14,13.14,000,12.528571
2016-01-22,12.99,13.42,12.99,13.14,3800,12.528571
2016-01-21,12.90,12.90,12.90,12.90,300,12.299738
2016-01-20,12.95,12.95,12.95,12.95,000,12.347412
2016-01-19,13.30,13.30,12.80,12.95,1900,12.347412
2016-01-15,13.06,13.06,13.00,13.06,1200,12.452294
2016-01-14,13.08,13.19,13.08,13.19,400,12.576244
2016-01-13,13.20,13.22,13.20,13.20,2200,12.585779
2016-01-12,13.30,13.30,13.20,13.20,6100,12.585779
2016-01-11,13.33,13.42,13.05,13.28,2400,12.662056
2016-01-08,14.20,14.25,13.35,13.35,3100,12.728799
2016-01-07,14.00,14.00,13.32,13.32,6600,12.700195
2016-01-06,14.20,14.20,13.81,13.81,1400,13.167395
2016-01-05,14.05,14.20,14.00,14.20,5500,13.539247
2016-01-04,14.75,14.75,14.03,14.16,8400,13.501108
2015-12-31,14.38,15.00,14.38,14.95,11700,14.254348
2015-12-30,14.24,14.40,14.24,14.40,3200,13.72994
2015-12-29,14.27,14.30,13.90,13.90,1500,13.253206
2015-12-28,13.72,13.72,13.72,13.72,000,13.081582
2015-12-24,13.72,13.72,13.72,13.72,000,13.081582
2015-12-23,13.90,13.90,13.72,13.72,1900,13.081582
2015-12-22,13.65,13.65,13.65,13.65,000,13.014839
2015-12-21,13.75,13.83,13.63,13.65,4300,13.014839
2015-12-18,14.00,14.00,14.00,14.00,600,13.348553
2015-12-17,14.30,14.30,13.90,13.90,1000,13.253206
2015-12-16,14.10,14.32,14.10,14.30,500,13.634594
2015-12-15,14.00,14.00,14.00,14.00,600,13.348553
2015-12-14,13.87,14.11,13.87,13.98,1600,13.329483
2015-12-11,13.61,13.63,13.60,13.60,600,12.967166
2015-12-10,14.00,14.00,13.60,13.60,1400,12.967166
2015-12-09,14.00,14.00,13.70,13.71,1400,13.072047
2015-12-08,13.90,13.94,13.90,13.94,1800,13.291345
2015-12-07,13.70,13.70,13.70,13.70,000,13.062513
2015-12-04,13.71,13.71,13.70,13.70,500,13.062513
2015-12-03,14.35,14.35,13.94,13.94,4200,13.291345
2015-12-02,13.67,13.85,13.67,13.80,3800,13.15786
2015-12-01,14.01,14.02,13.85,13.99,9900,13.339018
2015-11-30,14.00,14.00,13.66,13.86,2600,13.215067
2015-11-27,13.90,13.90,13.90,13.90,000,13.253206
2015-11-25,13.90,13.90,13.90,13.90,000,13.253206
2015-11-24,13.92,14.00,13.90,13.90,1900,13.253206
2015-11-23,13.61,14.00,13.60,14.00,1100,13.348553
2015-11-20,13.70,13.70,13.60,13.60,1800,12.967166
2015-11-19,14.00,14.00,13.84,13.90,400,13.253206
2015-11-18,14.00,14.00,13.80,13.96,2700,13.310414
2015-11-17,14.00,14.00,13.93,14.00,2100,13.348553
2015-11-16,13.77,14.00,13.74,13.85,8100,13.205533
2015-11-13,13.77,13.77,13.77,13.77,000,13.129256
2015-11-12,13.84,13.84,13.71,13.77,1700,13.129256
2015-11-11,13.85,13.85,13.84,13.84,1100,13.195998
2015-11-10,13.65,13.65,13.36,13.50,4500,12.871819
2015-11-09,13.80,13.80,13.35,13.45,9100,12.824146
2015-11-06,13.75,14.00,13.75,13.83,9500,13.186464
2015-11-05,13.74,14.00,13.33,13.80,11500,13.15786
2015-11-04,13.72,14.51,13.72,13.99,29500,13.100652
2015-11-03,12.90,14.40,12.82,13.63,62600,12.763537
2015-11-02,12.24,13.05,12.20,12.90,53300,12.079943
2015-10-30,11.45,11.45,11.42,11.45,11200,10.72212
2015-10-29,11.41,11.45,11.41,11.45,6100,10.72212
2015-10-28,11.11,11.45,11.08,11.45,6700,10.72212
2015-10-27,11.07,11.07,11.07,11.07,000,10.366277
2015-10-26,11.28,11.45,11.05,11.07,14300,10.366277
2015-10-23,11.36,11.36,11.27,11.30,600,10.581656
2015-10-22,10.75,11.25,10.75,11.23,10800,10.516106
