Date,Open,High,Low,Close,Volume,Adj Close
2016-08-04,2.58,2.65,2.58,2.60,408400,2.60
2016-08-03,2.51,2.61,2.46,2.61,520200,2.61
2016-08-02,2.59,2.62,2.41,2.51,904000,2.51
2016-08-01,2.57,2.61,2.52,2.58,793600,2.58
2016-07-29,2.64,2.68,2.56,2.56,5951900,2.56
2016-07-28,2.64,2.75,2.61,2.65,871700,2.65
2016-07-27,2.71,2.74,2.56,2.65,831200,2.65
2016-07-26,2.66,2.74,2.66,2.72,879900,2.72
2016-07-25,2.58,2.68,2.55,2.67,768600,2.67
2016-07-22,2.61,2.64,2.56,2.59,545100,2.59
2016-07-21,2.60,2.66,2.56,2.59,377500,2.59
2016-07-20,2.57,2.67,2.55,2.61,589200,2.61
2016-07-19,2.69,2.70,2.55,2.58,557600,2.58
2016-07-18,2.70,2.73,2.60,2.71,409200,2.71
2016-07-15,2.65,2.71,2.58,2.70,486600,2.70
2016-07-14,2.61,2.67,2.53,2.63,641100,2.63
2016-07-13,2.67,2.73,2.57,2.58,613800,2.58
2016-07-12,2.67,2.76,2.56,2.67,691500,2.67
2016-07-11,2.74,2.74,2.55,2.64,546400,2.64
2016-07-08,2.69,2.74,2.65,2.69,431800,2.69
2016-07-07,2.60,2.70,2.57,2.68,760700,2.68
2016-07-06,2.50,2.60,2.42,2.60,498400,2.60
2016-07-05,2.63,2.64,2.43,2.53,678500,2.53
2016-07-01,2.54,2.73,2.49,2.63,845500,2.63
2016-06-30,2.49,2.61,2.46,2.55,594800,2.55
2016-06-29,2.58,2.58,2.45,2.53,1099600,2.53
2016-06-28,2.41,2.60,2.41,2.50,982400,2.50
2016-06-27,2.50,2.57,2.35,2.40,1325800,2.40
2016-06-24,2.54,2.63,2.48,2.49,1953500,2.49
2016-06-23,2.82,2.88,2.73,2.76,1589700,2.76
2016-06-22,2.78,2.87,2.71,2.78,1747800,2.78
2016-06-21,2.70,2.80,2.66,2.79,2031900,2.79
2016-06-20,2.46,2.68,2.27,2.67,2048800,2.67
2016-06-17,2.25,2.59,2.23,2.47,11155500,2.47
2016-06-16,2.11,2.16,1.97,2.07,2168500,2.07
