Date,Open,High,Low,Close,Volume,Adj Close
2016-08-04,7.50,8.10,7.49,8.10,26000,8.10
2016-08-03,7.24,7.40,7.24,7.33,5900,7.33
2016-08-02,7.22,7.36,7.15,7.22,5500,7.22
2016-08-01,7.31,7.31,7.31,7.31,000,7.31
2016-07-29,7.31,7.31,7.31,7.31,600,7.31
2016-07-28,7.45,7.48,7.27,7.27,2700,7.27
2016-07-27,7.46,7.46,7.38,7.39,500,7.39
2016-07-26,7.40,7.40,7.19,7.35,3200,7.35
2016-07-25,7.35,7.42,7.35,7.41,1600,7.41
2016-07-22,7.20,7.50,7.20,7.49,4400,7.49
2016-07-21,7.47,7.49,7.45,7.46,6000,7.46
2016-07-20,7.25,7.50,7.23,7.48,5500,7.48
2016-07-19,7.20,7.34,7.20,7.34,4700,7.34
2016-07-18,7.15,7.25,7.15,7.20,8300,7.20
2016-07-15,7.22,7.25,7.14,7.17,4200,7.17
2016-07-14,7.13,7.13,7.13,7.13,500,7.13
2016-07-13,7.18,7.21,7.18,7.20,7600,7.20
2016-07-12,7.15,7.25,7.15,7.21,1500,7.21
2016-07-11,7.25,7.25,7.08,7.20,5700,7.20
2016-07-08,7.20,7.22,7.20,7.20,1400,7.20
2016-07-07,7.28,7.29,7.15,7.15,1600,7.15
2016-07-06,7.03,7.14,6.96,7.14,14700,7.14
2016-07-05,7.11,7.12,7.02,7.10,10400,7.10
2016-07-01,7.11,7.12,7.02,7.02,3300,7.02
2016-06-30,7.04,7.12,7.03,7.05,6600,7.05
2016-06-29,7.06,7.12,6.80,7.02,25500,7.02
2016-06-28,7.17,7.23,7.06,7.06,2500,7.06
2016-06-27,7.25,7.28,7.11,7.12,6700,7.12
2016-06-24,7.38,7.40,7.15,7.20,12500,7.20
2016-06-23,7.49,7.49,7.35,7.38,4800,7.38
2016-06-22,7.49,7.50,7.30,7.49,2900,7.49
2016-06-21,7.09,7.45,7.09,7.29,1300,7.29
2016-06-20,7.43,7.50,7.13,7.43,3000,7.43
2016-06-17,7.20,7.42,7.11,7.41,16400,7.41
2016-06-16,7.76,7.76,7.05,7.16,12600,7.16
2016-06-15,7.45,8.15,7.40,7.85,15300,7.85
2016-06-14,7.55,7.60,7.20,7.35,4500,7.35
2016-06-13,0.70,0.74,0.70,0.73,4600,7.30
2016-06-10,0.74,0.75,0.72,0.72,500,7.20
2016-06-09,0.71,0.74,0.70,0.70,3500,7.00
2016-06-08,0.74,0.75,0.71,0.73,13900,7.30
2016-06-07,0.70,0.74,0.70,0.74,2700,7.40
2016-06-06,0.70,0.73,0.70,0.70,7200,7.00
2016-06-03,0.68,0.70,0.68,0.70,1100,7.00
2016-06-02,0.71,0.71,0.68,0.68,1600,6.80
2016-06-01,0.71,0.71,0.69,0.70,2400,7.00
2016-05-31,0.70,0.71,0.69,0.70,300,7.00
2016-05-27,0.70,0.71,0.68,0.70,800,7.00
2016-05-26,0.67,0.70,0.67,0.70,400,7.00
2016-05-25,0.72,0.72,0.67,0.70,3600,7.00
2016-05-24,0.72,0.72,0.69,0.71,2300,7.10
2016-05-23,0.68,0.72,0.68,0.71,5000,7.10
2016-05-20,0.67,0.73,0.67,0.68,600,6.80
2016-05-19,0.71,0.73,0.66,0.70,8500,7.00
2016-05-18,0.69,0.74,0.69,0.73,22400,7.30
2016-05-17,0.75,0.75,0.69,0.70,1300,7.00
2016-05-16,0.71,0.73,0.71,0.71,2600,7.10
2016-05-13,0.75,0.75,0.70,0.72,3600,7.20
2016-05-12,0.73,0.79,0.71,0.73,15400,7.30
2016-05-11,0.70,0.72,0.68,0.69,2900,6.90
2016-05-10,0.68,0.73,0.68,0.68,4100,6.80
2016-05-09,0.69,0.72,0.68,0.68,800,6.80
2016-05-06,0.70,0.73,0.69,0.69,1400,6.90
2016-05-05,0.75,0.75,0.69,0.69,600,6.90
2016-05-04,0.75,0.75,0.69,0.69,2000,6.90
2016-05-03,0.72,0.74,0.69,0.72,2900,7.20
2016-05-02,0.74,0.74,0.68,0.68,5500,6.80
2016-04-29,0.70,0.74,0.65,0.67,7100,6.70
2016-04-28,0.73,0.76,0.69,0.69,3600,6.90
2016-04-27,0.80,0.80,0.66,0.69,10000,6.90
2016-04-26,0.76,0.79,0.69,0.78,11500,7.80
2016-04-25,0.77,0.79,0.68,0.68,3700,6.80
2016-04-22,0.77,0.77,0.75,0.75,1600,7.50
2016-04-21,0.76,0.78,0.75,0.75,8500,7.50
2016-04-20,0.75,0.76,0.73,0.74,23500,7.40
2016-04-19,0.72,0.73,0.70,0.73,1700,7.30
2016-04-18,0.69,0.74,0.69,0.69,1900,6.90
2016-04-15,0.68,0.71,0.68,0.69,1800,6.90
2016-04-14,0.70,0.70,0.68,0.70,3400,7.00
2016-04-13,0.71,0.71,0.68,0.68,1000,6.80
2016-04-12,0.67,0.71,0.66,0.71,2600,7.10
2016-04-11,0.72,0.72,0.66,0.67,1500,6.70
2016-04-08,0.72,0.72,0.69,0.72,4100,7.20
2016-04-07,0.69,0.72,0.66,0.70,18600,7.00
2016-04-06,0.64,0.70,0.64,0.68,7400,6.80
2016-04-05,0.63,0.65,0.63
,0.63,100,6.30
2016-04-04,0.65,0.65,0.61,0.63,1300,6.30
2016-04-01,0.66,0.66,0.62,0.62,8400,6.20
2016-03-31,0.64,0.67,0.61,0.61,10200,6.10
2016-03-30,0.63,0.66,0.59,0.65,10400,6.50
2016-03-29,0.55,0.67,0.55,0.59,9300,5.90
2016-03-28,0.54,0.54,0.50,0.54,7500,5.40
2016-03-24,0.45,0.59,0.45,0.55,15300,5.50
2016-03-23,0.47,0.48,0.41,0.45,7600,4.50
2016-03-22,0.43,0.48,0.42,0.45,3700,4.50
2016-03-21,0.40,0.43,0.40,0.42,6400,4.20
2016-03-18,0.44,0.44,0.41,0.42,9600,4.20
2016-03-17,0.42,0.44,0.40,0.44,11700,4.40
2016-03-16,0.41,0.42,0.40,0.41,4600,4.10
2016-03-15,0.41,0.42,0.41,0.41,100,4.10
2016-03-14,0.41,0.42,0.40,0.41,3200,4.10
2016-03-11,0.39,0.44,0.39,0.42,6400,4.20
2016-03-10,0.40,0.44,0.40,0.41,3000,4.10
2016-03-09,0.42,0.45,0.38,0.39,17700,3.90
2016-03-08,0.38,0.45,0.38,0.41,5800,4.10
2016-03-07,0.42,0.45,0.38,0.41,21800,4.10
2016-03-04,0.41,0.45,0.40,0.40,3400,4.00
2016-03-03,0.40,0.41,0.39,0.39,16600,3.90
2016-03-02,0.41,0.42,0.39,0.40,1700,4.00
2016-03-01,0.40,0.43,0.39,0.42,2400,4.20
2016-02-29,0.40,0.40,0.37,0.37,7000,3.70
2016-02-26,0.40,0.43,0.33,0.41,12100,4.10
2016-02-25,0.42,0.42,0.37,0.40,6100,4.00
2016-02-24,0.42,0.43,0.37,0.42,1500,4.20
2016-02-23,0.40,0.40,0.37,0.40,2900,4.00
2016-02-22,0.45,0.45,0.39,0.39,4800,3.90
2016-02-19,0.40,0.45,0.40,0.43,2100,4.30
2016-02-18,0.43,0.45,0.39,0.39,4200,3.90
2016-02-17,0.43,0.43,0.40,0.42,700,4.20
2016-02-16,0.39,0.41,0.39,0.41,400,4.10
2016-02-12,0.41,0.43,0.41,0.42,4100,4.20
2016-02-11,0.40,0.41,0.39,0.39,3100,3.90
2016-02-10,0.41,0.42,0.40,0.41,8100,4.10
2016-02-09,0.40,0.41,0.37,0.40,8500,4.00
2016-02-08,0.39,0.41,0.39,0.39,5200,3.90
2016-02-05,0.40,0.44,0.40,0.42,4300,4.20
2016-02-04,0.41,0.43,0.40,0.41,4000,4.10
2016-02-03,0.46,0.46,0.40,0.40,1000,4.00
2016-02-02,0.46,0.50,0.41,0.45,10600,4.50
2016-02-01,0.40,0.50,0.39,0.43,6300,4.30
2016-01-29,0.39,0.43,0.38,0.39,8800,3.90
2016-01-28,0.38,0.40,0.37,0.40,3300,4.00
2016-01-27,0.37,0.38,0.36,0.38,1300,3.80
2016-01-26,0.38,0.38,0.35,0.36,10900,3.60
2016-01-25,0.39,0.40,0.37,0.37,5400,3.70
2016-01-22,0.38,0.39,0.36,0.39,900,3.90
2016-01-21,0.35,0.39,0.35,0.39,2500,3.90
2016-01-20,0.40,0.40,0.35,0.35,19600,3.50
2016-01-19,0.35,0.39,0.33,0.37,25500,3.70
2016-01-15,0.37,0.37,0.30,0.34,19200,3.40
2016-01-14,0.35,0.39,0.31,0.37,30700,3.70
2016-01-13,0.46,0.46,0.30,0.36,37600,3.60
2016-01-12,0.48,0.50,0.44,0.47,8600,4.70
2016-01-11,0.50,0.50,0.45,0.47,6600,4.70
2016-01-08,0.50,0.51,0.46,0.49,11500,4.90
2016-01-07,0.49,0.52,0.45,0.49,9100,4.90
2016-01-06,0.50,0.54,0.48,0.49,6000,4.90
2016-01-05,0.55,0.57,0.48,0.49,5500,4.90
2016-01-04,0.54,0.57,0.51,0.53,24300,5.30
2015-12-31,0.50,0.57,0.47,0.53,44100,5.30
2015-12-30,0.47,0.50,0.47,0.49,11900,4.90
2015-12-29,0.50,0.50,0.40,0.46,32600,4.60
2015-12-28,0.49,0.53,0.47,0.48,15000,4.80
2015-12-24,0.55,0.55,0.50,0.53,200200,5.30
2015-12-23,0.55,0.55,0.54,0.55,2300,5.50
2015-12-22,0.58,0.58,0.53,0.54,3300,5.40
2015-12-21,0.56,0.58,0.56,0.57,300,5.70
2015-12-18,0.55,0.60,0.52,0.59,5500,5.90
2015-12-17,0.59,0.60,0.55,0.56,3900,5.60
