Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,3.46,3.59,3.46,3.51,19100,3.51
2016-08-04,3.49,3.52,3.41,3.47,39900,3.47
2016-08-03,3.53,3.55,3.50,3.52,10000,3.52
2016-08-02,3.54,3.63,3.49,3.49,27700,3.49
2016-08-01,3.50,3.58,3.50,3.55,12800,3.55
2016-07-29,3.57,3.58,3.50,3.51,13000,3.51
2016-07-28,3.72,3.72,3.51,3.55,18400,3.55
2016-07-27,3.67,3.76,3.64,3.67,3700,3.67
2016-07-26,3.68,3.83,3.65,3.67,104800,3.67
2016-07-25,3.74,3.74,3.63,3.69,6400,3.69
2016-07-22,3.69,3.74,3.64,3.68,16400,3.68
2016-07-21,3.67,3.72,3.66,3.70,17700,3.70
2016-07-20,3.60,3.68,3.60,3.64,19100,3.64
2016-07-19,3.67,3.69,3.59,3.65,11100,3.65
2016-07-18,3.70,3.71,3.68,3.70,6400,3.70
2016-07-15,3.72,3.74,3.55,3.69,47200,3.69
2016-07-14,3.60,3.74,3.60,3.67,61200,3.67
2016-07-13,3.45,3.58,3.45,3.57,33900,3.57
2016-07-12,3.55,3.56,3.45,3.48,67000,3.48
2016-07-11,3.40,3.64,3.40,3.49,91200,3.49
2016-07-08,3.32,3.40,3.32,3.35,28400,3.35
2016-07-07,3.21,3.28,3.21,3.23,36900,3.23
2016-07-06,3.20,3.36,3.19,3.21,41500,3.21
2016-07-05,3.17,3.19,3.16,3.18,50600,3.18
2016-07-01,3.26,3.31,3.19,3.20,94400,3.20
2016-06-30,3.27,3.27,3.18,3.23,41000,3.23
2016-06-29,3.22,3.26,3.17,3.23,111600,3.23
2016-06-28,3.29,3.32,3.10,3.15,125300,3.15
2016-06-27,3.33,3.33,3.16,3.21,50800,3.21
2016-06-24,3.47,3.51,3.35,3.35,53300,3.35
2016-06-23,3.52,3.56,3.46,3.48,26100,3.48
2016-06-22,3.59,3.59,3.42,3.47,14200,3.47
2016-06-21,3.60,3.60,3.51,3.51,59600,3.51
2016-06-20,3.66,3.66,3.54,3.56,22100,3.56
2016-06-17,3.59,3.67,3.57,3.57,27300,3.57
2016-06-16,3.60,3.65,3.52,3.59,28700,3.59
2016-06-15,3.73,3.73,3.63,3.67,14700,3.67
2016-06-14,3.78,3.78,3.60,3.70,26100,3.70
2016-06-13,4.02,4.02,3.82,3.82,14500,3.82
2016-06-10,4.04,4.10,4.02,4.02,8700,4.02
2016-06-09,4.06,4.14,4.06,4.12,9200,4.12
2016-06-08,4.09,4.17,4.07,4.09,19700,4.09
2016-06-07,4.10,4.14,4.05,4.05,31100,4.05
2016-06-06,4.03,4.14,4.03,4.04,20100,4.04
2016-06-03,4.13,4.23,4.06,4.07,15400,4.07
2016-06-02,4.03,4.24,4.03,4.17,23100,4.17
2016-06-01,3.98,4.06,3.97,4.06,10100,4.06
2016-05-31,3.93,4.10,3.93,3.96,21100,3.96
2016-05-27,3.80,4.00,3.80,3.93,25800,3.93
2016-05-26,3.75,3.90,3.69,3.88,21000,3.88
2016-05-25,3.81,3.85,3.67,3.78,47400,3.78
2016-05-24,3.90,4.04,3.65,3.83,56700,3.83
2016-05-23,3.98,3.98,3.85,3.85,18600,3.85
2016-05-20,3.95,4.04,3.92,3.97,17800,3.97
2016-05-19,4.00,4.03,3.92,3.93,8600,3.93
2016-05-18,4.02,4.17,4.02,4.05,14000,4.05
2016-05-17,3.95,4.15,3.95,4.07,9100,4.07
2016-05-16,3.92,4.00,3.91,3.99,8100,3.99
2016-05-13,3.83,3.94,3.81,3.86,12100,3.86
2016-05-12,3.81,3.92,3.81,3.89,17800,3.89
2016-05-11,3.97,3.99,3.90,3.90,42400,3.90
2016-05-10,4.16,4.17,3.97,4.02,16900,4.02
2016-05-09,3.99,4.05,3.94,3.95,15900,3.95
2016-05-06,4.11,4.14,4.01,4.03,30800,4.03
2016-05-05,4.27,4.27,4.11,4.14,16800,4.14
2016-05-04,4.18,4.25,4.15,4.23,39800,4.23
2016-05-03,4.35,4.37,4.15,4.23,34000,4.23
2016-05-0
2,4.42,4.42,4.35,4.39,10900,4.39
2016-04-29,4.40,4.50,4.35,4.36,48400,4.36
2016-04-28,4.43,4.45,4.40,4.40,60000,4.40
2016-04-27,4.40,4.55,4.40,4.46,23600,4.46
2016-04-26,4.30,4.39,4.25,4.36,12200,4.36
2016-04-25,4.33,4.34,4.28,4.32,43300,4.32
2016-04-22,4.50,4.50,4.30,4.39,29700,4.39
2016-04-21,4.50,4.54,4.47,4.48,6800,4.48
2016-04-20,4.50,4.60,4.39,4.54,14000,4.54
2016-04-19,4.56,4.60,4.41,4.44,17200,4.44
2016-04-18,4.55,4.60,4.46,4.54,27200,4.54
2016-04-15,4.56,4.59,4.44,4.59,23600,4.59
2016-04-14,4.60,4.60,4.53,4.60,4300,4.60
2016-04-13,4.46,4.66,4.46,4.59,29600,4.59
2016-04-12,4.43,4.43,4.34,4.39,14300,4.39
2016-04-11,4.29,4.38,4.25,4.34,19300,4.34
2016-04-08,4.36,4.39,4.28,4.31,12800,4.31
2016-04-07,4.39,4.45,4.24,4.30,12700,4.30
2016-04-06,4.51,4.51,4.34,4.37,19800,4.37
2016-04-05,4.41,4.41,4.29,4.35,26300,4.35
2016-04-04,4.60,4.60,4.46,4.47,17900,4.47
2016-04-01,4.66,4.77,4.53,4.60,12900,4.60
2016-03-31,4.60,4.69,4.42,4.64,48000,4.64
2016-03-30,4.55,4.75,4.39,4.56,75000,4.56
