Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,8.60,8.60,8.47,8.59,105700,8.59
2016-08-04,8.47,8.55,8.42,8.53,259200,8.53
2016-08-03,8.43,8.51,8.30,8.46,116900,8.46
2016-08-02,8.46,8.50,8.40,8.45,232500,8.45
2016-08-01,8.44,8.53,8.39,8.39,91300,8.39
2016-07-29,8.38,8.56,8.32,8.48,465100,8.48
2016-07-28,8.53,8.53,8.26,8.37,445500,8.37
2016-07-27,8.38,8.44,8.28,8.40,493300,8.40
2016-07-26,8.40,8.43,8.16,8.38,312200,8.38
2016-07-25,8.44,8.44,8.29,8.31,48800,8.31
2016-07-22,8.30,8.47,8.30,8.36,203400,8.36
2016-07-21,8.24,8.39,8.24,8.34,223400,8.34
2016-07-20,8.39,8.46,8.25,8.38,572000,8.38
2016-07-19,8.28,8.40,8.27,8.31,550200,8.31
2016-07-18,8.10,8.37,8.10,8.31,424100,8.31
2016-07-15,8.03,8.23,7.91,8.06,1840100,8.06
2016-07-14,8.26,8.38,8.13,8.26,275500,8.26
2016-07-13,8.30,8.33,7.78,8.24,250000,8.24
2016-07-12,8.36,8.45,8.23,8.33,57500,8.33
2016-07-11,8.60,8.60,8.26,8.31,104000,8.31
2016-07-08,8.68,8.69,8.58,8.69,47700,8.69
2016-07-07,8.69,8.69,8.56,8.59,33700,8.59
2016-07-06,8.52,8.64,8.52,8.62,45200,8.62
2016-07-05,8.65,8.75,8.43,8.43,44800,8.43
2016-07-01,8.68,8.83,8.61,8.76,43700,8.76
2016-06-30,8.63,8.95,8.56,8.95,86600,8.95
2016-06-29,8.65,8.69,8.57,8.67,46400,8.67
2016-06-28,8.28,8.78,8.28,8.78,65900,8.78
2016-06-27,8.20,8.31,8.04,8.04,20500,8.04
2016-06-24,8.33,8.39,7.99,7.99,65900,7.99
2016-06-23,8.55,8.69,8.50,8.62,34500,8.62
2016-06-22,8.48,8.52,8.40,8.46,35000,8.46
2016-06-21,8.26,8.48,8.22,8.41,28700,8.41
2016-06-20,8.31,8.41,8.25,8.26,22200,8.26
2016-06-17,8.16,8.28,8.14,8.26,41900,8.26
2016-06-16,8.18,8.40,8.11,8.40,46600,8.40
2016-06-15,8.25,8.31,8.09,8.30,30800,8.30
2016-06-14,8.16,8.26,8.11,8.16,29600,8.16
2016-06-13,7.94,8.27,7.89,8.19,43600,8.19
2016-06-10,8.08,8.08,7.93,7.93,22800,7.93
2016-06-09,8.39,8.40,8.15,8.16,45100,8.16
2016-06-08,8.47,8.52,8.37,8.43,63100,8.43
2016-06-07,8.37,8.42,8.24,8.42,43000,8.42
2016-06-06,8.05,8.31,8.05,8.27,90700,8.27
2016-06-03,7.88,8.28,7.78,8.22,83600,8.22
2016-06-02,7.94,8.05,7.76,7.76,84400,7.76
2016-06-01,8.00,8.01,7.81,7.97,49800,7.97
2016-05-31,8.08,8.16,7.90,7.90,71400,7.90
2016-05-27,7.99,8.13,7.92,8.02,35800,8.02
2016-05-26,7.80,8.05,7.80,7.98,65900,7.98
2016-05-25,7.94,7.94,7.61,7.64,50100,7.64
2016-05-24,7.71,7.82,7.67,7.68,46300,7.68
2016-05-23,7.62,7.65,7.55,7.65,30600,7.65
2016-05-20,7.63,7.70,7.55,7.60,41900,7.60
2016-05-19,7.64,7.71,7.45,7.57,46400,7.57
2016-05-18,7.56,7.74,7.51,7.66,85500,7.66
2016-05-17,7.48,7.65,7.43,7.64,41500,7.64
2016-05-16,7.67,7.76,7.51,7.51,66500,7.51
2016-05-13,7.72,7.73,7.50,7.52,77700,7.52
2016-05-12,7.74,7.87,7.63,7.79,23900,7.79
2016-05-11,7.63,7.75,7.60,7.75,71900,7.75
2016-05-10,7.72,7.75,7.57,7.68,85600,7.68
2016-05-09,8.15,8.30,7.52,7.58,563000,7.58
2016-05-06,7.95,8.26,7.95,8.16,121900,7.89
2016-05-05,7.93,8.15,7.86,7.86,72700,7.599926
2016-05-04,7.77,7.85,7.73,7.80,63500,7.541912
2016-05-03,7.75,7.83,7.71,7.
74,100400,7.483897
2016-05-02,8.10,8.14,7.75,7.82,92700,7.56125
2016-04-29,8.59,8.61,8.03,8.22,127400,7.948015
2016-04-28,8.42,8.59,8.40,8.49,31700,8.20908
2016-04-27,8.34,8.52,8.23,8.50,90900,8.21875
2016-04-26,8.33,8.54,8.16,8.35,92800,8.073713
2016-04-25,8.47,8.47,8.25,8.25,27400,7.977022
2016-04-22,8.64,8.65,8.42,8.45,72400,8.170404
2016-04-21,8.54,8.66,8.46,8.52,215900,8.238088
2016-04-20,8.67,8.67,8.55,8.62,240500,8.334779
2016-04-19,8.58,8.70,8.55,8.70,588400,8.412132
2016-04-18,8.22,8.57,8.19,8.48,277200,8.199411
2016-04-15,8.30,8.37,8.19,8.31,172800,8.035037
2016-04-14,7.91,8.38,7.86,8.25,562500,7.977022
2016-04-13,7.67,8.01,7.59,8.01,221800,7.744963
2016-04-12,7.53,7.65,7.45,7.62,236800,7.367867
2016-04-11,7.70,7.70,7.51,7.54,143200,7.290514
2016-04-08,7.43,7.65,7.32,7.65,43200,7.396875
2016-04-07,7.46,7.46,7.33,7.33,18600,7.087463
2016-04-06,7.49,7.60,7.44,7.59,24900,7.33886
2016-04-05,7.59,7.62,7.50,7.57,13400,7.319522
2016-04-04,7.76,7.80,7.60,7.68,39200,7.425882
2016-04-01,7.61,7.92,7.55,7.73,36500,7.474228
2016-03-31,7.41,7.88,7.41,7.68,124200,7.425882
2016-03-30,7.50,7.66,7.38,7.52,57200,7.271176
2016-03-29,7.54,7.54,7.20,7.45,31400,7.203492
2016-03-28,7.36,7.85,7.36,7.85,33700,7.590257
2016-03-24,7.38,7.49,7.23,7.38,30700,7.135809
2016-03-23,7.42,7.50,7.20,7.43,48800,7.184154
2016-03-22,7.54,7.61,7.37,7.41,48700,7.164816
2016-03-21,7.51,7.65,7.49,7.54,90200,7.290514
2016-03-18,7.57,7.77,7.40,7.40,55700,7.155147
2016-03-17,7.32,7.66,7.32,7.49,57100,7.242169
2016-03-16,7.15,7.31,7.12,7.30,66100,7.058456
2016-03-15,7.13,7.22,7.13,7.15,35300,6.913419
2016-03-14,7.17,7.29,7.14,7.18,12900,6.942426
2016-03-11,7.30,7.30,7.20,7.20,22100,6.961764
2016-03-10,7.17,7.40,7.12,7.32,30000,7.077794
2016-03-09,6.98,7.12,6.92,7.11,28800,6.874743
2016-03-08,6.96,7.06,6.83,6.86,23700,6.633015
2016-03-07,7.05,7.12,6.95,7.08,18600,6.845735
2016-03-04,6.97,7.27,6.97,7.14,101900,6.90375
2016-03-03,6.53,6.86,6.53,6.84,31700,6.613676
2016-03-02,6.65,6.65,6.52,6.65,60500,6.429963
2016-03-01,6.54,6.90,6.46,6.90,42600,6.671691
2016-02-29,6.55,6.62,6.49,6.57,20100,6.35261
2016-02-26,6.56,6.61,6.40,6.40,33200,6.188235
2016-02-25,6.48,6.58,6.43,6.47,34700,6.255919
2016-02-24,6.49,6.53,6.37,6.53,27600,6.313934
2016-02-23,6.56,6.67,6.51,6.66,54100,6.439632
2016-02-22,6.61,6.72,6.61,6.67,26300,6.449301
2016-02-19,6.43,6.76,6.43,6.64,27400,6.420294
2016-02-18,6.48,6.48,6.37,6.42,15300,6.207573
2016-02-17,6.31,6.61,6.31,6.53,77500,6.313934
2016-02-16,6.49,6.51,6.21,6.25,29000,6.043198
2016-02-12,5.92,6.75,5.92,6.75,80300,6.526654
2016-02-11,5.97,6.16,5.75,5.75,59900,5.559742
2016-02-10,6.17,6.22,6.00,6.00,34200,5.80147
2016-02-09,6.31,6.34,6.02,6.09,51000,5.888493
2016-02-08,6.17,6.48,6.09,6.48,20500,6.265588
2016-02-05,6.28,6.34,6.20,6.33,66900,6.120551
2016-02-04,6.15,6.39,6.15,6.39,36300,6.178566
2016-02-03,6.14,6.23,5.97,6.23,241400,6.02386
2016-02-02,6.17,6.17,5.97,6.04,7
7400,5.840147
2016-02-01,6.11,6.34,6.09,6.34,54100,6.130221
2016-01-29,6.03,6.30,6.00,6.30,55000,6.091544
2016-01-28,5.98,6.08,5.93,5.98,14200,5.782132
2016-01-27,5.80,6.05,5.80,6.02,57900,5.820809
2016-01-26,5.75,5.96,5.61,5.90,71100,5.704779
2016-01-25,5.78,5.91,5.53,5.56,53700,5.376029
2016-01-22,5.70,5.93,5.70,5.92,41400,5.724118
2016-01-21,5.50,5.79,5.43,5.57,56100,5.385699
2016-01-20,5.51,5.72,5.46,5.58,29300,5.395367
2016-01-19,5.69,5.69,5.55,5.59,38100,5.405037
2016-01-15,5.59,5.69,5.55,5.67,53500,5.48239
2016-01-14,5.58,5.83,5.56,5.73,28500,5.540404
2016-01-13,5.62,5.67,5.56,5.58,22400,5.395367
2016-01-12,5.50,5.69,5.45,5.54,39400,5.356691
2016-01-11,5.80,5.80,5.45,5.45,42100,5.269669
2016-01-08,5.44,5.70,5.36,5.57,74300,5.385699
2016-01-07,5.61,5.61,5.30,5.30,65900,5.124632
2016-01-06,6.03,6.06,5.72,5.85,63900,5.656434
2016-01-05,5.86,6.15,5.83,6.12,34300,5.9175
2016-01-04,5.95,5.97,5.70,5.70,74400,5.511397
2015-12-31,5.73,6.18,5.73,6.18,69300,5.975514
2015-12-30,6.05,6.20,5.71,5.71,41500,5.521066
2015-12-29,6.06,6.14,6.02,6.05,58200,5.849816
2015-12-28,6.10,6.10,6.00,6.05,62000,5.849816
2015-12-24,6.13,6.24,5.93,6.24,43600,6.033529
2015-12-23,6.07,6.23,6.06,6.23,31700,6.02386
2015-12-22,6.05,6.14,5.97,6.07,43800,5.869154
2015-12-21,6.16,6.18,5.90,6.02,70800,5.820809
2015-12-18,6.00,6.18,6.00,6.10,48300,5.898161
2015-12-17,5.99,6.15,5.99,6.15,22600,5.946507
2015-12-16,5.98,6.12,5.97,6.08,62100,5.878823
2015-12-15,5.99,5.99,5.92,5.98,44500,5.782132
2015-12-14,5.93,6.08,5.81,5.83,41000,5.637095
2015-12-11,6.02,6.18,5.92,5.93,77000,5.733786
2015-12-10,6.06,6.23,6.02,6.02,30300,5.820809
2015-12-09,6.07,6.15,5.99,6.08,41700,5.878823
2015-12-08,5.93,6.09,5.93,6.07,36200,5.869154
2015-12-07,6.24,6.29,6.14,6.19,97900,5.985184
2015-12-04,6.25,6.35,6.11,6.20,52600,5.994853
2015-12-03,6.25,6.32,6.23,6.28,57300,6.072206
2015-12-02,6.34,6.38,6.20,6.32,101900,6.110882
2015-12-01,6.39,6.43,6.24,6.39,335400,6.178566
2015-11-30,6.37,6.59,6.24,6.35,79600,6.139889
2015-11-27,6.50,6.55,6.37,6.40,12100,6.188235
2015-11-25,6.54,6.55,6.45,6.48,310800,6.265588
2015-11-24,6.56,6.63,6.45,6.54,256600,6.323603
2015-11-23,6.89,6.89,6.62,6.74,79400,6.451235
