Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,7.01,7.09,6.99,7.07,674600,7.07
2016-08-04,6.97,7.03,6.93,6.98,845800,6.98
2016-08-03,6.86,6.99,6.85,6.95,741300,6.95
2016-08-02,6.89,6.92,6.77,6.81,1451700,6.81
2016-08-01,7.12,7.13,6.99,7.01,953500,7.01
2016-07-29,7.19,7.21,7.04,7.13,1135900,7.13
2016-07-28,7.27,7.32,7.15,7.19,2309600,7.19
2016-07-27,7.16,7.22,7.10,7.16,1818100,7.16
2016-07-26,7.10,7.17,6.96,6.99,4564200,6.99
2016-07-25,6.53,6.58,6.49,6.52,3406000,6.52
2016-07-22,6.82,6.83,6.71,6.72,2738200,6.72
2016-07-21,6.87,6.95,6.85,6.89,1155200,6.89
2016-07-20,6.78,6.88,6.72,6.83,1102300,6.83
2016-07-19,6.75,6.81,6.72,6.75,878600,6.75
2016-07-18,6.79,6.90,6.74,6.87,840600,6.87
2016-07-15,6.90,6.95,6.89,6.92,644700,6.92
2016-07-14,6.85,6.92,6.82,6.90,2174500,6.90
2016-07-13,6.87,6.90,6.75,6.79,2863200,6.79
2016-07-12,6.72,6.83,6.71,6.78,3902900,6.78
2016-07-11,6.52,6.63,6.52,6.58,3256700,6.58
2016-07-08,6.44,6.50,6.38,6.47,3357000,6.47
2016-07-07,6.30,6.45,6.26,6.36,6466600,6.36
2016-07-06,6.61,6.67,6.47,6.65,3196700,6.65
2016-07-05,7.11,7.13,6.71,6.76,2136800,6.76
2016-07-01,7.22,7.28,7.19,7.23,916900,7.23
2016-06-30,7.14,7.21,7.06,7.15,3135500,7.15
2016-06-29,7.10,7.13,7.00,7.09,1289900,7.09
2016-06-28,7.16,7.18,6.94,7.05,2240700,7.05
2016-06-27,6.95,6.97,6.74,6.80,1803700,6.80
2016-06-24,6.97,7.14,6.96,7.00,2803200,7.00
2016-06-23,7.77,7.80,7.65,7.73,2128600,7.73
2016-06-22,7.52,7.54,7.39,7.39,1027700,7.39
2016-06-21,7.51,7.54,7.40,7.46,1828900,7.46
2016-06-20,7.74,7.75,7.47,7.48,4149500,7.48
2016-06-17,7.28,7.48,7.26,7.45,2362300,7.45
2016-06-16,6.99,7.09,6.84,7.07,3640000,7.07
2016-06-15,7.18,7.30,7.17,7.20,1538000,7.20
2016-06-14,7.12,7.18,7.00,7.08,1868300,7.08
2016-06-13,7.28,7.46,7.26,7.26,1297400,7.26
2016-06-10,7.51,7.52,7.30,7.34,1866800,7.34
2016-06-09,7.65,7.77,7.64,7.72,1856300,7.72
2016-06-08,7.84,7.91,7.79,7.89,1213000,7.89
2016-06-07,7.79,7.84,7.77,7.77,1862700,7.77
2016-06-06,7.60,7.91,7.60,7.86,6004200,7.86
2016-06-03,7.34,7.48,7.32,7.45,3030300,7.45
2016-06-02,7.07,7.12,7.05,7.11,931600,7.11
2016-06-01,7.00,7.06,6.97,7.06,886200,7.06
2016-05-31,7.13,7.20,7.02,7.07,1276000,7.07
2016-05-27,7.05,7.05,6.98,7.02,975700,7.02
2016-05-26,7.16,7.17,7.08,7.14,2378500,7.14
2016-05-25,6.95,7.07,6.92,7.00,2779300,7.00
2016-05-24,6.78,6.91,6.78,6.91,1181800,6.91
2016-05-23,6.62,6.76,6.61,6.72,1432400,6.72
2016-05-20,6.84,6.86,6.66,6.67,2097000,6.67
2016-05-19,6.77,6.81,6.70,6.73,1814800,6.73
2016-05-18,6.75,6.89,6.75,6.78,1930900,6.78
2016-05-17,6.88,6.91,6.79,6.80,2039100,6.80
2016-05-16,6.92,7.04,6.92,6.98,1212000,6.98
2016-05-13,7.06,7.11,6.99,7.02,2367500,7.02
2016-05-12,7.16,7.18,7.04,7.10,3624500,7.10
2016-05-1
1,7.09,7.24,7.06,7.14,3988200,7.14
2016-05-10,6.92,7.25,6.89,7.17,4010800,7.17
2016-05-09,6.92,6.92,6.82,6.88,1712800,6.88
2016-05-06,7.00,7.12,6.96,7.09,1891000,7.09
2016-05-05,7.29,7.30,7.15,7.17,1538400,7.17
2016-05-04,7.30,7.42,7.22,7.26,1818200,7.26
2016-05-03,7.35,7.38,7.25,7.31,2284600,7.31
2016-05-02,7.89,7.89,7.69,7.71,3035300,7.71
2016-04-29,7.40,7.81,7.40,7.74,2498200,7.74
2016-04-28,7.34,7.56,7.31,7.45,2089100,7.45
2016-04-27,7.37,7.52,7.37,7.47,3521500,7.47
2016-04-26,7.34,7.37,7.27,7.36,2319200,7.36
2016-04-25,7.19,7.23,7.12,7.18,722500,7.18
2016-04-22,7.31,7.44,7.28,7.41,2084900,7.264
2016-04-21,7.46,7.50,7.40,7.45,954000,7.303212
2016-04-20,7.35,7.54,7.35,7.45,1721900,7.303212
2016-04-19,7.10,7.30,7.07,7.29,3427600,7.146364
2016-04-18,6.78,6.89,6.74,6.81,1662000,6.675822
2016-04-15,6.50,6.56,6.46,6.51,1522400,6.381733
2016-04-14,6.48,6.55,6.45,6.51,973300,6.381733
2016-04-13,6.49,6.57,6.45,6.57,2020700,6.440551
2016-04-12,6.25,6.37,6.17,6.36,1240800,6.234688
2016-04-11,6.41,6.48,6.39,6.39,1168900,6.264097
2016-04-08,6.21,6.35,6.21,6.26,1170000,6.136659
2016-04-07,6.11,6.16,6.03,6.07,1838000,5.950402
2016-04-06,6.18,6.27,6.11,6.27,2541200,6.146462
2016-04-05,6.39,6.43,6.31,6.33,996200,6.205279
2016-04-04,6.50,6.51,6.45,6.47,552000,6.342521
2016-04-01,6.56,6.61,6.49,6.60,1852700,6.46996
2016-03-31,6.91,6.94,6.69,6.76,1823200,6.626807
2016-03-30,6.97,7.10,6.93,6.94,1114500,6.803261
2016-03-29,6.71,6.86,6.68,6.84,935100,6.705231
2016-03-28,6.78,6.83,6.75,6.79,517600,6.656216
2016-03-24,6.67,6.80,6.64,6.78,663200,6.646413
2016-03-23,7.03,7.04,6.80,6.81,2014500,6.675822
2016-03-22,6.85,7.02,6.84,6.96,860500,6.822867
2016-03-21,6.97,6.99,6.92,6.96,714100,6.822867
2016-03-18,6.85,6.95,6.83,6.93,1064500,6.793457
2016-03-17,6.80,6.96,6.78,6.93,2381800,6.793457
2016-03-16,6.74,6.90,6.74,6.89,1384800,6.754246
2016-03-15,6.96,6.96,6.82,6.90,1044500,6.764049
2016-03-14,6.97,7.11,6.93,7.06,1110200,6.920896
2016-03-11,6.93,7.01,6.89,6.97,737000,6.832669
2016-03-10,6.78,6.87,6.64,6.71,1033000,6.577792
2016-03-09,6.80,6.87,6.71,6.79,607800,6.656216
2016-03-08,6.98,7.01,6.77,6.78,1042800,6.646413
2016-03-07,6.79,7.03,6.78,7.02,1161400,6.881684
2016-03-04,6.84,7.01,6.81,6.95,1200500,6.813063
2016-03-03,6.58,6.80,6.56,6.78,1087000,6.646413
2016-03-02,6.51,6.59,6.47,6.58,1440600,6.450354
2016-03-01,6.65,6.71,6.55,6.69,828200,6.558186
2016-02-29,6.62,6.70,6.54,6.63,762300,6.499369
2016-02-26,6.54,6.57,6.47,6.51,954100,6.381733
2016-02-25,6.44,6.49,6.36,6.46,893700,6.332718
2016-02-24,6.23,6.28,6.10,6.26,1598800,6.136659
2016-02-23,6.48,6.51,6.36,6.38,437400,6.254294
2016-02-22,6.46,6.59,6.46,6.54,962700,6.411142
2016-02-19,6.31,6.34,6.24,6.30,1356700,6.175871
2016-02-18,6.55,6.56,6.43,6.45,1679500,6.322915
2016-02-17,6.48,6.70,6.46,6.67,1103800,6.53858
2016-02-16,6.46,6.49,6.28,6.42,1449300,6.293506
2016-02-12,6.15,6.31,6.09,6.31,1505800,6.185673
2016-02-11,6.01,6.05,5.84,5.92,2046300,5.803358
2016-02-10,6.12,6.39,6.07,6.28,2289400,6.1
56265
2016-02-09,6.00,6.10,5.91,5.97,1673000,5.852372
2016-02-08,6.30,6.31,6.16,6.25,2207100,6.126856
2016-02-05,6.48,6.63,6.48,6.56,2255400,6.430748
2016-02-04,5.95,6.28,5.94,6.27,5732400,6.146462
2016-02-03,6.13,6.21,5.94,6.18,1812600,6.058235
2016-02-02,6.29,6.30,6.12,6.15,2129300,6.028826
2016-02-01,6.33,6.53,6.27,6.51,2766700,6.381733
2016-01-29,6.18,6.27,6.12,6.26,2824300,6.136659
2016-01-28,6.21,6.22,6.01,6.13,1985100,6.00922
2016-01-27,6.09,6.21,6.07,6.11,2010200,5.989614
2016-01-26,5.94,6.16,5.92,6.12,2581500,5.999417
2016-01-25,5.96,5.96,5.76,5.76,3314000,5.64651
2016-01-22,6.22,6.25,6.01,6.05,4541000,5.930796
2016-01-21,5.88,6.08,5.84,6.04,1850800,5.920993
2016-01-20,5.82,5.91,5.67,5.88,2540500,5.764146
2016-01-19,5.91,5.97,5.86,5.94,1692000,5.822964
2016-01-15,5.97,5.99,5.88,5.96,3203800,5.84257
2016-01-14,6.22,6.31,6.13,6.29,1577600,6.166068
2016-01-13,6.38,6.41,6.14,6.18,1870900,6.058235
2016-01-12,6.39,6.40,6.24,6.30,1045900,6.175871
2016-01-11,6.40,6.42,6.25,6.29,1591300,6.166068
2016-01-08,6.26,6.29,6.20,6.21,1642700,6.087644
2016-01-07,6.29,6.38,6.26,6.30,1436800,6.175871
2016-01-06,6.44,6.50,6.38,6.43,1117100,6.303309
2016-01-05,6.51,6.59,6.49,6.56,981300,6.430748
2016-01-04,6.59,6.62,6.45,6.60,2800200,6.46996
2015-12-31,6.89,6.92,6.83,6.84,423700,6.705231
2015-12-30,6.94,7.02,6.91,6.94,741600,6.803261
2015-12-29,6.98,7.08,6.97,7.01,978500,6.871882
2015-12-28,7.13,7.15,7.01,7.07,745000,6.930699
2015-12-24,7.10,7.20,7.10,7.16,505700,7.018926
2015-12-23,7.00,7.16,7.00,7.16,1817000,7.018926
2015-12-22,6.76,6.93,6.75,6.89,1656100,6.754246
2015-12-21,6.82,6.85,6.74,6.78,1002100,6.646413
2015-12-18,6.86,6.86,6.74,6.74,1070700,6.607201
2015-12-17,7.10,7.13,6.88,6.92,1058800,6.783655
2015-12-16,7.01,7.10,6.96,7.08,1527200,6.940502
2015-12-15,7.13,7.14,6.94,7.01,2171800,6.871882
2015-12-14,7.15,7.18,7.08,7.16,1487700,7.018926
2015-12-11,7.09,7.17,7.03,7.06,2110900,6.920896
2015-12-10,7.16,7.17,7.05,7.08,822600,6.940502
