Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,1.14,1.28,1.07,1.16,245600,1.16
2016-08-04,1.10,1.30,1.03,1.13,318800,1.13
2016-08-03,1.10,1.13,1.05,1.11,55100,1.11
2016-08-02,1.13,1.19,1.06,1.10,85400,1.10
2016-08-01,1.11,1.20,1.07,1.13,218400,1.13
2016-07-29,1.14,1.18,1.11,1.11,81600,1.11
2016-07-28,1.20,1.20,1.06,1.15,131100,1.15
2016-07-27,1.15,1.22,1.15,1.20,106000,1.20
2016-07-26,1.16,1.25,1.14,1.15,89400,1.15
2016-07-25,1.19,1.40,1.16,1.16,664200,1.16
2016-07-22,1.16,1.33,1.10,1.14,347800,1.14
2016-07-21,1.19,1.45,1.12,1.14,585900,1.14
2016-07-20,1.25,1.27,1.13,1.15,225200,1.15
2016-07-19,1.29,1.53,1.20,1.30,978000,1.30
2016-07-18,1.29,1.40,1.11,1.24,543600,1.24
2016-07-15,1.54,1.54,1.35,1.46,245800,1.46
2016-07-14,1.58,1.60,1.43,1.55,758700,1.55
2016-07-13,1.02,3.31,1.02,1.80,5742800,1.80
2016-07-12,1.00,1.01,1.00,1.01,2400,1.01
2016-07-11,1.00,1.00,1.00,1.00,900,1.00
2016-07-08,1.01,1.01,0.98,0.98,1500,0.98
2016-07-07,1.00,1.01,0.98,1.01,7300,1.01
2016-07-06,1.00,1.00,1.00,1.00,1400,1.00
2016-07-05,0.98,1.01,0.98,1.01,2200,1.01
2016-07-01,0.97,0.97,0.97,0.97,2200,0.97
2016-06-30,0.98,0.99,0.98,0.98,1600,0.98
2016-06-29,1.00,1.00,0.97,0.97,1500,0.97
2016-06-28,0.99,1.00,0.99,1.00,1100,1.00
2016-06-27,0.98,0.98,0.98,0.98,000,0.98
2016-06-24,0.98,0.98,0.98,0.98,000,0.98
2016-06-23,0.98,0.98,0.98,0.98,4800,0.98
2016-06-22,0.99,0.99,0.99,0.99,300,0.99
2016-06-21,0.99,0.99,0.99,0.99,5000,0.99
2016-06-20,0.99,0.99,0.99,0.99,000,0.99
2016-06-17,0.99,0.99,0.99,0.99,000,0.99
2016-06-16,0.99,0.99,0.99,0.99,100,0.99
2016-06-15,0.96,0.97,0.96,0.96,6300,0.96
2016-06-14,1.00,1.00,0.98,0.98,1600,0.98
2016-06-13,0.98,1.00,0.98,1.00,1000,1.00
2016-06-10,1.00,1.04,1.00,1.01,3300,1.01
2016-06-09,1.00,1.01,1.00,1.00,2500,1.00
2016-06-08,0.96,1.06,0.96,0.96,40000,0.96
2016-06-07,0.95,0.95,0.95,0.95,000,0.95
2016-06-06,0.95,0.95,0.95,0.95,000,0.95
2016-06-03,0.95,0.95,0.95,0.95,000,0.95
2016-06-02,0.95,0.95,0.95,0.95,000,0.95
2016-06-01,0.95,0.95,0.95,0.95,000,0.95
2016-05-31,0.95,0.95,0.95,0.95,000,0.95
2016-05-27,0.95,0.95,0.95,0.95,000,0.95
2016-05-26,0.94,0.95,0.94,0.95,200,0.95
2016-05-25,0.92,0.92,0.92,0.92,000,0.92
2016-05-24,0.93,0.98,0.92,0.92,600,0.92
2016-05-23,1.01,1.03,1.00,1.03,5200,1.03
2016-05-20,0.90,1.02,0.90,1.02,5600,1.02
2016-05-19,0.90,0.90,0.90,0.90,000,0.90
2016-05-18,0.90,0.90,0.90,0.90,000,0.90
2016-05-17,0.90,0.90,0.90,0.90,200,0.90
2016-05-16,0.86,0.88,0.86,0.88,1900,0.88
2016-05-13,0.87,0.87,0.86,0.86,3600,0.86
2016-05-12,0.87,0.87,0.86,0.87,1100,0.87
2016-05-11,0.92,0.92,0.92,0.92,000,0.92
2016-05-10,0.86,0.92,0.86,0.92,2900,0.92
2016-05-09,0.88,0.88,0.88,0.88,000,0.88
2016-05-06,0.88,0.88,0.88,0.88,100,0.88
2016-05-05,0.91,0.91,0.91,0.91,200,0.91
2016-05-04,0.92,0.92,0.92,0.92,000,0.92
2016-05-03,0.92,0.94,0.89,0.92,1100,0.92
2016-05-02,0.88,0.91,0.88,0.91,3000,0.91
2016-04-29,0.90,0.90,0.90,0.90,1500,0.90
2016-04-28,1.00,1.00,0.88,0.90,16100,0.90
2016-04-27,0.97,1.04,0.97,1.00,5600,1.00
2016-04-26,0.98,1.05,0.97,1.00,16300,1.00
2016-04-25,0.90,0.95,0.90,0.95,900,0.95
2016-04-22,0.90,0.98,0.90,0.98,2700,0.98
2016-04-21,0.95,0.95,0.92,0.92,3000,0.92
2016-04-20,0.96,0.98,0.94,0.94,13600,0.94
2016-04-19,0.96,0.96,0.96,0.96,000,0.96
2016-04-18,0.91,0.96,0.91,0.96,1300,0.96
2016-04-15,0.91,0.93,0.91,0.93,900,0.93
2016-04-14,0.98,0.98,0.94,0.97,600,0.97
2016-04-13,0.96,0.96,0.96,0.96,5500,0.96
2016-04-12,0.92,0.96,0.92,0.96,1200,0.96
2016-04-11,0.97,0.97,0.94,0.94,2100,0.94
2016-04-08,0.97,0.97,0.95,0.95,3200,0.95
