Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,12.53,12.74,12.40,12.52,5082400,12.52
2016-08-04,12.28,12.70,12.24,12.50,5095300,12.50
2016-08-03,10.92,12.71,10.53,12.39,15029600,12.39
2016-08-02,12.47,12.75,11.82,12.20,7716100,12.20
2016-08-01,12.90,12.92,12.38,12.58,4136600,12.58
2016-07-29,12.92,13.06,12.37,12.77,5609700,12.77
2016-07-28,12.59,13.37,12.41,13.11,4570900,13.11
2016-07-27,12.74,13.00,12.46,12.79,2766700,12.79
2016-07-26,12.78,13.26,12.68,13.00,3301900,13.00
2016-07-25,12.96,13.09,12.65,12.81,2011800,12.81
2016-07-22,13.39,13.46,12.71,12.98,2807400,12.98
2016-07-21,12.86,13.59,12.81,13.24,3666400,13.24
2016-07-20,12.85,13.00,12.73,12.86,4078500,12.86
2016-07-19,13.14,13.31,12.68,12.85,2935700,12.85
2016-07-18,12.95,13.35,12.85,13.30,2629100,13.30
2016-07-15,12.92,13.07,12.74,12.90,2468500,12.90
2016-07-14,13.00,13.06,12.58,12.81,3251400,12.81
2016-07-13,13.03,13.18,12.69,12.80,3557900,12.80
2016-07-12,13.22,13.23,12.72,12.87,3946000,12.87
2016-07-11,12.99,13.18,12.75,13.04,3150000,13.04
2016-07-08,12.51,13.03,12.43,12.89,4302100,12.89
2016-07-07,12.08,12.53,12.01,12.23,3291400,12.23
2016-07-06,11.52,12.06,11.43,11.95,5453500,11.95
2016-07-05,11.97,11.97,11.43,11.69,5760800,11.69
2016-07-01,12.08,12.37,11.86,12.03,3906900,12.03
2016-06-30,12.51,12.62,11.70,12.05,7356600,12.05
2016-06-29,12.45,12.81,12.29,12.46,3122900,12.46
2016-06-28,12.26,12.68,12.00,12.24,4211100,12.24
2016-06-27,12.93,12.93,11.87,12.08,6976300,12.08
2016-06-24,13.23,13.50,12.74,13.02,13196700,13.02
2016-06-23,13.60,13.90,13.50,13.89,3123400,13.89
2016-06-22,13.25,13.56,13.07,13.38,3220400,13.38
2016-06-21,13.20,13.28,12.66,13.22,3554300,13.22
2016-06-20,13.25,13.62,13.17,13.19,3113700,13.19
2016-06-17,13.14,13.65,12.97,13.02,3532400,13.02
2016-06-16,13.08,13.17,12.74,13.11,2841900,13.11
2016-06-15,13.33,13.53,13.17,13.24,3165500,13.24
2016-06-14,13.20,13.58,12.96,13.32,3526300,13.32
2016-06-13,13.93,14.08,13.21,13.28,4685800,13.28
2016-06-10,14.50,14.55,13.94,14.05,2500700,14.05
2016-06-09,15.13,15.16,14.55,14.77,2982000,14.77
2016-06-08,14.69,15.52,14.69,15.26,4869100,15.26
