Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,14.29,14.32,14.26,14.30,10500,14.30
2016-08-04,14.35,14.36,14.27,14.32,21300,14.32
2016-08-03,14.29,14.31,14.22,14.31,56900,14.31
2016-08-02,14.41,14.43,14.21,14.24,43600,14.24
2016-08-01,14.50,14.50,14.44,14.46,22000,14.46
2016-07-29,14.54,14.54,14.45,14.45,20600,14.45
2016-07-28,14.52,14.52,14.43,14.49,17600,14.49
2016-07-27,14.44,14.48,14.43,14.43,17700,14.43
2016-07-26,14.37,14.45,14.32,14.43,23900,14.43
2016-07-25,14.36,14.41,14.31,14.31,12000,14.31
2016-07-22,14.39,14.40,14.32,14.36,24700,14.36
2016-07-21,14.43,14.45,14.35,14.38,35800,14.38
2016-07-20,14.39,14.41,14.39,14.39,15300,14.39
2016-07-19,14.40,14.40,14.27,14.38,18500,14.32
2016-07-18,14.20,14.35,14.20,14.31,19100,14.250293
2016-07-15,14.03,14.15,14.03,14.15,30000,14.09096
2016-07-14,14.21,14.24,14.00,14.00,70600,13.941586
2016-07-13,14.47,14.47,14.21,14.23,38900,14.170626
2016-07-12,14.64,14.64,14.40,14.40,31500,14.339916
2016-07-11,14.64,14.65,14.56,14.58,17700,14.519166
2016-07-08,14.60,14.60,14.58,14.60,25700,14.539083
2016-07-07,14.58,14.60,14.51,14.59,22000,14.529124
2016-07-06,14.58,14.58,14.48,14.52,13800,14.459417
2016-07-05,14.55,14.58,14.50,14.51,23300,14.449458
2016-07-01,14.60,14.60,14.47,14.53,62900,14.469374
2016-06-30,14.55,14.58,14.49,14.50,27300,14.4395
2016-06-29,14.53,14.53,14.47,14.48,22200,14.419583
2016-06-28,14.53,14.54,14.44,14.45,28200,14.389708
2016-06-27,14.46,14.53,14.42,14.44,28200,14.379749
2016-06-24,14.50,14.56,14.37,14.37,40300,14.310042
2016-06-23,14.49,14.49,14.43,14.47,47600,14.409625
2016-06-22,14.52,14.56,14.42,14.51,42400,14.449458
2016-06-21,14.44,14.51,14.36,14.51,84200,14.449458
2016-06-20,14.56,14.56,14.33,14.43,67800,14.310042
2016-06-17,14.57,14.57,14.51,14.51,27700,14.389377
2016-06-16,14.58,14.58,14.53,14.58,48200,14.458795
2016-06-15,14.56,14.57,14.51,14.57,36500,14.448878
2016-06-14,14.48,14.53,14.45,14.51,40200,14.389377
2016-06-13,14.42,14.47,14.37,14.45,30200,14.329875
2016-06-10,14.38,14.41,14.34,14.38,26800,14.260457
2016-06-09,14.39,14.43,14.30,14.42,58000,14.300125
2016-06-08,14.36,14.40,14.18,14.40,43800,14.280291
2016-06-07,14.23,14.33,14.23,14.33,11500,14.210873
2016-06-06,14.18,14.27,14.16,14.17,20000,14.052203
2016-06-03,14.13,14.23,14.13,14.22,34600,14.101788
2016-06-02,14.10,14.16,14.07,14.16,18700,14.042286
2016-06-01,13.89,14.13,13.87,14.13,29400,14.012536
2016-05-31,13.82,13.90,13.77,13.90,38300,13.784447
2016-05-27,14.05,14.11,13.93,13.94,28300,13.824115
2016-05-26,14.08,14.14,13.99,13.99,33600,13.873699
2016-05-25,14.15,14.15,14.03,14.05,33800,13.933201
2016-05-24,14.21,14.21,14.02,14.07,19500,13.953034
2016-05-23,14.05,14.18,14.05,14.13,22400,14.012536
2016-05-20,14.01,14.01,13.93,14.00,23400,13.883616
2016-05-19,14.20,14.20,13.96,13.96,43900,13.784448
2016-05-18,14.40,14.40,14.12,14.13,44000,13.95231
2016-05-17,14.45,14.45,14.32,14.33,28500,14.149795
2016-05-16,14.49,14.50,14.40,14.41,24400,14.228789
2016-05-13,14.40,14.52,14.32,14.35,60900,14.169544
2016-05-12,14.38,14.38,14.28,14.38,28200,14.199166
2016-05-11,14.31,14.37,14.30,14.37,21300,14.189292
2016-05-10,14.30,14.32,14.23,14.30,22500,14.120172
2016-05-09,14.26,14.29,14.21,14.29,18000,14.110298
2016-05-06,14.20,14.26,14.1
9,14.26,11200,14.080675
2016-05-05,14.16,14.25,14.10,14.25,53100,14.070801
2016-05-04,14.00,14.16,14.00,14.15,46900,13.972058
2016-05-03,13.99,14.10,13.99,14.09,17300,13.912813
2016-05-02,13.95,14.06,13.94,13.94,74100,13.764699
2016-04-29,13.97,14.03,13.90,14.03,79400,13.853567
2016-04-28,13.98,14.00,13.88,13.90,51100,13.725202
2016-04-27,13.95,13.99,13.86,13.94,57100,13.764699
2016-04-26,14.15,14.17,13.89,13.89,58700,13.715328
2016-04-25,14.22,14.23,14.07,14.07,39200,13.893064
2016-04-22,14.28,14.29,14.18,14.24,35100,14.060926
2016-04-21,14.23,14.28,14.22,14.25,137300,14.070801
2016-04-20,14.17,14.27,14.17,14.27,181000,14.09055
2016-04-19,14.15,14.18,14.02,14.12,119700,13.88319
2016-04-18,14.09,14.15,14.04,14.15,71300,13.912686
2016-04-15,13.98,14.09,13.95,14.09,31800,13.853693
2016-04-14,13.97,13.98,13.92,13.98,34800,13.745537
2016-04-13,13.94,13.97,13.76,13.97,100100,13.735706
2016-04-12,13.90,13.91,13.87,13.91,165100,13.676712
2016-04-11,13.75,13.86,13.75,13.85,42700,13.617718
2016-04-08,13.74,13.75,13.72,13.75,223300,13.519395
2016-04-07,13.70,13.71,13.65,13.71,25300,13.480066
2016-04-06,13.61,13.69,13.60,13.69,39500,13.460401
2016-04-05,13.55,13.60,13.53,13.58,37500,13.352246
2016-04-04,13.47,13.53,13.43,13.52,36600,13.293253
2016-04-01,13.47,13.48,13.39,13.44,26600,13.214594
2016-03-31,13.40,13.45,13.37,13.44,48600,13.214594
2016-03-30,13.35,13.40,13.34,13.39,23700,13.165433
2016-03-29,13.34,13.35,13.32,13.35,26700,13.126104
2016-03-28,13.28,13.34,13.26,13.27,29800,13.047446
2016-03-24,13.40,13.40,13.26,13.31,34400,13.086775
2016-03-23,13.32,13.39,13.32,13.39,29600,13.165433
2016-03-22,13.28,13.36,13.28,13.35,34800,13.126104
2016-03-21,13.39,13.40,13.34,13.38,47000,13.096607
2016-03-18,13.38,13.40,13.30,13.37,24300,13.086819
2016-03-17,13.30,13.33,13.28,13.33,60700,13.047666
2016-03-16,13.27,13.31,13.26,13.28,27700,12.998725
2016-03-15,13.25,13.32,13.20,13.20,41700,12.920419
2016-03-14,13.29,13.29,13.23,13.25,20600,12.969361
2016-03-11,13.25,13.30,13.22,13.22,20200,12.939996
2016-03-10,13.25,13.29,13.22,13.26,29300,12.979149
2016-03-09,13.24,13.30,13.24,13.28,32100,12.998725
2016-03-08,13.29,13.34,13.21,13.21,29100,12.930208
2016-03-07,13.23,13.27,13.21,13.27,20400,12.988937
2016-03-04,13.31,13.31,13.21,13.21,19600,12.930208
2016-03-03,13.27,13.31,13.25,13.31,35000,13.02809
2016-03-02,13.31,13.32,13.25,13.26,37100,12.979149
2016-03-01,13.33,13.37,13.29,13.32,64700,13.037878
2016-02-29,13.25,13.34,13.25,13.33,48800,13.047666
2016-02-26,13.33,13.35,13.22,13.22,51600,12.939996
2016-02-25,13.34,13.38,13.31,13.33,81900,13.047666
2016-02-24,13.32,13.34,13.24,13.32,38700,13.037878
2016-02-23,13.24,13.29,13.19,13.29,25100,13.008513
2016-02-22,13.23,13.24,13.19,13.20,43600,12.920419
2016-02-19,13.18,13.23,13.10,13.20,36800,12.920419
2016-02-18,13.14,13.14,13.08,13.11,25600,12.832326
2016-02-17,13.10,13.15,13.10,13.10,24400,12.763809
2016-02-16,13.19,13.22,13.08,13.10,51200,12.763809
2016-02-12,13.24,13.25,13.07,13.14,55800,12.802782
2016-02-11,13.33,13.35,13.19,13.19,40500,12.851498
2016-02-10,13.29,13.36,13.27,13.27,60700,12.929446
2016-02-09,13.20,13.30,13.20,13.23,63200,12.890472
2016-02-08,13.22,13.27,13.18,13.21,29900,12.870985
2016-02-05,13.21,13.25,13.17,13.19,35900,12.851498
2016-02-04,13.23,13.29,13.19,13.19,44800,12.851498
2016-02-03,13.23,13.26,13.18,13.23,57500,12.890472
2016-02-02,13.18,13.27,13.15,13.19,73500,12.851498
2016-02-01,13.13,13.15,13.09,13.12,24500,12.783295
2016-01-29,13.05,13.16,12.98,13.09,88100,12.754065
2016-01-28,12.93,13.02,12.90,12.97,47800,12.637145
2016-01-27,12.90,12.98,12.83,12.89,44300,12.559198
2016-01-26,12.78,12.93,12.77,12
.90,51100,12.568941
2016-01-25,12.84,12.86,12.75,12.75,40500,12.42279
2016-01-22,12.90,12.93,12.80,12.80,66000,12.471507
2016-01-21,12.84,12.87,12.77,12.87,37600,12.539711
2016-01-20,12.95,12.95,12.75,12.79,52100,12.461764
2016-01-19,13.09,13.09,12.95,12.95,42300,12.559198
2016-01-15,12.91,13.06,12.91,13.03,42600,12.636783
2016-01-14,12.94,13.00,12.92,13.00,31700,12.607689
2016-01-13,13.06,13.08,12.94,13.02,35600,12.627086
2016-01-12,13.03,13.05,12.95,13.03,43300,12.636783
2016-01-11,13.03,13.08,12.96,12.96,34400,12.568896
2016-01-08,13.07,13.11,13.05,13.07,63400,12.675576
2016-01-07,13.07,13.10,13.03,13.05,32100,12.65618
2016-01-06,13.06,13.11,13.05,13.05,49500,12.65618
2016-01-05,13.13,13.13,13.08,13.10,74700,12.704672
2016-01-04,13.13,13.14,13.08,13.10,8400,12.704672
2015-12-31,13.11,13.15,13.04,13.13,40700,12.733766
2015-12-30,12.81,13.07,12.80,13.07,63100,12.675576
2015-12-29,13.15,13.15,12.95,12.99,37100,12.597991
2015-12-28,13.15,13.15,13.08,13.10,5600,12.704672
2015-12-24,13.12,13.15,13.07,13.14,8300,12.743464
2015-12-23,13.11,13.14,13.07,13.12,20400,12.724068
2015-12-22,13.17,13.17,13.10,13.14,26700,12.743464
2015-12-21,12.98,13.15,12.98,13.14,32300,12.743464
2015-12-18,12.90,13.04,12.90,12.97,25400,12.520405
2015-12-17,12.77,12.89,12.77,12.88,31500,12.433525
2015-12-16,12.68,12.79,12.65,12.79,28900,12.346645
2015-12-15,12.68,12.80,12.68,12.74,24400,12.298378
2015-12-14,12.82,12.82,12.68,12.68,12600,12.240458
2015-12-11,12.85,12.89,12.75,12.79,18700,12.346645
2015-12-10,12.80,12.80,12.78,12.79,9000,12.346645
2015-12-09,12.82,12.82,12.79,12.80,17600,12.356298
2015-12-08,12.84,12.88,12.82,12.84,16400,12.394912
2015-12-07,12.87,12.87,12.79,12.79,29300,12.346645
2015-12-04,12.80,12.90,12.80,12.84,16800,12.394912
2015-12-03,12.85,12.85,12.79,12.80,6600,12.356298
2015-12-02,12.84,12.89,12.80,12.86,20000,12.414218
2015-12-01,12.91,12.91,12.75,12.87,34600,12.423871
2015-11-30,12.84,12.90,12.81,12.89,21500,12.443179
2015-11-27,12.81,12.85,12.71,12.75,14200,12.308031
2015-11-25,12.81,12.85,12.73,12.73,14800,12.288724
2015-11-24,12.80,12.83,12.70,12.76,22600,12.317685
2015-11-23,12.82,12.89,12.70,12.75,51800,12.308031
2015-11-20,12.85,12.93,12.73,12.75,15000,12.308031
2015-11-19,12.83,12.83,12.78,12.80,8300,12.356298
2015-11-18,12.77,12.83,12.77,12.83,29200,12.327338
2015-11-17,12.82,12.85,12.75,12.77,10900,12.269689
2015-11-16,12.82,12.89,12.75,12.76,30400,12.26008
2015-11-13,12.83,12.84,12.75,12.83,32700,12.327338
2015-11-12,12.72,12.83,12.64,12.79,26400,12.288905
2015-11-11,12.59,12.74,12.59,12.71,26700,12.212039
2015-11-10,12.55,12.65,12.54,12.62,26600,12.125565
2015-11-09,12.60,12.67,12.50,12.67,16000,12.173606
2015-11-06,12.70,12.71,12.58,12.68,22300,12.183215
2015-11-05,12.70,12.77,12.70,12.70,11800,12.202431
2015-11-04,12.71,12.85,12.70,12.71,24900,12.212039
2015-11-03,12.75,12.83,12.70,12.74,14100,12.240864
