Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,25.98,26.00,25.98,26.00,1100,26.00
2016-08-04,25.950001,25.950001,25.950001,25.950001,500,25.950001
2016-08-03,26.50,26.50,26.299999,26.34,700,26.34
2016-08-02,26.01,26.40,25.90,25.90,2500,25.90
2016-08-01,26.129999,26.40,26.129999,26.17,4000,26.17
2016-07-29,25.790001,25.790001,25.790001,25.790001,800,25.790001
2016-07-28,25.15,25.50,25.15,25.50,900,25.50
2016-07-27,25.65,25.77,25.10,25.10,10000,25.10
2016-07-26,25.90,26.00,25.90,26.00,2500,26.00
2016-07-25,25.940001,26.379999,25.940001,26.049999,1600,26.049999
2016-07-22,25.799999,26.200001,25.799999,26.00,1600,26.00
2016-07-21,25.65,26.00,25.60,25.60,2600,25.60
2016-07-20,26.190001,26.190001,26.190001,26.190001,100,26.190001
2016-07-19,26.209999,26.209999,25.610001,25.610001,2300,25.610001
2016-07-18,26.40,26.40,26.40,26.40,300,26.40
2016-07-15,25.90,25.90,25.85,25.85,400,25.85
2016-07-14,25.790001,25.790001,25.790001,25.790001,300,25.790001
2016-07-13,26.219999,26.23,26.219999,26.219999,500,26.219999
2016-07-12,26.34,26.34,26.15,26.15,600,26.15
2016-07-11,25.860001,25.950001,25.610001,25.780001,2700,25.780001
2016-07-08,25.82,26.52,25.610001,25.610001,11000,25.610001
2016-07-07,25.75,25.75,25.75,25.75,1000,25.75
2016-07-06,25.719999,25.860001,25.719999,25.75,5300,25.75
2016-07-05,25.51,25.67,25.51,25.60,1800,25.60
2016-07-01,25.950001,25.950001,25.559999,25.559999,1500,25.559999
2016-06-30,26.01,26.50,26.01,26.01,600,26.01
2016-06-29,26.76,26.76,25.66,25.700001,700,25.700001
2016-06-28,25.610001,25.98,25.60,25.98,900,25.98
2016-06-27,26.389999,26.389999,26.389999,26.389999,900,26.389999
2016-06-24,26.40,26.40,25.57,25.57,1100,25.57
2016-06-23,26.40,26.40,26.07,26.32,1300,26.32
2016-06-22,25.73,26.049999,25.610001,25.610001,9700,25.610001
2016-06-21,25.75,26.10,25.75,25.950001,3800,25.950001
2016-06-20,25.51,26.24,25.51,26.209999,800,26.209999
2016-06-17,25.59,25.59,25.59,25.59,500,25.59
2016-06-16,26.040001,26.040001,26.040001,26.040001,000,26.040001
2016-06-15,25.75,26.07,25.75,26.040001,1500,26.040001
2016-06-14,25.700001,25.700001,25.50,25.50,900,25.50
2016-06-13,25.040001,25.719999,25.040001,25.719999,900,25.719999
2016-06-10,25.50,25.50,25.43,25.43,1500,25.43
2016-06-09,25.610001,25.610001,25.10,25.450001,1500,25.450001
2016-06-08,25.870001,25.870001,25.65,25.65,500,25.399999
2016-06-07,25.50,26.00,25.50,25.540001,1100,25.291072
2016-06-06,25.73,25.75,25.530001,25.700001,1900,25.449513
2016-06-03,25.50,25.50,25.50,25.50,000,25.251461
2016-06-02,25.76,25.76,25.50,25.50,1200,25.251461
2016-06-01,25.85,25.889999,25.33,25.50,1600,25.251461
2016-05-31,25.18,25.58,24.969999,25.50,1600,25.251461
2016-05-27,25.290001,25.290001,25.290001,25.290001,000,25.043509
2016-05-26,25.290001,25.290001,25.290001,25.290001,100,25.043509
2016-05-25,25.00,25.23,24.959999,25.23,7600,24.984093
2016-05-24,24.98,25.290001,24.92,24.92,6100,24.677115
2016-05-23,24.459999,24.98,24.459999,24.98,1600,24.736529
2016-05-20,25.110001,25.110001,24.25,24.290001,1400,24.053256
2016-05-19,24.40,25.450001,24.40,24.67,1200,24.429551
2016-05-18,25.50,25.50,24.879999,24.879999,8000,24.637503
2016-05-17,24.700001,25.49,24.700001,24.83,9600,24.587992
2016-05-16,24.709999,25.43,24.709999,25.09,2200,24.845458
2016-05-13,24.75,24.75,24.75,24.75,500,24.508771
2016-05-12,25.48,25.48,24.75,24.75,11200,24.508771
2016-05-11,24.99,25.25,24.60,25.00,26300,24.756335
2016-05-10,24.50,24.82,24.049999,24.60,6000,24.360234
2016-05-09,24.15,24.290001,24.15,24.290001,1200,24.053256
2016-05-06,24.129999,24.129999,24.129999,24.129999,200,23.894813
2016-05-05,24.84,24.84,24.75,24.75,700,24.508771
2016-05-04,25.459999,25.459999,24.50,25.01,2400,24.766237
2016-05-0
