Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,7.77,8.00,7.77,7.93,389700,7.93
2016-08-04,7.45,7.81,7.45,7.70,615800,7.70
2016-08-03,7.27,7.45,7.21,7.37,439400,7.37
2016-08-02,7.38,7.38,7.26,7.30,652600,7.30
2016-08-01,7.23,7.42,7.21,7.35,265600,7.35
2016-07-29,7.31,7.40,7.24,7.26,468900,7.26
2016-07-28,7.36,7.36,7.25,7.30,284800,7.30
2016-07-27,7.41,7.46,7.31,7.35,209000,7.35
2016-07-26,7.39,7.42,7.26,7.40,263600,7.40
2016-07-25,7.47,7.48,7.30,7.36,246800,7.36
2016-07-22,7.28,7.51,7.28,7.49,440600,7.49
2016-07-21,7.26,7.34,7.24,7.31,251000,7.31
2016-07-20,7.29,7.34,7.20,7.29,203100,7.29
2016-07-19,7.31,7.34,7.20,7.26,382100,7.26
2016-07-18,7.27,7.33,7.22,7.32,354600,7.32
2016-07-15,7.34,7.34,7.20,7.28,268100,7.28
2016-07-14,7.36,7.38,7.24,7.28,199100,7.28
2016-07-13,7.12,7.33,7.10,7.32,360400,7.32
2016-07-12,7.09,7.20,7.07,7.16,550000,7.16
2016-07-11,7.01,7.11,6.99,7.07,255500,7.07
2016-07-08,6.96,7.13,6.89,7.01,358500,7.01
2016-07-07,6.89,6.94,6.86,6.92,286300,6.92
2016-07-06,6.71,6.85,6.68,6.83,263200,6.83
2016-07-05,6.86,6.93,6.56,6.76,795700,6.76
2016-07-01,6.69,6.96,6.69,6.91,342800,6.91
2016-06-30,6.67,6.80,6.56,6.72,608300,6.72
2016-06-29,6.34,6.77,6.27,6.67,773300,6.67
2016-06-28,6.21,6.36,6.15,6.25,418600,6.25
2016-06-27,6.38,6.46,5.94,6.13,1443000,6.13
2016-06-24,6.35,6.56,6.35,6.49,598200,6.49
2016-06-23,6.62,6.74,6.55,6.67,350900,6.67
2016-06-22,6.55,6.56,6.44,6.50,388400,6.50
2016-06-21,6.78,6.78,6.46,6.52,481400,6.52
2016-06-20,6.75,6.87,6.74,6.75,239500,6.75
2016-06-17,6.86,6.87,6.60,6.66,674600,6.66
2016-06-16,6.90,6.90,6.62,6.84,489400,6.84
2016-06-15,7.02,7.06,6.91,6.91,143200,6.91
2016-06-14,6.88,6.99,6.86,6.98,289800,6.98
2016-06-13,6.96,7.05,6.86,6.91,348500,6.91
2016-06-10,7.14,7.20,6.96,7.03,222200,6.999
2016-06-09,7.15,7.26,7.10,7.24,198300,7.208074
2016-06-08,7.15,7.23,7.10,7.21,120400,7.178206
2016-06-07,7.14,7.21,7.10,7.16,188100,7.128427
2016-06-06,7.10,7.21,7.06,7.17,146400,7.138383
2016-06-03,7.19,7.22,7.06,7.12,250600,7.088603
2016-06-02,7.19,7.32,7.11,7.23,217400,7.198118
2016-06-01,7.22,7.22,7.10,7.19,922400,7.158295
2016-05-31,7.11,7.24,7.01,7.22,466300,7.188162
2016-05-27,7.15,7.28,7.10,7.25,192300,7.21803
2016-05-26,7.06,7.17,7.06,7.13,124900,7.098559
2016-05-25,7.04,7.16,7.01,7.07,168600,7.038824
2016-05-24,6.87,7.12,6.86,7.08,203900,7.048779
2016-05-23,6.90,6.94,6.77,6.85,309700,6.819794
2016-05-20,6.90,7.02,6.88,6.94,174400,6.909397
2016-05-19,6.85,6.95,6.79,6.87,224200,6.839705
