Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,8.68,9.05,8.63,8.78,756200,8.78
2016-08-04,8.65,8.86,8.26,8.58,661800,8.58
2016-08-03,8.00,8.20,7.93,8.10,192600,8.10
2016-08-02,8.30,8.37,8.04,8.05,330200,8.05
2016-08-01,8.36,8.38,8.26,8.37,134400,8.37
2016-07-29,8.36,8.45,8.30,8.38,181000,8.38
2016-07-28,8.37,8.44,8.33,8.40,71300,8.40
2016-07-27,8.45,8.55,8.38,8.40,100800,8.40
2016-07-26,8.25,8.50,8.25,8.46,148700,8.46
2016-07-25,8.26,8.33,8.25,8.25,95800,8.25
2016-07-22,8.11,8.26,8.04,8.26,256900,8.26
2016-07-21,8.25,8.34,8.02,8.11,331800,8.11
2016-07-20,8.25,8.38,8.24,8.26,314900,8.26
2016-07-19,8.26,8.35,8.23,8.25,358800,8.25
2016-07-18,8.26,8.40,8.24,8.25,188000,8.25
2016-07-15,8.27,8.35,8.18,8.28,193600,8.28
2016-07-14,8.23,8.37,8.13,8.25,176200,8.25
2016-07-13,8.21,8.24,8.14,8.17,167800,8.17
2016-07-12,8.07,8.19,8.00,8.16,283300,8.16
2016-07-11,7.98,8.11,7.95,8.01,169800,8.01
2016-07-08,7.73,8.00,7.73,7.95,309100,7.95
2016-07-07,7.69,7.83,7.59,7.61,183100,7.61
2016-07-06,7.57,7.71,7.46,7.67,286200,7.67
2016-07-05,7.73,7.77,7.50,7.67,286200,7.67
2016-07-01,7.97,8.09,7.76,7.80,278300,7.80
2016-06-30,7.82,8.06,7.76,8.05,383500,8.05
2016-06-29,7.52,7.78,7.51,7.78,299700,7.78
2016-06-28,7.60,7.72,7.41,7.50,413300,7.50
2016-06-27,7.72,7.75,7.37,7.46,415200,7.46
2016-06-24,7.95,8.05,7.85,7.87,564300,7.87
2016-06-23,8.05,8.17,7.99,8.15,551200,8.15
2016-06-22,8.03,8.10,7.92,8.00,350900,8.00
2016-06-21,8.10,8.10,7.93,8.01,347600,8.01
2016-06-20,8.20,8.38,8.01,8.03,322600,8.03
2016-06-17,8.03,8.05,7.85,8.03,477800,8.03
2016-06-16,8.09,8.09,7.83,8.01,245900,8.01
2016-06-15,8.04,8.13,7.97,8.00,216800,8.00
2016-06-14,8.00,8.11,7.86,8.05,391700,8.05
2016-06-13,8.03,8.15,7.96,7.99,524500,7.99
2016-06-10,8.14,8.22,7.90,8.02,298700,8.02
2016-06-09,8.35,8.41,8.16,8.23,430100,8.23
2016-06-08,8.40,8.57,8.28,8.41,393100,8.41
2016-06-07,8.50,8.62,8.17,8.44,453600,8.44
2016-06-06,8.00,8.44,7.88,8.37,543900,8.37
2016-06-03,7.10,7.89,7.10,7.87,1363300,7.87
2016-06-02,6.89,7.13,6.84,7.00,626800,7.00
2016-06-01,6.77,6.93,6.64,6.92,269700,6.92
2016-05-31,6.82,6.86,6.74,6.83,259100,6.83
2016-05-27,6.53,6.85,6.53,6.81,194800,6.81
2016-05-26,6.55,6.63,6.46,6.54,141900,6.54
2016-05-25,6.50,6.61,6.47,6.52,101800,6.52
2016-05-24,6.44,6.55,6.44,6.50,153400,6.50
2016-05-23,6.41,6.54,6.40,6.42,131500,6.42
2016-05-20,6.22,6.42,6.20,6.41,243900,6.41
2016-05-19,6.23,6.27,6.20,6.21,89400,6.21
2016-05-18,6.12,6.30,6.10,6.28,230000,6.28
2016-05-17,6.35,6.39,6.11,6.16,253900,6.16
2016-05-16,6.35,6.50,6.35,6.39,138500,6.39
2016-05-13,6.16,6.41,6.16,6.29,121400,6.29
2016-05-12,6.37,6.70,6.06,6.10,317000,6.10
2016-05-11,6.18,6.26,6.10,6.13,62600,6.13
2016-05-10,6.10,6.31,6.
01,6.23,151700,6.23
2016-05-09,6.14,6.22,6.00,6.09,131000,6.09
2016-05-06,6.04,6.14,6.03,6.14,199500,6.14
2016-05-05,6.10,6.11,6.01,6.10,122500,6.10
2016-05-04,6.06,6.15,6.00,6.09,179700,6.09
2016-05-03,6.06,6.20,6.06,6.10,112500,6.10
2016-05-02,6.09,6.20,6.04,6.18,134300,6.18
2016-04-29,6.22,6.22,6.05,6.10,104300,6.10
2016-04-28,6.22,6.33,6.13,6.22,127500,6.22
2016-04-27,6.12,6.28,6.08,6.27,60200,6.27
2016-04-26,6.00,6.19,6.00,6.13,137900,6.13
2016-04-25,6.20,6.20,5.95,6.01,148700,6.01
2016-04-22,5.87,6.25,5.87,6.22,189000,6.22
2016-04-21,5.87,5.91,5.82,5.89,56600,5.89
2016-04-20,5.80,5.90,5.79,5.87,177800,5.87
2016-04-19,5.81,5.84,5.74,5.79,77300,5.79
2016-04-18,5.66,5.85,5.60,5.77,107700,5.77
2016-04-15,5.79,5.82,5.67,5.69,79500,5.69
2016-04-14,5.70,5.89,5.57,5.83,132600,5.83
2016-04-13,5.54,5.76,5.45,5.76,123900,5.76
2016-04-12,5.16,5.54,5.11,5.53,262800,5.53
2016-04-11,5.36,5.46,5.13,5.17,143900,5.17
2016-04-08,5.48,5.59,5.32,5.34,60500,5.34
2016-04-07,5.46,5.55,5.41,5.45,110300,5.45
2016-04-06,5.45,5.48,5.34,5.47,60000,5.47
2016-04-05,5.53,5.56,5.36,5.48,181100,5.48
2016-04-04,5.67,5.75,5.52,5.53,79600,5.53
2016-04-01,5.66,5.76,5.58,5.74,96200,5.74
2016-03-31,5.56,5.84,5.49,5.75,173500,5.75
2016-03-30,5.50,5.59,5.50,5.56,106500,5.56
2016-03-29,5.24,5.48,5.14,5.47,108500,5.47
2016-03-28,5.29,5.29,5.19,5.24,78500,5.24
2016-03-24,5.23,5.26,5.12,5.26,79100,5.26
2016-03-23,5.42,5.43,5.22,5.25,99900,5.25
2016-03-22,5.44,5.44,5.34,5.41,70300,5.41
2016-03-21,5.70,5.76,5.39,5.46,105300,5.46
2016-03-18,5.68,5.79,5.59,5.76,284700,5.76
2016-03-17,5.39,5.65,5.38,5.63,117700,5.63
2016-03-16,5.30,5.41,5.27,5.37,110500,5.37
2016-03-15,5.42,5.42,5.27,5.30,103300,5.30
2016-03-14,5.66,5.69,5.46,5.47,47900,5.47
2016-03-11,5.60,5.70,5.56,5.69,71600,5.69
2016-03-10,5.55,5.67,5.46,5.57,176300,5.57
2016-03-09,5.27,5.60,5.27,5.56,302600,5.56
2016-03-08,5.56,5.56,5.25,5.26,368000,5.26
2016-03-07,5.56,5.70,5.49,5.57,268100,5.57
2016-03-04,5.62,5.73,5.56,5.57,117000,5.57
2016-03-03,5.49,5.80,5.49,5.66,154900,5.66
2016-03-02,5.29,5.50,5.29,5.48,177800,5.48
2016-03-01,5.34,5.42,5.29,5.31,222900,5.31
2016-02-29,5.26,5.43,5.23,5.34,218300,5.34
2016-02-26,5.26,5.37,5.24,5.25,204700,5.25
2016-02-25,5.28,5.30,5.15,5.23,120800,5.23
2016-02-24,5.24,5.38,5.15,5.28,144800,5.28
2016-02-23,5.38,5.47,5.28,5.29,113100,5.29
2016-02-22,5.34,5.44,5.34,5.39,97000,5.39
2016-02-19,5.26,5.50,5.25,5.27,184600,5.27
2016-02-18,5.11,5.29,5.08,5.27,285300,5.27
2016-02-17,5.03,5.14,5.00,5.07,310800,5.07
2016-02-16,5.08,5.08,4.95,4.99,488600,4.99
2016-02-12,5.08,5.09,4.94,5.00,149000,5.00
2016-02-11,5.03,5.13,4.82,5.01,342000,5.01
2016-02-10,5.25,5.49,5.11,5.12,220100,5.12
2016-02-09,5.41,5.54,5.18,5.21,162700,5.21
2016-02-08,5.46,5.51,5.34,5.49,239800,5.49
2016-02-05,5.49,5.82,5.47,5.48,413300,5.48
2016-02-04,5.38,5.67,5.38,5.50,487200,5.50
2016-02-03,5.30,5.31,5.07,5.09,177200,5.09
2016-02-02,5.46,5.46,5.21,5.26,89300,5.26
2016-02-01,5.47,5.63,5.39,5.53,110800,5.53
2016-01-29,5.28,5.52,5.28,5.50,203000,5.50
2016-01-28,5.27,5.40,5.23,5.25,50700,5.25
2016-01-27,5.41,5.45,5.23,5.23,83900,5.23
2016-01-26,5.32,5.52,5.28,5.43,163100,5.43
2016-01-25,5.47,5.48,5.27,5.29,95400,5.29
2016-01-22,5.39,5.50,5.
36,5.48,89100,5.48
2016-01-21,5.13,5.36,5.10,5.30,133200,5.30
2016-01-20,5.06,5.14,4.88,5.12,423400,5.12
2016-01-19,5.34,5.37,5.08,5.11,264700,5.11
2016-01-15,5.28,5.43,5.17,5.28,319000,5.28
2016-01-14,5.42,5.61,5.32,5.44,322700,5.44
2016-01-13,5.50,5.67,5.40,5.41,222700,5.41
2016-01-12,5.60,5.64,5.45,5.50,235900,5.50
2016-01-11,5.59,5.70,5.49,5.55,246600,5.55
2016-01-08,5.60,5.68,5.55,5.55,253800,5.55
2016-01-07,5.68,5.70,5.53,5.57,272700,5.57
2016-01-06,5.88,5.93,5.78,5.80,176300,5.80
2016-01-05,6.00,6.06,5.98,6.00,149000,6.00
2016-01-04,6.00,6.06,5.91,6.00,205400,6.00
2015-12-31,6.31,6.31,6.13,6.13,177600,6.13
2015-12-30,6.36,6.40,6.26,6.33,148000,6.33
2015-12-29,6.25,6.40,6.25,6.35,143900,6.35
2015-12-28,6.39,6.40,6.22,6.25,156900,6.25
2015-12-24,6.39,6.51,6.37,6.44,104700,6.44
2015-12-23,6.41,6.58,6.34,6.38,166800,6.38
2015-12-22,6.27,6.42,6.17,6.42,231000,6.42
2015-12-21,6.28,6.34,6.19,6.26,257100,6.26
2015-12-18,6.08,6.37,6.08,6.22,849000,6.22
2015-12-17,6.20,6.26,6.09,6.14,235000,6.14
2015-12-16,6.26,6.28,6.08,6.23,297300,6.23
2015-12-15,6.23,6.35,6.13,6.26,262700,6.26
2015-12-14,6.46,6.46,6.18,6.21,472400,6.21
2015-12-11,6.40,6.52,6.37,6.47,234600,6.47
2015-12-10,6.51,6.54,6.41,6.51,286500,6.51
2015-12-09,6.55,6.64,6.41,6.50,341100,6.50
2015-12-08,6.70,6.70,6.52,6.59,154400,6.59
2015-12-07,6.79,6.83,6.64,6.71,461700,6.71
