Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,10.86,11.15,10.86,11.00,7200,11.00
2016-08-04,10.84,10.84,10.84,10.84,000,10.84
2016-08-03,10.84,10.84,10.84,10.84,000,10.84
2016-08-02,10.92,10.93,10.84,10.84,1600,10.84
2016-08-01,10.77,10.77,10.77,10.77,1900,10.77
2016-07-29,10.54,10.75,10.51,10.72,4300,10.72
2016-07-28,10.80,10.83,10.70,10.75,13900,10.75
2016-07-27,11.00,11.00,10.74,10.84,4400,10.84
2016-07-26,11.00,11.00,10.81,10.81,600,10.81
2016-07-25,10.99,11.39,10.27,10.85,3900,10.85
2016-07-22,10.61,10.61,10.42,10.42,2000,10.42
2016-07-21,10.50,10.82,10.42,10.64,24000,10.64
2016-07-20,10.75,10.79,10.00,10.26,16700,10.26
2016-07-19,11.06,11.06,10.75,10.75,1300,10.75
2016-07-18,11.09,11.29,11.09,11.12,800,11.12
2016-07-15,10.82,11.11,10.80,11.11,2700,11.11
2016-07-14,11.06,11.07,10.85,10.99,9000,10.99
2016-07-13,11.40,11.40,11.00,11.06,6500,11.06
2016-07-12,11.50,11.58,10.93,11.00,10300,11.00
2016-07-11,11.02,11.99,11.02,11.48,10100,11.48
2016-07-08,11.30,11.40,10.60,11.23,56200,11.23
2016-07-07,10.35,11.36,10.20,10.99,61700,10.99
2016-07-06,9.25,10.38,9.25,10.36,133500,10.36
2016-07-05,9.58,9.58,9.30,9.30,3300,9.30
2016-07-01,9.21,9.92,9.20,9.82,11500,9.82
2016-06-30,9.27,9.30,9.27,9.30,2600,9.30
2016-06-29,9.00,9.83,8.99,9.03,44700,9.03
2016-06-28,8.85,8.85,8.60,8.70,32900,8.70
2016-06-27,9.08,9.10,8.98,9.00,14600,9.00
2016-06-24,9.38,9.38,9.06,9.20,18500,9.20
2016-06-23,9.75,9.80,9.37,9.59,20700,9.59
2016-06-22,9.78,9.78,9.50,9.70,11400,9.70
2016-06-21,9.88,9.88,9.75,9.77,2700,9.77
2016-06-20,9.81,9.86,9.70,9.85,9100,9.85
2016-06-17,9.99,10.00,9.98,9.99,4600,9.99
2016-06-16,9.80,10.00,9.79,9.81,1700,9.81
2016-06-15,9.93,9.99,9.89,9.91,600,9.91
2016-06-14,9.81,9.84,9.81,9.84,200,9.84
2016-06-13,9.87,9.99,9.87,9.95,1400,9.95
2016-06-10,9.85,9.85,9.77,9.77,1400,9.77
2016-06-09,9.96,9.96,9.74,9.75,300,9.75
2016-06-08,9.71,9.78,9.71,9.78,800,9.78
2016-06-07,9.75,9.76,9.74,9.76,2800,9.76
2016-06-06,10.00,10.00,9.71,9.76,4200,9.76
2016-06-03,9.79,9.98,9.79,9.91,2200,9.91
2016-06-02,9.97,9.98,9.85,9.85,1600,9.85
2016-06-01,9.79,9.98,9.76,9.76,1300,9.76
2016-05-31,9.75,9.95,9.75,9.89,9200,9.89
2016-05-27,9.97,9.98,9.69,9.79,8900,9.79
2016-05-26,9.95,9.95,9.90,9.91,1900,9.91
2016-05-25,9.73,9.95,9.73,9.81,3300,9.81
2016-05-24,9.88,9.96,9.88,9.96,1600,9.96
2016-05-23,10.03,10.06,9.92,9.92,2400,9.92
2016-05-20,10.18,10.18,9.90,9.90,500,9.90
2016-05-19,9.58,9.90,9.58,9.87,5500,9.87
2016-05-18,9.90,10.05,9.63,9.88,2500,9.88
2016-05-17,10.18,10.18,9.90,9.90,7000,9.90
2016-05-16,10.13,10.18,10.00,10.18,2800,10.18
2016-05-13,10.00,10.00,10.00,10.00,3000,10.00
2016-05-12,10.17,10.17,10.00,10.00,400,10.00
2016-05-11,9.82,10.16,9.82,10.06,1700,10.06
2016-05-10,10.00,10.17,10.00,10.17,900,10.17
2016-05-09,9.87,9.91,9.87,9.90,1000,9.90
2016-05-06,10.07,10.16,10.07,10.08,1600,10.08
2016-05-05,9.95,9.95,9.95,9.95,000,9.95
2016-05-04,9.95,9.95,9.95,9.95,100,9.95
2016-05-03,10.08,10.08,10.00,10.03,2800,10.03
2016-05-02,10.02,10.08,10.02,10.02,2400,10.02
2016-04-29,10.06,10.13,9.78,10.13,8200,10.13
2016-04-28,9.89,10.03,9.81,10.02,13900,10.02
2016-04-27,9.95,10.04,9.90,10.04,7600,10.04
2016-04-26,10.00,10.11,9.95,10.03,65300,10.03
2016-04-25,9.98,10.18,9.97,10.14,71
200,10.14
2016-04-22,9.76,10.00,9.76,9.91,3100,9.91
2016-04-21,10.16,10.16,9.78,9.85,8200,9.85
2016-04-20,9.95,10.00,9.95,10.00,1500,10.00
2016-04-19,10.00,10.07,9.86,9.99,2500,9.99
2016-04-18,9.93,10.00,9.83,9.83,4200,9.83
2016-04-15,10.07,10.18,9.92,9.92,2000,9.92
2016-04-14,9.95,10.01,9.95,9.98,10600,9.98
2016-04-13,9.96,9.96,9.96,9.96,300,9.96
2016-04-12,9.95,10.07,9.95,10.05,7100,10.05
2016-04-11,10.09,10.09,10.09,10.09,1200,10.09
2016-04-08,10.11,10.17,9.95,10.01,14200,10.01
2016-04-07,10.09,10.18,10.00,10.01,900,10.01
2016-04-06,9.82,10.07,9.82,10.00,7100,10.00
2016-04-05,9.95,10.01,9.95,10.01,14300,10.01
2016-04-04,9.91,9.96,9.81,9.96,3800,9.96
2016-04-01,10.22,10.22,9.95,9.95,1100,9.95
2016-03-31,10.14,10.26,9.90,9.98,12200,9.98
2016-03-30,10.15,10.24,9.90,10.05,9200,10.05
2016-03-29,9.90,10.26,9.90,10.12,13000,10.12
2016-03-28,9.83,10.00,9.83,9.90,10200,9.90
2016-03-24,10.65,10.65,9.86,9.97,5000,9.97
2016-03-23,10.02,10.11,9.92,9.99,10600,9.99
2016-03-22,10.02,10.70,9.96,10.06,16900,10.06
2016-03-21,10.90,10.90,10.47,10.70,17400,10.70
2016-03-18,10.64,11.00,10.29,11.00,26800,11.00
2016-03-17,9.83,10.38,9.83,10.18,5800,10.18
2016-03-16,9.85,10.24,9.75,10.03,73400,10.03
2016-03-15,9.90,10.10,9.55,9.72,295200,9.72
2016-03-14,9.56,10.25,9.56,10.04,2100,10.04
2016-03-11,9.95,10.19,9.95,10.19,1200,10.19
2016-03-10,9.90,10.45,9.90,10.01,1500,10.01
2016-03-09,9.60,9.93,9.51,9.53,3000,9.53
2016-03-08,10.10,10.10,9.60,9.60,1900,9.60
2016-03-07,9.68,9.94,9.65,9.69,2400,9.69
2016-03-04,9.84,10.05,9.51,9.71,9200,9.71
2016-03-03,9.78,10.00,9.34,9.72,12300,9.72
2016-03-02,9.25,9.87,9.25,9.72,900,9.72
2016-03-01,9.45,9.45,9.35,9.35,200,9.35
2016-02-29,9.42,9.98,9.10,9.33,25200,9.33
2016-02-26,9.31,9.31,9.31,9.31,000,9.31
2016-02-25,9.25,9.31,9.25,9.31,2300,9.31
2016-02-24,9.00,9.05,9.00,9.00,900,9.00
2016-02-23,9.14,9.14,9.14,9.14,000,9.14
2016-02-22,9.12,9.14,9.12,9.14,900,9.14
2016-02-19,9.31,9.31,9.01,9.14,800,9.14
2016-02-18,9.80,9.80,9.00,9.10,10900,9.10
2016-02-17,9.00,9.00,9.00,9.00,100,9.00
2016-02-16,9.59,9.76,9.20,9.24,1900,9.24
2016-02-12,9.63,9.74,9.05,9.18,11200,9.18
2016-02-11,9.59,9.59,9.00,9.15,5800,9.15
2016-02-10,9.30,9.45,9.30,9.40,2200,9.40
2016-02-09,9.30,9.30,9.22,9.24,1300,9.24
2016-02-08,9.27,9.33,9.25,9.30,2600,9.30
2016-02-05,9.60,9.70,9.16,9.30,5100,9.30
2016-02-04,9.43,9.43,9.07,9.07,1600,9.07
2016-02-03,9.00,9.32,9.00,9.32,1800,9.32
2016-02-02,9.07,9.07,8.98,9.07,5100,9.07
2016-02-01,8.94,9.09,8.82,9.08,3600,9.08
2016-01-29,9.10,9.10,8.88,8.88,5600,8.88
2016-01-28,9.00,9.13,8.51,8.83,27400,8.83
2016-01-27,9.60,9.82,9.06,9.16,7000,9.16
2016-01-26,9.72,9.95,8.76,9.33,11300,9.33
2016-01-25,9.70,9.82,9.30,9.30,2100,9.30
2016-01-22,9.26,9.66,9.00,9.36,1600,9.36
2016-01-21,9.73,9.73,8.94,9.47,8300,9.47
2016-01-20,8.91,9.59,8.69,9.27,24300,9.27
2016-01-19,9.37,9.77,9.30,9.61,20500,9.61
2016-01-15,9.46,9.78,8.80,9.47,6500,9.47
2016-01-14,9.95,9.95,9.51,9.86,6700,9.86
2016-01-13,10.08,10.10,9.86,9.90,7200,9.90
2016-01-12,10.79,10.79,10.03,10.17,15400,10.17
2016-01-11,10.56,10.71,10.11,10.49,12600,10.49
2016-01-08,10.47,10.47,10.16,10.16,4500,10.16
2016-01-07,10.35,10.86,10.05,10.72,17300,10.72
2016-01-06,10.36,10.89,10.24,10.89,15200,10.89
2016-01-05,10.18,10.18,10.18,10.18,000,10.18
2016-01-04,10.58,10.58,10.18,10.18,2500,10.18
2015-12-31,10.94,10.99,10.50,10.62,4100,10.62
2015-12-30,10.19,10.79,10.19,10.60,2200,10.60
2015-12-29,10.56,10.56,10.53,10.53,1800,10.53
2015-12-28,10.45,10.83,10.41,10.42,3100,10.42
2015-12-24,10.39,10.39,10.39,10.39,000,10.39
2015-12-23,10.19,10.39,10.19,10.39,6600,10.39
2015-12-22,10.25,10.25,10.00,10.20,2300,10.20
2015-12-21,10.14,10.25,9.98,
9.98,600,9.98
2015-12-18,9.88,10.18,9.85,10.15,6500,10.15
2015-12-17,9.95,10.01,9.85,9.85,3400,9.85
2015-12-16,10.10,10.14,9.77,10.09,67400,10.09
2015-12-15,10.08,10.35,9.98,10.12,24000,10.12
2015-12-14,10.22,10.23,10.05,10.23,16000,10.23
2015-12-11,10.30,10.45,10.21,10.22,4100,10.22
2015-12-10,10.39,10.46,10.32,10.32,4300,10.32
2015-12-09,10.50,10.75,10.26,10.48,206300,10.48
2015-12-08,10.80,10.80,10.80,10.80,000,10.80
2015-12-07,10.80,10.80,10.80,10.80,700,10.80
2015-12-04,10.68,10.94,10.65,10.75,18800,10.75
2015-12-03,10.65,10.75,10.65,10.69,6500,10.69
2015-12-02,10.49,10.63,10.49,10.62,8200,10.62
2015-12-01,10.51,10.59,10.50,10.59,2600,10.59
2015-11-30,10.25,10.67,10.20,10.54,2000,10.54
2015-11-27,10.45,10.45,10.37,10.42,600,10.42
2015-11-25,10.30,10.50,10.30,10.36,1200,10.36
2015-11-24,10.29,10.29,10.21,10.24,1300,10.24
2015-11-23,10.30,10.71,10.15,10.26,6800,10.26
2015-11-20,10.32,10.34,10.20,10.20,900,10.20
2015-11-19,10.12,10.26,10.11,10.23,4900,10.23
2015-11-18,10.51,10.97,10.23,10.34,3000,10.34
2015-11-17,10.79,10.85,10.31,10.50,5100,10.50
2015-11-16,10.75,10.76,10.75,10.76,2000,10.76
2015-11-13,11.04,11.04,11.04,11.04,200,11.04
2015-11-12,10.88,10.88,10.88,10.88,000,10.88
2015-11-11,10.88,10.88,10.88,10.88,200,10.88
2015-11-10,11.11,11.11,11.11,11.11,000,11.11
2015-11-09,11.05,11.11,10.94,11.11,3800,11.11
2015-11-06,11.28,11.28,11.19,11.25,1900,11.25
2015-11-05,11.00,11.09,11.00,11.09,3600,11.09
2015-11-04,11.00,11.05,10.90,11.00,9100,11.00
2015-11-03,11.08,11.08,10.99,10.99,400,10.99
2015-11-02,10.92,11.08,10.92,11.08,300,11.08
