Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,18.049999,18.52,18.030001,18.51,206200,18.51
2016-08-04,17.51,18.32,17.51,18.02,91000,18.02
2016-08-03,18.82,18.82,17.42,17.58,333700,17.58
2016-08-02,21.10,21.469999,20.870001,20.90,50700,20.90
2016-08-01,20.91,21.26,20.299999,21.129999,65700,21.129999
2016-07-29,21.07,21.35,20.799999,20.950001,77200,20.950001
2016-07-28,21.24,21.459999,21.01,21.370001,32800,21.370001
2016-07-27,21.379999,21.74,21.32,21.60,57800,21.540001
2016-07-26,21.43,21.57,21.200001,21.379999,41800,21.320611
2016-07-25,21.48,22.02,21.40,21.40,42400,21.340556
2016-07-22,21.530001,22.00,21.52,21.799999,41900,21.739444
2016-07-21,21.889999,21.889999,21.42,21.60,67300,21.540001
2016-07-20,22.129999,22.450001,21.91,21.969999,76200,21.908972
2016-07-19,21.74,22.18,21.66,22.09,81900,22.02864
2016-07-18,21.32,22.379999,21.280001,21.83,81300,21.769362
2016-07-15,21.10,21.370001,21.00,21.360001,62500,21.300668
2016-07-14,21.09,21.16,20.059999,20.91,80400,20.851917
2016-07-13,20.10,20.940001,20.10,20.93,72200,20.871862
2016-07-12,20.16,20.290001,19.860001,20.059999,79800,20.004278
2016-07-11,19.73,20.25,19.639999,20.110001,104100,20.05414
2016-07-08,19.48,19.700001,19.35,19.559999,94700,19.505667
2016-07-07,18.98,19.440001,18.969999,19.34,58500,19.286278
2016-07-06,18.68,18.90,18.66,18.870001,134800,18.817585
2016-07-05,18.889999,18.90,18.549999,18.85,63300,18.79764
2016-07-01,19.00,19.49,18.629999,18.85,102800,18.79764
2016-06-30,19.10,19.10,18.690001,19.040001,121200,18.987112
2016-06-29,18.85,19.049999,18.65,18.93,111600,18.877417
2016-06-28,18.67,18.90,18.450001,18.629999,92600,18.57825
2016-06-27,19.34,19.34,18.299999,18.40,125100,18.348889
2016-06-24,19.370001,19.85,19.02,19.48,185200,19.425889
2016-06-23,20.01,20.27,19.870001,20.139999,60800,20.084055
2016-06-22,20.01,20.110001,19.67,19.76,82500,19.705112
2016-06-21,20.91,20.91,19.639999,20.049999,114800,19.994305
2016-06-20,21.469999,21.690001,20.879999,21.01,192300,20.95164
2016-06-17,21.25,21.48,21.200001,21.280001,92800,21.22089
2016-06-16,21.200001,21.450001,21.02,21.309999,49500,21.250806
2016-06-15,21.620001,21.67,21.200001,21.280001,77900,21.22089
2016-06-14,21.139999,21.629999,20.84,21.540001,75000,21.480168
2016-06-13,21.969999,22.120001,21.040001,21.290001,57800,21.230863
2016-06-10,22.459999,22.83,22.01,22.120001,46800,22.058557
2016-06-09,22.48,22.82,22.459999,22.559999,41100,22.497333
2016-06-08,22.389999,22.83,22.290001,22.629999,50500,22.567139
2016-06-07,22.77,22.77,22.309999,22.469999,52600,22.407583
2016-06-06,22.360001,22.719999,22.24,22.530001,61000,22.467418
2016-06-03,21.77,22.559999,21.52,22.43,78800,22.367695
2016-06-02,21.92,22.10,21.60,21.73,40800,21.669639
2016-06-01,21.450001,22.00,21.33,21.98,49000,21.918944
2016-05-31,21.51,21.8
60001,21.40,21.58,46200,21.520056
2016-05-27,21.23,21.610001,21.110001,21.52,34200,21.460223
2016-05-26,21.459999,21.629999,21.23,21.290001,27100,21.230863
2016-05-25,21.57,21.67,21.00,21.48,62500,21.420333
2016-05-24,20.98,21.77,20.98,21.540001,33100,21.480168
2016-05-23,21.40,21.58,21.00,21.02,50600,20.961612
2016-05-20,20.68,21.469999,20.549999,21.450001,54200,21.390418
2016-05-19,21.18,21.370001,20.469999,20.59,73900,20.532806
2016-05-18,20.940001,21.57,20.940001,21.190001,82500,21.13114
2016-05-17,21.209999,21.57,20.809999,21.07,94700,21.011472
2016-05-16,21.26,21.889999,21.16,21.33,64800,21.27075
2016-05-13,21.23,21.66,21.23,21.309999,54900,21.250806
2016-05-12,21.309999,21.74,21.07,21.299999,53100,21.240833
2016-05-11,21.75,21.780001,21.25,21.27,45300,21.210918
2016-05-10,21.889999,21.98,21.450001,21.559999,60300,21.500111
2016-05-09,21.01,21.98,21.01,21.75,56000,21.689584
2016-05-06,21.549999,21.73,20.889999,21.08,79600,21.021445
2016-05-05,21.42,21.799999,20.559999,21.629999,90000,21.569916
2016-05-04,20.50,22.93,19.82,21.43,303700,21.370473
2016-05-03,18.82,19.200001,18.68,18.969999,209300,18.917305
2016-05-02,19.139999,19.299999,18.75,19.049999,84000,18.997083
2016-04-29,18.92,19.299999,18.809999,19.049999,59800,18.997083
2016-04-28,18.790001,19.110001,18.75,19.07,99000,19.017028
2016-04-27,18.870001,18.99,18.67,18.940001,120600,18.827556
2016-04-26,18.719999,18.93,18.389999,18.92,38600,18.807675
2016-04-25,19.209999,19.34,18.65,18.700001,43300,18.588981
2016-04-22,18.950001,19.24,18.879999,19.18,39100,19.066131
2016-04-21,19.059999,19.25,18.91,19.01,145500,18.89714
2016-04-20,18.66,19.33,18.66,19.139999,71700,19.026368
2016-04-19,18.41,18.65,18.34,18.629999,114100,18.519395
2016-04-18,18.18,18.66,18.18,18.52,86100,18.41005
2016-04-15,18.75,18.75,18.219999,18.42,54900,18.310643
2016-04-14,19.030001,19.17,18.60,18.75,84000,18.638684
2016-04-13,18.540001,19.24,18.540001,19.059999,80400,18.946843
2016-04-12,18.32,18.780001,18.00,18.50,123800,18.390168
2016-04-11,19.10,19.209999,18.33,18.35,148400,18.241059
2016-04-08,19.00,19.15,18.65,19.129999,90400,19.016427
2016-04-07,19.040001,19.40,18.90,18.98,74800,18.867318
2016-04-06,18.870001,19.16,18.75,19.139999,92200,19.026368
2016-04-05,19.10,19.32,18.50,18.93,177800,18.817616
2016-04-04,19.26,19.790001,19.10,19.18,123300,19.066131
2016-04-01,19.59,19.700001,19.299999,19.40,43500,19.284825
2016-03-31,19.950001,20.200001,19.52,19.66,93100,19.543281
2016-03-30,19.780001,20.07,19.40,19.940001,60700,19.82162
2016-03-29,19.32,19.799999,19.32,19.75,154900,19.632747
2016-03-28,19.360001,19.450001,18.83,19.309999,64000,19.195359
2016-03-24,20.00,20.15,18.68,19.360001,131800,19.245063
2016-03-23,20.16,20.16,19.85,19.93,209000,19.811679
2016-03-22,20.18,20.33,19.940001,20.120001,104300,20.000551
2016-03-21,20.120001,20.530001,19.860001,20.190001,100800,20.070135
2016-03-18,20.34,20.34,19.75,20.120001,89900,20.000551
2016-03-17,20.389999,20.73,20.120001,20.190001,105500,20.070135
2016-03-16,20.389999,20.73,20.389999,20.57,76600,20.447878
2016-03-15,20.50,20.690001,20.049999,20.41,127600,20.288829
2016-03-14,20.610001,20.940001,19.860001,20.690001,223800,20.567167
