Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,11.93,12.00,11.88,11.96,111400,11.96
2016-08-04,11.92,11.92,11.87,11.87,66700,11.87
2016-08-03,11.92,11.93,11.80,11.90,64400,11.90
2016-08-02,11.98,11.98,11.87,11.88,78900,11.88
2016-08-01,11.98,12.05,11.95,12.02,50400,12.02
2016-07-29,11.95,12.08,11.92,11.98,136200,11.98
2016-07-28,11.94,11.95,11.88,11.94,88700,11.94
2016-07-27,11.91,11.95,11.87,11.91,95000,11.91
2016-07-26,11.82,11.87,11.79,11.87,96400,11.87
2016-07-25,11.84,11.85,11.77,11.81,69400,11.81
2016-07-22,11.79,11.84,11.79,11.81,102200,11.81
2016-07-21,11.79,11.83,11.76,11.81,92400,11.81
2016-07-20,11.76,11.80,11.74,11.79,84700,11.79
2016-07-19,11.77,11.77,11.67,11.77,168700,11.77
2016-07-18,11.76,11.78,11.69,11.78,123900,11.78
2016-07-15,11.76,11.76,11.68,11.74,55600,11.74
2016-07-14,11.68,11.76,11.68,11.73,61300,11.73
2016-07-13,11.70,11.73,11.60,11.68,57900,11.68
2016-07-12,11.76,11.76,11.68,11.70,126700,11.70
2016-07-11,11.73,11.76,11.67,11.69,85400,11.69
2016-07-08,11.65,11.76,11.65,11.71,84100,11.71
2016-07-07,11.59,11.61,11.50,11.58,84900,11.58
2016-07-06,11.52,11.57,11.48,11.57,112400,11.57
2016-07-05,11.59,11.59,11.48,11.50,196100,11.50
2016-07-01,11.48,11.69,11.48,11.65,186500,11.65
2016-06-30,11.49,11.60,11.44,11.55,127200,11.55
2016-06-29,11.46,11.49,11.35,11.46,166200,11.46
2016-06-28,11.18,11.40,11.17,11.36,160700,11.36
2016-06-27,11.22,11.28,11.12,11.13,86500,11.13
2016-06-24,11.10,11.32,11.09,11.30,85700,11.30
2016-06-23,11.46,11.48,11.43,11.45,32100,11.45
2016-06-22,11.47,11.47,11.36,11.40,152500,11.40
2016-06-21,11.46,11.48,11.41,11.43,82900,11.43
2016-06-20,11.50,11.50,11.41,11.49,93100,11.49
2016-06-17,11.58,11.62,11.51,11.61,69200,11.35
2016-06-16,11.55,11.56,11.41,11.56,45900,11.30112
2016-06-15,11.57,11.59,11.53,11.55,59000,11.291344
2016-06-14,11.57,11.59,11.42,11.55,70600,11.291344
2016-06-13,11.61,11.69,11.54,11.61,101200,11.35
2016-06-10,11.78,11.79,11.65,11.65,43300,11.389104
2016-06-09,11.77,11.86,11.77,11.83,56700,11.565073
2016-06-08,11.82,11.83,11.77,11.82,48300,11.555297
2016-06-07,11.68,11.80,11.65,11.78,61000,11.516193
2016-06-06,11.55,11.66,11.55,11.65,75200,11.389104
2016-06-03,11.53,11.57,11.53,11.55,87400,11.291344
2016-06-02,11.56,11.61,11.53,11.55,114200,11.291344
2016-06-01,11.40,11.54,11.40,11.54,56700,11.281568
2016-05-31,11.45,11.46,11.39,11.44,36400,11.183807
2016-05-27,11.37,11.42,11.36,11.38,21300,11.125151
2016-05-26,11.42,11.42,11.33,11.35,50400,11.095823
2016-05-25,11.35,11.42,11.35,11.38,74700,11.125151
2016-05-24,11.24,11.36,11.24,11.36,46200,11.105598
2016-05-23,11.12,11.25,11.12,11.23,41200,10.97851
2016-05-20,11.18,11.23,11.11,11.15,62700,10.900301
2016-05-19,11.26,11.29,11.14,11.16,32800,10.910077
2016-05-18,11.32,11.34,11.23,11.26,71300,11.007838
2016-05-17,11.38,11.45,11.30,11.37,105800,11.115375
2016-05-16,11.29,11.39,11.29,11.36,113300,11.105598
2016-05-13,11.31,11.32,11.27,11.29,18600,11.037166
2016-05-12,11.34,11.34,11.25,11.29,48200,11.037166
2016-05-11,11.30,11.35,11.28,11.28,78600,11.02739
