Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,8.04,8.09,7.83,8.05,272600,8.05
2016-08-04,8.14,8.15,8.00,8.05,305500,8.05
2016-08-03,7.88,8.15,7.85,8.14,446600,8.14
2016-08-02,7.64,7.81,7.64,7.80,445800,7.80
2016-08-01,7.61,7.65,7.44,7.50,235200,7.50
2016-07-29,7.60,7.62,7.54,7.61,143900,7.61
2016-07-28,7.57,7.61,7.53,7.60,104200,7.60
2016-07-27,7.58,7.60,7.52,7.55,122800,7.55
2016-07-26,7.60,7.61,7.54,7.58,158300,7.58
2016-07-25,7.52,7.62,7.41,7.58,201200,7.58
2016-07-22,7.40,7.52,7.40,7.50,115600,7.50
2016-07-21,7.50,7.50,7.31,7.41,250900,7.41
2016-07-20,7.57,7.57,7.48,7.51,119400,7.51
2016-07-19,7.55,7.60,7.53,7.58,143800,7.517
2016-07-18,7.50,7.59,7.50,7.55,199300,7.48725
2016-07-15,7.45,7.53,7.43,7.51,163600,7.447582
2016-07-14,7.44,7.45,7.40,7.45,164900,7.38808
2016-07-13,7.36,7.42,7.36,7.40,134000,7.338496
2016-07-12,7.33,7.38,7.27,7.36,197000,7.298829
2016-07-11,7.32,7.38,7.27,7.33,204300,7.269078
2016-07-08,7.36,7.38,7.31,7.33,154200,7.269078
2016-07-07,7.31,7.34,7.30,7.34,125000,7.278995
2016-07-06,7.25,7.33,7.20,7.31,149300,7.249244
2016-07-05,7.22,7.28,7.19,7.26,124300,7.19966
2016-07-01,7.16,7.24,7.16,7.23,142500,7.169909
2016-06-30,7.18,7.18,7.12,7.16,117100,7.100491
2016-06-29,7.10,7.16,7.06,7.16,92000,7.100491
2016-06-28,7.05,7.10,7.02,7.07,105000,7.011239
2016-06-27,7.07,7.09,7.00,7.01,219700,6.951738
2016-06-24,7.02,7.16,7.00,7.10,207500,7.040989
2016-06-23,7.17,7.17,7.11,7.15,97400,7.090574
2016-06-22,7.12,7.18,7.07,7.10,93800,7.040989
2016-06-21,7.16,7.16,7.08,7.12,94200,7.060823
2016-06-20,7.09,7.24,7.07,7.13,271000,7.07074
2016-06-17,7.04,7.08,7.04,7.07,89700,7.011239
2016-06-16,7.00,7.06,6.99,7.06,114800,7.001322
2016-06-15,7.04,7.06,7.00,7.02,129100,6.961654
2016-06-14,7.06,7.09,7.01,7.07,207400,6.948762
2016-06-13,7.06,7.10,7.01,7.06,222200,6.938934
2016-06-10,7.06,7.07,6.98,7.04,240700,6.919277
2016-06-09,7.07,7.10,7.01,7.07,199000,6.948762
2016-06-08,7.13,7.15,7.05,7.09,168500,6.968419
