Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,0.80,0.81,0.80,0.80,18600,0.80
2016-08-04,0.85,0.88,0.80,0.80,34200,0.80
2016-08-03,0.75,0.88,0.74,0.87,44900,0.87
2016-08-02,0.748,0.82,0.622,0.75,181400,0.75
2016-08-01,0.788,0.81,0.69,0.75,90500,0.75
2016-07-29,0.75,0.85,0.75,0.84,54500,0.84
2016-07-28,0.77,0.87,0.75,0.85,50100,0.85
2016-07-27,0.75,0.85,0.73,0.84,62600,0.84
2016-07-26,0.88,0.919,0.75,0.77,108300,0.77
2016-07-25,0.871,0.871,0.871,0.871,000,0.871
2016-07-22,0.94,1.15,0.85,0.871,884000,0.871
2016-07-21,0.79,0.97,0.74,0.93,283600,0.93
2016-07-20,0.71,0.79,0.71,0.79,227100,0.79
2016-07-19,0.76,0.80,0.70,0.707,232700,0.707
2016-07-18,0.956,0.956,0.752,0.77,353700,0.77
2016-07-15,0.91,0.97,0.891,0.91,103300,0.91
2016-07-14,0.97,0.97,0.91,0.928,34700,0.928
2016-07-13,0.92,0.95,0.89,0.93,116700,0.93
2016-07-12,0.963,0.963,0.92,0.935,69100,0.935
2016-07-11,0.92,1.00,0.90,0.963,231100,0.963
2016-07-08,0.94,1.007,0.91,0.95,191900,0.95
2016-07-07,1.07,1.10,0.94,0.956,599700,0.956
2016-07-06,0.93,1.23,0.92,1.03,1237100,1.03
2016-07-05,1.89,1.98,1.70,1.80,325000,1.80
2016-07-01,1.90,2.05,1.87,1.94,157100,1.94
2016-06-30,1.96,2.03,1.87,1.94,169300,1.94
2016-06-29,2.20,2.20,1.89,1.96,150500,1.96
2016-06-28,1.87,2.09,1.87,2.08,144000,2.08
2016-06-27,2.08,2.09,1.80,1.94,166700,1.94
2016-06-24,2.05,2.20,1.97,2.16,301900,2.16
2016-06-23,2.22,2.35,2.07,2.20,399500,2.20
2016-06-22,2.38,2.45,2.10,2.23,555100,2.23
2016-06-21,2.12,2.43,2.03,2.27,1704500,2.27
2016-06-20,3.02,3.09,2.20,2.28,4330400,2.28
2016-06-17,1.89,3.38,1.89,3.30,14507600,3.30
2016-06-16,1.47,2.17,1.47,2.05,3596600,2.05
2016-06-15,1.44,1.485,1.35,1.41,103900,1.41
2016-06-14,1.62,1.77,1.40,1.45,400200,1.45
2016-06-13,1.19,2.42,1.19,1.87,6879700,1.87
2016-06-10,1.19,1.26,1.19,1.22,71500,1.22
2016-06-09,1.264,1.30,1.10,1.25,193500,1.25
2016-06-08,1.325,1.35,1.25,1.25,16100,1.25
2016-06-07,1.24,1.35,1.24,1.266,37500,1.266
2016-06-06,1.24,1.27,1.22,1.27,19800,1.27
2016-06-03,1.37,1.39,1.21,1.22,100600,1.22
2016-06-02,1.25,1.383,1.25,1.33,82400,1.33
2016-06-01,1.161,1.32,1.16,1.291,148000,1.291
2016-05-31,1.14,1.23,1.14,1.19,45700,1.19
2016-05-27,1.12,1.20,1.12,1.14,26600,1.14
2016-05-26,1.22,1.24,1.13,1.16,45600,1.16
2016-05-25,1.15,1.26,1.15,1.19,37500,1.19
2016-05-24,1.16,1.23,1.03,1.16,119500,1.16
2016-05-23,1.25,1.45,1.15,1.15,226600,1.15
2016-05-20,1.04,1.34,0.985,1.32,266500,1.32
2016-05-19,1.13,1.13,0.98,1.008,132000,1.008
2016-05-18,0.97,1.16,0.93,1.10,203800,1.10
2016-05-17,1.03,1.03,0.97,1.00,40500,1.00
2016-05-16,1.08,1.096,0.99,1.00,144800,1.00
2016-05-13,1.23,1.23,1.09,1.10,76000,1.10
2016-05-12,1.37,1.62,1.04,1.18,598600,1.18
2016-05-11,1.97,2.13,1.86,1.96,20600,1.96
2016-05-10,1.94,2.15,1.94,2.12,56700,2.12
2016-05-09,1.81,2.01,1.712,1.91,45300,1.91
2016-05-06,1.83,1.85,1.72,1.73,17900,1.73
2016-05-05,1.92,1.94,1.81,1.81,19800,1.81
2016-05-04,1.97,1.97,1.81,1.96,60400,1.96
2016-05-03,1.93,2.03,1.88,1.94,35200,1.94
2016-05-02,2.00,2.04,1.93,1.96,31
800,1.96
2016-04-29,2.032,2.04,1.91,1.933,52100,1.933
2016-04-28,2.23,2.23,2.03,2.14,52900,2.14
2016-04-27,2.20,2.20,2.10,2.20,52200,2.20
2016-04-26,2.19,2.27,2.11,2.14,41300,2.14
2016-04-25,2.02,2.20,2.02,2.16,60800,2.16
2016-04-22,1.96,2.12,1.88,2.07,46900,2.07
2016-04-21,1.94,2.00,1.90,1.96,16000,1.96
2016-04-20,1.92,1.94,1.86,1.94,45400,1.94
2016-04-19,2.04,2.08,1.92,1.95,28200,1.95
2016-04-18,2.02,2.164,1.98,2.01,16600,2.01
2016-04-15,2.09,2.17,2.00,2.00,33600,2.00
2016-04-14,1.97,2.23,1.85,2.07,188200,2.07
2016-04-13,2.00,2.13,1.90,1.94,57300,1.94
2016-04-12,2.15,2.165,2.01,2.01,44900,2.01
2016-04-11,2.16,2.238,2.15,2.15,53000,2.15
2016-04-08,2.34,2.38,2.15,2.15,101600,2.15
2016-04-07,2.34,2.38,2.17,2.32,62200,2.32
2016-04-06,2.18,2.29,2.127,2.28,50900,2.28
2016-04-05,2.26,2.33,2.10,2.148,45100,2.148
2016-04-04,2.29,2.35,2.20,2.28,43300,2.28
2016-04-01,2.10,2.54,2.10,2.26,350200,2.26
2016-03-31,1.891,2.16,1.87,2.09,119800,2.09
2016-03-30,1.95,1.95,1.84,1.88,29300,1.88
2016-03-29,1.869,1.99,1.86,1.92,29300,1.92
2016-03-28,1.89,1.969,1.791,1.86,20600,1.86
2016-03-24,1.95,2.20,1.82,1.91,116600,1.91
2016-03-23,1.69,2.03,1.66,1.95,201700,1.95
2016-03-22,1.67,1.75,1.57,1.68,61600,1.68
2016-03-21,1.96,1.96,1.68,1.77,33600,1.77
2016-03-18,1.52,1.99,1.20,1.79,324900,1.79
2016-03-17,1.78,1.84,1.496,1.56,229000,1.56
2016-03-16,2.13,2.13,1.78,1.89,309700,1.89
2016-03-15,2.16,2.26,1.95,2.20,429700,2.20
2016-03-14,2.63,2.88,2.09,2.16,1808400,2.16
2016-03-11,1.14,2.67,1.14,2.38,4991500,2.38
2016-03-10,1.35,1.35,1.13,1.14,57700,1.14
2016-03-09,1.14,1.35,1.10,1.23,51500,1.23
