Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,14.24,14.70,14.20,14.63,672500,14.63
2016-08-04,14.19,14.39,14.06,14.08,646000,14.08
2016-08-03,14.01,14.19,13.78,14.17,877200,14.17
2016-08-02,14.77,14.80,14.16,14.18,695200,14.18
2016-08-01,14.74,14.91,14.62,14.76,809700,14.76
2016-07-29,14.75,14.80,14.60,14.72,750300,14.72
2016-07-28,14.79,14.79,14.45,14.73,763100,14.73
2016-07-27,14.74,14.90,14.70,14.80,806900,14.80
2016-07-26,14.48,14.79,14.48,14.74,990300,14.74
2016-07-25,14.36,14.44,14.26,14.42,891100,14.42
2016-07-22,14.40,14.44,14.17,14.36,480800,14.36
2016-07-21,14.48,14.64,14.35,14.42,625700,14.42
2016-07-20,14.36,14.51,14.27,14.41,581500,14.41
2016-07-19,14.65,14.67,14.26,14.29,1425300,14.29
2016-07-18,15.37,15.44,15.20,15.38,638500,15.38
2016-07-15,15.47,15.61,15.28,15.29,727500,15.29
2016-07-14,15.52,15.71,15.37,15.37,454600,15.37
2016-07-13,15.65,15.72,15.46,15.52,565500,15.52
2016-07-12,15.48,15.78,15.44,15.65,941900,15.65
2016-07-11,15.31,15.43,15.10,15.41,787300,15.41
2016-07-08,14.98,15.24,14.86,15.19,679500,15.19
2016-07-07,14.75,14.88,14.54,14.71,852100,14.71
2016-07-06,14.45,14.77,14.23,14.72,951300,14.72
2016-07-05,14.99,15.13,14.45,14.50,718000,14.50
2016-07-01,15.00,15.29,14.99,15.06,619700,15.06
2016-06-30,14.72,15.06,14.64,15.05,891900,15.05
2016-06-29,14.48,14.70,14.42,14.65,686700,14.65
2016-06-28,14.35,14.58,14.15,14.29,852300,14.29
2016-06-27,14.57,14.57,13.89,14.23,1206100,14.23
2016-06-24,14.79,14.99,14.63,14.77,1207200,14.77
2016-06-23,15.47,15.63,15.29,15.30,942200,15.30
2016-06-22,15.80,15.83,15.30,15.30,827400,15.30
2016-06-21,15.79,15.80,15.50,15.71,951400,15.71
2016-06-20,15.71,16.030001,15.66,15.68,1017200,15.68
2016-06-17,15.20,15.74,15.13,15.43,1621300,15.43
2016-06-16,15.64,15.70,15.15,15.23,1050100,15.23
2016-06-15,15.24,15.77,15.19,15.65,1295600,15.65
2016-06-14,15.24,15.42,14.97,15.23,712200,15.23
2016-06-13,15.25,15.39,15.17,15.25,820300,15.25
2016-06-10,15.11,15.38,14.52,15.30,1479100,15.30
2016-06-09,15.77,15.89,15.25,15.36,1360400,15.36
2016-06-08,15.80,15.94,15.56,15.77,1273700,15.77
2016-06-07,15.56,15.97,15.37,15.85,928900,15.85
