Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,0.73,0.76,0.73,0.76,2490700,0.76
2016-08-04,0.77,0.78,0.75,0.76,2773100,0.76
2016-08-03,0.78,0.78,0.74,0.76,3122900,0.76
2016-08-02,0.79,0.83,0.76,0.76,8312100,0.76
2016-08-01,0.78,0.79,0.71,0.76,8476900,0.76
2016-07-29,0.80,0.82,0.78,0.78,4977100,0.78
2016-07-28,0.79,0.80,0.77,0.79,4839000,0.79
2016-07-27,0.79,0.81,0.75,0.77,6163600,0.77
2016-07-26,0.76,0.83,0.75,0.79,11930500,0.79
2016-07-25,1.00,1.00,0.77,0.78,14304500,0.78
2016-07-22,0.99,1.02,0.98,1.00,3071200,1.00
2016-07-21,0.95,1.04,0.91,1.00,3980800,1.00
2016-07-20,1.01,1.04,0.95,0.96,6274900,0.96
2016-07-19,1.07,1.13,1.06,1.08,8461500,1.08
2016-07-18,1.02,1.04,0.97,1.03,5549300,1.03
2016-07-15,0.97,1.04,0.95,0.96,6935200,0.96
2016-07-14,0.78,0.99,0.77,0.96,13505300,0.96
2016-07-13,0.77,0.81,0.76,0.81,4691000,0.81
2016-07-12,0.77,0.79,0.75,0.77,3451800,0.77
2016-07-11,0.77,0.79,0.75,0.77,2709400,0.77
2016-07-08,0.73,0.77,0.71,0.76,3062200,0.76
2016-07-07,0.76,0.76,0.71,0.72,2439900,0.72
2016-07-06,0.75,0.78,0.73,0.76,4732200,0.76
2016-07-05,0.70,0.74,0.70,0.73,6369200,0.73
2016-07-01,0.68,0.70,0.65,0.69,3614900,0.69
2016-06-30,0.65,0.65,0.63,0.65,1016100,0.65
2016-06-29,0.65,0.66,0.63,0.65,1694900,0.65
2016-06-28,0.62,0.64,0.62,0.64,1125700,0.64
2016-06-27,0.67,0.67,0.61,0.63,2545000,0.63
2016-06-24,0.66,0.66,0.61,0.63,2907700,0.63
2016-06-23,0.60,0.61,0.59,0.59,865200,0.59
2016-06-22,0.60,0.62,0.59,0.62,869200,0.62
2016-06-21,0.60,0.62,0.60,0.60,987600,0.60
2016-06-20,0.62,0.63,0.60,0.62,1271100,0.62
2016-06-17,0.64,0.64,0.60,0.61,1656600,0.61
2016-06-16,0.66,0.67,0.60,0.62,2527800,0.62
2016-06-15,0.63,0.65,0.61,0.62,2715700,0.62
2016-06-14,0.59,0.65,0.56,0.62,1379200,0.62
2016-06-13,0.68,0.68,0.60,0.64,2653600,0.64
2016-06-10,0.66,0.67,0.63,0.64,2349000,0.64
2016-06-09,0.64,0.65,0.63,0.65,1539400,0.65
2016-06-08,0.63,0.64,0.62,0.63,2325500,0.63
2016-06-07,0.59,0.61,0.58,0.59,721400,0.59
2016-06-06,0.60,0.61,0.58,0.58,1915600,0.58
2016-06-03,0.58,0.62,0.57,0.58,3773200,0.58
2016-06-02,0.54,0.56,0.53,0.55,1087400,0.55
2016-06-01,0.53,0.55,0.51,0.53,912400,0.53
2016-05-31,0.50,0.54,0.50,0.52,867100,0.52
2016-05-27,0.55,0.55,0.50,0.52,920600,0.52
2016-05-26,0.56,0.56,0.53,0.55,867100,0.55
2016-05-25,0.50,0.55,0.49,0.53,2327400,0.53
2016-05-24,0.55,0.57,0.47,0.51,5271500,0.51
2016-05-23,0.56,0.58,0.55,0.56,1693100,0.56
2016-05-20,0.59,0.60,0.57,0.58,809100,0.58
2016-05-19,0.55,0.60,0.54,0.59,3396300,0.59
2016-05-18,0.62,0.63,0.57,0.59,1899500,0.59
2016-05-17,0.62,0.64,0.61,0.63,1219300,0.63
2016-05-16,0.65,0.65,0.62,0.63,1565400,0.63
2016-05-13,0.60,0.64,0.60,0.62,1332400,0.62
2016-05-12,0.67,0.67,0.60,0.60,2561400,0.60
2016-05-11,0.65,0.67,0.62,0.65,2105900,0.65
2016-05-10,0.59,0.65,0.57,0.64,2546800,0.64
2016-05-09,0.66,0.66,0.56,0.61,5293800,0.61
2016-05-06,0.68,0.70,0.66,0.67,1994000,0.67
2016-05-05,0.66,0.71,0.64,0.66,3305200,0.66
2016-05-04,0.69,0.70,0.61,0.66,3428700,0.66
2016-05-03,0.71,0.72,0.68,0.71,2270600,0.71
2016-05-02,0.72,0.73,0.69,0.71,3435400,0.71
2016-04-29,0.72,0.72,0.68,0.69,4274900,0.69
2016-04-28,0.70,0.73,0.68,0.69,7422300,0.69
2016-04-27,0.72,0.76,0.69,0.75,2891200,0.75
2016-04-26,0.69,0.71,0.69,0.70,2355100,0.70
2016-04-25,0.72,0.74,0.70,0.71,1500800,0.71
2016-04-22,0.72,0.76,0.70,0.71,1831
800,0.71
2016-04-21,0.73,0.75,0.70,0.72,2339600,0.72
2016-04-20,0.77,0.78,0.69,0.70,4184100,0.70
2016-04-19,0.82,0.84,0.76,0.77,6051300,0.77
2016-04-18,0.73,0.78,0.71,0.77,6143900,0.77
2016-04-15,0.61,0.74,0.61,0.70,5851700,0.70
2016-04-14,0.61,0.63,0.57,0.59,3151100,0.59
2016-04-13,0.56,0.62,0.53,0.60,4939600,0.60
2016-04-12,0.55,0.55,0.50,0.54,2475000,0.54
2016-04-11,0.51,0.54,0.50,0.53,3250500,0.53
2016-04-08,0.47,0.50,0.47,0.49,1789100,0.49
2016-04-07,0.48,0.48,0.47,0.48,1266800,0.48
2016-04-06,0.48,0.48,0.46,0.47,1347800,0.47
2016-04-05,0.46,0.48,0.45,0.48,1313900,0.48
2016-04-04,0.45,0.47,0.44,0.45,994900,0.45
2016-04-01,0.43,0.46,0.43,0.46,1394200,0.46
2016-03-31,0.45,0.47,0.44,0.46,1287900,0.46
2016-03-30,0.45,0.47,0.43,0.44,1463400,0.44
2016-03-29,0.42,0.46,0.42,0.46,2501800,0.46
2016-03-28,0.45,0.45,0.40,0.42,2091800,0.42
2016-03-24,0.42,0.45,0.42,0.45,1215100,0.45
2016-03-23,0.42,0.44,0.41,0.43,2232300,0.43
2016-03-22,0.44,0.48,0.44,0.45,1883800,0.45
2016-03-21,0.44,0.45,0.42,0.44,1578500,0.44
2016-03-18,0.43,0.46,0.43,0.45,2167600,0.45
2016-03-17,0.50,0.51,0.44,0.45,3096200,0.45
2016-03-16,0.45,0.49,0.41,0.49,2769800,0.49
2016-03-15,0.42,0.45,0.40,0.45,2333600,0.45
2016-03-14,0.49,0.49,0.42,0.42,4448300,0.42
