Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,1.40,1.45,1.38,1.42,606800,1.42
2016-08-04,1.48,1.51,1.35,1.50,2084300,1.50
2016-08-03,1.55,1.55,1.49,1.51,264600,1.51
2016-08-02,1.60,1.63,1.55,1.56,536800,1.56
2016-08-01,1.51,1.60,1.48,1.57,518700,1.57
2016-07-29,1.49,1.50,1.45,1.50,464400,1.50
2016-07-28,1.49,1.51,1.44,1.45,397300,1.45
2016-07-27,1.41,1.52,1.41,1.42,651000,1.42
2016-07-26,1.37,1.45,1.27,1.40,1491500,1.40
2016-07-25,1.51,1.53,1.37,1.41,1090500,1.41
2016-07-22,1.57,1.58,1.55,1.57,425800,1.57
2016-07-21,1.60,1.63,1.58,1.59,538100,1.59
2016-07-20,1.67,1.67,1.60,1.61,352100,1.61
2016-07-19,1.60,1.69,1.60,1.67,436800,1.67
2016-07-18,1.66,1.68,1.61,1.61,602300,1.61
2016-07-15,1.65,1.74,1.64,1.68,701100,1.68
2016-07-14,1.74,1.75,1.67,1.72,513100,1.72
2016-07-13,1.75,1.81,1.75,1.77,597300,1.77
2016-07-12,1.85,1.86,1.71,1.75,762100,1.75
2016-07-11,1.86,1.89,1.79,1.85,689700,1.85
2016-07-08,1.84,1.90,1.65,1.89,1268500,1.89
2016-07-07,1.94,1.95,1.80,1.84,832500,1.84
2016-07-06,2.07,2.10,1.92,1.97,1096500,1.97
2016-07-05,1.96,2.05,1.92,2.04,749200,2.04
2016-07-01,1.90,1.95,1.84,1.95,821700,1.95
2016-06-30,1.83,1.86,1.79,1.86,630300,1.86
2016-06-29,1.78,1.84,1.75,1.77,618900,1.77
2016-06-28,1.70,1.75,1.68,1.75,441500,1.75
2016-06-27,1.78,1.87,1.69,1.73,961700,1.73
2016-06-24,1.87,1.88,1.71,1.78,952500,1.78
2016-06-23,1.74,1.76,1.66,1.75,435200,1.75
2016-06-22,1.72,1.73,1.62,1.71,628100,1.71
2016-06-21,1.73,1.75,1.65,1.67,632600,1.67
2016-06-20,1.74,1.79,1.67,1.77,668000,1.77
2016-06-17,1.78,1.78,1.70,1.76,398600,1.76
2016-06-16,1.85,1.89,1.65,1.72,1165000,1.72
2016-06-15,1.77,1.85,1.73,1.78,626400,1.78
2016-06-14,1.78,1.84,1.75,1.76,548700,1.76
2016-06-13,1.73,1.77,1.68,1.77,703600,1.77
2016-06-10,1.76,1.83,1.63,1.66,606600,1.66
2016-06-09,1.75,1.76,1.70,1.76,476900,1.76
2016-06-08,1.66,1.74,1.66,1.71,703400,1.71
2016-06-07,1.68,1.70,1.63,1.64,433600,1.64
2016-06-06,1.73,1.73,1.64,1.71,1177600,1.71
2016-06-03,1.67,1.71,1.62,1.62,1221700,1.62
2016-06-02,1.56,1.60,1.53,1.60,1215700,1.60
2016-06-01,1.58,1.58,1.50,1.51,460100,1.51
2016-05-31,1.58,1.69,1.54,1.56,672900,1.56
2016-05-27,1.69,1.69,1.55,1.62,903900,1.62
2016-05-26,1.66,1.70,1.57,1.65,580000,1.65
2016-05-25,1.51,1.67,1.48,1.61,1290200,1.61
2016-05-24,1.78,1.78,1.58,1.65,928300,1.65
2016-05-23,1.69,1.89,1.65,1.78,1410200,1.78
2016-05-20,1.61,1.63,1.53,1.63,534100,1.63
2016-05-19,1.53,1.60,1.45,1.60,811700,1.60
2016-05-18,1.53,1.63,1.46,1.51,974200,1.51
2016-05-17,1.48,1.54,1.46,1.54,495100,1.54
2016-05-16,1.52,1.56,1.47,1.50,402300,1.50
2016-05-13,1.55,1.59,1.46,1.49,531800,1.49
2016-05-12,1.61,1.62,1.45,1.54,531800,1.54
2016-05-11,1.58,1.62,1.50,1.55,778200,1.55
2016-05-10,1.42,1.50,1.41,1.50,333700,1.50
2016-05-09,1.41,1.58,1.38,1.44,1054100,1.44
2016-05-06,1.34,1.65,1.32,1.65,1190700,1.65
2016-05-05,1.31,1.35,1.25,1.32,1838200,1.32
2016-05-04,1.22,1.28,1.15,1.28,349900,1.28
2016-05-03,1.25,1.27,1.20,1.22,107300,1.22
2016-05-02,1.34,1.34,1.20,1.23,273300,1.23
2016-04-29,1.29,1.33,1.27,1.2
7,417300,1.27
2016-04-28,1.21,1.30,1.17,1.27,378000,1.27
2016-04-27,1.21,1.22,1.15,1.22,304300,1.22
2016-04-26,1.16,1.20,1.13,1.18,205600,1.18
2016-04-25,1.25,1.25,1.16,1.16,308200,1.16
2016-04-22,1.18,1.30,1.16,1.24,310500,1.24
2016-04-21,1.23,1.24,1.18,1.19,223200,1.19
2016-04-20,1.28,1.29,1.19,1.21,288300,1.21
2016-04-19,1.26,1.32,1.24,1.27,607400,1.27
2016-04-18,1.20,1.24,1.20,1.20,209300,1.20
2016-04-15,1.22,1.22,1.18,1.22,200400,1.22
2016-04-14,1.20,1.25,1.15,1.15,329800,1.15
2016-04-13,1.19,1.25,1.13,1.25,411000,1.25
2016-04-12,1.25,1.25,1.17,1.22,261900,1.22
2016-04-11,1.21,1.28,1.21,1.25,368900,1.25
2016-04-08,1.11,1.22,1.11,1.17,513400,1.17
2016-04-07,1.07,1.12,1.06,1.12,475000,1.12
2016-04-06,1.05,1.10,1.05,1.10,138200,1.10
2016-04-05,1.06,1.09,1.06,1.06,79300,1.06
2016-04-04,1.12,1.12,1.06,1.08,115500,1.08
2016-04-01,0.99,1.14,0.99,1.10,273600,1.10
2016-03-31,1.05,1.07,1.01,1.04,172000,1.04
2016-03-30,0.99,1.05,0.99,1.04,294600,1.04
2016-03-29,0.94,1.02,0.92,1.00,246900,1.00
2016-03-28,0.96,0.97,0.92,0.93,112400,0.93
2016-03-24,0.89,0.97,0.89,0.96,220400,0.96
2016-03-23,0.93,0.96,0.88,0.91,360000,0.91
2016-03-22,0.94,1.01,0.94,0.96,151500,0.96
2016-03-21,1.01,1.01,0.94,0.95,188900,0.95
2016-03-18,1.01,1.01,0.99,1.00,106600,1.00
2016-03-17,1.03,1.05,1.00,1.00,340600,1.00
2016-03-16,0.95,1.02,0.92,1.02,401500,1.02
2016-03-15,0.95,0.97,0.93,0.94,283400,0.94
2016-03-14,1.00,1.04,0.96,0.97,260400,0.97
2016-03-11,1.01,1.05,1.00,1.00,333900,1.00
2016-03-10,0.95,1.06,0.95,0.98,635800,0.98
2016-03-09,0.96,1.00,0.94,0.98,372700,0.98
2016-03-08,1.05,1.05,0.95,1.01,338300,1.01
2016-03-07,1.06,1.06,1.00,1.02,544300,1.02
2016-03-04,1.15,1.16,0.93,1.01,1260500,1.01
2016-03-03,1.11,1.17,1.09,1.12,892900,1.12
2016-03-02,0.98,1.09,0.97,1.08,501800,1.08
2016-03-01,0.97,0.99,0.95,0.97,621500,0.97
2016-02-29,0.84,0.93,0.84,0.92,337600,0.92
2016-02-26,0.89,0.90,0.83,0.87,127800,0.87
2016-02-25,0.88,0.89,0.83,0.89,305100,0.89
2016-02-24,0.91,0.91,0.85,0.86,315200,0.86
2016-02-23,0.91,0.93,0.85,0.87,1488400,0.87
2016-02-22,0.85,0.93,0.82,0.88,623900,0.88
2016-02-19,0.81,0.89,0.81,0.85,616700,0.85
2016-02-18,0.75,0.83,0.75,0.81,573000,0.81
2016-02-17,0.75,0.78,0.75,0.77,245300,0.77
2016-02-16,0.76,0.77,0.73,0.75,293700,0.75
2016-02-12,0.80,0.81,0.76,0.76,228700,0.76
2016-02-11,0.81,0.85,0.78,0.80,501900,0.80
2016-02-10,0.79,0.79,0.75,0.77,147600,0.77
2016-02-09,0.78,0.79,0.77,0.77,222100,0.77
2016-02-08,0.77,0.80,0.74,0.77,548800,0.77
2016-02-05,0.74,0.74,0.72,0.74,87100,0.74
2016-02-04,0.74,0.74,0.69,0.74,195700,0.74
2016-02-03,0.70,0.74,0.67,0.73,1327200,0.73
2016-02-02,0.70,0.70,0.66,0.69,109800,0.69
2016-02-01,0.66,0.75,0.66,0.69,290100,0.69
2016-01-29,0.66,0.66,0.64,0.64,40100,0.64
2016-01-28,0.66,0.66,0.63,0.65,44100,0.65
2016-01-27,0.64,0.66,0.63,0.66,42000,0.66
2016-01-26,0.62,0.66,0.62,0.65,73000,0.65
2016-01-25,0.60,0.62,0.56,0.62,85000,0.62
2016-01-22,0.61,0.61,0.59,0.60,89300,0.60
2016-01-21,0.56,0.60,0.56,0.60,86300,0.60
2016-01-20,0.54,0.57,0.54,0.57,76800,0.57
2016-01-19,0.58,0.61,0.54,0.54,199700,0.54
2016-01-15,0.59,0.61,0.57,0.60,121600,0.60
2016-01-14,0.62,0.63,0.58,0.59,123100,0.59
2016-01-13,0.57,0.62,0.57,0.62,82700,0.62
2016-01-12,0.57,0.59,0.56,0.58,264500,0.58
2016-01-11,0.65,0.65,0.57,0.61,195200,0.61
2016-01-08,0.66,0.66,0.64,0.65,81200,0.65
2016-01-07,0.66,0.68,0.64,0.66,109800,0.66
2016-01-06,0.65,0.66,0.64,0.66,123200,0.66
2016-01-05,0.68,0.68,0.65,0.67,103800,0.67
2016-01-04,0.68,0.69,0.66,0.68,96000,0.68
2015-12-31,0.66,0.69,
0.66,0.68,133200,0.68
2015-12-30,0.66,0.69,0.66,0.67,77700,0.67
2015-12-29,0.66,0.67,0.65,0.66,46000,0.66
2015-12-28,0.64,0.68,0.64,0.66,32500,0.66
2015-12-24,0.65,0.66,0.63,0.66,100300,0.66
2015-12-23,0.64,0.66,0.63,0.64,311200,0.64
2015-12-22,0.65,0.65,0.63,0.64,90300,0.64
2015-12-21,0.64,0.65,0.64,0.65,194700,0.65
2015-12-18,0.63,0.67,0.63,0.64,97900,0.64
2015-12-17,0.62,0.64,0.61,0.63,144600,0.63
2015-12-16,0.63,0.64,0.61,0.62,119000,0.62
2015-12-15,0.62,0.63,0.60,0.63,106200,0.63
2015-12-14,0.63,0.64,0.60,0.62,95300,0.62
2015-12-11,0.59,0.64,0.59,0.61,322700,0.61
2015-12-10,0.61,0.61,0.59,0.59,83400,0.59
2015-12-09,0.56,0.60,0.56,0.59,202400,0.59
2015-12-08,0.56,0.57,0.56,0.57,70800,0.57
2015-12-07,0.53,0.57,0.53,0.57,128800,0.57
2015-12-04,0.54,0.56,0.54,0.55,111100,0.55
2015-12-03,0.57,0.57,0.52,0.55,120000,0.55
2015-12-02,0.56,0.56,0.50,0.53,74600,0.53
2015-12-01,0.55,0.56,0.53,0.55,49300,0.55
2015-11-30,0.53,0.56,0.53,0.55,57700,0.55
2015-11-27,0.55,0.55,0.53,0.53,36500,0.53
2015-11-25,0.56,0.58,0.52,0.58,142800,0.58
2015-11-24,0.56,0.56,0.55,0.55,115400,0.55
2015-11-23,0.57,0.57,0.53,0.55,85400,0.55
2015-11-20,0.56,0.56,0.54,0.56,89800,0.56
2015-11-19,0.59,0.59,0.56,0.57,223700,0.57
2015-11-18,0.54,0.58,0.51,0.57,226400,0.57
2015-11-17,0.56,0.57,0.49,0.53,171000,0.53
2015-11-16,0.56,0.58,0.54,0.54,108900,0.54
2015-11-13,0.57,0.57,0.56,0.56,178900,0.56
2015-11-12,0.55,0.58,0.55,0.58,227400,0.58
2015-11-11,0.55,0.57,0.52,0.55,212200,0.55
2015-11-10,0.55,0.63,0.53,0.54,793800,0.54
2015-11-09,0.45,0.48,0.45,0.47,73600,0.47
2015-11-06,0.42,0.44,0.40,0.44,86000,0.44
2015-11-05,0.45,0.46,0.42,0.44,173900,0.44
2015-11-04,0.42,0.47,0.41,0.43,609900,0.43
2015-11-03,0.41,0.42,0.39,0.41,62000,0.41
2015-11-02,0.40,0.41,0.39,0.40,56500,0.40
2015-10-30,0.41,0.42,0.39,0.40,30800,0.40
2015-10-29,0.40,0.41,0.39,0.41,50000,0.41
2015-10-28,0.39,0.41,0.38,0.41,103900,0.41
2015-10-27,0.40,0.40,0.38,0.39,38600,0.39
2015-10-26,0.41,0.42,0.40,0.41,50900,0.41
2015-10-23,0.39,0.40,0.38,0.40,153000,0.40
2015-10-22,0.40,0.41,0.38,0.40,75700,0.40
2015-10-21,0.41,0.41,0.38,0.41,21000,0.41
2015-10-20,0.39,0.41,0.39,0.41,7800,0.41
2015-10-19,0.41,0.42,0.38,0.38,103500,0.38
2015-10-16,0.42,0.42,0.40,0.41,200200,0.41
2015-10-15,0.41,0.42,0.39,0.41,122800,0.41
2015-10-14,0.40,0.41,0.38,0.40,91200,0.40
2015-10-13,0.39,0.41,0.38,0.38,30500,0.38
2015-10-12,0.44,0.45,0.38,0.41,22900,0.41
2015-10-09,0.37,0.42,0.37,0.41,64900,0.41
2015-10-08,0.38,0.40,0.37,0.38,60600,0.38
2015-10-07,0.42,0.42,0.38,0.38,35900,0.38
2015-10-06,0.36,0.42,0.35,0.40,82100,0.40
2015-10-05,0.37,0.39,0.35,0.38,177100,0.38
2015-10-02,0.38,0.39,0.36,0.37,208800,0.37
2015-10-01,0.38,0.39,0.38,0.39,25400,0.39
2015-09-30,0.40,0.40,0.38,0.38,40600,0.38
2015-09-29,0.39,0.40,0.38,0.39,45000,0.39
2015-09-28,0.42,0.43,0.40,0.40,72900,0.40
2015-09-25,0.44,0.44,0.42,0.42,64300,0.42
2015-09-24,0.43,0.45,0.43,0.44,80400,0.44
2015-09-23,0.43,0.43,0.41,0.42,54800,0.42
2015-09-22,0.44,0.44,0.42,0.42,87600,0.42
2015-09-21,0.43,0.44,0.43,0.44,60000,0.44
2015-09-18,0.43,0.44,0.42,0.43,71000,0.43
2015-09-17,0.43,0.43,0.42,0.42,95900,0.42
2015-09-16,0.41,0.43,0.41,0.43,132700,0.43
2015-09-15,0.43,0.43,0.39,0.41,179900,0.41
2015-09-14,0.41,0.44,0.40,0.42,122600,0.42
2015-09-11,0.42,0.44,0.40,0.41,192800,0.41
2015-09-10,0.37,0.40,0.37,0.40,192400,0.40
2015-09-09,0.35,0.37,0.33,0.36,36200,0.36
2015-09-08,0.34,0.36,0.33,0.34,104500,0.34
2015-09-04,0.37,0.37,0.34,0.35,29600,0.35
2015-09-03,0.37,0.38,0.35,0.37,48200,0.37
2015-09-02,0.33,0.38,0.33,0.37,66800,0.37
2015-09-01,0.35,0.35,0.33,0.34,44600,0.34
2015-08-31,0.35,0.35,0.34,0.34,35700,0.34
2015-08-28,0.34,0.37,0.34,0.36,53000,0.36
2015-08-27,0.33,0.34,0.32,0.33,34700,0.33
2015-08-26,0.33,0.36,0.33,0.33,81500,0.33
2015-08-25,0.38,0.38,0.32,0.33,130300,0.33
2015-08-24,0.40,0.40,0.38,0.38,114100,0.38
2015-08-21,0.40,0.41,0.39,0.41,55500,0.41
2015-08-20,0.38,0.40,0.37,0.40,112700,0.40
2015-08-19,0.36,0.40,0.34,0.38,124700,0.38
2015-08-18,0.38,0.38,0.36,0.36,19700,0.36
2015-08-17,0.38,0.39,0.38,0.38,27500,0.38
2015-08-14,0.39,0.39,0.38,0.39,17000,0.39
2015-08-13,0.39,0.42,0.37,0.38,103100,0.38
2015-08-12,0.41,0.41,0.38,0.40,62800,0.40
2015-08-11,0.38,0.39,0.37,0.39,59800,0.39
2015-08-10,0.37,0.42,0.36,0.39,86500,0.39
2015-08-07
,0.41,0.41,0.35,0.37,84500,0.37
2015-08-06,0.38,0.41,0.38,0.41,16100,0.41
2015-08-05,0.41,0.41,0.38,0.38,42700,0.38
2015-08-04,0.40,0.42,0.38,0.38,66600,0.38
2015-08-03,0.40,0.43,0.40,0.41,25900,0.41
2015-07-31,0.39,0.42,0.39,0.42,87600,0.42
2015-07-30,0.39,0.43,0.38,0.42,87100,0.42
2015-07-29,0.38,0.39,0.38,0.39,19100,0.39
2015-07-28,0.38,0.39,0.36,0.38,12600,0.38
2015-07-27,0.35,0.37,0.33,0.34,37400,0.34
2015-07-24,0.33,0.35,0.32,0.35,94200,0.35
2015-07-23,0.35,0.36,0.34,0.34,85700,0.34
2015-07-22,0.34,0.36,0.34,0.36,91800,0.36
2015-07-21,0.34,0.37,0.33,0.35,703100,0.35
2015-07-20,0.37,0.37,0.33,0.35,221700,0.35
2015-07-17,0.36,0.38,0.35,0.37,131400,0.37
2015-07-16,0.38,0.39,0.26,0.37,1595000,0.37
