Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,10.74,11.01,10.41,10.98,196000,10.98
2016-08-04,10.69,10.86,10.44,10.73,12700,10.64
2016-08-03,10.47,10.66,10.47,10.64,19600,10.550755
2016-08-02,10.40,10.50,10.15,10.44,54000,10.352432
2016-08-01,10.45,10.52,10.37,10.38,24700,10.292936
2016-07-29,10.80,10.80,10.43,10.48,42500,10.392097
2016-07-28,10.52,10.66,10.46,10.59,21600,10.501175
2016-07-27,10.68,10.77,10.47,10.64,16800,10.550755
2016-07-26,10.65,10.74,10.58,10.69,23700,10.600335
2016-07-25,10.63,10.84,10.63,10.73,15400,10.64
2016-07-22,10.85,11.02,10.66,10.83,77700,10.739161
2016-07-21,10.89,10.95,10.81,10.81,40400,10.71933
2016-07-20,10.99,11.00,10.90,10.97,15600,10.877987
2016-07-19,10.87,10.95,10.85,10.92,13500,10.828407
2016-07-18,10.96,11.06,10.82,10.86,44700,10.768909
2016-07-15,10.95,10.98,10.85,10.94,25400,10.848238
2016-07-14,10.86,10.98,10.82,10.86,16800,10.768909
2016-07-13,10.71,10.80,10.63,10.74,29000,10.649916
2016-07-12,10.37,10.75,10.31,10.66,108400,10.570587
2016-07-11,10.34,10.48,10.29,10.30,80900,10.213607
2016-07-08,10.31,10.35,10.26,10.33,65800,10.243355
2016-07-07,10.28,10.36,10.13,10.22,31400,10.134278
2016-07-06,10.27,10.29,10.16,10.20,20200,10.114445
2016-07-05,10.33,10.37,10.22,10.35,24300,10.263188
2016-07-01,10.50,10.60,10.28,10.44,31400,10.352432
2016-06-30,10.28,10.55,10.16,10.53,35800,10.441677
2016-06-29,10.03,10.26,10.03,10.21,37700,10.124362
2016-06-28,10.12,10.12,9.95,10.01,79000,9.92604
2016-06-27,10.11,10.19,9.91,10.02,58500,9.935956
2016-06-24,10.22,10.32,10.10,10.23,363500,10.144194
2016-06-23,10.51,10.83,10.51,10.62,73500,10.530923
2016-06-22,10.37,10.54,10.35,10.38,35100,10.292936
2016-06-21,10.41,10.48,10.26,10.39,130300,10.302852
2016-06-20,10.51,10.58,10.39,10.40,75000,10.312768
2016-06-17,10.60,10.64,10.17,10.30,181000,10.213607
2016-06-16,10.76,10.76,10.52,10.59,63600,10.501175
2016-06-15,10.93,10.98,10.74,10.86,101700,10.768909
2016-06-14,10.92,10.99,10.78,10.91,55900,10.81849
2016-06-13,10.97,11.02,10.72,10.94,41100,10.848238
2016-06-10,10.92,11.04,10.81,10.97,39500,10.877987
2016-06-09,11.02,11.03,10.72,10.95,45100,10.858155
2016-06-08,10.96,11.04,10.90,10.96,42700,10.868071
2016-06-07,10.88,11.00,10.84,10.93,22900,10.838323
2016-06-06,10.77,10.99,10.76,10.91,38600,10.81849
2016-06-03,10.72,10.81,10.68,10.79,21800,10.699497
2016-06-02,10.78,10.78,10.62,10.75,92800,10.659832
2016-06-01,10.66,10.82,10.65,10.76,27000,10.669749
2016-05-31,10.71,10.79,10.61,10.76,31600,10.669749
2016-05-27,10.55,10.68,10.52,10.67,17000,10.580503
2016-05-26,10.59,10.66,10.53,10.61,15500,10.521006
2016-05-25,10.74,10.79,10.60,10.63,38300,10.540839
2016-05-24,10.39,10.71,10.39,10.70,65100,10.610252
2016-05-23,10.35,10.40,10.24,10.31,21700,10.223523
2016-05-20,10.37,10.51,10.26,10.34,62300,10.253271
2016-05-19,10.53,10.60,10.20,10.29,26100,10.203691
2016-05-18,10.00,10.64,10.00,10.61,26500,10.521006
2016-05-17,10.33,10.33,9.87,10.09,67
900,10.005368
2016-05-16,10.36,10.54,10.17,10.42,31500,10.3326
2016-05-13,10.48,10.51,10.22,10.33,13700,10.243355
2016-05-12,10.45,10.54,10.42,10.50,41900,10.411929
2016-05-11,10.58,10.66,10.38,10.45,29700,10.362349
2016-05-10,10.46,10.66,10.44,10.62,32300,10.530923
2016-05-09,10.43,10.47,10.43,10.47,47900,10.382181
2016-05-06,10.37,10.46,10.29,10.44,45400,10.352432
2016-05-05,10.31,10.46,10.20,10.39,48500,10.213607
2016-05-04,10.28,10.46,10.18,10.39,35600,10.213607
2016-05-03,10.64,10.77,10.34,10.34,37300,10.164456
2016-05-02,10.43,10.86,10.43,10.75,67200,10.567495
2016-04-29,10.37,10.52,10.37,10.44,29000,10.262758
2016-04-28,10.52,10.55,10.39,10.42,28200,10.243098
2016-04-27,10.56,10.64,10.40,10.59,17000,10.410212
2016-04-26,10.48,10.59,10.20,10.56,41000,10.380721
2016-04-25,10.36,10.89,10.00,10.51,65800,10.33157
2016-04-22,10.06,10.60,9.90,10.41,41700,10.233267
2016-04-21,9.85,10.12,9.85,10.03,54300,9.859719
2016-04-20,10.30,10.47,9.90,10.00,127500,9.830228
2016-04-19,10.48,10.48,10.33,10.39,27000,10.213607
2016-04-18,10.39,10.55,10.32,10.46,26200,10.282419
2016-04-15,10.29,10.53,10.26,10.46,16800,10.282419
2016-04-14,10.26,10.54,10.26,10.34,19600,10.164456
2016-04-13,10.26,10.38,10.22,10.25,46100,10.075984
2016-04-12,9.90,10.11,9.87,10.06,70500,9.88921
2016-04-11,9.87,10.13,9.87,9.90,27300,9.731925
2016-04-08,9.90,9.97,9.83,9.86,20700,9.692605
2016-04-07,9.86,10.06,9.76,9.80,47500,9.633624
2016-04-06,9.87,9.97,9.82,9.95,39100,9.781077
2016-04-05,9.90,10.15,9.79,9.89,48500,9.722096
2016-04-04,10.06,10.08,9.92,9.95,46500,9.781077
2016-04-01,9.94,10.14,9.87,10.09,21100,9.9187
2016-03-31,10.03,10.13,9.96,10.01,125000,9.840059
2016-03-30,9.86,10.10,9.77,10.07,35400,9.899039
2016-03-29,9.71,9.91,9.63,9.83,40900,9.663114
2016-03-28,9.57,9.77,9.57,9.71,54900,9.545152
2016-03-24,9.55,9.67,9.55,9.66,53900,9.496
2016-03-23,9.70,9.76,9.58,9.61,69500,9.446849
2016-03-22,9.87,9.87,9.59,9.70,63400,9.535321
2016-03-21,10.23,10.28,9.86,9.88,33400,9.712265
2016-03-18,9.98,10.32,9.98,10.18,97800,10.007172
2016-03-17,9.39,9.97,9.31,9.95,81500,9.781077
2016-03-16,9.53,9.63,9.35,9.39,42300,9.230585
2016-03-15,9.72,9.72,9.40,9.60,46400,9.437019
2016-03-14,9.78,9.89,9.67,9.74,12100,9.574642
2016-03-11,9.94,9.94,9.64,9.86,34800,9.692605
2016-03-10,9.99,10.15,9.77,9.82,28300,9.653284
2016-03-09,9.85,10.04,9.77,9.97,34800,9.800738
2016-03-08,9.78,9.85,9.73,9.83,45800,9.663114
2016-03-07,9.57,9.85,9.49,9.81,48100,9.643454
2016-03-04,9.62,9.74,9.50,9.59,20700,9.427189
2016-03-03,9.57,9.71,9.55,9.60,34800,9.437019
2016-03-02,9.55,9.64,9.47,9.53,35900,9.368207
2016-03-01,9.37,9.63,9.37,9.57,31200,9.407528
2016-02-29,9.47,9.49,9.25,9.33,90000,9.171603
2016-02-26,9.45,9.62,9.30,9.42,24100,9.260075
2016-02-25,9.19,9.43,9.16,9.41,29500,9.250244
2016-02-24,9.03,9.17,9.00,9.14,36800,8.984829
2016-02-23,9.10,9.14,9.10,9.10,56000,8.945508
