Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,44.07,44.549999,43.939999,44.380001,439200,44.380001
2016-08-04,43.990002,44.369999,43.41,43.900002,966300,43.900002
2016-08-03,43.07,44.119999,43.009998,43.990002,759300,43.990002
2016-08-02,43.669998,43.889999,43.07,43.110001,581800,43.110001
2016-08-01,42.959999,43.970001,42.91,43.720001,1027800,43.720001
2016-07-29,42.48,43.209999,42.009998,43.169998,829400,43.059999
2016-07-28,43.619999,43.619999,42.860001,43.279999,500500,43.16972
2016-07-27,44.18,44.50,43.419998,43.630001,706200,43.51883
2016-07-26,43.959999,44.389999,43.860001,44.049999,850900,43.937758
2016-07-25,44.200001,44.540001,43.849998,43.939999,791500,43.828038
2016-07-22,44.599998,44.77,43.880001,44.25,900800,44.137249
2016-07-21,44.720001,46.450001,44.259998,44.84,1928100,44.725746
2016-07-20,42.16,42.860001,41.919998,42.75,677000,42.641071
2016-07-19,41.349998,42.450001,41.349998,42.099998,1196000,41.992726
2016-07-18,42.27,42.43,41.48,41.509998,1654200,41.404229
2016-07-15,42.59,42.740002,42.200001,42.259998,308100,42.152318
2016-07-14,42.110001,42.630001,41.990002,42.41,463700,42.301938
2016-07-13,42.169998,42.349998,41.490002,41.919998,727100,41.813184
2016-07-12,42.400002,42.790001,42.029999,42.209999,782700,42.102446
2016-07-11,41.919998,42.369999,41.790001,42.040001,584400,41.932881
2016-07-08,41.200001,41.990002,41.200001,41.880001,470500,41.773289
2016-07-07,40.599998,41.18,40.59,40.82,570200,40.715989
2016-07-06,41.09,41.240002,40.41,40.939999,504700,40.835682
2016-07-05,41.27,41.52,40.869999,41.16,448500,41.055123
2016-07-01,41.650002,42.060001,41.48,41.669998,491100,41.563821
2016-06-30,40.16,41.720001,40.16,41.639999,557400,41.533899
2016-06-29,39.919998,40.419998,39.68,40.16,505200,40.057671
2016-06-28,39.650002,39.650002,38.98,39.549999,524400,39.449224
2016-06-27,41.169998,41.169998,38.869999,39.150002,940200,39.050246
2016-06-24,41.41,41.810001,41.099998,41.330002,722800,41.224691
2016-06-23,42.830002,43.709999,42.57,42.970001,557300,42.860512
2016-06-22,42.209999,42.650002,42.169998,42.450001,314200,42.341837
2016-06-21,42.439999,42.59,42.169998,42.169998,356700,42.062547
2016-06-20,42.310001,42.759998,42.209999,42.259998,413200,42.152318
2016-06-17,41.669998,41.790001,41.41,41.77,494200,41.663569
2016-06-16,41.869999,41.900002,41.290001,41.720001,280600,41.613697
2016-06-15,42.299999,42.77,42.02,42.049999,370500,41.942854
2016-06-14,42.060001,42.509998,41.82,42.169998,476300,42.062547
2016-06-13,42.619999,42.900002,42.07,42.09,496200,41.982753
2016-06-10,43.639999,44.02,42.990002,43.049999,554600,42.940306
2016-06-09,43.93,44.34,43.869999,43.959999,444900,43.847987
2016-06-08,44.630001,44.689999,44.209999,44.259998,643700,44.147222
2016-06-07,44.119999,4
4.799999,44.119999,44.549999,665300,44.436484
2016-06-06,43.75,44.119999,43.41,43.98,1158800,43.867937
2016-06-03,43.98,44.34,43.16,43.669998,464100,43.558725
2016-06-02,43.709999,44.060001,43.41,44.060001,461100,43.947735
