Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,23.32,23.32,23.32,23.32,500,23.32
2016-08-11,23.049999,23.23,23.049999,23.23,3200,23.23
2016-08-10,22.98,22.98,22.98,22.98,000,22.98
2016-08-09,22.98,22.98,22.98,22.98,000,22.98
2016-08-08,22.98,22.98,22.98,22.98,100,22.98
2016-08-05,23.01,23.01,23.01,23.01,000,23.01
2016-08-04,23.01,23.01,23.01,23.01,000,23.01
2016-08-03,23.01,23.01,23.01,23.01,000,23.01
2016-08-02,22.90,23.040001,22.90,23.01,4000,23.01
2016-08-01,22.84,22.860001,22.77,22.860001,5700,22.860001
2016-07-29,22.93,22.93,22.93,22.93,200,22.93
2016-07-28,23.07,23.07,22.83,22.83,600,22.83
2016-07-27,22.889999,23.00,22.879999,23.00,1300,23.00
2016-07-26,22.959999,22.959999,22.959999,22.959999,000,22.959999
2016-07-25,23.110001,23.110001,22.959999,22.959999,900,22.959999
2016-07-22,23.10,23.10,23.049999,23.049999,1900,22.949999
2016-07-21,23.190001,23.190001,23.190001,23.190001,1100,23.089393
2016-07-20,23.18,23.18,23.18,23.18,000,23.079437
2016-07-19,23.18,23.18,23.18,23.18,400,23.079437
2016-07-18,23.040001,23.049999,22.91,22.91,1200,22.810607
2016-07-15,23.040001,23.040001,23.040001,23.040001,000,22.940045
2016-07-14,23.00,23.08,23.00,23.040001,2700,22.940045
2016-07-13,22.99,22.99,22.99,22.99,100,22.89026
2016-07-12,23.040001,23.040001,23.040001,23.040001,300,22.940045
2016-07-11,22.799999,23.02,22.77,23.01,6600,22.910174
2016-07-08,22.75,22.91,22.74,22.91,2100,22.810607
2016-07-07,22.58,22.68,22.58,22.639999,2400,22.541778
2016-07-06,22.610001,22.639999,22.60,22.639999,900,22.541778
2016-07-05,22.74,22.74,22.74,22.74,300,22.641345
2016-07-01,22.610001,22.610001,22.610001,22.610001,000,22.51191
2016-06-30,22.690001,22.690001,22.549999,22.610001,2900,22.51191
2016-06-29,22.67,22.67,22.42,22.42,9100,22.322734
2016-06-28,22.25,22.379999,22.219999,22.370001,4400,22.272951
2016-06-27,22.379999,22.379999,22.17,22.17,3000,22.073818
2016-06-24,22.610001,22.610001,22.309999,22.309999,4400,22.21321
2016-06-23,22.65,22.809999,22.65,22.74,6500,22.641345
2016-06-22,22.620001,22.620001,22.620001,22.620001,200,22.521867
2016-06-21,22.67,22.709999,22.530001,22.57,5500,22.472082
2016-06-20,22.559999,22.559999,22.559999,22.559999,100,22.462126
2016-06-17,22.49,22.66,22.48,22.66,16600,22.462126
2016-06-16,22.549999,22.549999,22.549999,22.549999,1300,22.353085
2016-06-15,22.67,22.67,22.67,22.67,000,22.472038
2016-06-14,22.67,22.68,22.66,22.67,4800,22.472038
2016-06-13,22.67,22.67,22.67,22.67,700,22.472038
2016-06-10,22.700001,22.780001,22.700001,22.719999,5900,22.521601
2016-06-09,22.68,22.68,22.68,22.68,000,22.481951
2016-06-08,22.68,22.68,22.68,22.68,400,22.481951
2016-06-07,22.610001,22.76,22.610001,22.76,800,22.561253
2016-06-06,22.610001,22.610001,22.549999,22.559999,7600,22.362998
2016-06-03,22.559999,22.559999,22.549999,22.549999,3100,22.353085
2016-06-02,22.59,22.690001,22.58,22.58,500,22.382824
2016-06-01,22.59,22.59,22.59,22.59,000,22.392737
2016-05-31,22.59,22.59,22.59,22.59,000,22.392737
2016-05-27,22.530001,22.59,22.530001,22.59,1500,22.392737
2016-05-26,22.50,22.59,22.50,22.59,4500,22.392737
2016-05-25,22.379999,22.57,22.379999,22.450001,2900,22.25396
2016-05-24,22.440001,22.440001,22.440001,22.440001,400,22.244047
2016-05-23,22.24,22.379999,22.219999,22.23,3500,22.03588
2016-05-20,22.40,22.440001,22.379999,22.440001,10900,22.149877
2016-05-19,22.540001,22.540001,22.540001,22.540001,800,22.248585
2016-05-18,22.299999,22.51,22.299999,22.51,23300,22.218972
2016-05-17,22.370001,22.370001,22.370001,22.370001,30300,22.080783
2016-05-16,22.49,22.50,22.49,22.49,1100,22.19923
2016-05-13,22.360001,22.360001,22.360001,22.360001,100,22.070912
2016-05-12,22.469999,22.469999,22.360001,22.360001,2000,22.070912
2016-05-11,22.360001,22.360001,22.360001,22.360001,400,22.070912
2016-05-10,22.200001,22.24,22.200001,22.24,5600,21.952462
2016-05-09,22.23,22.23,22.23,22.23,000,21.942591
2016-05-06,22.23,22.23,22.23,22.23,100,21.942591
2016-05-05,22.360001,22.43,22.33,22.33,3200,22.041299
2016-05-04,22.41,22.41,22.41,22.41,000,22.120264
2016-05-03,22.41,22.41,22.41,22.41,000,22.120264
2016-05-02,22.41,22.42,22.299999,22.41,3200,22.120264
2016-04-29,22.459999,22.459999,22.32,22.32,900,22.031428
2016-04-28,22.42,22.440001,22.42,22.440001,900,22.149877
2016-04-27,22.42,22.469999,22.33,22.469999,3700,22.179488
