Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,35.130001,36.48,35.119999,36.130001,849300,36.130001
2016-08-04,34.689999,34.860001,34.43,34.82,204700,34.82
2016-08-03,34.130001,34.830002,34.119999,34.82,259400,34.82
2016-08-02,35.16,35.220001,34.119999,34.240002,319000,34.240002
2016-08-01,34.990002,35.200001,34.82,35.130001,409800,35.130001
2016-07-29,34.869999,35.209999,34.810001,34.84,413200,34.84
2016-07-28,34.849998,35.240002,34.66,35.139999,384900,35.139999
2016-07-27,34.720001,35.099998,34.720001,35.009998,742000,35.009998
2016-07-26,34.740002,34.84,34.50,34.75,688000,34.75
2016-07-25,34.889999,34.939999,34.610001,34.77,325900,34.77
2016-07-22,34.709999,34.91,34.220001,34.880001,1105700,34.880001
2016-07-21,34.540001,34.720001,33.93,34.52,1095600,34.52
2016-07-20,35.75,35.799999,34.299999,34.77,2042500,34.77
2016-07-19,36.740002,37.389999,36.50,37.299999,655700,37.299999
2016-07-18,36.830002,37.049999,36.779999,36.919998,456500,36.919998
2016-07-15,36.790001,37.07,36.299999,36.75,500200,36.75
2016-07-14,36.689999,37.189999,36.450001,36.529999,279600,36.529999
2016-07-13,36.619999,36.650002,36.09,36.330002,497600,36.330002
2016-07-12,36.290001,36.860001,36.119999,36.689999,667300,36.689999
2016-07-11,35.740002,35.970001,35.540001,35.889999,488900,35.889999
2016-07-08,35.400002,35.619999,35.049999,35.389999,419100,35.389999
2016-07-07,34.310001,34.860001,34.27,34.830002,687900,34.830002
2016-07-06,34.049999,34.419998,33.66,34.080002,562500,34.080002
2016-07-05,35.00,35.099998,33.950001,34.049999,692300,34.049999
2016-07-01,35.23,35.43,34.75,35.049999,534100,35.049999
2016-06-30,35.290001,35.549999,34.669998,35.400002,920300,35.400002
2016-06-29,35.16,35.330002,34.650002,35.259998,508000,35.259998
2016-06-28,34.549999,34.630001,33.799999,34.299999,771600,34.299999
2016-06-27,35.200001,35.509998,33.75,33.790001,1437000,33.790001
2016-06-24,36.00,36.59,35.560001,35.560001,1690000,35.560001
2016-06-23,37.09,37.759998,37.00,37.630001,366700,37.630001
2016-06-22,36.32,36.73,36.200001,36.66,493200,36.66
2016-06-21,36.720001,36.830002,36.25,36.349998,293200,36.349998
2016-06-20,37.080002,37.34,36.599998,36.689999,338900,36.689999
2016-06-17,36.790001,37.00,36.349998,36.419998,407100,36.419998
2016-06-16,36.889999,37.119999,36.400002,36.720001,650600,36.720001
2016-06-15,36.959999,37.759998,36.950001,37.259998,718100,37.259998
2016-06-14,37.73,37.880001,36.709999,36.900002,645300,36.900002
2016-06-13,38.66,39.07,37.82,37.82,392500,37.82
2016-06-10,39.50,40.07,38.869999,39.02,1339000,39.02
2016-06-09,40.060001,40.119999,39.639999,39.990002,983900,39.990002
2016-06-08,40.200001,40.25,39.860001,40.25,1605100,40.25
2016-06-07,40.189999,40.380001,39.889999,40.220001,614600,40.220001
2016-06-06,39.18,40.290001,39.18,40.18,1285400,40.18
2016-06-03,39.560001,39.669998,38.66,39.18,1100200,39.18
2016-06-02,39.900002,40.119999,39.619999,40.099998,1813500,40.099998
2016-06-0
1,39.740002,40.09,39.580002,39.990002,1012800,39.990002
2016-05-31,40.029999,40.310001,39.860001,40.18,1022200,40.18
2016-05-27,39.310001,40.060001,39.310001,40.009998,3435600,40.009998
2016-05-26,39.799999,39.830002,39.290001,39.450001,425200,39.35
2016-05-25,39.200001,40.029999,39.200001,39.790001,1005100,39.689139
2016-05-24,37.849998,39.040001,37.799999,39.00,532900,38.90114
2016-05-23,37.66,37.810001,37.23,37.639999,465900,37.544587
2016-05-20,36.990002,37.68,36.98,37.639999,454100,37.544587
2016-05-19,37.18,37.790001,36.330002,36.720001,328100,36.626921
2016-05-18,35.889999,37.459999,35.860001,37.380001,809300,37.285248
2016-05-17,35.849998,36.34,35.630001,35.919998,359700,35.828946
2016-05-16,35.939999,36.48,35.639999,35.880001,320200,35.78905
2016-05-13,36.810001,37.150002,35.900002,35.939999,381600,35.848896
2016-05-12,37.060001,37.509998,36.610001,36.830002,419200,36.736643
2016-05-11,37.139999,37.66,36.959999,36.959999,207400,36.86631
2016-05-10,36.93,37.580002,36.93,37.330002,244700,37.235375
2016-05-09,36.950001,37.139999,36.470001,36.82,258000,36.726666
2016-05-06,36.669998,36.990002,36.23,36.919998,335400,36.826411
2016-05-05,37.119999,37.349998,36.630001,36.77,212400,36.676793
2016-05-04,37.34,37.830002,36.73,36.93,313700,36.836388
2016-05-03,38.580002,38.759998,37.34,37.650002,274500,37.554564
2016-05-02,38.02,38.790001,37.810001,38.77,470100,38.671724
2016-04-29,38.419998,38.48,37.720001,38.00,395600,37.903675
2016-04-28,39.34,39.450001,38.43,38.610001,374200,38.512129
2016-04-27,39.810001,40.060001,39.580002,39.77,237700,39.669189
2016-04-26,39.52,40.02,39.220001,39.990002,609700,39.888632
2016-04-25,39.919998,40.00,39.27,39.459999,377100,39.359973
2016-04-22,39.919998,40.400002,39.82,40.169998,693400,40.068173
2016-04-21,40.00,40.150002,39.68,40.040001,580400,39.938505
2016-04-20,41.00,41.400002,39.509998,40.25,1005800,40.147972
2016-04-19,40.130001,40.349998,39.240002,39.939999,752800,39.838756
2016-04-18,39.470001,40.330002,39.330002,40.16,618800,40.0582
2016-04-15,39.740002,39.779999,39.16,39.389999,375200,39.290151
2016-04-14,40.00,40.110001,39.459999,39.580002,474400,39.479672
2016-04-13,38.869999,40.040001,38.689999,40.040001,735400,39.938505
2016-04-12,38.290001,38.689999,38.09,38.57,349400,38.47223
2016-04-11,37.950001,38.860001,37.950001,38.150002,419100,38.053296
2016-04-08,38.150002,38.450001,37.389999,37.630001,323300,37.534614
2016-04-07,38.93,39.07,37.369999,37.84,612600,37.744081
2016-04-06,38.560001,39.380001,38.509998,39.169998,529900,39.070707
2016-04-05,39.02,39.02,38.099998,38.450001,517300,38.352535
2016-04-04,39.880001,40.200001,38.860001,39.259998,418500,39.160479
2016-04-01,39.09,40.080002,38.650002,40.00,680400,39.898605
2016-03-31,39.060001,39.610001,38.91,39.32,398500,39.220329
2016-03-30,39.119999,39.509998,38.91,39.220001,473100,39.120584
2016-03-29,38.34,39.18,38.040001,39.080002,381700,38.980939
2016-03-28,38.470001,38.689999,37.970001,38.599998,258900,38.502153
2016-03-24,37.880001,38.439999,37.509998,38.419998,372300,38.322609
2016-03-23,38.740002,38.990002,37.790001,38.139999,425100,38.04332
2016-03-22,38.330002,39.259998,38.130001,38.84,355700,38.741546
2016-03-21,38.98,39.400002,38.169998,38.700001,631700,38.601901
2016-03-18,38.25,39.189999,38.25,39.040001,456000,38.94104
2016-03-17,37.75,38.48,37.
169998,38.16,507500,38.063269
2016-03-16,37.68,38.639999,37.549999,37.900002,364600,37.80393
2016-03-15,38.599998,38.599998,37.209999,37.990002,522300,37.893702
2016-03-14,38.779999,39.049999,37.400002,38.860001,379300,38.761496
2016-03-11,38.490002,39.060001,38.310001,39.049999,589900,38.951013
2016-03-10,38.25,38.57,37.189999,38.099998,537700,38.00342
2016-03-09,38.509998,38.529999,37.68,37.830002,864000,37.734108
2016-03-08,38.580002,38.59,38.16,38.290001,910700,38.192941
2016-03-07,37.689999,38.869999,37.310001,38.790001,851300,38.691673
2016-03-04,37.57,38.889999,37.299999,37.959999,1828400,37.863776
2016-03-03,35.720001,37.139999,35.540001,37.130001,892900,37.035881
2016-03-02,35.349998,35.709999,35.139999,35.619999,621800,35.529707
2016-03-01,34.150002,35.66,34.130001,35.66,995000,35.569607
2016-02-29,34.990002,34.990002,33.970001,34.169998,542100,34.083382
2016-02-26,34.50,35.189999,34.459999,34.950001,657400,34.861407
2016-02-25,33.48,34.330002,33.389999,34.310001,422400,34.123284
2016-02-24,33.07,33.580002,32.400002,33.450001,541800,33.267963
2016-02-23,33.939999,34.209999,33.23,33.650002,611000,33.466875
2016-02-22,33.700001,34.189999,33.57,33.950001,521400,33.765242
2016-02-19,32.59,33.599998,32.509998,33.43,590800,33.248071
2016-02-18,33.25,33.48,32.68,32.869999,679100,32.691118
2016-02-17,32.130001,33.25,32.02,33.02,1013700,32.840303
2016-02-16,31.51,32.09,31.309999,31.83,542900,31.656778
2016-02-12,31.290001,31.450001,30.24,30.799999,877300,30.632383
2016-02-11,30.10,30.870001,29.610001,30.43,827500,30.264398
2016-02-10,31.18,31.559999,30.91,30.959999,894400,30.791512
2016-02-09,29.620001,30.90,29.50,30.67,847900,30.503091
2016-02-08,30.43,30.66,29.77,30.08,787200,29.916302
2016-02-05,31.32,31.799999,30.77,30.99,763100,30.82135
2016-02-04,31.92,32.919998,31.49,31.639999,655600,31.467812
2016-02-03,31.82,31.969999,30.889999,31.780001,1363100,31.607051
2016-02-02,32.400002,32.439999,31.459999,31.84,1207500,31.666724
2016-02-01,32.25,32.970001,31.75,32.599998,1402600,32.422587
2016-01-29,31.459999,32.290001,31.459999,32.27,951800,32.094384
2016-01-28,32.189999,32.400002,31.370001,31.459999,974700,31.288791
2016-01-27,31.50,32.470001,31.35,31.969999,1149400,31.796016
2016-01-26,31.85,32.240002,31.440001,31.67,1155500,31.497649
2016-01-25,32.990002,33.029999,31.719999,31.799999,568700,31.626941
2016-01-22,32.459999,33.310001,32.369999,33.16,1067100,32.97954
2016-01-21,33.27,33.720001,31.889999,31.959999,1329500,31.78607
2016-01-20,32.25,34.00,31.549999,33.439999,2634500,33.258015
2016-01-19,34.599998,34.860001,33.259998,33.490002,1245000,33.307746
2016-01-15,34.009998,34.330002,32.990002,34.099998,1499600,33.914423
2016-01-14,34.50,35.330002,33.830002,34.93,1073800,34.739908
2016-01-13,35.919998,36.080002,33.799999,34.380001,1037400,34.192902
2016-01-12,35.900002,36.560001,34.790001,35.830002,1554500,35.635012
2016-01-11,36.799999,37.529999,36.07,36.490002,908600,36.29142
2016-01-08,38.23,38.419998,37.189999,37.25,859700,37.047282
2016-01-07,39.00,39.169998,37.209999,37.549999,1049800,3
7.345649
2016-01-06,40.52,40.98,39.130001,39.73,1403600,39.513786
2016-01-05,42.18,42.880001,41.130001,41.189999,742000,40.965839
2016-01-04,42.66,43.139999,42.240002,42.439999,980000,42.209037
2015-12-31,43.549999,44.470001,43.360001,43.599998,509800,43.362724
2015-12-30,43.610001,44.040001,43.580002,43.68,231600,43.44229
2015-12-29,43.41,44.049999,43.200001,43.66,302100,43.422399
2015-12-28,42.610001,43.209999,42.43,43.189999,183600,42.954955
2015-12-24,42.580002,43.150002,42.41,42.73,122200,42.497459
2015-12-23,42.650002,43.91,42.130001,42.580002,200800,42.348278
2015-12-22,42.049999,42.389999,41.75,42.330002,245800,42.099638
2015-12-21,41.779999,42.32,41.529999,41.900002,285200,41.671978
2015-12-18,42.610001,42.889999,41.419998,41.540001,1490200,41.313937
2015-12-17,43.950001,44.099998,42.759998,42.799999,632000,42.567078
2015-12-16,42.779999,43.810001,42.369999,43.630001,623400,43.392563
2015-12-15,41.66,42.400002,41.66,42.290001,387200,42.059855
2015-12-14,41.700001,42.119999,40.689999,41.27,559200,41.045406
2015-12-11,42.41,43.00,41.209999,41.470001,610600,41.244318
2015-12-10,42.639999,43.52,42.43,43.02,254800,42.785882
2015-12-09,43.66,43.84,42.57,42.77,465800,42.537243
2015-12-08,43.599998,43.919998,43.060001,43.700001,548900,43.462182
2015-12-07,44.630001,44.810001,44.029999,44.200001,413500,43.959461
2015-12-04,43.540001,44.849998,43.43,44.639999,552500,44.397065
2015-12-03,44.32,44.490002,43.169998,43.48,451300,43.243378
2015-12-02,44.450001,44.799999,43.84,44.040001,598600,43.800332
2015-12-01,43.540001,44.419998,43.369999,44.279999,813000,44.039023
2015-11-30,43.73,43.73,43.27,43.360001,481000,43.124032
2015-11-27,43.400002,43.779999,43.299999,43.57,157300,43.332888
2015-11-25,43.610001,43.93,43.369999,43.580002,316000,43.24338
2015-11-24,43.099998,43.790001,42.779999,43.34,589500,43.005232
2015-11-23,43.200001,43.849998,42.93,43.360001,503800,43.025078
2015-11-20,42.860001,43.400002,42.860001,43.02,566200,42.687704
2015-11-19,42.93,43.34,42.560001,42.709999,485600,42.380097
2015-11-18,41.98,43.16,41.860001,43.07,441000,42.737317
2015-11-17,41.880001,42.450001,41.57,41.799999,438400,41.477127
2015-11-16,41.27,41.650002,40.93,41.580002,364300,41.258829
2015-11-13,41.740002,41.98,41.119999,41.299999,283900,40.980989
2015-11-12,42.689999,42.689999,41.740002,42.029999,340700,41.70535
2015-11-11,43.490002,43.490002,42.84,42.91,365200,42.578553
2015-11-10,43.450001,43.52,42.360001,42.990002,360800,42.657937
2015-11-09,43.959999,43.959999,43.139999,43.490002,440000,43.154075
2015-11-06,42.619999,44.220001,42.490002,43.799999,795000,43.461678
2015-11-05,41.689999,42.18,41.560001,41.970001,335000,41.645815
2015-11-04,42.330002,42.330002,41.650002,41.740002,302900,41.417592
2015-11-03,42.32,42.68,41.990002,42.119999,483100,41.794655
2015-11-02,41.50,42.73,41.450001,42.34,623400,42.012956
2015-10-30,41.43,41.59,40.93,41.139999,443200,40.822225
2015-10-29,41.41,42.049999,41.279999,41.57,437000,41.248904
2015-10-28,39.59,41.790001,39.400002,41.720001,662100,41.397747
2015-10-27,39.77,40.040001,39.389999,39.639999,346900,39.333811
2015-10-26,38.880001,39.93,38.610001,39.869999,379200,39.562034
2015-10-23
,39.00,39.50,38.650002,39.310001,357700,39.006362
2015-10-22,38.50,39.09,38.220001,38.540001,610000,38.242309
2015-10-21,39.970001,40.860001,37.66,38.369999,1081100,38.07362
2015-10-20,40.099998,40.91,39.709999,40.669998,986000,40.355854
2015-10-19,39.099998,40.09,39.029999,39.810001,660000,39.5025
2015-10-16,38.740002,39.459999,38.400002,39.380001,713100,39.075821
2015-10-15,37.419998,38.650002,37.209999,38.50,559500,38.202617
2015-10-14,37.880001,37.880001,36.709999,37.049999,831400,36.763817
2015-10-13,39.049999,39.169998,37.970001,38.009998,472300,37.716401
2015-10-12,38.950001,39.880001,38.279999,39.09,419600,38.78806
2015-10-09,40.169998,40.169998,38.619999,38.950001,504200,38.649142
2015-10-08,39.369999,39.98,39.189999,39.950001,586100,39.641418
2015-10-07,39.41,39.529999,38.939999,39.419998,647300,39.115509
2015-10-06,40.330002,40.34,38.869999,39.119999,811400,38.817827
2015-10-05,39.220001,40.470001,39.220001,40.330002,901900,40.018484
