Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,5.11,5.20,5.09,5.20,29200,5.20
2016-08-11,5.05,5.20,4.95,5.16,67400,5.16
2016-08-10,5.08,5.15,5.01,5.08,39000,5.08
2016-08-09,5.33,5.33,4.99,5.07,100900,5.07
2016-08-08,5.20,5.35,5.11,5.17,111700,5.17
2016-08-05,5.05,5.18,4.95,5.18,150800,5.18
2016-08-04,5.03,5.12,4.87,5.00,84800,5.00
2016-08-03,5.02,5.10,5.00,5.07,23600,5.07
2016-08-02,5.10,5.12,4.96,5.06,35500,5.06
2016-08-01,5.15,5.20,5.10,5.16,34500,5.16
2016-07-29,5.12,5.22,5.00,5.18,80700,5.18
2016-07-28,5.02,5.14,5.02,5.10,40900,5.10
2016-07-27,5.01,5.14,4.97,5.06,41600,5.06
2016-07-26,4.98,5.01,4.90,5.00,24900,5.00
2016-07-25,5.05,5.09,4.96,5.00,13900,5.00
2016-07-22,5.06,5.13,4.95,5.08,52000,5.08
2016-07-21,5.16,5.24,5.01,5.06,49100,5.06
2016-07-20,5.17,5.20,5.10,5.20,59400,5.20
2016-07-19,5.18,5.25,5.15,5.19,51700,5.19
2016-07-18,5.12,5.25,5.03,5.22,100100,5.22
2016-07-15,5.08,5.19,4.93,5.12,77600,5.12
2016-07-14,5.00,5.07,4.99,5.04,49300,5.04
2016-07-13,5.11,5.12,4.90,4.98,54500,4.98
2016-07-12,5.04,5.13,4.88,5.12,122000,5.12
2016-07-11,4.66,4.86,4.61,4.86,116800,4.86
2016-07-08,4.59,4.81,4.50,4.66,99200,4.66
2016-07-07,4.59,4.62,4.55,4.62,23100,4.62
2016-07-06,4.61,4.70,4.59,4.60,37400,4.60
2016-07-05,4.70,4.75,4.61,4.70,81700,4.70
2016-07-01,4.69,4.76,4.63,4.75,102500,4.75
2016-06-30,4.70,4.76,4.42,4.73,85200,4.73
2016-06-29,4.68,4.69,4.58,4.65,69100,4.65
2016-06-28,4.48,4.54,4.30,4.52,141700,4.52
2016-06-27,4.70,4.74,4.23,4.33,127000,4.33
2016-06-24,4.50,4.96,4.50,4.77,1437400,4.77
2016-06-23,4.60,4.74,4.60,4.68,109200,4.68
2016-06-22,4.68,4.68,4.50,4.58,67400,4.58
2016-06-21,4.62,4.65,4.49,4.65,100800,4.65
2016-06-20,4.52,4.70,4.41,4.62,157300,4.62
2016-06-17,4.66,4.70,4.46,4.46,281900,4.46
2016-06-16,4.72,4.72,4.60,4.70,87800,4.70
2016-06-15,4.57,4.74,4.36,4.68,134000,4.68
2016-06-14,4.59,4.75,4.30,4.55,165900,4.55
2016-06-13,4.91,4.91,4.56,4.62,199600,4.62
2016-06-10,4.66,4.87,4.66,4.83,134400,4.83
2016-06-09,4.69,4.83,4.40,4.70,184500,4.70
2016-06-08,4.66,4.85,4.55,4.61,180200,4.61
2016-06-07,4.90,4.95,4.61,4.73,251600,4.73
2016-06-06,5.05,5.05,4.83,4.86,205600,4.86
2016-06-03,4.84,5.25,4.81,5.04,821800,5.04
2016-06-02,5.00,5.00,4.70,4.80,120800,4.80
2016-06-01,5.03,5.04,4.70,5.02,202000,5.02
2016-05-31,5.18,5.31,5.05,5.09,247200,5.09
2016-05-27,5.16,5.16,5.01,5.15,51700,5.15
2016-05-26,5.10,5.25,4.91,5.08,75600,5.08
2016-05-25,5.09,5.55,5.07,5.10,135700,5.10
2016-05-24,5.05,5.12,4.62,5.10,231900,5.10
2016-05-23,5.20,5.20,4.93,5.00,23400,5.00
2016-05-20,5.07,5.14,4.98,5.10,54600,5.10
2016-05-19,5.10,5.20,4.92,5.02,108100,5.02
