Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,7.14,7.15,7.09,7.09,328100,7.09
2016-08-11,7.12,7.15,7.10,7.12,324700,7.12
2016-08-10,7.10,7.15,7.09,7.15,307900,7.15
2016-08-09,7.09,7.14,7.08,7.10,230600,7.10
2016-08-08,7.09,7.09,7.04,7.06,428600,7.06
2016-08-05,7.03,7.09,7.03,7.05,405600,7.05
2016-08-04,7.06,7.09,7.00,7.02,258000,7.02
2016-08-03,7.06,7.06,6.92,7.04,277900,7.04
2016-08-02,7.16,7.16,7.06,7.07,358700,7.07
2016-08-01,7.26,7.26,7.15,7.19,285900,7.19
2016-07-29,7.25,7.32,7.24,7.32,523400,7.244
2016-07-28,7.20,7.25,7.19,7.25,325900,7.174727
2016-07-27,7.19,7.21,7.16,7.21,384300,7.135142
2016-07-26,7.11,7.18,7.10,7.17,485500,7.095557
2016-07-25,7.08,7.10,7.04,7.10,305700,7.026284
2016-07-22,7.05,7.11,7.04,7.11,295000,7.03618
2016-07-21,7.02,7.03,7.01,7.03,317400,6.957011
2016-07-20,7.04,7.06,7.02,7.06,288700,6.986699
2016-07-19,7.03,7.03,6.99,7.01,344100,6.937219
2016-07-18,7.01,7.03,6.99,7.01,335000,6.937219
2016-07-15,7.06,7.06,6.96,6.98,308400,6.90753
2016-07-14,7.00,7.04,6.95,7.03,794900,6.957011
2016-07-13,6.88,6.95,6.86,6.91,687300,6.838257
2016-07-12,6.84,6.87,6.81,6.83,1111900,6.759087
2016-07-11,6.75,6.81,6.75,6.76,570900,6.689814
2016-07-08,6.79,6.79,6.73,6.74,279800,6.670022
2016-07-07,6.79,6.79,6.71,6.72,234500,6.650229
2016-07-06,6.74,6.76,6.70,6.75,219100,6.679918
2016-07-05,6.82,6.82,6.74,6.77,161200,6.69971
2016-07-01,6.88,6.88,6.78,6.82,337400,6.749191
2016-06-30,6.88,6.93,6.85,6.93,668400,6.782838
2016-06-29,6.82,6.85,6.76,6.85,439300,6.704537
2016-06-28,6.59,6.73,6.59,6.71,428300,6.56751
2016-06-27,6.75,6.77,6.50,6.51,976400,6.371757
2016-06-24,6.71,6.91,6.68,6.86,946900,6.714325
2016-06-23,6.99,7.01,6.96,7.00,321500,6.851352
2016-06-22,6.97,6.98,6.92,6.95,230600,6.802413
2016-06-21,6.85,6.95,6.85,6.95,266300,6.802413
2016-06-20,6.92,6.93,6.85,6.86,365100,6.714325
2016-06-17,6.73,6.78,6.73,6.78,267500,6.636024
2016-06-16,6.70,6.74,6.68,6.70,467500,6.557722
2016-06-15,6.79,6.80,6.69,6.71,568500,6.56751
2016-06-14,6.86,6.86,6.70,6.71,407900,6.56751
2016-06-13,6.90,6.92,6.85,6.86,199000,6.714325
2016-06-10,7.01,7.02,6.91,6.92,349800,6.773051
2016-06-09,7.02,7.08,7.01,7.03,289700,6.880715
2016-06-08,6.99,7.03,6.99,7.02,243700,6.870927
2016-06-07,6.96,7.00,6.96,7.00,233300,6.851352
2016-06-06,6.95,6.96,6.93,6.96,336100,6.812201
2016-06-03,6.90,6.96,6.89,6.96,281400,6.812201
2016-06-02,6.89,6.91,6.87,6.91,423000,6.763263
2016-06-01,6.89,6.92,6.89,6.91,254900,6.763263
2016-05-31,7.03,7.03,6.97,6.97,369200,6.747602
2016-05-27,7.01,7.01,6.99,7.00,342800,6.776645
2016-05-26,7.00,7.04,6.98,7.02,187200,6.796007
2016-05-25,6.93,6.98,6.92,6.98,218600,6.757284
2016-05-24,6.89,6.93,6.89,6.90,342800,6.679836
2016-05-23,6.89,6.93,6.87,6.88,335500,6.660474
2016-05-20,6.89,6.91,6.85,6.86,305100,6.641113
2016-05-19,6.88,6.90,6.83,6.86,288600,6.641113
2016-05-18,6.89,6.92,6.83,6.88,393700,6.660474
2016-05-17,6.94,6.95,6.87,6.89,381100,6.670155
2016-05-16,6.87,6.90,6.84,6.90,268100,6.679836
2016-05-
13,6.88,6.90,6.83,6.85,217600,6.631431
2016-05-12,6.92,6.92,6.87,6.89,174200,6.670155
