Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,34.139999,35.169998,33.950001,34.990002,64100,34.990002
2016-08-04,33.549999,34.810001,33.060001,34.099998,67900,34.099998
2016-08-03,33.869999,34.049999,33.584999,33.830002,62200,33.830002
2016-08-02,34.150002,34.314999,33.599998,33.84,60500,33.84
2016-08-01,33.869999,34.279999,33.380001,34.150002,66300,34.150002
2016-07-29,33.720001,34.150002,33.349998,33.66,72000,33.66
2016-07-28,33.700001,34.00,33.560001,33.860001,72900,33.860001
2016-07-27,33.799999,34.055,33.040001,33.810001,183000,33.810001
2016-07-26,34.560001,35.029999,33.709999,33.880001,78300,33.880001
2016-07-25,34.23,34.630001,34.110001,34.43,87800,34.43
2016-07-22,34.200001,34.630001,34.119999,34.450001,73900,34.450001
2016-07-21,34.169998,34.48,33.799999,34.259998,48100,34.259998
2016-07-20,34.139999,35.095001,33.959999,34.310001,73100,34.310001
2016-07-19,34.029999,34.310001,33.724998,33.950001,56700,33.950001
2016-07-18,33.919998,34.790001,33.810001,34.02,36300,34.02
2016-07-15,34.369999,34.369999,33.669998,34.029999,38700,34.029999
2016-07-14,34.75,34.75,33.860001,34.209999,33800,34.209999
2016-07-13,34.490002,34.75,34.389999,34.540001,52200,34.540001
2016-07-12,34.540001,34.900002,33.98,34.419998,45400,34.419998
2016-07-11,34.509998,34.68,34.049999,34.360001,28700,34.360001
2016-07-08,33.75,34.330002,33.490002,34.240002,41800,34.240002
2016-07-07,34.25,34.529999,33.450001,33.540001,29000,33.540001
2016-07-06,33.540001,34.275002,33.360001,34.07,44100,34.07
2016-07-05,34.049999,34.700001,33.439999,33.740002,61100,33.740002
2016-07-01,33.82,34.32,33.450001,34.060001,147100,34.060001
2016-06-30,33.130001,34.889999,33.00,33.959999,65000,33.959999
2016-06-29,33.189999,33.75,32.66,33.200001,45400,33.200001
2016-06-28,33.00,33.66,32.580002,32.939999,70500,32.939999
2016-06-27,33.00,33.634998,32.349998,32.59,182000,32.59
2016-06-24,32.66,33.619999,31.77,33.00,497000,33.00
2016-06-23,34.59,34.709999,33.439999,33.759998,80200,33.759998
2016-06-22,35.00,35.049999,34.119999,34.290001,46800,34.290001
2016-06-21,35.09,35.450001,34.834999,35.009998,36000,35.009998
2016-06-20,35.049999,36.138,34.540001,35.18,93400,35.18
2016-06-17,34.369999,34.849998,33.68,34.610001,85700,34.610001
2016-06-16,33.310001,34.57,33.18,34.259998,63800,34.259998
2016-06-15,33.689999,34.02,33.18,33.540001,62700,33.540001
2016-06-14,33.959999,34.470001,33.560001,33.91,55200,33.91
2016-06-13,35.439999,35.439999,32.52,34.169998,38900,34.169998
2016-06-10,34.790001,35.040001,34.421001,34.66,28000,34.66
2016-06-09,34.669998,35.130001,34.290001,34.84,62000,34.84
2016-06-08,34.889999,35.083,34.610001,34.869999,27700,34.669999
