Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,14.95,15.07,14.87,15.05,54400,15.05
2016-08-04,14.84,14.95,14.81,14.91,43800,14.91
2016-08-03,14.85,14.91,14.85,14.90,41000,14.90
2016-08-02,14.92,14.92,14.79,14.79,21700,14.79
2016-08-01,14.93,14.98,14.80,14.90,49100,14.90
2016-07-29,14.89,15.00,14.89,14.96,50400,14.96
2016-07-28,14.77,14.88,14.77,14.84,21800,14.84
2016-07-27,14.86,14.89,14.76,14.80,33600,14.80
2016-07-26,14.76,14.86,14.73,14.78,22500,14.78
2016-07-25,14.81,14.89,14.66,14.75,66600,14.75
2016-07-22,14.80,14.84,14.69,14.84,31800,14.84
2016-07-21,14.75,14.92,14.75,14.77,61800,14.77
2016-07-20,14.73,14.85,14.71,14.83,27600,14.83
2016-07-19,14.73,14.74,14.67,14.73,55900,14.73
2016-07-18,14.78,14.79,14.67,14.67,66400,14.67
2016-07-15,14.76,14.84,14.59,14.73,81400,14.73
2016-07-14,14.70,14.77,14.62,14.72,66100,14.72
2016-07-13,14.55,14.65,14.52,14.64,62800,14.64
2016-07-12,14.55,14.64,14.54,14.60,41400,14.60
2016-07-11,14.46,14.62,14.45,14.45,46200,14.45
2016-07-08,14.53,14.61,14.41,14.46,65100,14.46
2016-07-07,14.41,14.47,14.35,14.41,60900,14.41
2016-07-06,14.25,14.43,14.17,14.41,57600,14.41
2016-07-05,14.27,14.43,14.14,14.33,61000,14.33
2016-07-01,14.34,14.45,14.17,14.35,76300,14.35
2016-06-30,14.17,14.32,14.12,14.30,59300,14.30
2016-06-29,13.98,14.10,13.90,14.10,37200,14.10
2016-06-28,13.78,13.92,13.66,13.78,77800,13.78
2016-06-27,13.86,13.92,13.52,13.58,136800,13.58
2016-06-24,13.95,14.15,13.85,14.04,130600,14.04
2016-06-23,14.40,14.46,14.35,14.44,48800,14.44
2016-06-22,14.31,14.38,14.23,14.25,51200,14.25
2016-06-21,14.30,14.33,14.20,14.25,31600,14.25
2016-06-20,14.22,14.32,14.22,14.22,39000,14.22
2016-06-17,14.14,14.14,14.04,14.10,29900,14.10
2016-06-16,14.06,14.15,13.91,14.12,78900,14.12
2016-06-15,14.19,14.22,14.11,14.16,97700,14.16
2016-06-14,14.24,14.24,14.01,14.14,132900,14.14
2016-06-13,14.39,14.39,14.21,14.22,53200,14.22
2016-06-10,14.78,14.80,14.60,14.71,40300,14.40
2016-06-09,14.85,14.86,14.75,14.82,51600,14.507681
2016-06-08,14.75,14.86,14.69,14.83,50000,14.517471
2016-06-07,14.75,14.78,14.65,14.77,48400,14.458736
2016-06-06,14.71,14.74,14.62,14.71,51400,14.40
2016-06-03,14.64,14.79,14.52,14.64,56700,14.331475
2016-06-02,14.57,14.67,14.46,14.67,75100,14.360843
2016-06-01,14.43,14.62,14.36,14.61,119300,14.302107
2016-05-31,14.43,14.49,14.43,14.46,35000,14.155268
2016-05-27,14.45,14.51,14.42,14.45,26300,14.145479
2016-05-26,14.39,14.45,14.37,14.45,33200,14.145479
2016-05-25,14.28,14.45,14.28,14.42,60900,14.116111
2016-05-24,14.25,14.36,14.20,14.25,64000,13.949694
2016-05-23,14.20,14.20,14.11,14.17,30900,13.87138
2016-05-20,14.11,14.23,14.11,14.16,32800,13.86159
2016-05-19,14.13,14.14,13.99,14.08,67300,13.783276
2016-05-18,14.11,14.17,14.06,14.13,34200,13.832223
2016-05-17,14.18,14.18,14.05,14.05,45500,13.753909
2016-05-16,14.07,14.21,14.07,14.19,56600,13.890958
2016-05-13,14.04,14.12,14.01,14.04,51400,13.744119
2016-05-12,14.22,14.22,14.07,14.13,36600,13.832223
2016-05-11,14.12,14.25,14.11,14.15,26300,13.851801
2016-05-10,14.15,14.20,14.08,14.18,28000,13.881169
2016-05-09,14.
00,14.10,14.00,14.08,20200,13.783276
2016-05-06,14.03,14.04,13.96,13.98,46500,13.685383
2016-05-05,14.06,14.16,14.00,14.00,36300,13.704962
2016-05-04,14.06,14.08,13.99,14.02,90500,13.724541
2016-05-03,14.15,14.18,14.06,14.08,53100,13.783276
2016-05-02,14.11,14.25,14.11,14.18,64300,13.881169
2016-04-29,14.19,14.19,14.06,14.10,49500,13.802855
2016-04-28,14.22,14.24,14.18,14.18,44100,13.881169
2016-04-27,14.18,14.30,14.18,14.24,60100,13.939904
2016-04-26,14.13,14.19,14.10,14.19,82300,13.890958
2016-04-25,13.99,14.10,13.98,14.07,88500,13.773487
2016-04-22,14.03,14.07,13.99,14.03,40800,13.73433
2016-04-21,14.08,14.08,14.00,14.00,26700,13.704962
2016-04-20,14.01,14.08,13.99,14.04,54100,13.744119
2016-04-19,13.93,13.99,13.88,13.96,33300,13.665805
2016-04-18,13.69,13.88,13.69,13.85,50700,13.558124
2016-04-15,13.72,13.80,13.66,13.75,80200,13.460231
2016-04-14,13.74,13.82,13.72,13.80,52800,13.509177
2016-04-13,13.76,13.80,13.72,13.78,46800,13.489598
2016-04-12,13.58,13.72,13.53,13.64,43300,13.352549
2016-04-11,13.65,13.68,13.51,13.51,40000,13.225289
2016-04-08,13.62,13.70,13.53,13.57,42100,13.284024
2016-04-07,13.60,13.62,13.47,13.52,41600,13.235078
2016-04-06,13.59,13.64,13.50,13.64,116300,13.352549
2016-04-05,13.58,13.58,13.44,13.55,62900,13.264446
2016-04-04,13.75,13.75,13.53,13.58,52400,13.293813
2016-04-01,13.70,13.87,13.53,13.77,79400,13.47981
2016-03-31,13.62,13.73,13.58,13.70,42900,13.411284
2016-03-30,13.72,13.75,13.53,13.65,75200,13.362338
2016-03-29,13.53,13.65,13.38,13.61,88700,13.323181
2016-03-28,13.58,13.58,13.48,13.51,30000,13.225289
2016-03-24,13.54,13.54,13.42,13.49,44300,13.20571
2016-03-23,13.69,13.73,13.56,13.57,15200,13.284024
2016-03-22,13.59,13.71,13.59,13.66,29400,13.372127
