Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,26.549999,27.67,26.549999,27.57,1145300,27.57
2016-08-04,26.040001,26.809999,26.040001,26.440001,959800,26.440001
2016-08-03,25.35,26.200001,25.18,26.15,1423100,26.15
2016-08-02,25.190001,26.450001,24.91,25.35,3056600,25.35
2016-08-01,24.870001,25.200001,24.459999,24.959999,1718300,24.959999
2016-07-29,24.68,25.00,24.41,24.860001,1158500,24.860001
2016-07-28,25.09,25.129999,24.549999,24.76,846900,24.76
2016-07-27,25.23,25.58,24.940001,25.15,1703600,25.15
2016-07-26,24.030001,25.190001,24.01,25.139999,1069600,25.139999
2016-07-25,24.17,24.17,23.799999,23.959999,857100,23.959999
2016-07-22,23.959999,24.34,23.75,24.26,1205200,24.26
2016-07-21,23.780001,24.35,23.76,24.02,1314400,24.02
2016-07-20,23.42,23.799999,23.26,23.719999,615200,23.719999
2016-07-19,23.51,23.690001,23.280001,23.50,782400,23.50
2016-07-18,23.51,23.799999,23.33,23.700001,775600,23.700001
2016-07-15,23.139999,23.690001,23.120001,23.610001,1479100,23.610001
2016-07-14,23.120001,23.24,22.85,22.959999,922600,22.959999
2016-07-13,23.110001,23.129999,22.559999,22.809999,1012300,22.809999
2016-07-12,22.450001,22.91,22.209999,22.860001,1153700,22.860001
2016-07-11,22.030001,22.34,21.950001,22.15,853500,22.15
2016-07-08,20.950001,21.940001,20.90,21.809999,1068000,21.809999
2016-07-07,20.879999,21.280001,20.40,20.67,1787600,20.67
2016-07-06,21.540001,21.540001,20.549999,21.23,2306500,21.23
2016-07-05,22.030001,22.139999,21.58,21.809999,1202000,21.809999
2016-07-01,22.040001,22.389999,22.00,22.26,860200,22.26
2016-06-30,21.620001,22.139999,21.440001,22.110001,1139000,22.110001
2016-06-29,21.57,21.700001,21.32,21.52,1158100,21.52
2016-06-28,21.57,21.98,20.98,21.25,1674000,21.25
2016-06-27,22.09,22.09,21.02,21.18,1453900,21.18
2016-06-24,23.52,23.57,22.32,22.40,8074900,22.40
2016-06-23,24.51,24.879999,24.469999,24.67,1420200,24.67
2016-06-22,24.23,24.450001,24.01,24.10,749600,24.10
2016-06-21,24.84,24.879999,24.110001,24.110001,1170200,24.110001
2016-06-20,24.870001,25.440001,24.870001,24.98,981200,24.98
2016-06-17,24.27,24.610001,23.959999,24.530001,1224800,24.530001
2016-06-16,23.58,24.280001,23.18,24.110001,1327700,24.110001
2016-06-15,23.860001,24.32,23.629999,23.82,659900,23.82
2016-06-14,23.67,23.870001,23.219999,23.719999,979100,23.719999
2016-06-13,24.00,24.25,23.700001,23.780001,974300,23.780001
2016-06-10,24.57,24.68,24.07,24.110001,852000,24.110001
2016-06-09,25.02,25.02,24.60,24.92,709000,24.92
2016-06-08,25.530001,25.59,25.120001,25.35,943700,25.35
2016-06-07,25.26,25.75,25.26,25.33,986900,25.33
2016-06-06,25.110001,25.52,25.049999,25.219999,1208300,25.219999
2016-06-03,24.92,24.99,24.469999,24.93,820300,24.93
2016-06-02,24.15,24.83,24.15,24.809999,517700,24.809999
2016-06-01,24.209999,24.629999,23.799999,24.280001,785600,24.280001
2016-05-31,24.370001,24.879999,24.32,24.48,514000,24.48
2016-05-27,24.440001,24.
700001,24.34,24.379999,465300,24.379999
2016-05-26,25.00,25.48,24.559999,24.610001,755700,24.610001
2016-05-25,24.34,24.969999,24.26,24.959999,972300,24.959999
2016-05-24,23.639999,24.290001,23.49,24.200001,885000,24.200001
2016-05-23,23.18,23.620001,22.959999,23.469999,716600,23.469999
2016-05-20,22.969999,23.33,22.700001,23.309999,1009500,23.309999
2016-05-19,22.709999,22.860001,22.40,22.809999,806200,22.809999
2016-05-18,23.42,23.700001,22.719999,23.030001,822700,23.030001
2016-05-17,23.40,24.219999,23.40,23.60,781200,23.60
2016-05-16,23.43,23.790001,23.360001,23.41,645000,23.41
2016-05-13,23.469999,24.08,23.030001,23.129999,735100,23.129999
2016-05-12,23.639999,23.870001,23.10,23.469999,996500,23.469999
2016-05-11,23.07,23.709999,22.93,23.43,1093800,23.43
2016-05-10,22.59,23.18,22.59,23.16,1079900,22.96
2016-05-09,23.290001,23.40,22.469999,22.49,1476900,22.295786
2016-05-06,23.50,23.99,23.299999,23.75,1197300,23.544905
2016-05-05,24.33,24.33,23.26,23.58,1967000,23.376373
2016-05-04,24.60,25.190001,24.030001,24.120001,1509700,23.911711
2016-05-03,26.24,26.24,24.57,24.950001,2299900,24.734543
2016-05-02,23.440001,23.889999,22.870001,23.709999,1622800,23.505249
2016-04-29,23.77,23.969999,23.030001,23.379999,1732200,23.178099
2016-04-28,24.15,24.25,23.610001,23.690001,684600,23.485424
2016-04-27,24.049999,24.370001,23.83,24.18,712300,23.971192
2016-04-26,23.60,24.08,23.360001,23.98,859500,23.772918
2016-04-25,24.07,24.10,23.200001,23.34,922400,23.138446
2016-04-22,23.860001,24.26,23.83,24.09,919400,23.881969
2016-04-21,23.66,24.24,23.549999,23.780001,692000,23.574647
2016-04-20,23.85,23.940001,23.620001,23.620001,873200,23.416028
2016-04-19,24.049999,24.52,23.790001,23.790001,918900,23.58456
2016-04-18,23.559999,24.08,23.25,23.76,621800,23.554819
2016-04-15,23.33,23.879999,23.17,23.68,731900,23.47551
2016-04-14,23.66,23.780001,23.34,23.40,794900,23.197927
2016-04-13,23.309999,23.709999,22.99,23.57,1332900,23.366459
2016-04-12,22.73,23.15,22.530001,22.84,1419800,22.642763
2016-04-11,22.620001,23.09,22.57,22.639999,740800,22.44449
2016-04-08,22.24,22.969999,22.24,22.40,820600,22.206563
2016-04-07,21.84,22.190001,21.75,21.889999,1368300,21.700967
2016-04-06,21.93,22.17,21.50,21.98,1066500,21.790189
2016-04-05,21.92,22.25,21.77,21.940001,986600,21.750536
2016-04-04,22.48,22.83,22.01,22.09,1279800,21.89924
2016-04-01,22.190001,22.66,21.91,22.41,1359200,22.216476
2016-03-31,22.50,22.73,22.35,22.49,805200,22.295786
2016-03-30,22.549999,22.66,22.139999,22.41,782800,22.216476
2016-03-29,21.43,22.35,21.290001,22.280001,1084700,22.0876
2016-03-28,22.23,22.23,21.389999,21.610001,1178600,21.423386
