Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,6.48,6.51,6.27,6.51,188000,6.51
2016-08-04,6.42,6.50,6.38,6.50,292300,6.50
2016-08-03,6.34,6.38,6.34,6.38,182700,6.38
2016-08-02,6.37,6.38,6.17,6.34,243500,6.34
2016-08-01,6.10,6.46,6.10,6.39,408600,6.39
2016-07-29,5.91,6.08,5.79,6.06,308900,6.06
2016-07-28,5.88,5.97,5.87,5.91,277300,5.91
2016-07-27,5.88,5.97,5.70,5.89,253200,5.89
2016-07-26,5.84,5.89,5.67,5.86,289800,5.86
2016-07-25,5.79,5.95,5.70,5.84,797000,5.84
2016-07-22,5.22,5.74,5.19,5.67,565300,5.67
2016-07-21,4.95,5.41,4.95,5.18,1284700,5.18
2016-07-20,4.77,4.95,4.72,4.91,2126600,4.91
2016-07-19,4.82,4.90,4.74,4.77,150300,4.77
2016-07-18,4.78,4.96,4.78,4.81,182400,4.81
2016-07-15,4.72,4.85,4.72,4.77,72300,4.77
2016-07-14,4.80,4.88,4.75,4.75,247800,4.75
2016-07-13,4.76,4.88,4.73,4.79,93200,4.79
2016-07-12,4.76,4.93,4.72,4.73,130700,4.73
2016-07-11,4.74,4.84,4.70,4.71,120600,4.71
2016-07-08,4.74,4.80,4.70,4.70,67700,4.70
2016-07-07,4.71,4.82,4.70,4.72,76300,4.72
2016-07-06,4.92,5.00,4.71,4.71,190500,4.71
2016-07-05,5.00,5.08,4.92,4.92,24000,4.92
2016-07-01,5.00,5.08,4.99,5.00,35700,5.00
2016-06-30,4.97,5.10,4.97,5.06,102800,5.06
2016-06-29,4.95,5.12,4.95,5.04,73700,5.04
2016-06-28,5.00,5.12,4.90,4.91,129800,4.91
2016-06-27,5.05,5.18,4.96,4.99,75500,4.99
2016-06-24,5.09,5.13,5.02,5.06,72000,5.06
2016-06-23,5.24,5.33,5.18,5.20,62900,5.20
2016-06-22,5.24,5.35,5.20,5.23,46600,5.23
2016-06-21,5.27,5.50,5.17,5.25,179600,5.25
2016-06-20,5.29,5.36,5.09,5.25,186700,5.25
2016-06-17,5.27,5.40,5.25,5.27,109100,5.27
2016-06-16,5.63,5.63,5.25,5.31,126000,5.31
2016-06-15,5.52,5.57,5.36,5.36,165500,5.36
2016-06-14,5.54,5.58,5.50,5.52,29300,5.52
2016-06-13,5.52,5.66,5.52,5.53,39500,5.53
2016-06-10,5.67,5.68,5.55,5.55,32000,5.55
2016-06-09,5.67,5.74,5.62,5.67,58800,5.67
2016-06-08,5.77,5.79,5.61,5.66,39400,5.66
2016-06-07,5.60,5.88,5.60,5.75,95600,5.75
2016-06-06,5.55,5.80,5.50,5.58,103900,5.58
2016-06-03,5.51,5.57,5.50,5.57,54100,5.57
2016-06-02,5.62,5.68,5.55,5.59,23700,5.59
2016-06-01,5.77,5.77,5.56,5.63,54600,5.63
2016-05-31,5.56,5.76,5.52,5.76,253200,5.76
2016-05-27,5.51,5.57,5.51,5.51,25300,5.51
2016-05-26,5.52,5.55,5.50,5.50,20700,5.50
2016-05-25,5.53,5.56,5.50,5.53,37200,5.53
2016-05-24,5.54,5.69,5.52,5.52,40200,5.52
2016-05-23,5.50,5.63,5.50,5.54,33700,5.54
2016-05-20,5.51,5.55,5.50,5.50,59200,5.50
2016-05-19,5.66,5.74,5.50,5.51,68600,5.51
2016-05-18,5.68,5.80,5.66,5.72,35700,5.72
2016-05-17,5.66,5.79,5.66,5.72,69200,5.72
2016-05-16,5.47,5.78,5.47,5.65,75500,5.65
2016-05-13,5.66,5.76,5.26,5.50,232800,5.50
2016-05-12,5.54,5.61,5.26,5.31,305700,5.31
2016-05-11,6.07,6.07,5.46,5.50,532400,5.50
2016-05-10,6.12,6.33,6.00,6.07,240600,6.07
2016-05-09,6.84,6.84,5.90,5.94,497600,5.94
2016-05-06,6.98,7.00,6.67,6.89,151100,6.89
2016-05-05,7.27,7
.27,6.98,7.01,303700,7.01
2016-05-04,7.20,7.30,7.20,7.27,50100,7.27
2016-05-03,7.22,7.25,7.19,7.20,108100,7.20
2016-05-02,7.30,7.30,7.22,7.26,12400,7.26
2016-04-29,7.30,7.30,7.22,7.26,63000,7.26
2016-04-28,7.25,7.36,7.25,7.32,124700,7.32
2016-04-27,7.23,7.28,7.21,7.22,111200,7.22
2016-04-26,7.27,7.28,7.21,7.22,262000,7.22
2016-04-25,7.33,7.33,7.21,7.28,115400,7.28
2016-04-22,7.33,7.34,7.25,7.34,62100,7.34
2016-04-21,7.33,7.37,7.25,7.33,80900,7.33
2016-04-20,7.32,7.39,7.31,7.33,110600,7.33
2016-04-19,7.35,7.37,7.31,7.34,105600,7.34
2016-04-18,7.31,7.37,7.30,7.35,99700,7.35
2016-04-15,7.29,7.30,7.24,7.28,93700,7.28
2016-04-14,7.29,7.38,7.28,7.33,55400,7.33
2016-04-13,7.24,7.35,7.24,7.28,89700,7.28
2016-04-12,7.21,7.24,7.21,7.24,242300,7.24
2016-04-11,7.23,7.24,7.19,7.20,79100,7.20
2016-04-08,7.23,7.23,7.16,7.21,80700,7.21
2016-04-07,7.14,7.24,7.14,7.23,98100,7.23
2016-04-06,7.09,7.19,7.08,7.16,177500,7.16
2016-04-05,7.07,7.18,7.07,7.10,147300,7.10
2016-04-04,7.15,7.18,7.09,7.10,246900,7.10
2016-04-01,7.18,7.19,7.11,7.18,51000,7.18
2016-03-31,7.20,7.22,7.17,7.18,49100,7.18
2016-03-30,7.21,7.22,7.15,7.20,92300,7.20
2016-03-29,7.12,7.23,7.12,7.19,50400,7.19
2016-03-28,7.08,7.23,6.80,7.18,16000,7.18
2016-03-24,7.19,7.30,7.12,7.14,14800,7.14
2016-03-23,7.23,7.23,7.09,7.18,69600,7.18
2016-03-22,7.26,7.29,7.19,7.29,20500,7.29
2016-03-21,7.25,7.35,7.00,7.28,67600,7.28
2016-03-18,7.32,7.40,7.27,7.30,128700,7.30
2016-03-17,7.22,7.38,7.22,7.30,34300,7.30
2016-03-16,7.16,7.35,7.14,7.19,42100,7.19
2016-03-15,7.30,7.30,7.05,7.14,76900,7.14
2016-03-14,7.37,7.48,7.32,7.32,46600,7.32
2016-03-11,7.42,7.42,7.37,7.39,23900,7.39
2016-03-10,7.37,7.46,7.37,7.40,35500,7.40
2016-03-09,7.39,7.42,7.32,7.40,81200,7.40
2016-03-08,7.39,7.48,7.34,7.40,38200,7.40
2016-03-07,7.39,7.46,7.39,7.40,101500,7.40
2016-03-04,7.38,7.55,7.36,7.39,147500,7.39
2016-03-03,7.42,7.52,7.35,7.40,114700,7.40
2016-03-02,7.37,7.45,7.35,7.38,118600,7.38
2016-03-01,7.44,7.50,7.31,7.35,161300,7.35
2016-02-29,7.41,7.58,7.36,7.41,129800,7.41
2016-02-26,7.30,7.53,7.29,7.50,94400,7.50
2016-02-25,7.19,7.39,7.11,7.35,136200,7.35
2016-02-24,7.28,7.48,7.15,7.24,404500,7.24
2016-02-23,7.28,7.37,7.28,7.35,233000,7.35
2016-02-22,7.13,7.35,7.09,7.31,127900,7.31
2016-02-19,7.05,7.19,7.05,7.14,119600,7.14
2016-02-18,7.03,7.15,7.03,7.08,139000,7.08
2016-02-17,7.12,7.25,7.01,7.04,220700,7.04
2016-02-16,7.06,7.17,6.99,7.10,412900,7.10
2016-02-12,6.88,7.06,6.88,7.02,113500,7.02
2016-02-11,7.01,7.08,6.84,6.88,110700,6.88
2016-02-10,7.05,7.07,6.96,7.01,116700,7.01
2016-02-09,7.11,7.11,7.00,7.02,196400,7.02
2016-02-08,7.19,7.20,7.08,7.12,192300,7.12
2016-02-05,7.35,7.36,7.19,7.25,99100,7.25
2016-02-04,7.15,7.34,7.15,7.31,84800,7.31
2016-02-03,7.19,7.25,7.13,7.24,233400,7.24
2016-02-02,7.15,7.20,7.12,7.18,76400,7.18
2016-02-01,7.13,7.25,7.10,7.19,255100,7.19
2016-01-29,7.07,7.15,7.06,7.12,133200,7.12
2016-01-28,7.03,7.12,6.95,7.06,139000,7.06
2016-01-27,6.98,7.19,6.98,7.03,114300,7.03
2016-01-26,6.98,7.05,6.86,6.96,84800,6.96
2016-01-25,7.00,7.12,6.98,7.01,38200,7.01
2016-01-22,7.07,7.15,7.04,7.08,64100,7.08
2016-01-21,6.84,7.05,6.78,7.02,62600,7.02
2016-01-20,6.95,7.03,6.72,6.80,171500,6.80
2016-01-19,6.99,7.08,6.96,6.97,81200,6.97
2016-01-15,6.90,6.96,6.88,6.95,68500,6.95
2016-01-14,6.98,7.00,6.92,6.96,125200,6.96
2016-01-13,7.04,7.12,6.96,6.99,316000,6.99
2016-01-12,7.21,7.26,6.98,7.00,165400,7.00
2016-01-11,7.33,7.33,7.13,7.21,237100,7.21
2016-01-08,7.36,7.50,7.28,7.30,243200,7.30
2016-01-07,7.3
2,7.37,7.29,7.32,354700,7.32
2016-01-06,7.38,7.40,7.36,7.37,111100,7.37
2016-01-05,7.37,7.41,7.33,7.37,126100,7.37
2016-01-04,7.40,7.49,7.32,7.36,363600,7.36
2015-12-31,7.50,7.54,7.47,7.50,99800,7.50
2015-12-30,7.59,7.59,7.46,7.51,122400,7.51
2015-12-29,7.54,7.60,7.52,7.55,114500,7.55
2015-12-28,7.58,7.58,7.50,7.54,92200,7.54
2015-12-24,7.55,7.58,7.53,7.54,238900,7.54
2015-12-23,7.56,7.63,7.54,7.54,204900,7.54
2015-12-22,7.55,7.75,7.50,7.56,331100,7.56
2015-12-21,7.58,7.58,7.48,7.55,237000,7.55
2015-12-18,7.50,7.58,7.41,7.50,350300,7.50
2015-12-17,7.51,7.57,7.48,7.50,184000,7.50
2015-12-16,7.39,7.52,7.39,7.47,136200,7.47
2015-12-15,7.52,7.52,7.39,7.41,142900,7.41
2015-12-14,7.51,7.55,7.45,7.51,199800,7.51
2015-12-11,7.53,7.54,7.45,7.52,198100,7.52
2015-12-10,7.63,7.63,7.55,7.58,68200,7.58
2015-12-09,7.61,7.61,7.57,7.60,67600,7.60
2015-12-08,7.51,7.66,7.51,7.65,227400,7.65
2015-12-07,7.51,7.67,7.51,7.64,258900,7.64
2015-12-04,7.39,7.64,7.39,7.52,282400,7.52
2015-12-03,7.11,7.54,7.11,7.43,199800,7.43
2015-12-02,7.00,7.23,7.00,7.14,326100,7.14
2015-12-01,6.85,7.10,6.85,7.00,316000,7.00
2015-11-30,6.83,6.88,6.81,6.86,221000,6.86
2015-11-27,6.80,6.83,6.75,6.78,116300,6.78
2015-11-25,6.80,6.86,6.80,6.81,145300,6.81
2015-11-24,6.80,6.88,6.75,6.87,69100,6.87
2015-11-23,6.84,6.92,6.84,6.88,74600,6.88
2015-11-20,6.83,6.90,6.77,6.87,67400,6.87
2015-11-19,6.75,6.86,6.74,6.77,91600,6.77
2015-11-18,6.90,6.91,6.75,6.76,430700,6.76
2015-11-17,6.90,6.93,6.87,6.89,65000,6.89
2015-11-16,6.91,6.94,6.85,6.92,86600,6.92
2015-11-13,6.93,6.94,6.91,6.92,99400,6.92
2015-11-12,6.95,6.95,6.93,6.95,75600,6.95
2015-11-11,6.95,6.95,6.90,6.95,79400,6.95
2015-11-10,6.97,7.02,6.91,6.99,58600,6.99
2015-11-09,6.95,7.05,6.90,6.92,65900,6.92
2015-11-06,6.90,6.95,6.90,6.92,46700,6.92
2015-11-05,6.88,6.93,6.86,6.86,112400,6.86
2015-11-04,6.94,6.94,6.86,6.87,183600,6.87
2015-11-03,6.95,6.95,6.88,6.92,193900,6.92
2015-11-02,6.91,6.95,6.86,6.94,48400,6.94
2015-10-30,6.92,6.93,6.88,6.92,52400,6.92
2015-10-29,6.85,6.95,6.85,6.91,12700,6.91
2015-10-28,6.92,6.98,6.72,6.91,317000,6.91
2015-10-27,6.98,6.98,6.91,6.96,20200,6.96
2015-10-26,6.91,6.96,6.91,6.96,59600,6.96
2015-10-23,6.97,6.97,6.90,6.92,48200,6.92
2015-10-22,6.93,7.01,6.91,6.95,37200,6.95
2015-10-21,7.00,7.00,6.87,6.90,65500,6.90
2015-10-20,7.00,7.04,6.92,6.99,63300,6.99
2015-10-19,6.95,6.99,6.88,6.99,216500,6.99
2015-10-16,6.99,7.02,6.92,6.97,55000,6.97
2015-10-15,6.84,7.03,6.84,6.95,172000,6.95
2015-10-14,6.82,6.92,6.82,6.85,71400,6.85
2015-10-13,6.87,6.97,6.84,6.85,96200,6.85
2015-10-12,6.89,6.92,6.82,6.90,91200,6.90
2015-10-09,6.86,6.95,6.76,6.85,93600,6.85
2015-10-08,6.76,6.92,6.69,6.89,92600,6.89
2015-10-07,6.81,6.89,6.75,6.79,64400,6.79
2015-10-06,6.76,6.88,6.69,6.74,44300,6.74
2015-10-05,6.91,6.91,6.67,6.77,104300,6.77
2015-10-02,6.61,6.97,6.53,6.90,131700,6.90
2015-10-01,6.53,6.65,6.48,6.64,104200,6.64
2015-09-30,6.47,6.60,6.44,6.55,74300,6.55
2015-09-29,6.46,6.47,6.40,6.47,35300,6.47
2015-09-28,6.53,6.55,6.42,6.46,59000,6.46
2015-09-25,6.53,6.64,6.49,6.53,82800,6.53
2015-09-24,6.51,6.53,6.41,6.49,73700,6.49
2015-09-23,6.44,6.59,6.42,6.58,88500,6.58
2015-09-22,6.44,6.49,6.41,6.49,45500,6.49
2015-09-21,6.44,6.54,6.40,6.50,139900,6.50
2015-09-18,6.39,6.49,6.37,6.41,92600,6.41
2015-09-17,6.41,6.54,6.37,6.44,84000,6.44
2015-09-16,6.21,6.55,6.21,6.46,113300,6.46
2015-09-15,6.22,6.32,6.18,6.19,130400,6.19
2015-09-14,6.33,6.37,6.22,6.22,76800,6.22
2015-09-11,6.35,6.
