Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,1.97,2.10,1.95,2.00,236600,2.00
2016-08-04,1.80,1.99,1.80,1.97,424600,1.97
2016-08-03,1.83,1.86,1.74,1.75,381100,1.75
2016-08-02,1.84,1.90,1.78,1.78,186700,1.78
2016-08-01,1.85,1.90,1.83,1.84,140800,1.84
2016-07-29,1.94,2.00,1.84,1.84,191100,1.84
2016-07-28,1.94,1.95,1.87,1.93,32800,1.93
2016-07-27,1.93,1.95,1.88,1.89,37500,1.89
2016-07-26,1.91,1.95,1.87,1.93,71000,1.93
2016-07-25,1.95,1.95,1.92,1.92,40600,1.92
2016-07-22,1.93,1.96,1.91,1.93,34800,1.93
2016-07-21,1.93,1.97,1.92,1.95,58200,1.95
2016-07-20,2.01,2.01,1.97,1.99,67100,1.99
2016-07-19,2.02,2.02,1.99,2.01,12400,2.01
2016-07-18,2.00,2.04,1.98,2.02,32900,2.02
2016-07-15,2.01,2.04,1.94,2.02,85400,2.02
2016-07-14,1.95,2.04,1.83,2.04,199600,2.04
2016-07-13,1.98,2.00,1.96,1.98,14500,1.98
2016-07-12,1.92,2.00,1.92,1.98,41200,1.98
2016-07-11,1.94,1.95,1.92,1.93,57800,1.93
2016-07-08,1.91,1.94,1.88,1.93,78700,1.93
2016-07-07,1.84,1.92,1.82,1.92,32700,1.92
2016-07-06,1.87,1.88,1.82,1.84,187500,1.84
2016-07-05,1.91,1.92,1.85,1.87,241800,1.87
2016-07-01,1.90,1.93,1.87,1.91,57000,1.91
2016-06-30,1.93,1.95,1.89,1.91,38300,1.91
2016-06-29,1.90,1.92,1.86,1.92,34900,1.92
2016-06-28,1.90,1.92,1.83,1.86,82300,1.86
2016-06-27,2.00,2.00,1.83,1.87,84900,1.87
2016-06-24,1.91,2.07,1.91,2.00,84000,2.00
2016-06-23,1.99,2.04,1.98,1.99,121500,1.99
2016-06-22,1.98,2.04,1.98,1.99,56600,1.99
2016-06-21,2.06,2.07,1.99,2.00,130200,2.00
2016-06-20,2.01,2.14,1.98,2.04,128400,2.04
2016-06-17,2.00,2.02,1.98,1.98,143500,1.98
2016-06-16,1.98,2.03,1.98,2.00,70300,2.00
2016-06-15,1.99,2.04,1.98,2.00,44800,2.00
2016-06-14,2.03,2.06,1.98,2.00,103800,2.00
2016-06-13,1.96,2.05,1.95,2.02,91500,2.02
2016-06-10,1.99,2.03,1.96,2.02,30400,2.02
2016-06-09,1.91,2.02,1.91,1.99,114600,1.99
2016-06-08,2.00,2.04,1.96,2.01,74900,2.01
2016-06-07,1.94,2.04,1.94,2.00,141500,2.00
2016-06-06,1.93,1.95,1.88,1.95,126100,1.95
2016-06-03,1.93,2.00,1.93,1.93,176600,1.93
2016-06-02,1.93,1.95,1.91,1.93,89100,1.93
2016-06-01,1.96,2.00,1.90,1.93,119200,1.93
2016-05-31,2.00,2.00,1.93,1.95,61400,1.95
2016-05-27,2.04,2.04,1.94,1.99,66700,1.99
2016-05-26,1.92,1.99,1.92,1.98,45800,1.98
2016-05-25,1.94,2.01,1.88,1.90,224100,1.90
2016-05-24,2.01,2.01,1.94,1.95,86500,1.95
2016-05-23,2.01,2.04,1.90,2.00,133800,2.00
2016-05-20,2.01,2.06,1.98,1.99,49800,1.99
2016-05-19,2.02,2.02,1.98,1.99,18300,1.99
2016-05-18,1.99,2.02,1.97,1.99,29800,1.99
2016-05-17,1.99,2.02,1.97,1.98,54100,1.98
2016-05-16,1.95,2.08,1.95,2.01,84900,2.01
2016-05-13,1.94,1.98,1.91,1.94,21500,1.94
2016-05-12,2.02,2.06,1.86,1.95,153400,1.95
2016-05-11,2.00,2.09,2.00,2.01,56800,2.01
2016-05-10,2.02,2.05,1.99,2.00,119900,2.00
2016-05-09,1.95,2.05,1.90,2.02,80600,2.02
2016-05-06,1.97,2.02,1.86,1.99,189400,1.99
2016-05-05,2.17,2.22,1.86,2.00,445500,2.00
2016-05-04,2.19,2.26,2.18,2.23,254100,2.23
2016-05-03,2.29,2.34,2.19,2.21,70200,2.21
2016-05-02,2.15,2.43,2.15,2.28,481400,2.28
2016-04-29,2.10,2.22,2.10,2.14,118500,2.14
2016-04-28,2.16,2.18,2.10,2.15,109100,2.15
2016-04-27,2.26,2.29,2.15,2.18,221900,2.18
2016-04-26,2.05,2.34,2.05,2.26,464500,2.26
2016-04-25,2.07,2.20,2.01,2.05,341700,2.05
2016-04-22,1.99,2.08,1.99,2.03,147400,2.03
2016-04-21,2.05,2.06,1.97,1.97,126000,1.97
2016-04-20,2.01,2.10,1.99,2.04,59400,2.04
2016-04-19,2.03,2.11,2.01,2.01,267300,2.01
2016-04
-18,1.92,2.12,1.90,2.04,515600,2.04
2016-04-15,1.84,1.89,1.84,1.88,47700,1.88
2016-04-14,1.84,1.88,1.79,1.83,73200,1.83
2016-04-13,1.80,1.86,1.75,1.85,58900,1.85
