Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,8.75,8.89,8.72,8.86,1005900,8.86
2016-08-04,8.69,8.79,8.58,8.74,1542800,8.74
2016-08-03,8.56,8.71,8.49,8.69,1195200,8.69
2016-08-02,8.79,8.90,8.43,8.55,2589800,8.55
2016-08-01,8.84,8.88,8.72,8.78,1750900,8.78
2016-07-29,8.76,8.91,8.70,8.89,2457500,8.89
2016-07-28,8.80,8.80,8.62,8.74,2483300,8.74
2016-07-27,8.90,8.92,8.61,8.74,1951200,8.74
2016-07-26,8.86,8.90,8.79,8.87,1582200,8.87
2016-07-25,9.00,9.00,8.80,8.93,2132900,8.93
2016-07-22,9.03,9.11,8.91,9.01,1576900,9.01
2016-07-21,8.89,9.11,8.89,9.03,1656600,9.03
2016-07-20,8.89,8.97,8.67,8.92,4101500,8.92
2016-07-19,8.98,9.02,8.85,8.90,2217200,8.90
2016-07-18,8.82,9.02,8.79,8.98,2339300,8.98
2016-07-15,8.78,8.90,8.74,8.84,2655300,8.84
2016-07-14,8.79,8.90,8.74,8.75,1876000,8.75
2016-07-13,8.80,8.84,8.70,8.84,3121900,8.84
2016-07-12,8.83,8.90,8.79,8.82,2891100,8.82
2016-07-11,8.58,8.78,8.58,8.74,5641200,8.74
2016-07-08,8.50,8.60,8.43,8.50,5629300,8.50
2016-07-07,8.53,8.59,8.40,8.43,3786500,8.43
2016-07-06,8.31,8.60,8.27,8.59,3288400,8.59
2016-07-05,8.37,8.51,8.27,8.46,3370800,8.46
2016-07-01,8.17,8.40,8.13,8.38,3086500,8.38
2016-06-30,8.25,8.30,7.93,8.28,5271500,8.28
2016-06-29,8.29,8.64,8.23,8.57,5662400,8.132
2016-06-28,8.06,8.34,8.06,8.29,4378100,7.86631
2016-06-27,7.90,7.93,7.69,7.79,4442400,7.391864
2016-06-24,8.14,8.22,7.91,7.94,4542800,7.534198
2016-06-23,8.50,8.60,8.40,8.53,10152400,8.094044
2016-06-22,8.80,8.88,8.60,8.66,3424600,8.2174
2016-06-21,8.75,9.00,8.73,8.79,6157000,8.340756
2016-06-20,8.55,8.72,8.55,8.59,4986400,8.150978
2016-06-17,8.52,8.54,8.21,8.36,5119000,7.932732
2016-06-16,8.73,8.74,8.28,8.40,5515600,7.970688
2016-06-15,8.81,8.89,8.70,8.82,2477900,8.369222
2016-06-14,8.70,8.83,8.65,8.82,2327300,8.369222
2016-06-13,8.58,8.88,8.52,8.82,2126100,8.369222
2016-06-10,8.83,8.84,8.63,8.70,2385900,8.255356
2016-06-09,9.11,9.15,8.95,8.95,1858400,8.492578
2016-06-08,9.30,9.42,9.24,9.30,2421500,8.824691
2016-06-07,9.20,9.29,9.10,9.27,2962400,8.796224
2016-06-06,9.16,9.16,8.77,9.14,7592100,8.672868
2016-06-03,9.02,9.05,8.87,9.00,1783500,8.540023
2016-06-02,8.56,8.97,8.53,8.94,2821300,8.483089
2016-06-01,8.70,8.79,8.61,8.77,2787400,8.321779
2016-05-31,8.91,9.03,8.73,8.76,3637600,8.312289
2016-05-27,9.01,9.03,8.79,8.86,3911400,8.407178
2016-05-26,9.08,9.17,9.03,9.06,1497700,8.596957
2016-05-25,9.10,9.12,8.98,9.04,5768200,8.577979
2016-05-24,8.87,8.89,8.77,8.78,1535100,8.331267
2016-05-23,8.77,8.88,8.72,8.82,1333700,8.369222
2016-05-20,8.87,8.92,8.81,8.85,2133700,8.39769
2016-05-19,8.91,8.92,8.73,8.83,3059300,8.378712
2016-05-18,9.
22,9.31,8.99,9.06,2501500,8.596957
2016-05-17,9.22,9.39,9.14,9.32,1951200,8.843668
2016-05-16,9.30,9.35,9.18,9.22,1560500,8.74878
2016-05-13,9.18,9.26,9.06,9.07,1617700,8.606445
2016-05-12,9.24,9.27,9.14,9.19,1636600,8.720312
2016-05-11,9.15,9.30,9.06,9.18,1968100,8.710824
2016-05-10,8.89,9.12,8.86,9.11,1787000,8.644401
2016-05-09,9.32,9.32,8.91,8.91,2744100,8.454623
2016-05-06,9.31,9.39,9.21,9.36,1904400,8.881624
2016-05-05,9.22,9.39,9.16,9.38,3723800,8.900602
2016-05-04,9.11,9.22,9.02,9.21,4086400,8.73929
2016-05-03,9.01,9.14,8.86,9.11,2836800,8.644401
2016-05-02,9.25,9.29,9.10,9.15,1143600,8.682357
2016-04-29,9.34,9.46,9.15,9.26,3663300,8.786735
2016-04-28,9.28,9.47,9.22,9.36,3791600,8.881624
2016-04-27,9.04,9.25,8.99,9.23,2076000,8.758268
2016-04-26,8.98,9.04,8.92,9.04,3111100,8.577979
2016-04-25,9.05,9.07,8.90,8.98,3241400,8.521045
2016-04-22,8.96,9.12,8.89,9.04,2922400,8.577979
2016-04-21,8.92,9.07,8.82,8.96,3839400,8.502068
2016-04-20,9.12,9.16,8.84,8.92,6081800,8.464112
2016-04-19,9.11,9.29,9.01,9.06,3759000,8.596957
2016-04-18,8.68,8.98,8.60,8.98,2593200,8.521045
2016-04-15,8.96,8.99,8.91,8.93,1752600,8.473601
2016-04-14,8.96,9.07,8.90,9.01,2024400,8.549512
2016-04-13,9.16,9.20,8.95,9.04,2998500,8.577979
2016-04-12,9.00,9.23,8.92,9.16,4152400,8.691846
2016-04-11,8.75,9.03,8.74,8.98,4463900,8.521045
2016-04-08,8.22,8.57,8.14,8.56,4000500,8.122511
2016-04-07,7.93,8.06,7.90,8.05,1828700,7.638576
2016-04-06,7.91,7.98,7.72,7.96,3769700,7.553176
2016-04-05,7.86,7.90,7.76,7.90,3187700,7.496243
2016-04-04,8.14,8.14,7.91,8.00,1556400,7.591132
2016-04-01,7.90,8.21,7.85,8.19,2047700,7.771421
2016-03-31,8.00,8.18,7.98,8.09,2898200,7.676532
2016-03-30,8.09,8.15,7.85,7.90,2858400,7.496243
2016-03-29,7.90,8.01,7.73,8.00,1682600,7.591132
2016-03-28,7.94,8.08,7.88,8.04,1267000,7.629087
2016-03-24,7.51,8.02,7.37,8.02,3399700,7.61011
2016-03-23,7.93,7.93,7.62,7.67,3286700,7.277998
2016-03-22,7.96,8.17,7.83,8.14,2720600,7.723977
2016-03-21,7.56,8.18,7.55,8.06,4074700,7.648066
2016-03-18,7.84,7.89,7.45,7.46,5737700,7.07873
2016-03-17,7.69,7.85,7.61,7.82,3185600,7.420331
2016-03-16,7.44,7.70,7.35,7.69,1740300,7.296975
2016-03-15,7.52,7.53,7.25,7.39,2876500,7.012308
2016-03-14,7.38,7.72,7.32,7.68,3305400,7.287486
2016-03-11,7.59,7.70,7.37,7.40,2679900,7.021797
2016-03-10,7.65,7.67,7.23,7.28,3358500,6.90793
2016-03-09,7.70,7.88,7.60,7.72,3359000,7.325442
2016-03-08,7.89,7.89,7.45,7.47,2292500,7.088219
2016-03-07,7.66,8.09,7.66,7.95,2960000,7.543687
2016-03-04,7.52,7.86,7.47,7.73,2192100,7.334931
2016-03-03,7.26,7.61,7.26,7.50,2286800,7.116686
2016-03-02,7.06,7.49,7.02,7.45,3718000,7.069241
2016-03-01,7.08,7.19,7.04,7.19,2024500,6.82253
2016-02-29,7.09,7.14,6.99,7.00,2090800,6.64224
2016-02-26,7.19,7.25,6.94,6.97,3273100,6.613773
2016-02-25,7.05,7.17,6.95,7.10,3614400,6.737129
2016-02-24,6.9
6,7.11,6.85,7.09,2340800,6.727641
2016-02-23,7.31,7.31,7.06,7.13,1425300,6.765596
2016-02-22,7.52,7.55,7.32,7.38,1834800,7.002819
2016-02-19,7.34,7.40,7.21,7.29,2830600,6.917419
2016-02-18,7.40,7.60,7.39,7.54,4200500,7.154642
2016-02-17,7.26,7.42,7.23,7.40,3807000,7.021797
2016-02-16,6.91,7.22,6.90,7.18,3896500,6.813041
2016-02-12,6.81,7.04,6.79,7.01,2230800,6.651729
2016-02-11,6.56,6.78,6.55,6.74,2433700,6.395528
2016-02-10,6.73,7.05,6.63,6.89,2794300,6.537862
2016-02-09,6.75,6.87,6.70,6.79,3540200,6.442973
2016-02-08,6.89,6.98,6.75,6.95,2451100,6.594795
2016-02-05,6.93,7.02,6.87,6.96,1897100,6.604285
2016-02-04,7.23,7.30,7.04,7.08,5509700,6.718151
2016-02-03,6.81,7.32,6.75,7.29,5000400,6.917419
2016-02-02,6.78,6.91,6.70,6.79,7020800,6.442973
2016-02-01,6.78,7.09,6.74,7.03,4449200,6.670707
2016-01-29,6.77,7.05,6.77,7.00,7240500,6.64224
2016-01-28,6.72,7.08,6.64,7.04,5426100,6.680196
2016-01-27,6.24,6.67,6.23,6.58,5242000,6.243706
2016-01-26,6.02,6.32,5.96,6.24,3117500,5.921082
2016-01-25,6.03,6.10,5.95,6.02,2564600,5.712327
2016-01-22,5.97,6.22,5.90,6.17,3416700,5.85466
2016-01-21,5.34,6.00,5.31,5.72,4938700,5.427659
2016-01-20,5.33,5.50,5.15,5.49,3785600,5.209414
