Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,15.35,16.122,15.35,15.72,93400,15.72
2016-08-04,14.38,15.53,14.11,15.26,114600,15.26
2016-08-03,14.96,15.35,14.821,15.23,52900,15.23
2016-08-02,15.46,15.46,14.99,15.08,78500,15.08
2016-08-01,15.81,15.99,15.44,15.49,112700,15.49
2016-07-29,15.76,16.10,15.76,15.89,121600,15.89
2016-07-28,15.98,15.98,15.53,15.79,57500,15.79
2016-07-27,16.26,16.389999,16.049999,16.110001,86700,16.110001
2016-07-26,16.08,16.344999,15.98,16.129999,138400,16.129999
2016-07-25,15.97,16.200001,15.89,16.02,47700,16.02
2016-07-22,15.99,16.110001,15.90,16.030001,39300,16.030001
2016-07-21,16.030001,16.370001,15.931,16.030001,51600,16.030001
2016-07-20,15.68,16.16,15.54,15.94,69400,15.94
2016-07-19,15.62,15.80,15.57,15.60,85300,15.60
2016-07-18,15.36,15.75,15.13,15.67,81400,15.67
2016-07-15,15.33,15.45,15.20,15.37,65900,15.37
2016-07-14,15.25,15.46,15.08,15.23,78800,15.23
2016-07-13,15.07,15.19,14.80,15.02,92400,15.02
2016-07-12,14.89,15.18,14.74,14.93,108100,14.93
2016-07-11,14.44,14.79,14.42,14.73,116700,14.73
2016-07-08,13.59,14.34,13.59,14.31,115200,14.31
2016-07-07,13.34,13.96,13.20,13.42,165300,13.42
2016-07-06,13.14,13.53,13.14,13.35,203900,13.35
2016-07-05,13.73,13.73,13.12,13.30,78500,13.30
2016-07-01,13.86,14.26,13.69,13.80,101600,13.80
2016-06-30,13.59,13.75,13.214,13.75,157700,13.75
2016-06-29,13.50,13.77,12.55,13.60,167300,13.60
2016-06-28,14.10,14.10,13.25,13.62,131400,13.62
2016-06-27,14.36,14.36,13.86,14.04,167900,14.04
2016-06-24,15.00,15.07,14.26,14.60,552700,14.60
2016-06-23,15.78,16.25,15.71,16.10,91000,16.10
2016-06-22,15.64,15.80,15.45,15.53,107200,15.53
2016-06-21,16.440001,16.440001,15.30,15.58,199300,15.58
2016-06-20,16.42,16.83,16.254999,16.52,143700,16.52
2016-06-17,15.95,16.295,15.82,16.25,128500,16.25
2016-06-16,15.78,16.120001,15.62,15.94,96500,15.94
2016-06-15,16.02,16.344999,15.89,15.89,70400,15.89
2016-06-14,15.96,16.17,15.71,15.88,122100,15.88
2016-06-13,16.190001,16.379999,15.90,16.02,101600,16.02
2016-06-10,16.299999,16.48,16.059999,16.219999,56400,16.219999
2016-06-09,16.43,16.610001,16.35,16.459999,69900,16.459999
2016-06-08,16.65,16.75,16.469999,16.549999,61300,16.549999
2016-06-07,16.41,16.709999,16.27,16.540001,87600,16.540001
2016-06-06,16.17,16.50,15.96,16.32,104700,16.32
2016-06-03,16.43,16.43,15.82,16.110001,82200,16.110001
2016-06-02,16.27,16.50,16.17,16.49,70400,16.397
2016-06-01,16.16,16.27,15.68,16.25,82200,16.158353
2016-05-31,16.40,16.65,16.209999,16.299999,116200,16.208071
2016-05-27,15.90,16.379999,15.90,16.360001,69900,16.267734
2016-05-26,15.94,16.139999,15.83,15.90,79100,15.810327
2016-05-25,15.70,16.07,15.70,15.94,105400,15.850101
2016-05-24,15.47,15.80,15.47,15.65,108300,15.561737
2016-05-23,15.59,15.62,15.34,15.36,63500,15.273372
2016-05-20,15.40,15.58,15.40,15.54,65400,15.452358
2016-05-19,15.45,15.79,15.25,15.31,61700,15.2236
55
2016-05-18,15.19,15.79,15.19,15.60,83000,15.51202
2016-05-17,15.41,15.71,15.15,15.30,128200,15.213711
2016-05-16,15.58,15.74,15.48,15.49,83600,15.402639
2016-05-13,15.76,15.98,15.49,15.50,72000,15.412583
2016-05-12,15.83,15.99,15.73,15.82,77700,15.730778
2016-05-11,15.88,16.09,15.67,15.69,72500,15.601511
2016-05-10,15.97,16.120001,15.71,16.01,167900,15.919707
2016-05-09,16.00,16.00,15.76,15.94,82900,15.850101
2016-05-06,15.72,16.290001,15.72,15.95,194300,15.860045
2016-05-05,16.50,16.50,15.70,15.72,141500,15.631343
2016-05-04,15.54,15.79,15.29,15.49,71900,15.402639
2016-05-03,15.91,15.91,15.42,15.66,84500,15.571681
2016-05-02,15.95,16.139999,15.558,15.93,125200,15.840158
2016-04-29,16.26,16.370001,15.86,15.93,68000,15.840158
2016-04-28,16.190001,16.48,16.01,16.25,131100,16.158353
2016-04-27,16.50,16.60,16.309999,16.370001,79200,16.277677
2016-04-26,16.379999,16.700001,16.32,16.530001,103000,16.436775
2016-04-25,16.379999,16.459999,16.16,16.41,41000,16.317451
2016-04-22,16.40,16.518,16.16,16.360001,83900,16.267734
2016-04-21,16.700001,16.77,16.309999,16.42,58800,16.327395
2016-04-20,16.58,16.879999,16.02,16.629999,57800,16.536209
2016-04-19,16.389999,16.91,16.139999,16.43,78600,16.337339
2016-04-18,15.88,16.280001,15.64,16.219999,63200,16.128522
2016-04-15,16.129999,16.129999,15.63,15.88,103800,15.79044
2016-04-14,15.85,16.24,15.59,16.15,93500,16.058917
2016-04-13,15.49,15.90,15.45,15.83,192300,15.740722
2016-04-12,15.50,15.56,15.315,15.44,95100,15.352921
2016-04-11,15.41,15.851,15.38,15.40,69200,15.313147
2016-04-08,15.13,15.66,15.13,15.22,58800,15.134163
2016-04-07,15.37,15.505,14.92,15.09,231300,14.915404
2016-04-06,15.43,15.566,15.26,15.44,66300,15.261354
2016-04-05,15.00,15.47,14.83,15.33,80600,15.152627
2016-04-04,15.75,15.77,14.93,15.08,388300,14.905519
2016-04-01,16.66,16.77,15.49,15.71,156800,15.52823
2016-03-31,16.299999,17.00,16.299999,16.809999,299200,16.615502
2016-03-30,16.049999,16.290001,15.891,16.26,102600,16.071867
2016-03-29,15.38,16.10,15.071,15.90,194400,15.716031
2016-03-28,15.00,15.69,14.97,15.48,166700,15.300891
2016-03-24,14.62,15.10,14.20,14.95,100600,14.777023
2016-03-23,15.15,15.36,14.65,14.68,138800,14.510148
2016-03-22,15.23,15.34,15.04,15.23,111400,15.053783
2016-03-21,15.31,15.525,15.04,15.41,112600,15.231701
2016-03-18,15.17,15.51,15.13,15.30,208300,15.122974
2016-03-17,14.78,15.27,14.76,15.08,149800,14.905519
2016-03-16,14.41,14.96,14.41,14.80,126400,14.628759
2016-03-15,14.69,14.78,14.37,14.45,108300,14.282808
2016-03-14,14.60,14.81,14.494,14.73,91800,14.559569
2016-03-11,14.41,14.79,14.31,14.74,207700,14.569453
2016-03-10,14.37,14.64,13.97,14.22,77900,14.05547
2016-03-09,14.41,14.41,14.15,14.28,122700,14.114775
2016-03-08,14.83,14.83,14.25,14.28,67400,14.114775
2016-03-07,14.46,14.95,14.44,14.94,169200,14.767139
2016-03-04,14.99,14.99,14.43,14.45,172300,14.282808
2016-03-03,14.82,15.269,14.75,14.89,129700,14.717718
2016-03-02,14.58,14.86,14.56,14.72,100300,14.549685
2016-03-01,14.54,14.74,14.26,14.58,109300,14.411304
2016-02-29,13.92,14.62,13.92,14.28,127500,14.114775
2016-02-26,14.29,14.38,13.78,14.09,170000,13.926974
2016-02-25,12.44,14.52,12.44,14.24,319000,14.075238
2016-02-24,12.09,12.09,11.54,11.92,165800,11.782082
2016-02-23,12.63,1
2.63,12.185,12.23,76600,12.088494
2016-02-22,12.47,12.74,12.40,12.71,81600,12.562941
2016-02-19,12.34,12.48,11.928,12.27,66700,12.128032
2016-02-18,12.57,12.73,12.28,12.34,92800,12.197222
2016-02-17,12.23,12.69,12.07,12.63,77800,12.483867
2016-02-16,11.98,12.07,11.75,12.02,76000,11.880925
2016-02-12,11.30,11.85,11.21,11.71,112100,11.574511
2016-02-11,11.00,11.27,10.87,11.17,89700,11.040759
2016-02-10,11.30,11.52,11.12,11.16,80000,11.030875
2016-02-09,11.17,11.48,10.93,11.16,88700,11.030875
