Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,8.98,9.49,8.86,9.18,34200,9.18
2016-08-04,8.69,8.69,8.69,8.69,000,8.69
2016-08-03,9.21,9.21,8.45,8.69,18800,8.69
2016-08-02,9.08,9.35,8.75,8.86,11400,8.86
2016-08-01,9.58,9.62,8.93,9.05,35000,9.05
2016-07-29,9.59,9.67,9.48,9.51,8400,9.51
2016-07-28,9.80,9.98,9.69,9.70,4300,9.70
2016-07-27,9.80,9.99,9.71,9.72,7500,9.72
2016-07-26,9.80,10.14,9.80,9.80,3500,9.736
2016-07-25,9.90,10.10,9.77,9.80,4200,9.736
2016-07-22,10.15,10.15,10.04,10.07,700,10.004237
2016-07-21,9.87,10.09,9.87,10.09,1900,10.024107
2016-07-20,10.34,10.41,9.81,9.81,6400,9.745935
2016-07-19,9.97,9.97,9.73,9.74,3600,9.676392
2016-07-18,9.78,9.78,9.61,9.70,2700,9.636653
2016-07-15,9.99,9.99,9.67,9.75,5600,9.686327
2016-07-14,10.14,10.35,9.77,9.87,5800,9.805543
2016-07-13,10.41,11.02,10.09,10.44,19400,10.37182
2016-07-12,10.25,10.47,9.76,10.28,8100,10.212865
2016-07-11,10.34,10.74,9.68,9.79,8600,9.726066
2016-07-08,10.20,10.77,10.12,10.44,13400,10.37182
2016-07-07,10.45,10.66,9.90,10.00,10500,9.934694
2016-07-06,10.25,10.50,10.25,10.49,2300,10.421494
2016-07-05,10.54,10.69,9.73,9.94,9400,9.875086
2016-07-01,10.99,10.99,10.46,10.67,2000,10.600319
2016-06-30,10.87,11.04,10.25,10.83,18400,10.759274
2016-06-29,11.10,11.15,10.48,10.56,9200,10.491037
2016-06-28,10.28,11.18,10.28,10.97,16400,10.89836
2016-06-27,10.18,10.43,9.85,10.00,10200,9.898929
2016-06-24,9.75,10.17,9.26,9.82,17600,9.720748
2016-06-23,10.30,10.53,9.49,9.75,11100,9.651456
2016-06-22,9.99,9.99,9.40,9.53,2500,9.433679
2016-06-21,10.40,10.77,9.99,10.03,4300,9.928626
2016-06-20,8.96,10.29,8.96,10.13,6300,10.027615
2016-06-17,8.43,9.26,8.39,9.00,25300,8.909036
2016-06-16,8.31,8.60,8.23,8.42,9000,8.334898
