Date,Open,High,Low,Close,Volume,Adj Close
2016-08-04,16.35,16.35,16.26,16.280001,90000,16.280001
2016-08-03,16.26,16.280001,16.209999,16.280001,42100,16.280001
2016-08-02,16.219999,16.27,16.139999,16.26,87400,16.26
2016-08-01,16.280001,16.280001,16.24,16.24,57000,16.24
2016-07-29,16.34,16.34,16.209999,16.280001,76400,16.280001
2016-07-28,16.280001,16.280001,16.23,16.280001,41200,16.280001
2016-07-27,16.26,16.280001,16.25,16.27,67800,16.27
2016-07-26,16.25,16.25,16.18,16.209999,55300,16.209999
2016-07-25,16.27,16.27,16.16,16.190001,59700,16.190001
2016-07-22,16.25,16.25,16.190001,16.219999,70000,16.219999
2016-07-21,16.219999,16.280001,16.16,16.200001,111800,16.200001
2016-07-20,16.120001,16.190001,16.07,16.190001,64900,16.190001
2016-07-19,16.07,16.120001,15.92,16.049999,98500,16.049999
2016-07-18,15.90,16.09,15.90,15.93,84600,15.93
2016-07-15,15.84,15.95,15.82,15.84,112400,15.84
2016-07-14,16.040001,16.07,15.74,15.74,145100,15.74
2016-07-13,16.129999,16.16,15.96,16.07,128900,16.07
2016-07-12,16.299999,16.299999,16.18,16.23,109400,16.168
2016-07-11,16.32,16.32,16.25,16.280001,123500,16.21781
2016-07-08,16.27,16.280001,16.24,16.280001,57400,16.21781
2016-07-07,16.299999,16.299999,16.23,16.24,110800,16.177962
2016-07-06,16.33,16.33,16.24,16.27,68600,16.207848
2016-07-05,16.280001,16.280001,16.23,16.280001,61400,16.21781
2016-07-01,16.32,16.32,16.25,16.280001,57400,16.21781
2016-06-30,16.32,16.32,16.23,16.280001,54600,16.21781
2016-06-29,16.32,16.32,16.209999,16.280001,59700,16.21781
2016-06-28,16.32,16.32,16.24,16.280001,34100,16.21781
2016-06-27,16.25,16.280001,16.219999,16.280001,72600,16.21781
2016-06-24,16.209999,16.280001,16.209999,16.280001,59000,16.21781
2016-06-23,16.23,16.23,16.18,16.209999,24600,16.148076
2016-06-22,16.17,16.23,16.15,16.23,58100,16.168
2016-06-21,16.16,16.17,16.110001,16.17,36200,16.10823
2016-06-20,16.10,16.15,16.059999,16.110001,58400,16.048459
2016-06-17,16.200001,16.200001,16.059999,16.10,75300,16.038497
2016-06-16,16.17,16.190001,16.110001,16.190001,44900,16.128154
2016-06-15,16.00,16.110001,15.97,16.110001,81000,16.048459
2016-06-14,15.93,16.049999,15.90,15.97,85900,15.908994
2016-06-13,15.89,15.99,15.85,15.85,70000,15.789452
2016-06-10,16.00,16.01,15.93,15.97,74600,15.847231
2016-06-09,16.09,16.09,15.90,15.92,96400,15.797615
2016-06-08,16.07,16.110001,16.00,16.02,61700,15.896847
2016-06-07,16.15,16.18,16.049999,16.059999,68100,15.936538
2016-06-06,16.17,16.190001,16.040001,16.040001,50000,15.916693
2016-06-03,16.190001,16.190001,16.059999,16.09,52400,15.966308
2016-06-02,16.01,16.110001,15.95,16.07,110200,15.946461
2016-06-01,15.86,15.96,15.80,15.96,115000,15.837307
2016-05-31,15.71,15.76,15.65,15.76,116900,15.638845
2016-05-27,15.94,15.94,15.75,15.81,80400,15.688461
2016-05-26,15.89,15.94,15.87,15.87,41600,15.747999
2016-05-25,15.80,15.86,15.78,15.86,79100,15.738076
2016-05-24,15.89,15.89,15.80,15.82,67500,15.698383
2016-05-23,15.91,15.91,15.78,15.79,106200,15.668614
2016-05-20,15.74,15.86,15.74,15.86,71700,15.738076
2016-05-19,15.99,16.00,15.72,15.76,245100,15.638845
2016-05-18,16.200001,16.200001,16.02,16.049999,78100,15.926615
2016-05-17,16.16,16.190001,16.09,16.190001,128900,16.06554
2016-05-16,16.24,16.24,16.08,16.110001,108900,15.986155
2016-05-13,16.16,16.23,16.16,16.219999,44200,16.095308
2016-05-12,16.15,16.219999,16.10,16.10,67200,15.976231
