Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,23.190001,23.219999,23.17,23.190001,29500,23.190001
2016-08-04,23.120001,23.219999,23.07,23.219999,27800,23.219999
2016-08-03,22.93,23.08,22.860001,23.059999,45700,23.059999
2016-08-02,23.00,23.049999,22.879999,22.959999,37300,22.959999
2016-08-01,23.15,23.18,23.02,23.09,15000,23.09
2016-07-29,23.129999,23.139999,23.030001,23.09,5000,23.09
2016-07-28,22.950001,23.059999,22.950001,23.02,15800,23.02
2016-07-27,23.02,23.02,22.940001,23.00,11900,23.00
2016-07-26,22.92,22.99,22.76,22.950001,19800,22.950001
2016-07-25,22.90,22.940001,22.82,22.90,33900,22.90
2016-07-22,22.790001,22.879999,22.75,22.879999,16600,22.879999
2016-07-21,22.799999,22.82,22.719999,22.75,18500,22.75
2016-07-20,22.74,22.76,22.700001,22.73,16200,22.73
2016-07-19,22.83,22.91,22.639999,22.75,25000,22.75
2016-07-18,22.83,22.879999,22.76,22.77,29800,22.77
2016-07-15,22.799999,22.809999,22.629999,22.709999,40800,22.709999
2016-07-14,22.74,22.799999,22.530001,22.75,35200,22.75
2016-07-13,22.82,22.92,22.73,22.83,21800,22.83
2016-07-12,23.25,23.389999,22.860001,22.93,35700,22.826
2016-07-11,23.40,23.48,23.370001,23.379999,15400,23.273958
2016-07-08,23.25,23.459999,23.25,23.42,66300,23.313777
2016-07-07,23.26,23.49,23.15,23.40,42900,23.293868
2016-07-06,23.219999,23.33,23.209999,23.290001,33700,23.184368
2016-07-05,23.08,23.190001,22.950001,23.16,28400,23.054956
2016-07-01,22.799999,22.98,22.77,22.98,34400,22.875772
2016-06-30,22.66,22.799999,22.58,22.700001,25200,22.597044
2016-06-29,22.67,22.82,22.440001,22.65,47500,22.547269
2016-06-28,22.549999,22.57,22.48,22.52,18900,22.41786
2016-06-27,22.440001,22.50,22.360001,22.49,46100,22.387995
2016-06-24,22.219999,22.610001,22.219999,22.450001,38400,22.348178
2016-06-23,22.360001,22.42,22.219999,22.219999,33200,22.119219
2016-06-22,22.35,22.42,22.34,22.389999,42000,22.288448
2016-06-21,22.290001,22.450001,22.290001,22.40,43200,22.298403
2016-06-20,22.280001,22.309999,22.18,22.280001,30800,22.178948
2016-06-17,22.34,22.34,22.18,22.299999,53800,22.198856
2016-06-16,22.280001,22.33,22.23,22.24,33000,22.139129
2016-06-15,22.280001,22.379999,22.16,22.23,28000,22.129174
2016-06-14,22.32,22.33,22.25,22.280001,21600,22.178948
2016-06-13,22.389999,22.40,22.27,22.35,28100,22.248631
2016-06-10,22.379999,22.440001,22.35,22.43,17300,22.22474
2016-06-09,22.459999,22.469999,22.219999,22.299999,50100,22.095928
2016-06-08,22.50,22.639999,22.290001,22.299999,42500,22.095928
2016-06-07,22.379999,22.50,22.290001,22.309999,24800,22.105837
2016-06-06,22.51,22.620001,22.25,22.32,75700,22.115746
2016-06-03,22.35,22.639999,22.35,22.450001,12000,22.244557
2016-06-02,22.34,22.34,22.16,22.299999,23000,22.095928
2016-06-01,22.07,22.25,22.07,22.24,22100,22.036478
2016-05-31,22.01,22.07,21.90,22.059999,29800,21.858125
2016-05-27,22.030001,22.049999,21.969999,21.99,10000,21.788766
2016-05-26,21.93,22.01,21.93,21.99,22700,21.788766
2016-05-25,22.040001,22.040001,21.870001,21.93,86300,21.729315
2016-05-24,21.93,22.040001,21.90,22.040001,15700,21.838309
2016-05-23,21.76,21.959999,21.76,21.959999,15500,21.75904
2016-05-20,21.67,21.75,21.610001,21.639999,24000,21.441968
2016-05-19,21.639999,21.75,21.40,21.68,64600,21.48160
3
2016-05-18,21.98,22.040001,21.68,21.68,56700,21.481603
2016-05-17,22.10,22.17,22.01,22.07,30500,21.868034
2016-05-16,22.049999,22.18,21.950001,22.10,31000,21.89776
2016-05-13,21.940001,22.129999,21.940001,22.110001,16100,21.907668
2016-05-12,21.93,21.940001,21.90,21.91,11400,21.709498
2016-05-11,21.889999,21.959999,21.82,21.940001,20300,21.739224
2016-05-10,21.85,22.00,21.84,21.950001,21300,21.641131
2016-05-09,21.950001,21.950001,21.83,21.879999,13900,21.572114
2016-05-06,21.85,21.92,21.82,21.82,42600,21.512959
