Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,13.90,13.91,13.86,13.89,19700,13.89
2016-08-04,13.91,13.91,13.89,13.91,10500,13.91
2016-08-03,13.82,13.91,13.82,13.91,23200,13.91
2016-08-02,13.84,13.87,13.74,13.84,42600,13.84
2016-08-01,13.88,13.88,13.85,13.87,15300,13.87
2016-07-29,13.84,13.89,13.84,13.88,15200,13.88
2016-07-28,13.84,13.84,13.81,13.84,11500,13.84
2016-07-27,13.80,13.84,13.80,13.84,15800,13.84
2016-07-26,13.76,13.79,13.75,13.79,16300,13.79
2016-07-25,13.75,13.78,13.75,13.75,12500,13.75
2016-07-22,13.80,13.80,13.76,13.76,12500,13.76
2016-07-21,13.80,13.80,13.79,13.80,15300,13.80
2016-07-20,13.81,13.84,13.79,13.81,28500,13.81
2016-07-19,13.84,13.84,13.75,13.83,62300,13.83
2016-07-18,13.70,13.81,13.70,13.81,38700,13.81
2016-07-15,13.63,13.80,13.63,13.76,17600,13.76
2016-07-14,13.65,13.65,13.55,13.60,53600,13.60
2016-07-13,13.85,13.85,13.66,13.66,32000,13.66
2016-07-12,13.93,13.93,13.84,13.88,49000,13.835
2016-07-11,13.93,13.94,13.92,13.93,15000,13.884838
2016-07-08,13.95,13.95,13.91,13.93,33200,13.884838
2016-07-07,13.87,13.91,13.87,13.90,14300,13.854935
2016-07-06,13.95,13.96,13.78,13.83,86800,13.785162
2016-07-05,13.89,13.94,13.87,13.94,28600,13.894805
2016-07-01,13.80,13.94,13.80,13.89,13300,13.844968
2016-06-30,13.80,13.83,13.78,13.78,39200,13.735324
2016-06-29,13.77,13.83,13.74,13.80,31400,13.75526
2016-06-28,13.79,13.79,13.75,13.79,27200,13.745292
2016-06-27,13.76,13.79,13.70,13.76,45800,13.715389
2016-06-24,13.60,13.81,13.60,13.73,53700,13.685486
2016-06-23,13.63,13.64,13.61,13.64,23000,13.595778
2016-06-22,13.65,13.65,13.62,13.64,21800,13.595778
2016-06-21,13.68,13.68,13.62,13.62,21300,13.575843
2016-06-20,13.68,13.68,13.64,13.65,12400,13.605745
2016-06-17,13.68,13.68,13.64,13.68,17900,13.635649
2016-06-16,13.68,13.68,13.63,13.66,25400,13.615713
2016-06-15,13.65,13.65,13.63,13.65,36800,13.605745
2016-06-14,13.62,13.69,13.62,13.65,32700,13.605745
2016-06-13,13.61,13.63,13.58,13.62,46900,13.575843
2016-06-10,13.63,13.67,13.62,13.64,18800,13.550924
2016-06-09,13.66,13.66,13.61,13.66,38400,13.570793
2016-06-08,13.62,13.64,13.60,13.63,24400,13.540989
2016-06-07,13.63,13.65,13.62,13.63,23200,13.540989
2016-06-06,13.64,13.66,13.61,13.61,18000,13.521119
2016-06-03,13.65,13.68,13.61,13.64,45900,13.550924
2016-06-02,13.59,13.64,13.57,13.63,48900,13.540989
2016-06-01,13.57,13.60,13.54,13.60,41300,13.511185
2016-05-31,13.50,13.53,13.45,13.53,45000,13.441642
2016-05-27,13.64,13.66,13.50,13.53,49600,13.441642
2016-05-26,13.59,13.64,13.59,13.63,73600,13.540989
2016-05-25,13.58,13.58,13.53,13.56,14900,13.471447
2016-05-24,13.55,13.61,13.55,13.56,22400,13.471447
2016-05-23,13.56,13.60,13.52,13.60,42700,13.511185
2016-05-20,13.51,13.54,13.49,13.49,30300,13.401903
2016-05-19,13.53,13.54,13.39,13.51,89700,13.421773
2016-05-18,13.68,13.68,13.57,13.57,22900,13.48138
2016-05-17,13.67,13.69,13.64,13.68,52300,13.590663
2016-05-16,13.70,13.70,13.64,13.64,19000,13.550924
2016-05-13,13.69,13.70,13.64,13.67,28200,13.580728
2016-05-12,13.66,13.67,13.64,13.66,29700,13.570793
2016-05-11,13.63,13.67,13.61,13.64,81400,13.550924
2016-05-10,13.75,13.77,13.67,13.67,58400,13.533042
2016-05-09,13.73,13.74,13.73,13.74,16600,13.60234
2016-05-06,13.69,13.75,13.69,13.73,18700,13.59244
2016-05-05,13.73,13.74,13.69,13.73,19400,13.59244
2016-05-04,13.75,13.77,13.67,13.74,24200,13.60234
2016-05-03,13.74,13.75,13.70,13.74,19800,13.60234
2016-05-02,13.66,13.70,13.65,13.69,24700,13.552841
2016-04-29,13.65,13.67,13.62,13.66,39300,13.523142
2016-04-28,13.61,13.63,13.60,13.63,38500,13.493443
2016-04-27,13.64,13.64,13.58,13.62,28500,13.483543
2016-04-26,13.60,13.65,13.54,13.59,46900,13.453844
2016-04
-25,13.56,13.73,13.55,13.60,71800,13.463744
2016-04-22,13.70,13.70,13.56,13.63,39300,13.493443
2016-04-21,13.67,13.70,13.64,13.70,52800,13.562741
2016-04-20,13.67,13.70,13.63,13.66,51200,13.523142
2016-04-19,13.66,13.66,13.60,13.65,37500,13.513242
2016-04-18,13.62,13.69,13.62,13.66,63400,13.523142
2016-04-15,13.55,13.62,13.55,13.62,66300,13.483543
2016-04-14,13.56,13.56,13.48,13.55,33200,13.414244
2016-04-13,13.56,13.56,13.52,13.56,28500,13.424144
2016-04-12,13.60,13.62,13.56,13.56,38900,13.376625
2016-04-11,13.65,13.65,13.56,13.56,47000,13.376625
2016-04-08,13.65,13.65,13.56,13.59,31500,13.406219
2016-04-07,13.60,13.62,13.59,13.59,18800,13.406219
2016-04-06,13.63,13.64,13.53,13.60,33300,13.416084
2016-04-05,13.56,13.62,13.56,13.61,32100,13.425948
2016-04-04,13.55,13.58,13.50,13.55,16900,13.36676
2016-04-01,13.61,13.63,13.46,13.54,34400,13.356895
2016-03-31,13.47,13.89,13.42,13.53,109600,13.34703
2016-03-30,13.42,13.45,13.39,13.44,10900,13.258247
2016-03-29,13.40,13.42,13.36,13.42,17000,13.238518
2016-03-28,13.36,13.41,13.33,13.36,32700,13.179329
2016-03-24,13.33,13.40,13.33,13.36,63100,13.179329
2016-03-23,13.36,13.37,13.33,13.33,9800,13.149735
2016-03-22,13.35,13.40,13.32,13.36,14500,13.179329
2016-03-21,13.34,13.34,13.25,13.33,8100,13.149735
2016-03-18,13.40,13.40,13.25,13.30,56600,13.120141
2016-03-17,13.34,13.40,13.31,13.34,20900,13.1596
2016-03-16,13.33,13.37,13.27,13.34,46500,13.1596
2016-03-15,13.31,13.35,13.26,13.26,7500,13.080682
2016-03-14,13.33,13.33,13.27,13.33,21800,13.149735
2016-03-11,13.35,13.36,13.29,13.30,52100,13.120141
2016-03-10,13.39,13.41,13.36,13.41,35800,13.181302
2016-03-09,13.42,13.49,13.36,13.36,38900,13.132155
2016-03-08,13.38,13.38,13.31,13.37,20800,13.141984
2016-03-07,13.35,13.35,13.19,13.31,38300,13.083008
2016-03-04,13.39,13.39,13.32,13.33,24000,13.102667
2016-03-03,13.40,13.45,13.29,13.39,49600,13.161644
2016-03-02,13.39,13.42,13.30,13.36,44200,13.132155
2016-03-01,13.39,13.44,13.39,13.40,26300,13.171473
2016-02-29,13.36,13.39,13.33,13.39,20500,13.161644
2016-02-26,13.38,13.47,13.33,13.36,36300,13.132155
2016-02-25,13.37,13.49,13.37,13.43,28900,13.200962
2016-02-24,13.33,13.39,13.27,13.37,41900,13.141984
2016-02-23,13.31,13.35,13.30,13.32,14600,13.092837
2016-02-22,13.30,13.40,13.27,13.28,46700,13.053519
2016-02-19,13.32,13.35,13.28,13.35,16900,13.122326
2016-02-18,13.33,13.36,13.31,13.34,23300,13.112496
2016-02-17,13.33,13.35,13.22,13.30,33400,13.073179
2016-02-16,13.34,13.36,13.25,13.25,32800,13.024031
2016-02-12,13.28,13.44,13.28,13.32,26400,13.092837
2016-02-11,13.49,13.49,13.40,13.40,13300,13.171473
2016-02-10,13.50,13.52,13.48,13.48,27300,13.250108
2016-02-09,13.29,13.51,13.29,13.51,24100,13.232415
2016-02-08,13.41,13.54,13.30,13.39,39900,13.114881
2016-02-05,13.37,13.42,13.33,13.41,17800,13.13447
2016-02-04,13.39,13.41,13.32,13.40,15000,13.124675
2016-02-03,13.33,13.37,13.33,13.36,19200,13.085497
2016-02-02,13.22,13.42,13.22,13.27,54100,12.997347
2016-02-01,13.20,13.26,13.20,13.20,25300,12.928784
2016-01-29,13.23,13.25,13.13,13.13,33900,12.860223
2016-01-28,13.23,13.24,13.15,13.17,32600,12.899401
2016-01-27,13.22,13.28,13.18,13.18,27600,12.909196
2016-01-26,13.12,13.21,13.12,13.18,19900,12.909196
2016-01-25,13.12,13.21,13.12,13.18,19000,12.909196
2016-01-22,12.98,13.12,12.98,13.11,46000,12.840634
2016-01-21,12.93,12.98,12.87,12.98,12400,12.713304
2016-01-20,12.99,13.03,12.82,12.87,27600,12.605565
2016-01-19,13.12,13.12,12.99,12.99,32400,12.723099
2016-01-15,13.14,13.24,13.00,13.02,81400,12.752484
2016-01-14,13.17,13.20,13.10,13.19,34800,12.91899
2016-01-13,13.12,13.17,13.06,13.12,22600,12.850428
2016-01-12,13.16,13.23,13.14,13.18,23800,12.862182
2016-01-11,13.17,13.27,13.08,13.11,41100,12.79387
2016-01-08,13.10,13.24,13.10,13.14,39500,12.823147
2016-01-07,13.12,13.25,13.12,13.19,56900,12.87194
2016-01-06,13.04,13.23,13.04,13.12,31600,12.80
3629
2016-01-05,12.89,13.10,12.89,13.10,52000,12.784111
2016-01-04,12.83,12.89,12.77,12.85,25600,12.54014
2015-12-31,12.96,13.05,12.81,12.88,26900,12.569416
2015-12-30,12.98,13.00,12.91,12.94,12100,12.627969
2015-12-29,12.99,13.02,12.98,13.01,13700,12.696282
2015-12-28,12.90,13.09,12.88,13.05,55000,12.735317
2015-12-24,12.93,12.98,12.91,12.97,16600,12.657246
2015-12-23,12.77,12.91,12.77,12.90,20900,12.588933
2015-12-22,12.73,12.74,12.70,12.72,32100,12.413275
2015-12-21,12.86,12.88,12.70,12.73,41700,12.423033
2015-12-18,12.94,12.94,12.81,12.81,48200,12.501104
2015-12-17,12.96,13.04,12.84,12.99,56800,12.676763
2015-12-16,12.84,13.05,12.78,12.99,87200,12.676763
2015-12-15,12.69,12.71,12.49,12.70,60200,12.393756
2015-12-14,12.82,12.82,12.66,12.66,41200,12.354721
2015-12-11,12.85,12.88,12.80,12.85,37100,12.54014
2015-12-10,12.72,12.85,12.72,12.83,43300,12.473779
2015-12-09,12.75,12.78,12.61,12.71,33000,12.357111
2015-12-08,12.61,12.82,12.61,12.74,49200,12.386278
2015-12-07,12.67,12.68,12.62,12.67,17600,12.318222
2015-12-04,12.68,12.72,12.58,12.64,56400,12.289055
2015-12-03,12.75,12.75,12.63,12.68,33800,12.327944
2015-12-02,12.65,12.75,12.65,12.70,30200,12.347388
2015-12-01,12.74,12.74,12.63,12.67,48600,12.318222
2015-11-30,12.58,12.66,12.58,12.64,58700,12.289055
2015-11-27,12.61,12.66,12.59,12.66,8000,12.308499
2015-11-25,12.59,12.60,12.55,12.58,33000,12.23072
2015-11-24,12.44,12.58,12.44,12.58,38900,12.23072
2015-11-23,12.50,12.55,12.46,12.46,22000,12.114052
2015-11-20,12.48,12.48,12.44,12.45,30200,12.10433
2015-11-19,12.44,12.48,12.44,12.45,18700,12.10433
2015-11-18,12.51,12.51,12.40,12.43,23400,12.084885
2015-11-17,12.39,12.48,12.39,12.45,31600,12.10433
