Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,17.08,17.42,17.08,17.34,7500,17.34
2016-08-04,17.18,17.18,17.10,17.139999,5400,17.139999
2016-08-03,17.10,17.18,17.10,17.18,4000,17.18
2016-08-02,17.09,17.16,16.959999,17.10,3300,17.10
2016-08-01,17.139999,17.146,17.00,17.00,4400,17.00
2016-07-29,17.10,17.129999,16.954,17.120001,7500,17.120001
2016-07-28,16.85,16.92,16.85,16.92,400,16.92
2016-07-27,16.969999,16.969999,16.84,16.870001,3400,16.870001
2016-07-26,16.839001,16.90,16.839001,16.90,1300,16.90
2016-07-25,16.809999,16.969999,16.809999,16.910999,4300,16.910999
2016-07-22,16.885,16.885,16.885,16.885,000,16.885
2016-07-21,16.885,16.885,16.885,16.885,000,16.885
2016-07-20,16.948,16.948,16.809999,16.885,2700,16.885
2016-07-19,16.799999,16.99,16.790001,16.98,12400,16.98
2016-07-18,16.709999,16.879999,16.709999,16.813999,3300,16.813999
2016-07-15,16.549999,16.83,16.549999,16.60,5500,16.60
2016-07-14,16.91,16.91,16.530001,16.597,14800,16.597
2016-07-13,16.98,16.985001,16.530001,16.59,6100,16.59
2016-07-12,17.000999,17.110001,16.860001,16.860001,1800,16.793001
2016-07-11,17.061001,17.09,16.93,16.93,2000,16.862722
2016-07-08,17.18,17.190001,16.879999,16.879999,2200,16.81292
2016-07-07,17.129999,17.280001,16.92,16.950001,15600,16.882643
2016-07-06,17.049999,17.35,16.91,17.35,7400,17.281053
2016-07-05,17.10,17.179001,17.10,17.15,400,17.081847
2016-07-01,17.219999,17.219999,16.950001,17.09,11900,17.022086
2016-06-30,16.915001,17.290001,16.860001,16.98,30600,16.912523
2016-06-29,16.950001,16.950001,16.830999,16.830999,1300,16.764115
2016-06-28,16.82,17.077,16.77,16.860001,10700,16.793001
2016-06-27,16.743999,17.290001,16.60,16.99,5600,16.922483
2016-06-24,16.48,17.344999,16.48,16.629999,3400,16.563913
2016-06-23,17.202,17.25,16.709999,16.719999,16000,16.653556
2016-06-22,17.152,17.228001,17.00,17.228001,1100,17.159538
2016-06-21,17.167999,17.167999,17.167999,17.167999,400,17.099775
2016-06-20,17.32,17.32,17.049999,17.139999,3500,17.071887
2016-06-17,17.09,17.299999,16.91,17.280001,8700,17.211332
2016-06-16,16.67,17.139999,16.540001,17.02,11500,16.952365
2016-06-15,16.66,16.84,16.66,16.73,8800,16.663516
2016-06-14,16.690001,16.789,16.65,16.65,5000,16.583834
2016-06-13,16.620001,16.83,16.620001,16.82,9900,16.753159
2016-06-10,16.700001,16.85,16.68,16.68,13200,16.546982
2016-06-09,16.74,16.860001,16.50,16.67,9300,16.537061
2016-06-08,16.690001,16.98,16.674999,16.77,15000,16.636264
2016-06-07,16.59,16.799999,16.59,16.66,15300,16.527141
2016-06-06,16.120001,16.83,16.120001,16.83,9600,16.695785
2016-06-03,16.385,16.450001,16.360001,16.450001,4100,16.318816
2016-06-02,16.00,16.48,15.93,16.370001,18200,16.239454
2016-06-01,16.030001,16.153999,16.00,16.00,6400,15.872404
2016-05-31,15.92,15.99,15.882,15.985,4100,15.857523
2016-05-27,15.93,16.02,15.93,15.99,1700,15.862484
2016-05-26,15.92,16.01,15.92,16.00,2900,15.872404
2016-05-25,15.86,16.030001,15.79,15.88,12200,15.753361
2016-05-24,15.86,15.92,15.65,15.805,12200,15.678959
2016-05-23,15.905,15.985,15.81,15.81,4400,15.68392
2016-05-20,15.84,16.00,15.82,15.82,6500,15.693839
2016-05-19,16.059999,16.082001,15.84,15.97,16200,15.842644
2016-05-18,16.129999,16.129999,16.08,16.091,6600,15.962678
2016-05-17,16.134001,16.15,16.129999,16.139999,
7100,16.011287
2016-05-16,16.15,16.15,16.110001,16.129999,2400,16.001367
2016-05-13,16.15,16.15,16.09,16.129999,19000,16.001367
2016-05-12,16.190001,16.190001,16.09,16.129999,7700,16.001367
2016-05-11,16.25,16.313999,16.110001,16.18,14100,16.050969
2016-05-10,16.459999,16.52,16.32,16.32,9000,16.123387
2016-05-09,16.459999,16.469999,16.365,16.450001,4900,16.251822
2016-05-06,16.360001,16.52,16.360001,16.51,7300,16.311098
2016-05-05,16.40,16.40,16.23,16.360001,5700,16.162906
2016-05-04,16.50,16.50,16.48,16.48,300,16.281459
2016-05-03,16.462,16.50,16.27,16.50,16200,16.301219
2016-05-02,16.52,16.52,16.253,16.34,9200,16.143146
2016-04-29,16.40,16.40,16.40,16.40,000,16.202423
2016-04-28,16.41,16.41,16.218,16.40,2200,16.202423
2016-04-27,16.370001,16.370001,16.301001,16.360001,1000,16.162906
2016-04-26,16.18,16.35,16.07,16.191999,9700,15.996929
2016-04-25,16.399,16.399,16.07,16.299999,3400,16.103627
2016-04-22,16.18,16.40,16.17,16.40,6000,16.202423
2016-04-21,16.440001,16.440001,16.121,16.299999,18300,16.103627
2016-04-20,16.27,16.417999,16.23,16.23,11000,16.034471
2016-04-19,16.440001,16.440001,16.440001,16.440001,000,16.241942
2016-04-18,16.423,16.450001,16.374001,16.440001,1800,16.241942
2016-04-15,16.379999,16.530001,16.261999,16.530001,2300,16.330858
2016-04-14,16.50,16.52,16.07,16.40,7200,16.202423
2016-04-13,16.299,16.539,16.299,16.539,1900,16.339748
2016-04-12,16.261999,16.40,16.229,16.351,3100,16.08782
2016-04-11,16.309999,16.309999,16.23,16.27,700,16.008124
2016-04-08,16.059999,16.60,16.059999,16.440001,6100,16.175388
2016-04-07,16.132,16.15,16.112,16.112,1600,15.852667
2016-04-06,16.120001,16.209999,16.10,16.209999,2200,15.949089
2016-04-05,16.07,16.15,16.07,16.120001,1900,15.860539
2016-04-04,16.049999,16.07,16.049999,16.07,3800,15.811343
2016-04-01,15.89,16.09,15.76,16.09,9900,15.831021
2016-03-31,15.88,15.90,15.72,15.81,16000,15.555528
2016-03-30,15.85,15.85,15.75,15.75,10200,15.496494
2016-03-29,15.85,15.90,15.75,15.85,18300,15.594885
2016-03-28,15.742,15.75,15.742,15.75,2100,15.496494
2016-03-24,15.75,15.75,15.75,15.75,1900,15.496494
