Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,15.67,15.73,15.67,15.69,35800,15.69
2016-08-04,15.70,15.70,15.65,15.69,36400,15.69
2016-08-03,15.56,15.70,15.56,15.70,59100,15.70
2016-08-02,15.61,15.63,15.53,15.63,106000,15.63
2016-08-01,15.61,15.66,15.60,15.65,61200,15.65
2016-07-29,15.61,15.64,15.59,15.64,10900,15.64
2016-07-28,15.56,15.60,15.55,15.57,25500,15.57
2016-07-27,15.55,15.63,15.55,15.59,20700,15.59
2016-07-26,15.47,15.53,15.46,15.53,54400,15.53
2016-07-25,15.47,15.49,15.40,15.44,40100,15.44
2016-07-22,15.45,15.45,15.38,15.44,42400,15.44
2016-07-21,15.46,15.47,15.41,15.46,32100,15.46
2016-07-20,15.43,15.43,15.38,15.41,13200,15.41
2016-07-19,15.36,15.41,15.29,15.38,41800,15.38
2016-07-18,15.32,15.42,15.27,15.31,81800,15.31
2016-07-15,15.16,15.32,15.16,15.23,123300,15.23
2016-07-14,15.39,15.46,15.10,15.17,232600,15.17
2016-07-13,15.59,15.60,15.38,15.52,91300,15.52
2016-07-12,15.70,15.74,15.58,15.65,97800,15.589999
2016-07-11,15.78,15.80,15.74,15.80,41200,15.739425
2016-07-08,15.73,15.78,15.69,15.76,103800,15.699578
2016-07-07,15.59,15.73,15.59,15.71,113000,15.64977
2016-07-06,15.56,15.62,15.56,15.58,36400,15.520268
2016-07-05,15.55,15.60,15.55,15.56,104300,15.500345
2016-07-01,15.62,15.62,15.52,15.58,83500,15.520268
2016-06-30,15.50,15.55,15.49,15.52,69900,15.460498
2016-06-29,15.42,15.50,15.42,15.50,104400,15.440575
2016-06-28,15.42,15.44,15.41,15.42,141800,15.360881
2016-06-27,15.36,15.41,15.36,15.39,91700,15.330997
2016-06-24,15.31,15.36,15.25,15.34,91000,15.281188
2016-06-23,15.32,15.32,15.23,15.25,53900,15.191533
2016-06-22,15.27,15.31,15.27,15.29,20900,15.23138
2016-06-21,15.24,15.32,15.24,15.30,24400,15.241342
2016-06-20,15.22,15.31,15.22,15.28,30600,15.221418
2016-06-17,15.26,15.31,15.25,15.25,33600,15.191533
2016-06-16,15.27,15.33,15.27,15.28,41700,15.221418
2016-06-15,15.25,15.31,15.25,15.30,33000,15.241342
2016-06-14,15.25,15.29,15.25,15.26,33400,15.201495
2016-06-13,15.29,15.29,15.24,15.25,22200,15.191533
2016-06-10,15.28,15.30,15.25,15.30,40000,15.181572
2016-06-09,15.24,15.29,15.24,15.25,61200,15.131959
2016-06-08,15.34,15.34,15.24,15.25,55700,15.131959
2016-06-07,15.33,15.34,15.28,15.28,32000,15.161727
2016-06-06,15.29,15.36,15.28,15.29,44200,15.17165
2016-06-03,15.30,15.37,15.30,15.35,41600,15.231186
2016-06-02,15.26,15.30,15.17,15.30,108700,15.181572
2016-06-01,15.11,15.19,15.11,15.19,34500,15.072423
2016-05-31,15.02,15.10,15.00,15.09,49500,14.973198
2016-05-27,15.09,15.14,15.07,15.08,29600,14.963275
2016-05-26,15.10,15.13,15.07,15.13,107900,15.012888
2016-05-25,14.90,15.06,14.90,15.05,102700,14.933507
2016-05-24,15.07,15.08,15.01,15.02,59400,14.90374
