Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,16.780001,16.85,16.780001,16.780001,20300,16.780001
2016-08-04,16.780001,16.84,16.75,16.799999,17200,16.799999
2016-08-03,16.67,16.799999,16.67,16.799999,17300,16.799999
2016-08-02,16.77,16.77,16.66,16.709999,15100,16.709999
2016-08-01,16.879999,16.879999,16.77,16.809999,18800,16.809999
2016-07-29,16.85,16.85,16.75,16.809999,33800,16.809999
2016-07-28,16.73,16.870001,16.73,16.799999,13200,16.799999
2016-07-27,16.75,16.75,16.719999,16.719999,11300,16.719999
2016-07-26,16.690001,16.719999,16.68,16.719999,9500,16.719999
2016-07-25,16.65,16.75,16.620001,16.709999,16200,16.709999
2016-07-22,16.690001,16.690001,16.67,16.67,9100,16.67
2016-07-21,16.76,16.809999,16.639999,16.68,29000,16.68
2016-07-20,16.719999,16.75,16.68,16.75,19200,16.75
2016-07-19,16.75,16.790001,16.719999,16.719999,7900,16.719999
2016-07-18,16.60,16.83,16.60,16.690001,15100,16.690001
2016-07-15,16.450001,16.68,16.41,16.60,46600,16.60
2016-07-14,16.629999,16.639999,16.440001,16.52,37600,16.52
2016-07-13,16.799999,16.809999,16.639999,16.66,27400,16.66
2016-07-12,16.950001,17.01,16.809999,16.809999,23200,16.745
2016-07-11,17.040001,17.040001,16.950001,16.950001,9200,16.88446
2016-07-08,16.860001,17.02,16.860001,16.959999,26800,16.894419
2016-07-07,16.85,16.950001,16.85,16.879999,18500,16.814729
2016-07-06,16.860001,16.98,16.860001,16.879999,37400,16.814729
2016-07-05,16.879999,16.98,16.879999,16.93,18000,16.864537
2016-07-01,16.85,16.950001,16.809999,16.93,14900,16.864537
2016-06-30,16.75,16.82,16.75,16.809999,12500,16.745
2016-06-29,16.60,16.780001,16.60,16.75,41900,16.685232
2016-06-28,16.73,16.73,16.610001,16.68,28300,16.615503
2016-06-27,16.67,16.75,16.65,16.68,19800,16.615503
2016-06-24,16.610001,16.75,16.610001,16.75,21600,16.685232
2016-06-23,16.629999,16.709999,16.620001,16.639999,32200,16.575657
2016-06-22,16.629999,16.66,16.620001,16.65,4700,16.585619
2016-06-21,16.610001,16.67,16.559999,16.66,23000,16.59558
2016-06-20,16.610001,16.620001,16.559999,16.60,16700,16.535813
2016-06-17,16.75,16.75,16.40,16.60,27200,16.535813
2016-06-16,16.629999,16.75,16.610001,16.75,10500,16.685232
2016-06-15,16.59,16.709999,16.52,16.66,47800,16.59558
2016-06-14,16.65,16.65,16.57,16.58,4000,16.51589
2016-06-13,16.559999,16.719999,16.559999,16.58,12200,16.51589
2016-06-10,16.57,16.719999,16.52,16.65,20800,16.520869
2016-06-09,16.52,16.59,16.440001,16.52,11100,16.391878
2016-06-08,16.440001,16.530001,16.379999,16.49,11900,16.36211
2016-06-07,16.35,16.559999,16.35,16.43,15500,16.302576
2016-06-06,16.35,16.450001,16.35,16.41,17500,16.282731
2016-06-03,16.389999,16.469999,16.379999,16.379999,26100,16.252963
2016-06-02,16.290001,16.370001,16.27,16.360001,26700,16.233119
2016-06-01,16.27,16.280001,16.24,16.280001,20100,16.15374
2016-05-31,16.18,16.24,16.129999,16.209999,29800,16.084281
2016-05-27,16.18,16.26,16.18,16.25,9000,16.123972
2016-05-26,16.200001,16.26,16.16,16.23,31200,16.104127
2016-05-25,16.200001,16.200001,16.08,16.15,22400,16.024747
2016-05-24,16.09,16.15,16.07,16.15,14000,16.024747
2016-05-23,16.040001,16.07,16.030001,16.07,20700,15.945368
2016-05-20,16.00,16.049999,15.97,16.02,19500,15.895756
2016-05-19,16.030001,16.049999,15.96,15.99,32100,15.865988
2016-05-18,16.25,16.309999,16.08,16.110001,10200,15.985058
2016-05-17,16.299999,16.299999,16.219999,16.290001,22800,16.163663
2016-05-16,16.26,16.34,16.26,16.299999,15800,16.173583
2016-05-13,16.27,16.299999,16.23,16.280001,16000,16.15374
2016-05-12,16.280001,16.290001,16.219999,16.290001,14100,16.163663
2016-05-11,16.290001,16.299999,16.25,16.290001,27000,16.163663
2016-05-10,16.35,16.360001,16.299999,16.35,20000,16.156717
2016-05-09,16.
27,16.42,16.23,16.290001,22000,16.097427
2016-05-06,16.08,16.24,16.08,16.24,19700,16.048017
2016-05-05,16.15,16.15,16.09,16.120001,10500,15.929436
2016-05-04,16.08,16.139999,16.08,16.139999,27100,15.949198
2016-05-03,16.049999,16.120001,16.040001,16.110001,31800,15.919554
2016-05-02,16.030001,16.030001,15.99,16.030001,29100,15.8405
2016-04-29,15.95,16.030001,15.95,16.030001,21000,15.8405
2016-04-28,15.96,16.01,15.93,15.95,13300,15.761445
2016-04-27,15.91,15.97,15.91,15.94,15600,15.751563
2016-04-26,15.86,15.91,15.86,15.87,7000,15.682391
2016-04-25,15.99,15.99,15.89,15.90,14000,15.712036
2016-04-22,15.91,15.94,15.88,15.89,19700,15.702155
2016-04-21,15.95,16.030001,15.91,16.00,23000,15.810854
2016-04-20,15.93,15.98,15.90,15.91,23200,15.721918
2016-04-19,15.95,15.97,15.85,15.94,23400,15.751563
2016-04-18,15.95,15.98,15.91,15.92,20300,15.7318
2016-04-15,15.96,15.97,15.87,15.93,7800,15.741682
2016-04-14,15.86,15.99,15.86,15.89,30200,15.702155
2016-04-13,15.88,15.90,15.81,15.86,21700,15.672509
2016-04-12,15.96,16.08,15.90,15.91,32400,15.65571
2016-04-11,15.92,15.95,15.85,15.94,48100,15.68523
2016-04-08,15.85,15.89,15.84,15.87,28600,15.616349
2016-04-07,15.87,15.88,15.84,15.86,49400,15.606509
2016-04-06,15.84,15.88,15.79,15.79,20900,15.537628
2016-04-05,15.71,15.82,15.71,15.82,11200,15.567148
2016-04-04,15.65,15.73,15.65,15.73,21900,15.478586
2016-04-01,15.66,15.70,15.62,15.66,37300,15.409705
2016-03-31,15.65,15.69,15.62,15.65,31800,15.399865
2016-03-30,15.61,15.64,15.59,15.61,24500,15.360504
2016-03-29,15.54,15.69,15.53,15.62,54000,15.370345
2016-03-28,15.52,15.59,15.50,15.51,21700,15.262103
2016-03-24,15.45,15.51,15.45,15.46,7400,15.212902
2016-03-23,15.43,15.56,15.43,15.51,25600,15.262103
2016-03-22,15.44,15.53,15.44,15.45,11200,15.203062
2016-03-21,15.52,15.53,15.44,15.44,38600,15.193221
2016-03-18,15.52,15.58,15.44,15.50,16700,15.252263
2016-03-17,15.43,15.60,15.42,15.51,27800,15.262103
2016-03-16,15.34,15.45,15.32,15.45,30200,15.203062
2016-03-15,15.35,15.41,15.35,15.35,15400,15.104661
2016-03-14,15.38,15.38,15.35,15.38,12200,15.134181
2016-03-11,15.39,15.40,15.34,15.36,32500,15.1145
2016-03-10,15.42,15.46,15.42,15.43,25400,15.117453
2016-03-09,15.42,15.45,15.38,15.39,25700,15.078264
2016-03-08,15.36,15.43,15.36,15.41,12600,15.097858
2016-03-07,15.32,15.38,15.32,15.38,23300,15.068466
2016-03-04,15.39,15.43,15.34,15.35,41200,15.039074
2016-03-03,15.42,15.42,15.39,15.42,10400,15.107656
2016-03-02,15.43,15.44,15.39,15.39,33500,15.078264
2016-03-01,15.44,15.44,15.40,15.43,43400,15.117453
2016-02-29,15.34,15.44,15.34,15.44,57300,15.12725
2016-02-26,15.42,15.43,15.32,15.33,30600,15.019478
2016-02-25,15.44,15.50,15.38,15.38,28300,15.068466
2016-02-24,15.37,15.49,15.37,15.43,39400,15.117453
2016-02-23,15.24,15.41,15.24,15.40,38200,15.08806
2016-02-22,15.37,15.37,15.29,15.29,20700,14.980289
2016-02-19,15.39,15.42,15.32,15.35,56500,15.039074
2016-02-18,15.36,15.42,15.33,15.39,24800,15.078264
2016-02-17,15.44,15.46,15.36,15.36,34400,15.048871
2016-02-16,15.53,15.54,15.45,15.45,29800,15.137048
2016-02-12,15.72,15.72,15.51,15.52,17200,15.20563
2016-02-11,15.69,15.74,15.62,15.62,25100,15.303604
2016-02-10,15.70,15.70,15.64,15.64,9400,15.3232
2016-02-09,15.68,15.73,15.67,15.70,12300,15.316341
2016-02-08,15.73,15.75,15.65,15.69,36200,15.306585
2016-02-05,15.67,15.70,15.64,15.68,17700,15.29683
2016-02-04,15.59,15.66,15.55,15.66,20300,15.277318
2016-02-03,15.50,15.65,15.47,15.52,34300,15.14074
2016-02-02,15.60,15.61,15.50,15.50,25800,15.121228
2016-02-01,15.56,15.66,15.45,15.51,30400,15.130984
2016-01-29,15.52,15.52,15.43,15.49,22500,15.111472
2016-01-28,15.28,15.44,15.28,15.44,19100,15.062694
2016-01-27,15.37,15.
42,15.26,15.31,31000,14.935872
2016-01-26,15.20,15.36,15.20,15.34,16800,14.965138
2016-01-25,15.28,15.46,15.18,15.18,16900,14.809048
2016-01-22,15.15,15.59,15.15,15.23,18900,14.857826
2016-01-21,15.07,15.15,15.05,15.14,25700,14.770026
2016-01-20,15.21,15.25,14.93,15.01,52100,14.643202
2016-01-19,15.36,15.36,15.18,15.18,34900,14.809048
2016-01-15,15.23,15.28,15.23,15.28,12800,14.906604
2016-01-14,15.21,15.25,15.17,15.25,22600,14.877337
2016-01-13,15.33,15.34,15.16,15.17,51300,14.799292
2016-01-12,15.47,15.54,15.39,15.40,33500,14.958309
2016-01-11,15.60,15.60,15.44,15.50,29400,15.055441
2016-01-08,15.45,15.58,15.40,15.53,19100,15.08458
2016-01-07,15.36,15.49,15.36,15.43,21300,14.987449
2016-01-06,15.32,15.39,15.31,15.36,13300,14.919456
2016-01-05,15.33,15.35,15.30,15.31,15500,14.870891
2016-01-04,15.22,15.30,15.21,15.29,19900,14.851464
2015-12-31,15.15,15.29,15.14,15.26,44800,14.822325
2015-12-30,15.09,15.24,15.09,15.19,29600,14.754332
2015-12-29,15.15,15.15,15.09,15.12,22600,14.68634
2015-12-28,15.18,15.24,15.10,15.11,59300,14.676626
2015-12-24,15.17,15.19,15.14,15.19,22700,14.754332
2015-12-23,15.19,15.22,15.11,15.17,25600,14.734906
2015-12-22,15.24,15.24,15.09,15.15,70900,14.715479
2015-12-21,15.01,15.25,15.01,15.23,34100,14.793185
2015-12-18,14.99,15.05,14.99,15.03,18500,14.598921
2015-12-17,14.86,15.02,14.81,14.97,55900,14.540642
2015-12-16,14.82,14.86,14.75,14.86,29300,14.433797
2015-12-15,14.73,14.92,14.73,14.83,32800,14.404657
2015-12-14,14.76,14.85,14.68,14.71,25500,14.288099
2015-12-11,14.81,14.86,14.78,14.82,30800,14.394944
2015-12-10,14.78,14.86,14.78,14.82,28200,14.329866
2015-12-09,14.83,14.86,14.78,14.78,28700,14.291189
2015-12-08,14.74,14.84,14.74,14.83,33100,14.339535
2015-12-07,14.91,14.91,14.75,14.78,33300,14.291189
