Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,17.50,17.50,16.870001,16.889999,11300,16.889999
2016-08-04,16.719999,17.15,16.719999,17.08,24400,17.08
2016-08-03,16.65,16.799999,16.620001,16.76,13700,16.76
2016-08-02,16.68,16.809999,16.65,16.75,10700,16.75
2016-08-01,16.889999,16.889999,16.549999,16.84,8500,16.84
2016-07-29,16.75,16.75,16.610001,16.700001,8400,16.700001
2016-07-28,16.610001,16.889999,16.540001,16.709999,44500,16.709999
2016-07-27,16.549999,16.60,16.52,16.559999,11100,16.559999
2016-07-26,16.379999,16.48,16.379999,16.440001,6600,16.440001
2016-07-25,16.41,16.67,16.290001,16.440001,2500,16.440001
2016-07-22,16.459999,16.459999,16.40,16.42,3500,16.42
2016-07-21,16.290001,16.43,16.290001,16.370001,17900,16.370001
2016-07-20,16.59,16.620001,16.280001,16.41,12400,16.41
2016-07-19,16.450001,16.639999,16.450001,16.639999,9300,16.639999
2016-07-18,16.34,16.360001,16.309999,16.33,14500,16.33
2016-07-15,16.209999,16.34,16.209999,16.32,7800,16.32
2016-07-14,16.41,16.41,16.15,16.18,10300,16.18
2016-07-13,16.42,16.52,16.26,16.42,21200,16.42
2016-07-12,16.48,16.57,16.40,16.469999,14600,16.416999
2016-07-11,16.559999,16.58,16.51,16.57,26400,16.516678
2016-07-08,16.60,16.60,16.530001,16.549999,10200,16.496741
2016-07-07,16.51,16.629999,16.51,16.51,20800,16.456871
2016-07-06,16.629999,16.639999,16.49,16.559999,7600,16.506709
2016-07-05,16.700001,16.73,16.51,16.540001,15800,16.486775
2016-07-01,16.68,16.780001,16.59,16.620001,20700,16.566518
2016-06-30,16.690001,16.75,16.67,16.67,10300,16.616356
2016-06-29,17.040001,17.040001,16.65,16.65,19600,16.59642
2016-06-28,17.93,17.93,17.120001,17.15,26500,17.094811
2016-06-27,17.00,17.370001,16.99,17.129999,17200,17.074875
2016-06-24,16.700001,16.870001,16.700001,16.870001,8000,16.815713
2016-06-23,16.59,16.700001,16.59,16.639999,5800,16.586452
2016-06-22,16.690001,16.690001,16.59,16.629999,7900,16.576484
2016-06-21,16.74,16.74,16.620001,16.690001,9400,16.636292
2016-06-20,16.700001,16.700001,16.559999,16.60,6300,16.546582
2016-06-17,16.50,16.52,16.43,16.459999,5500,16.407031
2016-06-16,16.549999,16.549999,16.41,16.41,11800,16.357193
2016-06-15,16.700001,16.700001,16.440001,16.450001,9400,16.397065
2016-06-14,16.440001,16.49,16.40,16.450001,14700,16.397065
2016-06-13,16.42,16.559999,16.42,16.50,12600,16.446903
2016-06-10,16.41,16.700001,16.41,16.42,15900,16.314332
2016-06-09,16.57,16.57,16.360001,16.42,7200,16.314332
2016-06-08,16.309999,16.530001,16.309999,16.370001,8200,16.264654
2016-06-07,16.27,16.59,16.27,16.389999,11900,16.284524
2016-06-06,16.16,16.389999,16.16,16.27,6300,16.165298
2016-06-03,16.299999,16.32,16.15,16.15,10900,16.046069
2016-06-02,15.93,16.17,15.93,16.030001,6600,15.926842
2016-06-01,15.93,16.040001,15.93,15.99,24400,15.887099
