Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,15.57,15.62,15.42,15.43,42500,15.43
2016-08-04,15.58,15.60,15.54,15.57,35600,15.57
2016-08-03,15.64,15.68,14.03,15.55,162500,15.55
2016-08-02,15.89,15.89,15.72,15.72,27900,15.72
2016-08-01,15.88,15.93,15.86,15.89,32100,15.89
2016-07-29,15.85,15.90,15.85,15.90,13200,15.90
2016-07-28,15.80,15.89,15.76,15.84,51300,15.84
2016-07-27,15.66,15.80,15.64,15.80,23200,15.80
2016-07-26,15.62,15.66,15.56,15.66,35800,15.66
2016-07-25,15.70,15.70,15.57,15.61,18200,15.61
2016-07-22,15.74,15.74,15.66,15.67,40500,15.67
2016-07-21,15.75,15.80,15.74,15.74,29400,15.74
2016-07-20,15.78,15.78,15.70,15.75,27100,15.75
2016-07-19,15.64,15.78,15.53,15.78,28000,15.78
2016-07-18,15.41,15.60,15.41,15.60,25400,15.60
2016-07-15,15.25,15.44,15.25,15.41,32300,15.41
2016-07-14,15.48,15.48,15.25,15.29,32700,15.29
2016-07-13,15.46,15.62,15.35,15.52,201400,15.52
2016-07-12,15.58,15.58,15.41,15.50,38400,15.454
2016-07-11,15.55,15.60,15.53,15.55,16500,15.503852
2016-07-08,15.53,15.60,15.53,15.56,22300,15.513823
2016-07-07,15.52,15.60,15.46,15.55,33000,15.503852
2016-07-06,15.46,15.53,15.45,15.45,17700,15.404149
2016-07-05,15.50,15.51,15.43,15.45,28900,15.404149
2016-07-01,15.61,15.63,15.47,15.48,32000,15.434059
2016-06-30,15.53,15.60,15.50,15.51,27600,15.463971
2016-06-29,15.50,15.53,15.48,15.52,21700,15.473942
2016-06-28,15.40,15.50,15.34,15.49,37800,15.44403
2016-06-27,15.35,15.43,15.33,15.38,22900,15.334357
2016-06-24,15.24,15.39,15.24,15.33,31200,15.284505
2016-06-23,15.28,15.30,15.24,15.27,23700,15.224683
2016-06-22,15.29,15.30,15.23,15.28,28500,15.234653
2016-06-21,15.23,15.28,15.21,15.25,49900,15.204742
2016-06-20,15.24,15.29,15.23,15.23,18400,15.184801
2016-06-17,15.20,15.33,15.20,15.31,17000,15.264565
2016-06-16,15.28,15.28,15.23,15.25,31000,15.204742
2016-06-15,15.21,15.25,15.16,15.24,20200,15.194772
2016-06-14,15.20,15.20,15.17,15.17,13300,15.12498
2016-06-13,15.09,15.20,15.09,15.16,23100,15.115009
2016-06-10,15.16,15.23,15.13,15.19,41000,15.099056
2016-06-09,15.12,15.20,15.12,15.15,45500,15.059296
2016-06-08,15.16,15.19,15.12,15.16,34500,15.069236
2016-06-07,15.22,15.26,15.15,15.15,32300,15.059296
2016-06-06,15.37,15.37,15.14,15.22,90000,15.128877
2016-06-03,15.43,15.43,15.36,15.37,24800,15.277979
2016-06-02,15.32,15.35,15.27,15.31,53700,15.218339
2016-06-01,15.22,15.37,15.21,15.34,57800,15.248159
2016-05-31,15.13,15.24,15.02,15.21,62200,15.118937
