Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,35.279999,35.630001,35.099998,35.50,333400,35.50
2016-08-04,34.959999,35.389999,34.959999,35.07,221000,35.07
2016-08-03,34.759998,35.119999,34.59,35.099998,241100,35.099998
2016-08-02,35.650002,35.759998,34.68,34.700001,313500,34.700001
2016-08-01,35.02,35.700001,34.759998,35.57,444400,35.57
2016-07-29,35.18,35.470001,34.900002,35.07,616500,35.07
2016-07-28,35.50,36.09,35.150002,35.41,1055400,35.41
2016-07-27,37.50,37.529999,36.52,36.709999,640800,36.709999
2016-07-26,37.459999,37.779999,37.119999,37.470001,271500,37.470001
2016-07-25,37.310001,37.619999,37.209999,37.369999,199900,37.369999
2016-07-22,37.389999,37.68,37.200001,37.50,247800,37.50
2016-07-21,37.880001,37.880001,37.310001,37.48,245900,37.48
2016-07-20,37.580002,38.110001,37.09,37.810001,221600,37.810001
2016-07-19,37.91,38.049999,37.509998,37.599998,222400,37.599998
2016-07-18,38.25,38.310001,37.869999,38.099998,224200,38.099998
2016-07-15,38.290001,38.34,37.900002,38.209999,372300,38.209999
2016-07-14,38.110001,38.189999,37.68,37.939999,308900,37.939999
2016-07-13,37.759998,37.759998,37.369999,37.639999,257000,37.639999
2016-07-12,37.25,38.099998,37.16,37.540001,415600,37.540001
2016-07-11,36.369999,36.869999,36.189999,36.66,267500,36.66
2016-07-08,35.509998,36.389999,35.509998,36.240002,341400,36.240002
2016-07-07,35.139999,35.740002,34.810001,34.970001,373500,34.970001
2016-07-06,34.080002,35.00,33.849998,34.93,504300,34.93
2016-07-05,34.849998,34.939999,33.950001,34.18,408600,34.18
2016-07-01,35.240002,35.759998,34.959999,35.150002,489800,35.150002
2016-06-30,34.790001,35.32,34.669998,35.240002,835300,35.240002
2016-06-29,34.099998,34.84,33.990002,34.740002,372700,34.740002
2016-06-28,33.669998,33.82,33.029999,33.580002,389000,33.580002
2016-06-27,34.369999,34.57,33.110001,33.240002,471700,33.240002
2016-06-24,35.73,36.23,34.73,34.880001,692400,34.880001
