Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,4.42,4.47,4.40,4.46,10300,4.46
2016-08-04,4.46,4.51,4.40,4.49,8900,4.49
2016-08-03,4.46,4.50,4.37,4.46,17700,4.46
2016-08-02,4.66,4.66,4.30,4.44,23000,4.44
2016-08-01,4.64,4.66,4.51,4.64,31700,4.64
2016-07-29,4.52,4.64,4.52,4.60,13700,4.60
2016-07-28,4.50,4.50,4.48,4.50,4300,4.50
2016-07-27,4.40,4.61,4.40,4.47,77600,4.47
2016-07-26,4.38,4.55,4.25,4.41,89100,4.41
2016-07-25,4.35,4.42,4.25,4.38,47900,4.38
2016-07-22,4.52,4.52,4.32,4.39,8100,4.39
2016-07-21,4.48,4.48,4.35,4.35,27800,4.35
2016-07-20,4.39,4.57,4.39,4.52,7400,4.52
2016-07-19,4.63,4.63,4.51,4.52,19100,4.52
2016-07-18,4.59,4.72,4.39,4.63,17200,4.63
2016-07-15,4.70,4.78,4.66,4.72,20000,4.72
2016-07-14,4.78,4.80,4.72,4.80,16500,4.80
2016-07-13,4.84,4.84,4.80,4.82,4600,4.82
2016-07-12,4.89,4.89,4.80,4.83,9000,4.83
2016-07-11,4.83,4.83,4.78,4.78,11600,4.78
2016-07-08,4.89,4.89,4.80,4.84,8800,4.84
2016-07-07,4.77,4.80,4.76,4.79,6200,4.79
2016-07-06,4.85,4.85,4.75,4.76,15800,4.76
2016-07-05,4.96,5.04,4.86,4.91,24900,4.91
2016-07-01,4.70,4.95,4.70,4.91,59600,4.91
2016-06-30,4.74,4.75,4.67,4.74,16000,4.74
2016-06-29,4.78,4.78,4.71,4.75,17400,4.75
2016-06-28,4.65,4.80,4.65,4.78,9300,4.78
2016-06-27,4.72,4.81,4.57,4.64,31800,4.64
2016-06-24,4.69,4.75,4.49,4.68,54300,4.68
2016-06-23,4.74,4.88,4.61,4.77,47600,4.77
2016-06-22,4.39,5.12,4.38,4.65,439300,4.65
2016-06-21,4.50,4.50,4.30,4.35,10100,4.35
2016-06-20,4.43,4.48,4.33,4.34,29300,4.34
2016-06-17,4.35,4.40,4.35,4.38,10800,4.38
2016-06-16,4.33,4.44,4.29,4.38,17100,4.38
2016-06-15,4.35,4.58,4.31,4.40,32800,4.40
2016-06-14,4.79,4.79,4.28,4.37,18600,4.37
2016-06-13,4.68,4.71,4.34,4.40,62400,4.40
2016-06-10,4.00,5.14,4.00,4.86,779300,4.86
2016-06-09,3.90,4.09,3.90,4.00,65900,4.00
2016-06-08,3.86,3.95,3.83,3.92,58400,3.92
2016-06-07,3.78,3.90,3.70,3.84,105700,3.84
2016-06-06,3.76,3.77,3.65,3.75,24400,3.75
2016-06-03,3.78,3.80,3.73,3.80,13400,3.80
2016-06-02,3.80,3.80,3.72,3.80,2800,3.80
2016-06-01,3.78,3.80,3.76,3.76,5100,3.76
2016-05-31,3.80,3.85,3.77,3.79,15400,3.79
2016-05-27,3.70,3.82,3.70,3.79,12700,3.79
2016-05-26,3.68,3.73,3.68,3.69,6300,3.69
2016-05-25,3.65,3.72,3.65,3.70,7000,3.70
2016-05-24,3.64,3.72,3.64,3.64,19000,3.64
2016-05-23,3.70,3.76,3.65,3.67,17200,3.67
