Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,11.47,11.56,11.47,11.52,317300,11.52
2016-08-04,11.77,11.80,11.68,11.70,361000,11.70
2016-08-03,11.69,11.80,11.67,11.74,344300,11.74
2016-08-02,11.81,11.81,11.71,11.77,395300,11.77
2016-08-01,11.57,11.74,11.50,11.60,417700,11.60
2016-07-29,11.35,11.76,11.35,11.69,907100,11.69
2016-07-28,12.85,12.87,12.76,12.78,225400,12.78
2016-07-27,12.87,12.90,12.73,12.81,322900,12.81
2016-07-26,12.75,12.81,12.69,12.73,249600,12.73
2016-07-25,12.75,12.84,12.73,12.80,297200,12.80
2016-07-22,12.74,12.78,12.71,12.73,192300,12.73
2016-07-21,12.80,12.86,12.70,12.74,256600,12.74
2016-07-20,12.74,12.81,12.69,12.77,220300,12.77
2016-07-19,12.76,12.76,12.67,12.70,217200,12.70
2016-07-18,12.73,12.86,12.72,12.76,392500,12.76
2016-07-15,12.79,12.81,12.70,12.76,214600,12.76
2016-07-14,12.74,12.80,12.72,12.78,392700,12.78
2016-07-13,12.83,12.90,12.76,12.79,335600,12.79
2016-07-12,12.73,12.91,12.66,12.84,456700,12.84
2016-07-11,12.46,12.62,12.46,12.58,321300,12.58
2016-07-08,12.23,12.37,12.21,12.29,595900,12.29
2016-07-07,12.39,12.45,12.14,12.26,914500,12.26
2016-07-06,12.45,12.49,12.29,12.48,442500,12.48
2016-07-05,12.64,12.73,12.57,12.69,356500,12.69
2016-07-01,12.98,13.07,12.93,12.98,342400,12.98
2016-06-30,12.79,12.99,12.70,12.99,482300,12.99
2016-06-29,12.65,12.92,12.64,12.80,499100,12.80
2016-06-28,12.18,12.25,12.10,12.24,320300,12.24
2016-06-27,12.02,12.05,11.80,11.89,533500,11.89
2016-06-24,12.46,12.72,12.27,12.28,1077600,12.28
2016-06-23,13.17,13.20,12.97,13.20,589400,13.20
2016-06-22,12.92,13.00,12.82,12.85,551100,12.85
2016-06-21,12.60,12.79,12.53,12.65,658100,12.65
2016-06-20,12.53,12.56,12.40,12.41,634800,12.41
2016-06-17,11.68,11.89,11.66,11.84,843000,11.84
2016-06-16,11.31,11.57,11.21,11.53,408100,11.53
2016-06-15,11.30,11.59,11.30,11.47,432200,11.47
2016-06-14,11.37,11.44,11.10,11.18,457000,11.18
2016-06-13,11.35,11.48,11.26,11.30,520100,11.30
2016-06-10,11.46,11.48,11.29,11.36,373400,11.36
2016-06-09,12.00,12.01,11.82,11.88,459100,11.88
2016-06-08,12.37,12.38,12.25,12.29,226300,12.29
2016-06-07,12.39,12.44,12.35,12.37,196100,12.37
2016-06-06,12.23,12.34,12.22,12.30,215900,12.30
2016-06-03,12.20,12.22,12.06,12.18,216300,12.18
2016-06-02,12.23,12.31,12.21,12.31,226700,12.31
2016-06-01,12.06,12.23,12.05,12.22,234800,12.22
2016-05-31,12.26,12.29,12.07,12.13,354800,12.13
2016-05-27,12.04,12.12,12.02,12.08,166400,12.08
2016-05-26,12.11,12.12,12.02,12.05,209800,12.05
2016-05-25,12.03,12.12,12.02,12.09,289100,12.09
2016-05-24,11.81,11.91,11.79,11.91,302700,11.91
2016-05-23,11.69,11.77,11.69,11.70,246900,11.70
2016-05-20,11.80,11.85,11.75,11.80,401800,11.80
2016-05-19,11.76,11.79,11.66,11.73,289000,11.73
2016-05-18,11.81,11.91,11.70,11.78,504600,11.78
2016-05-17,11.78,11.83,11.70,11.72,425300,11.72
2016-05-16,11.53,11.66,11.52,11.63,447400,11.63
2016-05-13,11.55,11.63,11.50,11.51,241600,11.51
2016-05-12,11.74,11.79,11.60,11.67,454
200,11.67
2016-05-11,11.67,11.69,11.56,11.62,188900,11.62
2016-05-10,11.62,11.74,11.60,11.67,243100,11.67
2016-05-09,11.77,11.79,11.61,11.62,249800,11.62
2016-05-06,11.66,11.86,11.66,11.85,297500,11.85
2016-05-05,11.51,11.65,11.48,11.58,325200,11.58
2016-05-04,11.37,11.44,11.32,11.36,222200,11.36
2016-05-03,11.56,11.61,11.48,11.53,321300,11.53
2016-05-02,11.78,11.83,11.72,11.81,276300,11.81
2016-04-29,11.79,11.84,11.71,11.74,289800,11.74
2016-04-28,11.65,11.90,11.65,11.77,246200,11.77
2016-04-27,11.71,11.78,11.67,11.76,378200,11.76
2016-04-26,11.85,11.88,11.73,11.76,314700,11.76
2016-04-25,11.79,11.82,11.66,11.70,295000,11.70
2016-04-22,11.85,11.94,11.83,11.92,175700,11.92
2016-04-21,12.06,12.08,11.85,11.88,147400,11.88
2016-04-20,12.09,12.14,12.05,12.06,130900,12.06
2016-04-19,12.05,12.16,12.00,12.13,293200,12.13
2016-04-18,11.85,11.93,11.83,11.87,311200,11.87
2016-04-15,11.81,11.87,11.77,11.81,221800,11.81
2016-04-14,11.83,11.84,11.77,11.82,232700,11.82
2016-04-13,11.84,11.98,11.83,11.94,320800,11.94
2016-04-12,11.84,11.96,11.72,11.93,324700,11.93
2016-04-11,11.89,11.97,11.78,11.79,257100,11.79
2016-04-08,11.71,11.78,11.67,11.70,299300,11.70
2016-04-07,11.61,11.65,11.49,11.52,263800,11.52
2016-04-06,11.64,11.78,11.61,11.77,237200,11.77
2016-04-05,12.09,12.21,12.03,12.14,591800,11.659
2016-04-04,12.31,12.36,12.24,12.29,314200,11.803056
2016-04-01,12.02,12.13,11.97,12.13,524300,11.649396
2016-03-31,12.62,12.65,12.51,12.54,472600,12.043151
2016-03-30,13.07,13.10,12.95,12.97,314300,12.456114
2016-03-29,12.67,12.85,12.59,12.84,277300,12.331265
2016-03-28,12.59,12.64,12.58,12.63,147000,12.129585
2016-03-24,12.46,12.56,12.45,12.54,223200,12.043151
2016-03-23,12.74,12.78,12.60,12.63,946100,12.129585
2016-03-22,12.78,12.95,12.75,12.92,300800,12.408095
2016-03-21,13.05,13.05,12.91,13.02,325000,12.504134
2016-03-18,13.09,13.13,12.84,12.89,602900,12.379284
2016-03-17,12.82,13.01,12.76,12.98,404900,12.465717
2016-03-16,12.31,12.65,12.31,12.63,474200,12.129585
2016-03-15,12.37,12.39,12.31,12.38,416700,11.889491
2016-03-14,12.52,12.63,12.48,12.56,426300,12.062359
2016-03-11,12.45,12.58,12.42,12.58,354500,12.081566
2016-03-10,12.18,12.33,12.05,12.18,357300,11.697415
2016-03-09,12.35,12.41,12.24,12.37,345600,11.879887
2016-03-08,12.43,12.45,12.31,12.35,520300,11.86068
2016-03-07,12.08,12.36,12.08,12.32,288600,11.831868
2016-03-04,12.35,12.45,12.32,12.37,511500,11.879887
2016-03-03,12.00,12.19,12.00,12.18,979400,11.697415
2016-03-02,11.91,12.04,11.87,12.02,489900,11.543755
2016-03-01,12.13,12.17,12.01,12.13,646100,11.649396
2016-02-29,11.96,11.97,11.83,11.83,582300,11.361282
2016-02-26,11.77,11.82,11.49,11.55,532900,11.092376
2016-02-25,11.17,11.21,11.06,11.19,495600,10.746639
2016-02-24,10.67,10.89,10.56,10.88,440900,10.448922
2016-02-23,11.15,11.21,11.07,11.07,268800,10.631394
2016-02-22,11.50,11.60,11.48,11.53,320200,11.073168
2016-02-19,11.28,11.35,11.23,11.32,333300,10.871489
2016-02-18,11.45,11.45,11.32,11.34,286600,10.890697
2016-02-17,11.33,11.58,11.31,11.54,763800,11.082772
2016-02-16,11.22,11.22,11.03,11.18,403300,10.737036
2016-02-12,10.83,11.03,10.77,11.02,485800,10.583376
2016-02-11,10.50,10.56,10.32,10.43,412000,10.016752
2016-02-10,10.76,10.90,10.71,10.75,339300,10.324073
2016-02-09,10.78,10.92,10.72,10.82,557900,10.391299
2016-02-08,11.
05,11.11,10.92,11.06,662100,10.621791
2016-02-05,11.41,11.46,11.15,11.18,683500,10.737036
2016-02-04,11.22,11.49,11.20,11.33,722000,10.881093
2016-02-03,11.14,11.15,10.88,11.13,585500,10.689017
2016-02-02,10.97,11.09,10.88,10.97,489400,10.535357
2016-02-01,11.31,11.39,11.20,11.31,584300,10.861886
2016-01-29,11.14,11.25,11.10,11.23,359600,10.785054
2016-01-28,11.27,11.29,11.04,11.12,438700,10.679413
2016-01-27,10.94,11.03,10.81,10.85,381400,10.420111
2016-01-26,10.90,11.07,10.79,11.06,416600,10.621791
2016-01-25,10.74,10.80,10.64,10.64,423800,10.218432
2016-01-22,10.70,11.00,10.68,10.86,1106300,10.429714
2016-01-21,10.57,11.08,10.51,10.95,2097800,10.516149
2016-01-20,9.41,9.47,9.18,9.41,605300,9.037165
2016-01-19,9.77,9.77,9.55,9.61,614800,9.229241
2016-01-15,10.08,10.12,9.95,10.01,549600,9.613393
2016-01-14,10.26,10.46,10.09,10.39,901400,9.978337
2016-01-13,10.13,10.16,9.85,9.86,727700,9.469335
2016-01-12,10.12,10.13,9.91,10.00,904300,9.603789
2016-01-11,10.07,10.09,9.85,9.93,562800,9.536563
2016-01-08,10.10,10.15,9.97,9.99,521100,9.594185
2016-01-07,10.19,10.23,10.09,10.10,564600,9.699827
2016-01-06,10.39,10.47,10.38,10.41,593400,9.997544
2016-01-05,10.65,10.69,10.54,10.64,548200,10.218432
