Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,42.82,43.50,42.82,43.48,4700,43.48
2016-08-04,42.299999,42.50,42.299999,42.50,700,42.50
2016-08-03,42.259998,42.98,42.259998,42.98,1000,42.98
2016-08-02,41.939999,42.799999,41.939999,42.349998,3100,42.349998
2016-08-01,41.939999,41.939999,41.939999,41.939999,1200,41.939999
2016-07-29,42.630001,42.630001,42.349998,42.349998,3800,42.349998
2016-07-28,42.709999,42.740002,41.91,42.740002,3000,42.740002
2016-07-27,42.689999,43.50,41.939999,43.25,6500,43.25
2016-07-26,41.900002,42.75,41.900002,42.75,1900,42.75
2016-07-25,42.619999,42.619999,42.16,42.16,1100,42.16
2016-07-22,42.18,42.740002,42.150002,42.740002,1600,42.740002
2016-07-21,43.50,43.50,41.950001,41.950001,2100,41.950001
2016-07-20,42.279999,42.799999,41.919998,42.599998,4000,42.599998
2016-07-19,42.599998,43.50,42.299999,42.360001,5300,42.360001
2016-07-18,42.799999,43.50,41.689999,42.299999,4200,42.299999
2016-07-15,43.259998,43.259998,42.41,43.189999,8500,43.189999
2016-07-14,43.049999,43.049999,43.049999,43.049999,700,43.049999
2016-07-13,42.810001,43.400002,42.00,42.220001,5700,42.220001
2016-07-12,42.599998,42.849998,42.380001,42.849998,4000,42.849998
2016-07-11,42.59,42.68,42.00,42.560001,10800,42.560001
2016-07-08,41.75,42.810001,41.75,42.689999,3800,42.689999
2016-07-07,40.23,40.919998,40.23,40.919998,800,40.919998
2016-07-06,40.25,40.400002,40.25,40.34,1800,40.34
2016-07-05,41.59,41.59,40.259998,40.470001,1900,40.470001
2016-07-01,41.93,41.93,41.619999,41.619999,2100,41.619999
2016-06-30,40.389999,41.990002,40.389999,41.990002,3900,41.990002
2016-06-29,40.900002,41.02,40.25,40.459999,6300,40.459999
2016-06-28,40.880001,40.880001,40.040001,40.310001,3500,40.310001
2016-06-27,41.389999,41.389999,40.32,40.41,7700,40.41
2016-06-24,43.00,43.599998,40.790001,41.169998,26700,41.169998
2016-06-23,44.25,44.700001,43.599998,44.700001,5900,44.700001
2016-06-22,43.360001,44.900002,43.360001,44.009998,5600,44.009998
2016-06-21,42.32,44.650002,42.32,43.709999,14200,43.709999
2016-06-20,40.939999,42.209999,40.939999,42.02,2700,42.02
2016-06-17,41.23,42.200001,41.23,41.580002,13200,41.580002
2016-06-16,41.610001,41.700001,40.720001,41.09,9600,41.09
2016-06-15,41.470001,42.169998,41.139999,41.700001,4800,41.700001
2016-06-14,41.459999,41.75,40.439999,41.299999,6700,41.299999
2016-06-13,41.84,42.23,41.50,41.610001,4100,41.610001
2016-06-10,42.349998,42.349998,41.919998,41.919998,2200,41.919998
2016-06-09,43.02,43.349998,42.509998,42.509998,3500,42.509998
2016-06-08,43.00,43.490002,42.970001,43.279999,5800,43.279999
2016-06-07,43.16,43.200001,42.509998,43.07,2500,43.07
2016-06-06,43.209999,43.50,42.369999,43.080002,4600,43.080002
2016-06-03,42.959999,43.459999,42.959999,43.400002,5100,43.400002
2016-06-02,43.18,44.00,42.799999,43.599998,6100,43.129999
2016-06-01,42.060001,43.41,41.599998,43.259998,11600,42.793664
2016-05-31,41.369999,42.389999,41.310001,42.34,9100,41.883584
2016-05-27,42.279999,42.279999,41.32,42.220001,3900,41.764878
2016-05-26,42.959999,42.959999,41.790001,42.02,4100,41.567033
2016-05-25,42.919998,43.50,42.919998,43.200001,4700,42.734313
2016-05-24,41.099998,43.130001,40.740002,42.91,15200,42.447439
2016-05-23,41.009998,41.02,40.450001,41.009998,1700,40.567919
2016-05-20,40.759998,41.00,40.6
89999,40.73,4100,40.290938
2016-05-19,40.77,40.869999,40.360001,40.68,6500,40.241478
2016-05-18,40.43,40.77,40.299999,40.50,3200,40.063418
2016-05-17,40.799999,40.799999,40.029999,40.240002,4700,39.806223
2016-05-16,40.459999,40.790001,40.459999,40.790001,3100,40.350293
2016-05-13,40.119999,40.650002,39.77,40.48,5600,40.043633
2016-05-12,40.200001,40.779999,39.68,40.02,6300,39.588593
2016-05-11,39.740002,40.869999,39.66,40.060001,5200,39.628163
2016-05-10,40.25,40.25,39.720001,39.849998,5100,39.420424
2016-05-09,40.48,40.50,39.82,40.110001,4200,39.677623
2016-05-06,39.93,40.849998,39.93,40.849998,2100,40.409644
2016-05-05,40.040001,40.560001,40.00,40.139999,3800,39.707298
2016-05-04,41.099998,41.099998,40.00,40.240002,3300,39.806223
2016-05-03,42.049999,42.049999,41.25,41.25,5400,40.805333
2016-05-02,41.84,42.080002,41.84,42.029999,2200,41.576924
2016-04-29,41.50,41.700001,41.27,41.619999,3300,41.171344
2016-04-28,41.669998,42.080002,41.23,41.549999,15400,41.102099
2016-04-27,41.52,42.25,41.50,41.98,6600,41.527464
2016-04-26,40.650002,41.950001,40.650002,41.880001,2700,41.428543
2016-04-25,41.299999,41.950001,40.549999,41.490002,9600,41.042748
2016-04-22,41.75,41.830002,41.220001,41.240002,3200,40.795443
2016-04-21,40.880001,41.810001,40.509998,41.25,9500,40.805333
2016-04-20,41.25,41.639999,40.84,40.919998,5500,40.478889
2016-04-19,40.509998,41.25,40.509998,41.240002,4100,40.795443
2016-04-18,40.32,40.720001,40.060001,40.619999,4200,40.182124
2016-04-15,40.470001,40.639999,40.00,40.27,4100,39.835898
2016-04-14,40.169998,40.75,38.98,40.50,8900,40.063418
2016-04-13,38.610001,40.360001,38.610001,40.25,9300,39.816113
2016-04-12,38.369999,38.75,38.110001,38.75,3900,38.332283
2016-04-11,38.18,38.360001,37.810001,38.099998,1600,37.689288
2016-04-08,38.200001,38.25,37.259998,37.849998,1900,37.441983
2016-04-07,38.150002,38.290001,37.790001,37.849998,4400,37.441983
2016-04-06,37.939999,38.639999,37.939999,38.450001,3700,38.035518
2016-04-05,38.50,38.650002,37.82,37.82,6300,37.412308
2016-04-04,38.630001,39.290001,38.560001,38.560001,3200,38.144332
2016-04-01,38.68,39.099998,38.419998,38.419998,5400,38.005838
2016-03-31,38.66,39.18,38.490002,38.540001,5400,38.124547
2016-03-30,39.00,39.00,38.220001,38.790001,3100,38.371853
2016-03-29,38.139999,38.900002,38.139999,38.77,4900,38.352068
2016-03-28,38.990002,38.990002,38.00,38.139999,4400,37.728858
2016-03-24,38.599998,38.950001,38.400002,38.57,11100,38.154223
2016-03-23,38.689999,39.50,38.470001,38.82,11200,38.401528
2016-03-22,38.439999,39.299999,37.849998,38.52,14500,38.104763
2016-03-21,38.130001,38.630001,38.00,38.189999,4700,37.778318
2016-03-18,38.34,38.860001,37.73,38.290001,17800,37.877242
2016-03-17,37.619999,38.709999,37.619999,38.23,5100,37.817888
2016-03-16,38.34,38.959999,37.540001,37.650002,14700,37.244142
2016-03-15,38.50,38.720001,38.119999,38.119999,3900,37.709073
2016-03-14,39.119999,39.400002,38.52,38.689999,3800,38.272928
2016-03-11,38.619999,39.400002,38.619999,39.099998,5800,38.678508
2016-03-10,38.009998,39.07,38.009998,38.52,8400,38.104763
2016-03-09,39.48,39.490002,38.509998,38.650002,8500,38.233362
2016-03-08,39.41,39.599998,38.849998,39.16,7900,38.737863
2016-03-07,40.759998,40.759998,39.07,39.50,13600,39.074198
2016-03-04,38.720001,40.599998,38.720001,39.73,30200,39.301718
2016-03-03,39.349998,40.16,38.75,39.049999,19400,38.164113
2016-03-02,39.1
50002,39.700001,38.93,39.259998,17800,38.369348
2016-03-01,38.689999,40.18,38.689999,39.720001,4000,38.818915
2016-02-29,39.860001,39.860001,38.50,38.709999,6100,37.831826
2016-02-26,38.790001,40.919998,38.529999,39.25,5000,38.359577
2016-02-25,38.580002,40.279999,38.110001,38.900002,5100,38.017518
2016-02-24,39.049999,39.93,37.700001,38.650002,9600,37.77319
2016-02-23,41.400002,41.599998,38.650002,38.939999,22600,38.056608
2016-02-22,40.380001,42.560001,40.290001,41.23,21700,40.294658
