Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,1.44,1.44,1.38,1.39,327900,1.39
2016-08-04,1.35,1.44,1.35,1.40,718100,1.40
2016-08-03,1.33,1.40,1.32,1.39,104900,1.39
2016-08-02,1.36,1.37,1.32,1.36,33200,1.36
2016-08-01,1.36,1.37,1.36,1.37,9200,1.37
2016-07-29,1.38,1.38,1.36,1.37,36000,1.37
2016-07-28,1.37,1.40,1.37,1.38,41800,1.38
2016-07-27,1.35,1.40,1.32,1.38,144800,1.38
2016-07-26,1.39,1.39,1.36,1.38,43800,1.38
2016-07-25,1.37,1.40,1.35,1.40,86000,1.40
2016-07-22,1.38,1.39,1.36,1.37,56900,1.37
2016-07-21,1.38,1.40,1.38,1.38,36200,1.38
2016-07-20,1.36,1.43,1.36,1.39,52600,1.39
2016-07-19,1.40,1.44,1.37,1.42,49500,1.42
2016-07-18,1.38,1.42,1.36,1.42,59900,1.42
2016-07-15,1.38,1.41,1.31,1.35,231100,1.35
2016-07-14,1.41,1.42,1.35,1.39,80600,1.39
2016-07-13,1.39,1.43,1.37,1.37,31700,1.37
2016-07-12,1.40,1.40,1.39,1.40,6400,1.40
2016-07-11,1.44,1.44,1.38,1.40,28800,1.40
2016-07-08,1.41,1.47,1.41,1.43,77400,1.43
2016-07-07,1.44,1.46,1.40,1.43,74900,1.43
2016-07-06,1.44,1.44,1.35,1.42,36800,1.42
2016-07-05,1.42,1.47,1.38,1.39,73300,1.39
2016-07-01,1.44,1.47,1.40,1.45,78100,1.45
2016-06-30,1.40,1.44,1.38,1.42,3183400,1.42
2016-06-29,1.40,1.45,1.38,1.42,489200,1.42
2016-06-28,1.32,1.40,1.31,1.39,101500,1.39
2016-06-27,1.33,1.36,1.22,1.30,255800,1.30
2016-06-24,1.40,1.58,1.35,1.35,404600,1.35
2016-06-23,1.38,1.46,1.33,1.43,217800,1.43
2016-06-22,1.43,1.43,1.34,1.41,216000,1.41
2016-06-21,1.43,1.44,1.33,1.35,193600,1.35
2016-06-20,1.44,1.49,1.40,1.43,232500,1.43
2016-06-17,1.48,1.49,1.42,1.43,96200,1.43
2016-06-16,1.52,1.52,1.39,1.45,233400,1.45
2016-06-15,1.68,1.74,1.45,1.50,1447100,1.50
2016-06-14,1.47,1.47,1.41,1.43,46500,1.43
2016-06-13,1.49,1.53,1.44,1.45,26500,1.45
2016-06-10,1.58,1.58,1.46,1.50,45100,1.50
2016-06-09,1.54,1.56,1.52,1.54,35600,1.54
2016-06-08,1.56,1.58,1.53,1.55,14600,1.55
2016-06-07,1.52,1.62,1.52,1.57,62800,1.57
2016-06-06,1.59,1.60,1.52,1.52,24700,1.52
2016-06-03,1.60,1.60,1.54,1.58,30500,1.58
2016-06-02,1.53,1.59,1.52,1.59,60900,1.59
2016-06-01,1.50,1.51,1.47,1.51,188000,1.51
2016-05-31,1.49,1.52,1.44,1.44,11100,1.44
2016-05-27,1.41,1.50,1.40,1.49,42500,1.49
2016-05-26,1.43,1.45,1.40,1.42,12600,1.42
2016-05-25,1.41,1.46,1.41,1.43,14400,1.43
2016-05-24,1.43,1.43,1.40,1.42,12900,1.42
2016-05-23,1.44,1.44,1.39,1.40,24300,1.40
2016-05-20,1.40,1.47,1.38,1.44,44500,1.44
2016-05-19,1.43,1.48,1.39,1.39,60400,1.39
2016-05-18,1.50,1.51,1.44,1.47,45300,1.47
2016-05-17,1.54,1.55,1.48,1.51,17500,1.51
2016-05-16,1.49,1.54,1.48,1.52,75400,1.52
2016-05-13,1.48,1.52,1.48,1.50,26500,1.50
2016-05-12,1.50,1.51,1.47,1.51,63500,1.51
2016-05-11,1.54,1.60,1.51,1.51,51500,1.51
2016-05-10,1.52,1.61,1.52,1.58,54700,1.58
2016-05-09,1.51,1.59,1.50,1.54,43800,1.54
2016-05-06,1.50,1.57,1.43,1.51,115200,1.51
2016-05-05,1.57,1.58,1.47,1.51,189400,1.51
2016-05-04,1.61,1.68,1.58,1.58,62600,1.58
2016-05-03,1.53,1.65,1.53,1.62,163400,1.62
2016-05-02,1.50,1.56,1.45,1.53,414300,1.53
2016-04-29,1.50,1.54,1.49,1.50,133400,1.50
2016-04-28,1.43,1.53,1.43,1.49,297800,1.49
2016-04-27,1.51,1.53,1.48,1.49,295600,1.49
2016-04-26,1.51,1.53,1.48,1.49,76500,1.49
2016-04-25,1.47,1.55,1.47,1.49,54600,1.49
2016-04-22,1.57,1.58,1.42,1.51,315600,1.51
2016-04-21,1.55,1.65,1.54,1.57,72200,1.57
