Date,Open,High,Low,Close,Volume,Adj Close
2016-08-08,1.55,1.55,1.55,1.55,000,1.55
2016-08-05,1.52,1.55,1.48,1.55,8700,1.55
2016-08-04,1.50,1.57,1.47,1.57,1400,1.57
2016-08-03,1.54,1.54,1.50,1.54,4100,1.54
2016-08-02,1.49,1.54,1.48,1.49,2500,1.49
2016-08-01,1.49,1.64,1.48,1.50,10100,1.50
2016-07-29,1.59,1.66,1.48,1.50,29000,1.50
2016-07-28,1.64,1.75,1.48,1.48,140900,1.48
2016-07-27,1.65,1.73,1.57,1.57,10000,1.57
2016-07-26,1.48,1.70,1.48,1.61,17900,1.61
2016-07-25,1.64,1.71,1.62,1.63,11300,1.63
2016-07-22,1.51,1.77,1.45,1.64,169700,1.64
2016-07-21,1.49,1.66,1.41,1.56,169600,1.56
2016-07-20,1.53,1.54,1.41,1.46,68300,1.46
2016-07-19,1.51,1.57,1.51,1.56,43100,1.56
2016-07-18,1.54,1.60,1.51,1.57,29800,1.57
2016-07-15,1.58,1.58,1.55,1.55,400,1.55
2016-07-14,1.54,1.64,1.51,1.58,21300,1.58
2016-07-13,1.60,1.60,1.50,1.52,20100,1.52
2016-07-12,1.59,1.63,1.59,1.63,1200,1.63
2016-07-11,1.54,1.68,1.53,1.54,13400,1.54
2016-07-08,1.56,1.61,1.39,1.39,6400,1.39
2016-07-07,1.68,1.71,1.53,1.57,53500,1.57
2016-07-06,1.67,1.70,1.59,1.65,6400,1.65
2016-07-05,1.67,1.69,1.59,1.59,4400,1.59
2016-07-01,1.61,1.67,1.57,1.58,15100,1.58
2016-06-30,1.64,1.70,1.59,1.66,7500,1.66
2016-06-29,1.70,1.70,1.63,1.67,3900,1.67
2016-06-28,1.70,1.70,1.60,1.70,2300,1.70
2016-06-27,1.70,1.70,1.57,1.57,8700,1.57
2016-06-24,1.61,1.70,1.55,1.70,21400,1.70
2016-06-23,1.65,1.70,1.61,1.61,10400,1.61
2016-06-22,1.68,1.70,1.61,1.65,16300,1.65
2016-06-21,1.80,1.80,1.60,1.71,24800,1.71
