Date,Open,High,Low,Close,Volume,Adj Close
2016-08-05,3.19,3.32,3.19,3.20,206400,3.20
2016-08-04,3.14,3.19,3.09,3.17,87200,3.17
2016-08-03,3.12,3.18,3.11,3.15,20700,3.15
2016-08-02,3.18,3.30,3.06,3.13,61400,3.13
2016-08-01,3.16,3.21,3.12,3.17,30400,3.17
2016-07-29,3.25,3.25,3.13,3.16,50300,3.16
2016-07-28,3.28,3.28,3.22,3.25,60600,3.25
2016-07-27,3.29,3.31,3.26,3.28,110300,3.28
2016-07-26,3.24,3.31,3.23,3.30,151100,3.30
2016-07-25,3.23,3.26,3.17,3.24,75100,3.24
2016-07-22,3.15,3.25,3.15,3.23,29900,3.23
2016-07-21,3.15,3.18,3.13,3.16,26700,3.16
2016-07-20,3.20,3.20,3.11,3.18,16300,3.18
2016-07-19,3.24,3.25,3.13,3.16,20200,3.16
2016-07-18,3.22,3.25,3.14,3.24,48100,3.24
2016-07-15,3.21,3.28,3.19,3.20,195400,3.20
2016-07-14,3.15,3.23,3.14,3.18,23900,3.18
2016-07-13,3.25,3.25,3.08,3.16,86300,3.16
2016-07-12,3.22,3.28,3.15,3.23,116300,3.23
2016-07-11,3.01,3.22,3.00,3.16,151600,3.16
2016-07-08,2.94,3.02,2.86,2.98,90800,2.98
2016-07-07,2.98,3.03,2.86,2.92,293100,2.92
2016-07-06,2.97,3.04,2.96,2.99,74300,2.99
2016-07-05,3.00,3.12,2.96,3.00,133200,3.00
2016-07-01,3.00,3.14,2.98,3.00,96800,3.00
2016-06-30,3.06,3.06,2.98,3.00,105800,3.00
2016-06-29,3.11,3.13,2.98,3.02,320000,3.02
2016-06-28,3.00,3.12,3.00,3.06,128000,3.06
2016-06-27,3.17,3.18,3.00,3.00,117800,3.00
2016-06-24,3.02,3.27,3.02,3.25,854900,3.25
2016-06-23,3.31,3.34,3.21,3.25,114700,3.25
2016-06-22,3.30,3.32,3.21,3.30,82200,3.30
2016-06-21,3.38,3.38,3.31,3.33,58100,3.33
2016-06-20,3.39,3.44,3.36,3.40,209200,3.40
2016-06-17,3.38,3.40,3.34,3.38,152500,3.38
2016-06-16,3.33,3.40,3.31,3.37,100400,3.37
2016-06-15,3.36,3.41,3.36,3.38,167400,3.38
2016-06-14,3.33,3.40,3.33,3.38,194300,3.38
2016-06-13,3.29,3.40,3.26,3.38,90500,3.38
2016-06-10,3.37,3.40,3.25,3.35,97500,3.35
2016-06-09,3.35,3.40,3.31,3.37,202100,3.37
2016-06-08,3.33,3.40,3.33,3.40,288400,3.40
2016-06-07,3.35,3.40,3.32,3.38,67700,3.38
2016-06-06,3.30,3.39,3.25,3.36,175200,3.36
2016-06-03,3.28,3.32,3.17,3.31,167700,3.31
2016-06-02,3.22,3.27,3.18,3.26,114800,3.26
2016-06-01,3.23,3.29,3.17,3.25,187200,3.25
2016-05-31,3.40,3.40,3.28,3.28,83900,3.28
2016-05-27,3.37,3.40,3.33,3.37,107900,3.37
2016-05-26,3.40,3.40,3.28,3.33,77800,3.33
2016-05-25,3.45,3.45,3.30,3.40,495200,3.40
2016-05-24,3.30,3.49,3.26,3.45,541200,3.45
2016-05-23,3.15,3.31,3.06,3.25,183300,3.25
2016-05-20,3.04,3.12,3.01,3.10,262000,3.10
2016-05-19,3.12,3.13,2.98,3.01,412500,3.01
2016-05-18,3.14,3.16,3.07,3.14,419800,3.14
2016-05-17,3.15,3.27,3.03,3.16,669100,3.16
2016-05-16,3.60,3.60,3.52,3.55,130700,3.55
2016-05-13,3.60,3.62,3.54,3.58,190800,3.58
2016-05-12,3.65,3.65,3.61,3.61,77100,3.61
2016-05-11,3.70,3.70,3.64,3.64,123500,3.64
2016-05-10,3.79,3.79,3.68,3.72,81700,3.72
2016-05-09,3.72,3.80,3.71,3.77,25000,3.77
2016-05-06,3.66,3.75,3.66,3.71,35900,3.71
2016-05-05,3.85,3.88,3.67,3.69,128300,3.69
2016-05-04,3.95,3.99,3.86,3.88,113900,3.88
2016-05-03,3.98,4.00,3.92,3.94,127600,3.94
