Date,Open,High,Low,Close,Volume,Adj Close
2016-08-08,23.65,24.139999,23.559999,23.799999,1543000,23.799999
2016-08-05,23.110001,23.780001,23.09,23.75,1410200,23.75
2016-08-04,23.51,23.65,22.34,23.07,1898900,23.07
2016-08-03,23.290001,23.49,23.059999,23.42,1017700,23.42
2016-08-02,23.709999,23.959999,23.15,23.34,1284700,23.34
2016-08-01,23.620001,23.879999,23.540001,23.790001,1059700,23.790001
2016-07-29,23.33,23.780001,23.299999,23.74,1425100,23.74
2016-07-28,23.41,23.629999,23.280001,23.450001,611900,23.450001
2016-07-27,23.780001,23.85,23.27,23.450001,758300,23.450001
2016-07-26,24.35,24.35,23.67,23.76,1047800,23.76
2016-07-25,24.35,24.60,24.24,24.33,1018300,24.33
2016-07-22,23.469999,24.43,23.379999,24.35,1220800,24.35
2016-07-21,23.24,23.85,23.190001,23.530001,860400,23.530001
2016-07-20,23.17,23.469999,23.02,23.35,1131500,23.35
2016-07-19,22.98,23.200001,22.76,23.17,1098200,23.17
2016-07-18,22.700001,23.09,22.629999,22.98,699500,22.98
2016-07-15,22.530001,22.719999,22.309999,22.68,785300,22.68
2016-07-14,22.610001,22.90,22.48,22.60,1107700,22.60
2016-07-13,22.99,23.00,22.219999,22.530001,1045900,22.530001
2016-07-12,22.690001,23.02,22.549999,22.92,1693900,22.92
2016-07-11,22.309999,22.58,22.18,22.469999,1541100,22.469999
2016-07-08,21.92,22.25,21.90,22.16,1049800,22.16
2016-07-07,21.549999,21.92,21.52,21.65,635900,21.65
2016-07-06,21.200001,21.57,21.09,21.540001,653800,21.540001
2016-07-05,21.870001,21.92,21.25,21.40,700900,21.40
2016-07-01,21.530001,22.07,21.52,21.99,966700,21.99
2016-06-30,21.32,21.459999,20.870001,21.450001,865800,21.450001
2016-06-29,20.52,21.34,20.40,21.280001,1185900,21.280001
2016-06-28,19.879999,20.469999,19.82,20.23,1336700,20.23
2016-06-27,20.76,20.860001,19.799999,20.00,1444500,19.67
2016-06-24,21.389999,21.57,20.77,20.99,2821900,20.643665
2016-06-23,22.00,22.24,21.90,22.049999,519400,21.686174
2016-06-22,21.75,21.93,21.58,21.76,822300,21.40096
2016-06-21,21.74,21.85,21.60,21.67,779600,21.312445
2016-06-20,21.91,22.299999,21.65,21.68,1151000,21.32228
2016-06-17,21.209999,21.83,21.10,21.75,1696300,21.391125
2016-06-16,20.92,21.27,20.629999,21.24,926900,20.88954
2016-06-15,20.540001,21.290001,20.49,21.07,1162100,20.722345
2016-06-14,20.440001,20.75,20.389999,20.540001,1115400,20.201091
2016-06-13,20.68,20.950001,20.35,20.530001,922300,20.191256
2016-06-10,20.799999,20.92,20.370001,20.620001,949900,20.279771
2016-06-09,21.27,21.40,20.84,21.02,1244900,20.673171
2016-06-08,21.25,21.440001,21.139999,21.27,892700,20.919046
2016-06-07,21.299999,21.389999,21.07,21.190001,905600,20.840366
2016-06-06,21.389999,21.549999,21.200001,21.32,1152800,20.96822
2016-06-03,21.389999,21.68,20.870001,21.360001,1499600,21.007561
2016-06-02,20.790001,21.52,20.73,21.27,1446700,20.919046
2016-06-01,20.40,20.879999,20.389999,20.83,
1475900,20.486305
2016-05-31,20.25,20.780001,20.01,20.49,2584500,20.151915
2016-05-27,20.00,20.40,20.00,20.25,1555900,19.915875
2016-05-26,19.99,20.09,19.67,20.01,1339200,19.679835
2016-05-25,19.35,19.91,19.26,19.889999,1930700,19.561814
2016-05-24,19.200001,19.48,18.950001,19.290001,3139200,18.971716
2016-05-23,19.129999,19.290001,18.860001,18.959999,1451900,18.647159
2016-05-20,19.200001,19.34,18.92,19.09,3153600,18.775015
2016-05-19,19.709999,20.15,19.15,19.200001,1983800,18.883201
2016-05-18,21.00,21.15,20.34,20.67,654300,20.328945
2016-05-17,21.459999,21.59,21.01,21.120001,875400,20.771521
2016-05-16,21.639999,21.90,21.50,21.530001,1111200,21.174756
2016-05-13,22.07,22.07,21.450001,21.66,727300,21.30261
2016-05-12,22.41,22.559999,21.83,22.129999,980900,21.764854
2016-05-11,22.74,22.799999,22.33,22.370001,1623600,22.000896
2016-05-10,22.469999,22.809999,22.25,22.799999,1238200,22.423799
2016-05-09,21.85,22.41,21.76,22.27,1321700,21.902546
2016-05-06,21.209999,21.799999,21.01,21.790001,840200,21.430466
2016-05-05,21.48,21.790001,21.00,21.209999,1213900,20.860034
2016-05-04,21.23,21.610001,21.23,21.51,555200,21.155085
2016-05-03,21.559999,21.559999,21.10,21.450001,559100,21.096076
2016-05-02,21.18,21.76,21.059999,21.76,871800,21.40096
2016-04-29,21.59,21.75,20.99,21.07,1053000,20.722345
2016-04-28,21.950001,22.120001,21.629999,21.66,559200,21.30261
2016-04-27,21.620001,22.17,21.549999,22.08,1424400,21.71568
2016-04-26,21.950001,22.219999,21.889999,22.190001,538800,21.823866
2016-04-25,21.49,21.85,21.34,21.85,557000,21.489475
2016-04-22,21.93,22.09,21.219999,21.58,789200,21.22393
2016-04-21,22.02,22.360001,21.74,21.809999,574200,21.450135
2016-04-20,22.27,22.33,21.860001,21.969999,817100,21.607494
2016-04-19,22.26,22.40,22.059999,22.389999,518600,22.020564
2016-04-18,22.450001,22.450001,22.17,22.200001,323400,21.833701
2016-04-15,22.34,22.690001,22.34,22.49,376300,22.118915
2016-04-14,22.35,22.639999,22.25,22.43,490500,22.059905
2016-04-13,21.99,22.360001,21.969999,22.360001,388200,21.991061
2016-04-12,21.68,22.15,21.620001,21.90,375900,21.53865
2016-04-11,21.40,21.860001,21.40,21.59,606700,21.233765
2016-04-08,21.01,21.540001,21.00,21.25,625400,20.899375
2016-04-07,21.110001,21.190001,20.74,20.860001,719400,20.515811
2016-04-06,21.16,21.379999,20.93,21.280001,619900,20.928881
2016-04-05,21.040001,21.219999,20.790001,21.129999,798700,20.781354
2016-04-04,21.66,21.77,21.190001,21.27,830100,20.919046
2016-04-01,22.60,22.610001,21.620001,21.709999,838400,21.351784
2016-03-31,22.41,22.93,22.41,22.879999,1648200,22.502479
2016-03-30,22.51,22.65,22.34,22.41,658400,22.040235
2016-03-29,21.75,22.41,21.540001,22.370001,1324300,22.000896
2016-03-28,22.00,22.190001,21.870001,22.09,1443300,21.40096
2016-03-24,21.82,21.959999,21.41,21.90,885400,21.216886
2016-03-23,22.469999,22.530001,21.889999,22.01,1159000,21.323455
2016-03-22,22.700001,22.700001,22.290001,22.41,743200,21.710978
2016-03-21,22.84,23.190001,22.620001,22.82,739000,22.108189
2016-03-18,22.77,23.33,22.75,22.91,1059000,22.195381
2016-03-17,22.68,22.700001,22.16,22.629999,689200,21.924115
2016-03-16,22.24,22.68,22.18,22.629999,503300,21.924115
2016-03-15,22.26,22.50,22.049999,
22.290001,1219000,21.594722
2016-03-14,22.280001,22.530001,22.120001,22.42,876400,21.720666
2016-03-11,21.870001,22.26,21.58,22.26,666500,21.565657
2016-03-10,21.950001,21.959999,21.120001,21.559999,606300,20.887491
2016-03-09,21.969999,21.969999,21.549999,21.719999,519300,21.0425
2016-03-08,22.74,22.76,21.83,21.879999,792600,21.197509
2016-03-07,22.77,22.940001,22.59,22.92,1401000,22.20507
2016-03-04,22.48,23.110001,22.41,22.92,1119900,22.20507
2016-03-03,22.16,22.58,22.08,22.51,661500,21.807859
2016-03-02,21.719999,22.209999,21.59,22.07,745700,21.381583
2016-03-01,21.10,21.73,20.99,21.719999,831100,21.0425
2016-02-29,20.98,21.41,20.799999,20.969999,2089200,20.315894
2016-02-26,20.889999,21.27,20.77,21.00,1454700,20.344959
2016-02-25,20.51,21.40,20.389999,20.84,1216800,20.18995
2016-02-24,19.690001,20.10,19.42,20.01,1171300,19.38584
2016-02-23,19.809999,20.24,19.60,19.91,1216500,19.288959
2016-02-22,19.93,20.190001,19.780001,19.860001,1215600,19.240519
2016-02-19,19.51,19.83,19.26,19.719999,1207800,19.104885
2016-02-18,19.219999,19.75,18.99,19.60,1083400,18.988629
2016-02-17,18.83,19.76,18.83,19.129999,1451700,18.533288
2016-02-16,18.25,18.76,18.25,18.68,1260900,18.097326
2016-02-12,17.76,18.219999,17.530001,18.07,971100,17.506353
2016-02-11,17.879999,17.92,17.40,17.58,3052200,17.031637
2016-02-10,18.00,18.68,17.76,18.129999,761400,17.564481
2016-02-09,17.620001,18.18,17.620001,17.90,1315700,17.341655
2016-02-08,17.66,17.99,17.16,17.91,2157400,17.351344
2016-02-05,18.219999,18.540001,17.870001,17.889999,1079700,17.331967
2016-02-04,17.83,18.540001,17.82,18.290001,1173600,17.719491
2016-02-03,17.66,17.959999,17.23,17.809999,1199200,17.254462
2016-02-02,17.84,17.84,17.26,17.58,862500,17.031637
2016-02-01,18.110001,18.280001,17.85,18.040001,1107200,17.47729
2016-01-29,17.59,18.540001,17.58,18.290001,2426300,17.719491
2016-01-28,18.26,18.42,17.40,17.42,2952400,16.876628
2016-01-27,18.40,18.629999,17.84,18.02,1493300,17.457913
2016-01-26,17.809999,18.67,17.809999,18.51,1701000,17.932628
2016-01-25,18.07,18.40,17.639999,17.67,1234700,17.11883
2016-01-22,18.02,18.780001,17.959999,18.18,1602200,17.612922
2016-01-21,17.58,18.299999,17.34,17.76,1996700,17.206023
2016-01-20,16.83,17.559999,16.15,17.559999,2565500,17.012261
2016-01-19,17.98,18.01,17.049999,17.16,1899300,16.624738
2016-01-15,18.01,18.139999,17.190001,18.139999,3009300,17.574169
2016-01-14,18.610001,18.690001,18.24,18.360001,2567500,17.787308
2016-01-13,19.719999,19.719999,18.40,18.559999,1952000,17.981068
2016-01-12,20.27,20.34,19.540001,19.719999,863100,19.104885
2016-01-11,20.139999,20.32,20.02,20.16,867600,19.531161
2016-01-08,21.16,21.26,20.040001,20.049999,1309300,19.424591
2016-01-07,20.59,20.950001,20.51,20.799999,1741500,20.151197
2016-01-06,21.200001,21.309999,20.860001,20.959999,947800,20.306206
2016-01-05,21.09,21.559999,20.91,21.50,1176600,20.829363
2016-01-04,21.24,21.40,20.700001,21.059999,1342400,20.403087
2015-12-31,21.940001,22.15,21.610001,21.629999,1110500,20.955307
2015-12-30,22.389999,22.530001,21.99,22.049999,825300,21.362206
2015-12-29,22.23,22.48,22.129999,22.379999,916800,21.681913
