Date,Open,High,Low,Close,Volume,Adj Close
2016-08-09,61.540001,61.689999,60.580002,60.799999,3192700,60.799999
2016-08-08,61.82,61.880001,61.240002,61.509998,2294000,61.509998
2016-08-05,61.73,62.139999,61.490002,61.849998,2157400,61.849998
2016-08-04,61.439999,61.799999,61.169998,61.490002,2060500,61.490002
2016-08-03,60.209999,61.32,59.57,61.32,2520500,61.32
2016-08-02,61.369999,61.650002,60.330002,60.68,2118600,60.68
2016-08-01,61.720001,62.02,61.080002,61.580002,2103400,61.580002
2016-07-29,61.310001,61.889999,61.080002,61.830002,2159300,61.830002
2016-07-28,61.400002,61.700001,60.900002,61.330002,2405700,61.330002
2016-07-27,61.830002,62.349998,61.23,61.389999,3415900,61.389999
2016-07-26,61.040001,62.02,61.040001,61.98,3674900,61.98
2016-07-25,59.919998,61.259998,59.830002,61.130001,2775000,61.130001
2016-07-22,59.599998,60.189999,59.130001,59.970001,1976700,59.970001
2016-07-21,59.32,59.50,58.900002,59.220001,1570400,59.220001
2016-07-20,59.220001,59.50,59.060001,59.32,1751400,59.32
2016-07-19,58.889999,59.290001,58.82,59.209999,2208300,59.209999
2016-07-18,58.41,59.369999,58.32,58.950001,2184600,58.950001
2016-07-15,58.34,58.34,57.889999,58.189999,2187000,58.189999
2016-07-14,58.240002,58.259998,57.799999,58.02,1861900,58.02
2016-07-13,58.23,58.509998,57.700001,58.040001,2238000,58.040001
2016-07-12,58.23,58.360001,57.599998,57.900002,3131200,57.900002
2016-07-11,58.16,58.32,57.610001,58.060001,2868600,58.060001
2016-07-08,57.00,58.220001,56.700001,58.189999,2466200,58.189999
2016-07-07,56.529999,56.810001,56.310001,56.560001,1762000,56.560001
2016-07-06,56.34,56.799999,55.990002,56.790001,2822300,56.790001
2016-07-05,56.189999,56.529999,55.889999,56.360001,1577300,56.360001
2016-07-01,56.549999,57.23,56.16,56.349998,1959700,56.349998
2016-06-30,55.860001,56.73,55.610001,56.689999,2604500,56.689999
2016-06-29,55.540001,56.34,55.540001,55.77,3042300,55.77
2016-06-28,54.68,55.450001,54.509998,55.34,2825300,55.34
2016-06-27,54.299999,54.869999,53.34,54.75,4214900,54.75
2016-06-24,52.75,54.950001,52.75,54.419998,5501500,54.419998
2016-06-23,54.689999,54.98,53.82,54.07,2249000,54.07
2016-06-22,54.799999,55.23,54.139999,54.43,2981600,54.43
2016-06-21,54.310001,54.98,54.150002,54.849998,2765000,54.849998
2016-06-20,54.700001,55.25,54.16,54.200001,2152700,54.200001
2016-06-17,54.310001,54.490002,53.91,54.25,3557500,54.25
2016-06-16,54.130001,54.57,54.00,54.43,2272500,54.43
2016-06-15,53.91,54.66,53.82,54.32,3625200,54.32
2016-06-14,53.50,54.02,53.23,53.889999,3433700,53.889999
2016-06-13,53.549999,53.849998,53.029999,53.540001,3103300,53.540001
2016-06-10,53.599998,53.93,53.259998,53.630001,2859300,53.630001
2016-06-09,53.32,54.50,52.93,54.220001,4723900,54.220001
2016-06-08,53.240002,53.59,52.990002,53.450001,2442100,53.450001
2016-06-07,52.380001,53.400002,5
2.27,53.18,3828200,53.18
2016-06-06,53.200001,53.349998,52.060001,52.34,3106800,52.34
2016-06-03,53.470001,53.470001,52.869999,53.09,2591100,53.09
2016-06-02,53.34,53.77,53.200001,53.689999,2215900,53.554999
2016-06-01,53.470001,53.869999,53.259998,53.299999,2197100,53.165981
2016-05-31,54.41,54.439999,53.060001,53.400002,3004400,53.265731
2016-05-27,54.07,54.23,53.59,53.919998,2254700,53.784421
2016-05-26,53.709999,54.439999,53.540001,53.880001,2568400,53.744524
2016-05-25,53.290001,53.880001,52.82,53.41,2900800,53.275705
2016-05-24,52.639999,53.549999,52.52,53.360001,3007700,53.225831
2016-05-23,52.529999,53.049999,52.169998,52.400002,4340400,52.268246
2016-05-20,52.049999,53.950001,52.00,52.490002,11595400,52.35802
2016-05-19,54.630001,55.860001,54.619999,55.52,5564900,55.3804
2016-05-18,54.119999,54.700001,53.34,54.310001,3216600,54.173443
2016-05-17,56.689999,57.209999,54.139999,54.52,4934200,54.382914
2016-05-16,54.169998,55.93,54.00,55.740002,3181800,55.599848
2016-05-13,55.09,55.639999,54.279999,54.32,3385100,54.183416
2016-05-12,54.540001,55.349998,53.869999,55.09,3635400,54.951481
2016-05-11,55.400002,55.830002,54.43,54.439999,5519400,54.303113
2016-05-10,58.240002,58.50,57.23,57.560001,2393700,57.415271
2016-05-09,57.82,58.360001,56.919998,58.16,2305200,58.013761
2016-05-06,55.509998,57.09,55.509998,57.07,2074900,56.926502
2016-05-05,57.509998,57.900002,56.439999,56.470001,1897000,56.328012
2016-05-04,56.950001,57.799999,56.689999,57.639999,1661000,57.495068
2016-05-03,57.279999,57.689999,56.66,57.299999,1499300,57.155923
2016-05-02,57.07,57.779999,56.68,57.59,1267900,57.445195
2016-04-29,56.939999,57.099998,56.07,56.779999,2940500,56.63723
2016-04-28,57.990002,58.23,57.310001,57.439999,2032500,57.29557
2016-04-27,57.59,58.310001,57.130001,58.209999,1918200,58.063635
2016-04-26,57.130001,57.84,56.869999,57.599998,1577900,57.455168
2016-04-25,56.689999,57.119999,56.139999,57.00,2073600,56.856678
2016-04-22,57.169998,57.389999,56.50,56.669998,2286300,56.527506
2016-04-21,57.630001,58.099998,57.200001,57.25,2286500,57.106049
2016-04-20,57.509998,57.669998,57.049999,57.389999,2033300,57.245697
2016-04-19,57.950001,58.049999,57.209999,57.529999,1506600,57.385344
2016-04-18,56.93,57.900002,56.75,57.77,2095300,57.624742
2016-04-15,57.16,57.34,56.709999,56.950001,1945600,56.806804
2016-04-14,56.459999,57.07,56.02,56.98,2681200,56.836728
2016-04-13,56.68,57.029999,56.110001,56.950001,1751200,56.806804
