Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,10.64,10.64,10.61,10.64,7600,10.64
2016-08-11,10.62,10.63,10.55,10.61,45200,10.61
2016-08-10,10.58,10.63,10.54,10.59,35200,10.59
2016-08-09,10.59,10.59,10.55,10.57,7600,10.57
2016-08-08,10.52,10.58,10.50,10.58,16300,10.58
2016-08-05,10.53,10.57,10.53,10.54,13400,10.54
2016-08-04,10.51,10.56,10.50,10.54,27400,10.54
2016-08-03,10.45,10.54,10.40,10.53,33200,10.53
2016-08-02,10.52,10.53,10.40,10.43,50600,10.43
2016-08-01,10.54,10.56,10.53,10.56,5600,10.56
2016-07-29,10.55,10.61,10.55,10.55,17200,10.55
2016-07-28,10.52,10.55,10.52,10.54,26700,10.54
2016-07-27,10.47,10.55,10.47,10.51,19200,10.51
2016-07-26,10.50,10.53,10.46,10.52,33500,10.52
2016-07-25,10.50,10.50,10.45,10.45,12500,10.45
2016-07-22,10.51,10.55,10.46,10.51,32200,10.51
2016-07-21,10.53,10.53,10.50,10.50,12800,10.50
2016-07-20,10.51,10.52,10.50,10.50,13200,10.50
2016-07-19,10.50,10.61,10.45,10.56,15300,10.52
2016-07-18,10.41,10.50,10.40,10.50,23600,10.460227
2016-07-15,10.24,10.42,10.24,10.41,39300,10.370568
2016-07-14,10.36,10.37,10.22,10.24,77600,10.201212
2016-07-13,10.56,10.56,10.38,10.42,36200,10.38053
2016-07-12,10.64,10.66,10.55,10.58,12600,10.539924
2016-07-11,10.63,10.68,10.63,10.68,17800,10.639546
2016-07-08,10.60,10.65,10.60,10.64,38100,10.599697
2016-07-07,10.58,10.60,10.58,10.58,17900,10.539924
2016-07-06,10.58,10.60,10.55,10.60,30000,10.559849
2016-07-05,10.58,10.60,10.58,10.58,13500,10.539924
2016-07-01,10.58,10.59,10.58,10.59,6000,10.549887
2016-06-30,10.59,10.60,10.54,10.58,22600,10.539924
2016-06-29,10.51,10.59,10.51,10.57,24200,10.529962
2016-06-28,10.51,10.58,10.51,10.56,23900,10.52
2016-06-27,10.58,10.60,10.52,10.56,40200,10.52
2016-06-24,10.55,10.66,10.51,10.66,40800,10.619621
2016-06-23,10.48,10.51,10.45,10.50,16600,10.460227
2016-06-22,10.48,10.51,10.46,10.47,18900,10.430341
2016-06-21,10.47,10.51,10.45,10.45,25500,10.410417
2016-06-20,10.45,10.46,10.44,10.46,9500,10.420379
2016-06-17,10.51,10.51,10.46,10.46,13800,10.420379
2016-06-16,10.50,10.51,10.45,10.49,39500,10.450265
2016-06-15,10.54,10.54,10.41,10.48,49500,10.440303
2016-06-14,10.52,10.53,10.48,10.51,32400,10.430341
2016-06-13,10.44,10.53,10.44,10.52,43300,10.440265
2016-06-10,10.45,10.52,10.45,10.49,29900,10.410492
2016-06-09,10.47,10.51,10.44,10.48,31400,10.400568
2016-06-08,10.48,10.53,10.46,10.50,30900,10.420416
2016-06-07,10.47,10.48,10.45,10.47,37500,10.390644
2016-06-06,10.46,10.47,10.44,10.46,32600,10.38072
2016-06-03,10.43,10.45,10.39,10.43,39800,10.350947
2016-06-02,10.36,10.43,10.36,10.40,18100,10.321174
2016-06-01,10.23,10.39,10.23,10.39,59100,10.311251
2016-05-31,10.16,10.31,10.16,10.29,115700,10.212008
2016-05-27,10.35,10.35,10.24,10.26,129500,10.182236
2016-05-26,10.43,10.49,10.28,10.33,239400,10.251705
2016-05-25,10.54,10.54,10.42,10.44,41900,10.360871
2016-05-24,10.51,10.55,10.49,10.53,35100,10.450189
2016-05-23,10.46,10.56,10.46,10.56,16500,10.479962
2016-05-20,10.57,10.66,10.46,10.47,42900,10.390644
2016-05-19,10.58,10.58,10.50,10.53,55100,10.450189
2016-05-18,10.70,10.73,10.59,10.62,27900,10.539507
2016-05-17,10.66,10.75,10.66,10.73,32700,10.608976
2016-05-16,10.76,10.76,10.70,10.73,17000,10.608976
2016-05-13,10.76,10.76,10.74,10.74,1000,10.618863
2016-05-12,10.64,10.74,10.64,10.74,19300,10.618863
2016-05-11,10.67,10.67,10.65,10.65,3300,10.529878
2016-05-10,10.71,10.71,10.64,10.64,5100,10.519992
2016-05-09,10.70,10.70,10.64,10.68,5800,10.559541
2016-05-06,10.69,10.71,10.62,10.65,11200,10.529878
2016-05-05,10.62,10.70,10.62,10.64,29100,10.519992
2016-05-04,10.68,
10.68,10.61,10.63,13700,10.510104
2016-05-03,10.65,10.68,10.62,10.64,11100,10.519992
2016-05-02,10.76,10.76,10.64,10.64,36300,10.519992
2016-04-29,10.65,10.77,10.58,10.77,30900,10.648526
2016-04-28,10.52,10.71,10.52,10.63,42800,10.510104
2016-04-27,10.48,10.54,10.46,10.53,10600,10.411232
2016-04-26,10.54,10.56,10.46,10.46,25900,10.342022
2016-04-25,10.51,10.55,10.48,10.55,20900,10.431007
2016-04-22,10.44,10.53,10.44,10.53,19900,10.411232
2016-04-21,10.51,10.52,10.43,10.49,33900,10.371683
2016-04-20,10.56,10.60,10.47,10.52,26800,10.401346
2016-04-19,10.61,10.61,10.56,10.60,10900,10.440894
2016-04-18,10.54,10.60,10.54,10.60,18400,10.440894
2016-04-15,10.51,10.59,10.51,10.56,24900,10.401495
2016-04-14,10.52,10.56,10.50,10.51,28700,10.352245
2016-04-13,10.55,10.56,10.52,10.52,11700,10.362095
2016-04-12,10.60,10.60,10.54,10.58,23800,10.421194
2016-04-11,10.55,10.58,10.51,10.55,13100,10.391645
2016-04-08,10.51,10.55,10.50,10.51,21600,10.352245
2016-04-07,10.49,10.50,10.48,10.49,13200,10.332545
2016-04-06,10.51,10.55,10.45,10.49,13900,10.332545
