Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,26.51,26.51,26.51,26.51,000,26.51
2016-08-11,26.639999,26.639999,26.51,26.51,4100,26.51
2016-08-10,26.620001,26.620001,26.620001,26.620001,100,26.620001
2016-08-09,26.50,26.50,26.50,26.50,000,26.50
2016-08-08,26.50,26.50,26.50,26.50,200,26.50
2016-08-05,26.719999,26.719999,26.719999,26.719999,400,26.719999
2016-08-04,26.610001,26.610001,26.610001,26.610001,000,26.610001
2016-08-03,26.639999,26.68,26.610001,26.610001,700,26.610001
2016-08-02,26.59,26.59,26.51,26.51,1000,26.51
2016-08-01,26.73,26.73,26.540001,26.540001,1400,26.540001
2016-07-29,26.50,26.50,26.50,26.50,300,26.50
2016-07-28,26.67,26.67,26.629999,26.629999,300,26.629999
2016-07-27,26.540001,26.540001,26.540001,26.540001,000,26.540001
2016-07-26,26.50,26.540001,26.50,26.540001,1500,26.540001
2016-07-25,26.629999,26.74,26.629999,26.74,500,26.74
2016-07-22,26.50,26.52,26.50,26.52,1300,26.52
2016-07-21,26.50,26.50,26.50,26.50,300,26.50
2016-07-20,26.51,26.51,26.51,26.51,200,26.51
2016-07-19,26.60,26.60,26.549999,26.549999,1000,26.549999
2016-07-18,26.57,26.57,26.57,26.57,200,26.57
2016-07-15,26.75,26.75,26.75,26.75,200,26.75
2016-07-14,26.74,26.74,26.74,26.74,200,26.74
2016-07-13,26.59,26.75,26.59,26.67,700,26.67
2016-07-12,26.67,26.73,26.10,26.73,4000,26.73
2016-07-11,26.33,26.42,26.33,26.42,300,26.42
2016-07-08,26.74,26.74,26.65,26.65,1200,26.65
2016-07-07,26.299999,26.299999,26.299999,26.299999,100,26.299999
2016-07-06,26.75,26.75,26.639999,26.639999,500,26.639999
2016-07-05,26.65,26.77,26.65,26.77,200,26.77
2016-07-01,26.49,26.49,26.49,26.49,1200,26.49
2016-06-30,26.469999,26.799999,26.469999,26.58,9800,26.58
2016-06-29,26.200001,26.469999,26.200001,26.469999,3000,26.469999
2016-06-28,26.40,26.41,26.16,26.379999,1500,26.379999
2016-06-27,26.66,26.84,26.59,26.59,2700,26.152001
2016-06-24,26.469999,26.469999,26.469999,26.469999,100,26.033976
2016-06-23,26.66,26.66,26.57,26.58,2600,26.142165
2016-06-22,26.66,26.66,26.66,26.66,300,26.220847
2016-06-21,26.66,26.66,26.66,26.66,000,26.220847
2016-06-20,26.60,26.66,26.60,26.66,300,26.220847
2016-06-17,26.540001,26.65,26.16,26.16,2900,25.729083
2016-06-16,26.360001,26.540001,26.110001,26.540001,3000,26.102825
2016-06-15,26.110001,26.50,26.110001,26.290001,1700,25.856943
2016-06-14,26.219999,26.25,26.18,26.18,600,25.748754
2016-06-13,26.25,26.25,26.25,26.25,900,25.817601
2016-06-10,26.17,26.24,26.110001,26.24,2400,25.807766
2016-06-09,26.15,26.23,26.15,26.23,500,25.79793
2016-06-08,26.16,26.16,26.16,26.16,200,25.729083
2016-06-07,26.129999,26.23,26.129999,26.23,1500,25.79793
2016-06-06,26.139999,26.24,26.139999,26.24,900,25.807766
2016-06-03,26.10,26.10,26.10,26.10,1400,25.670072
2016-06-02,25.950001,26.040001,25.950001,26.02,2400,25.59139
2016-06-01,26.16,26.190001,26.09,26.09,1100,25.660237
2016-05-31,25.940001,26.040001,25.92,26.040001,2300,25.611061
2016-05-27,26.129999,26.129999,26.129999,26.129999,200,25.699577
2016-05-26,25.92,26.00,25.91,25.950001,1300,25.522544
2016-05-25,26.25,26.25,25.90,25.90,1500,25.473366
2016-05-24,26.09,26.09,25.90,25.90,2200,25.473366
2016-05-23,26.209999,26.209999,25.91,25.91,800,25.483202
2016-05-20,26.25,26.25,26.25,26.25,000,25.817601
2016-05-19,26.25,26.25,26.25,26.25,000,25.817601
2016-05-18,26.17,26.25,26.17,26.25,1400,25.817601
2016-05-17,26.17,26.25,26.17,26.24,3700,25.807766
2016-05-16,26.139999,26.219999,26.139999,26.219999,400,25.788095
2016-05-13,26.00,26.09,26.00,26.09,300,25.660237
2016-05-12,26.129999,26.129999,26.09,26.09,300,25.660237
2016-05-11,25.98,25.98,25.98,25.98,300,25.552048
2016-05-10,25.85,25.85,25.85,25.85,000,25.42419
2016-05-09,25.76,25.85,25.76,25.85,500,25.42419
2016-05-06,25.98,25.98,25.959999,25.959999,600,25.532377
2016-05-05,25.950001,25.950001,25.73,25.93,400,25.502873
2016-05-04,26.139999,26.139999,25.73,26.049999,3300,25.620895
2016-05-03,26.129999,26.190001,26.049999,26.120001,1800,25.689743
2016-05-02,26.10,26.120001,26.10,26.120001,900,25.689743
2016-04-29,26.17,26.17,26.07,26.07,1200,25.640566
2016-04-28,25.99,26.18,25.98,26.129999,2600,25.699577
2016-04-27,25.950001,25.950001,25.950001,25.950001,000,25.522544
2016-04-26,26.15
,26.18,25.950001,25.950001,1900,25.522544
2016-04-25,25.85,26.10,25.60,26.049999,7800,25.620895
2016-04-22,26.25,26.25,25.799999,26.15,4200,25.719248
2016-04-21,26.00,26.00,25.90,25.93,800,25.502873
2016-04-20,26.01,26.190001,25.959999,26.190001,1600,25.75859
2016-04-19,26.01,26.040001,26.01,26.040001,800,25.611061
2016-04-18,26.08,26.08,26.08,26.08,1000,25.650401
2016-04-15,25.799999,25.799999,25.799999,25.799999,4400,25.375013
2016-04-14,25.790001,25.799999,25.780001,25.799999,1800,25.375013
2016-04-13,25.73,25.93,25.719999,25.93,1400,25.502873
2016-04-12,25.66,26.09,25.66,26.09,2500,25.660237
2016-04-11,25.57,26.09,25.57,26.09,2600,25.660237
2016-04-08,25.950001,25.950001,25.559999,25.559999,600,25.138966
2016-04-07,25.98,26.00,25.969999,26.00,1900,25.571719
2016-04-06,26.09,26.09,26.09,26.09,400,25.660237
2016-04-05,25.549999,26.09,25.549999,26.09,1200,25.660237
2016-04-04,25.75,25.75,25.75,25.75,000,25.325837
2016-04-01,25.75,25.75,25.75,25.75,200,25.325837
2016-03-31,25.719999,25.719999,25.719999,25.719999,000,25.296331
2016-03-30,25.84,26.08,25.719999,25.719999,1900,25.296331
2016-03-29,26.190001,26.190001,26.08,26.08,300,25.650401
2016-03-28,26.190001,26.190001,25.98,25.98,800,25.121263
2016-03-24,26.00,26.129999,25.790001,26.129999,1400,25.266305
2016-03-23,25.99,26.00,25.98,26.00,900,25.140602
2016-03-22,25.959999,25.959999,25.959999,25.959999,000,25.101924
2016-03-21,25.959999,25.959999,25.959999,25.959999,000,25.101924
2016-03-18,25.780001,25.98,25.780001,25.959999,1000,25.101924
2016-03-17,25.67,25.67,25.67,25.67,000,24.82151
2016-03-16,25.950001,25.950001,25.67,25.67,600,24.82151
2016-03-15,25.75,25.75,25.700001,25.700001,300,24.850519
2016-03-14,25.73,25.73,25.73,25.73,000,24.879526
2016-03-11,25.809999,25.809999,25.709999,25.73,3100,24.879526
2016-03-10,25.83,25.83,25.799999,25.799999,1600,24.947212
2016-03-09,25.940001,25.98,25.889999,25.889999,2000,25.034238
2016-03-08,25.66,25.99,25.66,25.690001,1300,24.84085
2016-03-07,25.77,25.77,25.77,25.77,000,24.918205
2016-03-04,25.66,25.870001,25.66,25.77,2400,24.918205
2016-03-03,25.66,25.98,25.66,25.93,1700,25.072916
2016-03-02,25.959999,25.959999,25.959999,25.959999,200,25.101924
2016-03-01,25.76,25.76,25.76,25.76,400,24.908535
2016-02-29,25.82,25.99,25.82,25.99,400,25.130933
2016-02-26,25.91,25.91,25.620001,25.809999,800,24.956882
2016-02-25,25.60,25.60,25.60,25.60,000,24.753824
2016-02-24,25.60,25.60,25.60,25.60,200,24.753824
2016-02-23,25.940001,25.940001,25.610001,25.610001,1000,24.763494
2016-02-22,26.00,26.00,26.00,26.00,300,25.140602
2016-02-19,25.90,25.90,25.90,25.90,000,25.043907
