Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,31.280001,31.60,31.129999,31.18,268400,31.18
2016-08-11,31.299999,31.35,31.15,31.190001,233700,31.190001
2016-08-10,31.299999,31.33,31.16,31.280001,225800,31.280001
2016-08-09,31.190001,31.35,31.120001,31.25,303000,31.25
2016-08-08,31.08,31.32,30.42,31.25,435500,31.25
2016-08-05,31.33,31.42,30.959999,31.110001,427700,31.110001
2016-08-04,31.41,31.60,31.389999,31.51,453700,31.51
2016-08-03,31.540001,31.59,31.190001,31.49,382200,31.49
2016-08-02,31.790001,31.799999,31.34,31.469999,381000,31.469999
2016-08-01,31.90,32.029999,31.67,31.84,376700,31.84
2016-07-29,31.68,32.00,31.639999,31.879999,556400,31.879999
2016-07-28,31.459999,31.74,31.389999,31.65,345800,31.65
2016-07-27,31.84,31.84,31.07,31.40,415100,31.40
2016-07-26,31.83,31.860001,31.559999,31.73,233100,31.73
2016-07-25,31.620001,31.76,30.870001,31.75,253700,31.75
2016-07-22,31.309999,31.639999,31.23,31.49,230000,31.49
2016-07-21,31.15,31.34,30.950001,31.299999,390000,31.299999
2016-07-20,31.32,31.32,31.15,31.18,176700,31.18
2016-07-19,31.450001,31.450001,31.139999,31.290001,219700,31.290001
2016-07-18,31.370001,31.52,31.280001,31.35,348600,31.35
2016-07-15,31.23,31.549999,31.209999,31.35,342000,31.35
2016-07-14,31.629999,31.719999,31.17,31.209999,366600,31.209999
2016-07-13,31.639999,31.83,31.59,31.690001,417400,31.690001
2016-07-12,31.700001,31.860001,31.440001,31.48,418500,31.48
2016-07-11,31.719999,31.92,31.35,31.85,459000,31.85
2016-07-08,31.24,31.66,30.879999,31.620001,419000,31.620001
2016-07-07,31.66,31.790001,31.15,31.27,440600,31.27
2016-07-06,31.690001,31.85,31.41,31.77,462800,31.77
2016-07-05,31.719999,31.889999,31.200001,31.790001,515700,31.790001
2016-07-01,31.91,31.91,31.280001,31.74,374300,31.74
2016-06-30,30.629999,31.639999,30.620001,31.620001,699500,31.620001
2016-06-29,30.48,30.709999,30.280001,30.33,378600,30.33
2016-06-28,30.90,30.90,30.049999,30.379999,785900,30.379999
2016-06-27,30.639999,31.18,30.50,31.09,615600,31.09
2016-06-24,29.77,30.940001,29.76,30.65,840400,30.65
2016-06-23,30.50,30.57,30.190001,30.469999,278200,30.469999
2016-06-22,30.450001,30.49,30.24,30.360001,419100,30.360001
2016-06-21,30.030001,30.469999,29.77,30.450001,470700,30.450001
2016-06-20,30.15,30.34,29.959999,30.110001,452700,30.110001
2016-06-17,30.209999,30.209999,29.809999,30.17,1140400,30.17
2016-06-16,30.129999,30.370001,30.02,30.18,385700,30.18
2016-06-15,30.219999,30.219999,29.90,30.139999,315000,30.139999
2016-06-14,30.00,30.23,29.68,30.129999,416100,30.129999
2016-06-13,30.049999,30.35,29.879999,30.110001,446200,30.110001
2016-06-10,29.950001,30.200001,29.780001,30.08,425400,30.08
2016-06-09,30.049999,30.190001,29.879999,30.129999,467900,30.129999
2016-06-08,29.469999,30.030001,29.370001,29.99,345300,29.99
2016-06-07,29.41,29.809999,29.41,29.799999,489100,29.536
2016-06-06,29.24,29.40,29.110001,29.290001,501200,29.03052
2016-06-03,29.120001,29.540001,28.98,29.190001,400100,28.931405
2016-06-02,28.959999,29.00,28.52,28.99,348100,28.733176
2016-06-01,28.92,29.040001,28.77,29.01,405000,28.753
2016-0
5-31,28.860001,28.969999,28.58,28.889999,1776800,28.634062
2016-05-27,28.76,28.799999,28.450001,28.780001,311200,28.525038
2016-05-26,28.299999,28.74,28.209999,28.620001,315400,28.366455
2016-05-25,28.360001,28.57,28.190001,28.280001,340300,28.029467
2016-05-24,28.15,28.540001,28.040001,28.51,446000,28.257429
2016-05-23,28.18,28.18,27.969999,28.02,633400,27.77177
2016-05-20,28.18,28.200001,27.940001,28.190001,683500,27.940264
2016-05-19,27.75,28.18,27.60,28.129999,561400,27.880794
2016-05-18,27.92,28.120001,27.50,27.700001,1217300,27.454605
2016-05-17,28.540001,28.610001,27.469999,27.92,1479500,27.672656
2016-05-16,28.90,28.91,28.49,28.60,1031500,28.346632
2016-05-13,27.870001,28.690001,27.50,28.67,7376800,28.416011
2016-05-12,26.92,27.01,26.379999,26.73,1140800,26.493197
2016-05-11,28.00,28.00,26.66,27.030001,1005800,26.790541
2016-05-10,27.60,28.209999,27.43,28.190001,449200,27.940264
2016-05-09,27.450001,27.65,27.280001,27.60,500000,27.355491
2016-05-06,27.33,27.40,26.290001,27.40,680000,27.157262
2016-05-05,28.68,28.73,28.01,28.10,403900,27.851061
2016-05-04,28.16,28.92,28.16,28.67,336100,28.416011
2016-05-03,28.27,28.299999,27.91,28.18,200600,27.930353
2016-05-02,27.879999,28.35,27.879999,28.290001,199700,28.039379
2016-04-29,27.790001,28.040001,27.60,27.91,221200,27.662744
2016-04-28,27.780001,28.040001,27.690001,27.91,191300,27.662744
2016-04-27,28.10,28.35,27.610001,27.98,290500,27.732124
2016-04-26,27.93,28.08,27.780001,28.07,307500,27.821326
2016-04-25,27.459999,27.90,27.309999,27.90,268500,27.652832
2016-04-22,27.35,27.65,27.25,27.51,241700,27.266288
2016-04-21,27.51,27.549999,27.209999,27.34,278900,27.097794
2016-04-20,28.049999,28.16,27.51,27.530001,463200,27.286111
2016-04-19,28.01,28.24,27.870001,28.15,305100,27.900618
2016-04-18,27.870001,28.049999,27.709999,28.030001,204000,27.781682
2016-04-15,27.559999,27.99,27.530001,27.870001,153900,27.623099
2016-04-14,27.60,27.75,27.42,27.610001,153500,27.365403
2016-04-13,27.780001,27.780001,27.40,27.709999,236900,27.464515
2016-04-12,27.389999,27.799999,27.25,27.690001,202700,27.444694
2016-04-11,27.59,27.83,27.34,27.40,250100,27.157262
2016-04-08,27.530001,27.85,27.450001,27.67,144200,27.42487
2016-04-07,27.32,27.530001,27.190001,27.450001,252000,27.20682
2016-04-06,27.41,27.57,27.17,27.379999,218700,27.137439
2016-04-05,27.83,28.01,27.370001,27.379999,200100,27.137439
2016-04-04,28.43,28.549999,27.879999,27.879999,362900,27.633009
