Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,7.63,7.65,7.58,7.60,122000,7.60
2016-08-11,7.64,7.68,7.61,7.68,118900,7.68
2016-08-10,7.63,7.64,7.61,7.61,79300,7.61
2016-08-09,7.56,7.63,7.56,7.63,243700,7.63
2016-08-08,7.58,7.59,7.56,7.56,194500,7.56
2016-08-05,7.57,7.60,7.56,7.60,171700,7.60
2016-08-04,7.49,7.57,7.49,7.57,268800,7.57
2016-08-03,7.47,7.50,7.44,7.46,327600,7.46
2016-08-02,7.45,7.50,7.42,7.47,265200,7.47
2016-08-01,7.45,7.51,7.45,7.50,304800,7.50
2016-07-29,7.43,7.53,7.42,7.44,159800,7.44
2016-07-28,7.49,7.51,7.43,7.43,70600,7.43
2016-07-27,7.49,7.55,7.44,7.46,156600,7.46
2016-07-26,7.46,7.49,7.44,7.47,159300,7.47
2016-07-25,7.44,7.48,7.42,7.45,111500,7.45
2016-07-22,7.49,7.51,7.46,7.46,55900,7.46
2016-07-21,7.50,7.54,7.46,7.49,158700,7.49
2016-07-20,7.48,7.50,7.40,7.48,181600,7.48
2016-07-19,7.49,7.49,7.42,7.47,107000,7.47
2016-07-18,7.47,7.51,7.46,7.46,272400,7.46
2016-07-15,7.47,7.52,7.47,7.48,104200,7.48
2016-07-14,7.45,7.51,7.42,7.47,263500,7.47
2016-07-13,7.44,7.50,7.35,7.40,272600,7.40
2016-07-12,7.50,7.55,7.44,7.45,180200,7.45
2016-07-11,7.49,7.52,7.43,7.46,164900,7.46
2016-07-08,7.45,7.54,7.45,7.52,154100,7.52
2016-07-07,7.31,7.45,7.31,7.44,190500,7.44
2016-07-06,7.31,7.43,7.26,7.37,220500,7.37
2016-07-05,7.43,7.43,7.34,7.39,169300,7.39
2016-07-01,7.57,7.57,7.35,7.43,462800,7.43
2016-06-30,7.58,7.66,7.55,7.66,633700,7.66
2016-06-29,7.51,7.57,7.46,7.55,267000,7.55
2016-06-28,7.36,7.53,7.36,7.53,313500,7.53
2016-06-27,7.32,7.36,7.24,7.25,388300,7.25
2016-06-24,7.34,7.43,7.28,7.31,362200,7.31
2016-06-23,7.53,7.61,7.46,7.58,269800,7.58
2016-06-22,7.94,7.98,7.88,7.94,852800,7.357
2016-06-21,7.84,7.92,7.82,7.87,610000,7.29214
2016-06-20,7.89,7.93,7.80,7.85,543900,7.273608
2016-06-17,7.74,7.86,7.71,7.79,573300,7.218014
2016-06-16,7.82,7.83,7.67,7.77,459800,7.199482
2016-06-15,7.90,7.90,7.80,7.83,522700,7.255077
2016-06-14,7.85,7.90,7.78,7.83,508500,7.255077
2016-06-13,7.85,7.89,7.80,7.80,299000,7.22728
2016-06-10,8.06,8.06,7.94,8.02,429500,7.431126
2016-06-09,8.13,8.13,8.02,8.11,214400,7.514517
2016-06-08,8.12,8.17,8.08,8.09,367400,7.495986
2016-06-07,8.24,8.24,8.09,8.20,469200,7.597909
2016-06-06,8.18,8.20,8.10,8.20,365200,7.597909
2016-06-03,8.14,8.18,8.10,8.10,323000,7.505252
2016-06-02,8.04,8.12,8.01,8.05,260900,7.458923
2016-06-01,8.02,8.08,8.01,8.05,230500,7.458923
2016-05-31,8.02,8.09,8.02,8.02,348600,7.431126
2016-05-27,8.26,8.26,8.03,8.06,861800,7.468189
2016-05-26,8.15,8.36,8.10,8.27,1704300,7.66277
2016-05-25,7.52,7.52,7.52,7.52,000,6.967839
2016-05-24,7.55,7.57,7.46,7.52,756800,6.967839
2016-05-23,7.35,7.52,7.35,7.41,916700,6.865915
2016-05-20,6.92,7.07,6.92,7.07,461600,6.55088
2016-05-19,6.91,6.95,6.83,6.83,464800,6.328502
2016-05-18,6.96,7.09,6.95,7.00,641900,6.48602
2016-05-17,7.05,7.08,6.94,6.95,656100,6.439691
2016-05-16,7.22,7.35,7.22,7.32,841600,6.782524

2016-05-13,6.75,6.84,6.69,6.69,624300,6.198782
2016-05-12,6.80,6.82,6.75,6.78,676400,6.282174
2016-05-11,6.83,6.85,6.77,6.80,346800,6.300705
2016-05-10,6.84,6.87,6.79,6.86,421300,6.3563
2016-05-09,6.88,6.93,6.79,6.80,686700,6.300705
2016-05-06,6.74,6.87,6.74,6.82,492200,6.319237
2016-05-05,6.68,6.74,6.65,6.67,882400,6.180251
2016-05-04,6.88,6.88,6.60,6.62,1350400,6.133922
2016-05-03,7.13,7.17,7.07,7.10,595400,6.578677
2016-05-02,7.27,7.27,7.13,7.24,538500,6.708398
2016-04-29,7.29,7.30,7.22,7.24,911700,6.708398
2016-04-28,7.57,7.57,7.24,7.24,682900,6.708398
2016-04-27,7.58,7.68,7.53,7.66,397800,7.097559
