Date,Open,High,Low,Close,Volume,Adj Close
2016-08-12,53.75,54.950001,53.009998,54.240002,207700,54.240002
2016-08-11,53.130001,53.889999,52.700001,53.580002,152600,53.580002
2016-08-10,53.799999,53.799999,52.25,52.50,82400,52.50
2016-08-09,52.50,53.900002,52.490002,53.299999,122700,53.299999
2016-08-08,52.73,53.060001,52.049999,52.450001,280300,52.450001
2016-08-05,52.50,53.689999,52.009998,52.009998,274300,52.009998
2016-08-04,53.299999,53.869999,52.009998,52.240002,221600,52.240002
2016-08-03,53.41,54.360001,52.849998,53.330002,177400,53.330002
2016-08-02,54.889999,55.00,52.00,53.240002,431100,53.240002
2016-08-01,54.830002,55.41,53.00,54.07,209900,54.07
2016-07-29,53.169998,55.799999,53.029999,55.689999,132700,55.689999
2016-07-28,55.040001,55.509998,53.139999,53.389999,144200,53.389999
2016-07-27,56.009998,57.279999,55.91,56.220001,196200,55.28
2016-07-26,55.59,56.59,55.540001,56.439999,157800,55.496319
2016-07-25,55.459999,56.00,54.66,55.66,190700,54.729362
2016-07-22,55.889999,56.48,55.110001,55.790001,87300,54.857189
2016-07-21,55.09,55.700001,54.029999,55.240002,187700,54.316386
2016-07-20,55.029999,55.98,54.119999,55.110001,261500,54.188558
2016-07-19,55.990002,56.77,54.459999,55.060001,195700,54.139395
2016-07-18,54.959999,56.470001,54.790001,55.900002,184500,54.96535
2016-07-15,55.130001,55.869999,54.880001,55.220001,129000,54.29672
2016-07-14,55.23,55.98,54.990002,55.099998,162400,54.178723
2016-07-13,54.490002,55.75,53.75,54.970001,214300,54.0509
2016-07-12,53.93,55.099998,53.490002,54.669998,381800,53.755913
2016-07-11,52.009998,53.560001,51.700001,52.919998,251400,52.035173
2016-07-08,54.110001,55.16,51.639999,51.639999,357600,50.776576
2016-07-07,55.66,56.75,53.139999,53.560001,339500,52.664475
2016-07-06,55.950001,56.299999,55.049999,55.439999,238000,54.513039
2016-07-05,55.439999,57.18,55.369999,56.580002,190800,55.633981
2016-07-01,57.830002,57.970001,55.529999,55.529999,222900,54.601534
2016-06-30,58.27,59.990002,56.630001,57.259998,205400,56.302608
2016-06-29,58.009998,59.52,57.869999,58.34,188100,57.364552
2016-06-28,55.709999,57.939999,55.32,57.369999,117100,56.410769
2016-06-27,56.790001,57.110001,53.779999,54.759998,127500,53.844408
2016-06-24,55.939999,58.740002,55.939999,57.169998,117700,56.214113
2016-06-23,56.32,57.50,55.810001,57.389999,115100,56.430435
2016-06-22,55.810001,57.009998,55.790001,56.099998,113300,55.162003
2016-06-21,54.43,56.529999,54.169998,56.18,99900,55.240668
2016-06-20,53.709999,55.150002,53.00,54.860001,172800,53.942738
2016-06-17,55.91,55.98,54.02,54.150002,410700,53.24461
2016-06-16,54.939999,55.779999,53.759998,55.18,91600,54.257388
2016-06-15,54.09,55.290001,53.490002,55.200001,111500,54.277054
2016-06-14,55.279999,55.82,53.50
,54.43,235800,53.519928
2016-06-13,56.91,57.009998,54.810001,55.50,166800,54.572037
2016-06-10,59.02,60.48,56.84,57.040001,132500,56.086289
2016-06-09,58.509998,60.220001,58.509998,59.990002,130600,58.986965
2016-06-08,58.52,59.389999,58.41,58.970001,129800,57.984019
2016-06-07,57.580002,58.91,56.529999,58.240002,160800,57.266226
2016-06-06,57.220001,57.639999,56.419998,57.18,116800,56.223947
2016-06-03,57.360001,57.669998,56.43,56.759998,70100,55.810968
2016-06-02,56.400002,57.310001,55.34,57.00,174300,56.046957
2016-06-01,54.50,56.84,54.450001,56.810001,130000,55.860135
2016-05-31,54.709999,55.77,54.700001,55.23,211200,54.306551
2016-05-27,54.09,54.860001,53.580002,54.720001,53900,53.80508
2016-05-26,53.98,54.48,53.299999,54.459999,60800,53.549425
2016-05-25,54.040001,54.50,53.299999,53.75,60700,52.851297
2016-05-24,53.849998,55.360001,53.50,53.919998,81800,53.018453
2016-05-23,54.630001,54.630001,53.360001,53.450001,63300,52.556314
2016-05-20,54.130001,55.060001,53.540001,54.77,96000,53.854243
2016-05-19,52.080002,54.200001,51.77,53.990002,164700,53.087286
2016-05-18,54.290001,54.830002,52.860001,52.860001,172000,51.976178
2016-05-17,53.27,55.080002,52.700001,54.84,141800,53.923072
2016-05-16,53.009998,53.48,51.52,53.470001,175200,52.57598
2016-05-13,52.419998,53.290001,51.73,52.439999,109100,51.563199
